yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5260.789,2026-09-11,Naver exchange listing (USD),218.2899932861328,220.1625,210.55233256022134,206.5181666056315,197.4727000427246,10.541858818410974,235.74000549316406,-7.402227793507565,52.39564643266171,-3.11,5.25,daily_close,일봉 종가,2026-09-12 15:12 KST,218.26,-0.013740110428931402,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.46,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,50.1,3.44,Finnhub,yfinance,,,2026-09-11,,,,,0.22,102.92,40.81,14.5,35.18,31,29,29,29,-30.78,58.8,2026-09-11,4.25,0,0,20,20,15,10,5,0,70,A,1
AAPL,AAPL,애플,4849.2081886,2026-09-11,Naver exchange listing (USD),332.2699890136719,316.62599792480466,313.3578328450521,297.3764996846517,284.9533494567871,16.605047684852806,340.0799865722656,-2.296517839027307,70.6189059400012,8.85,11.04,daily_close,일봉 종가,2026-09-12 15:12 KST,332.55,0.08427212676033007,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.33,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-2.35,1.69,Finnhub,yfinance,,,2026-09-11,,,,,1.26,10.32,40.81,14.5,35.18,31,29,29,29,-11.06,196.9,2026-09-11,4.25,0,0,20,10,8,8,1,0,47,C,2
MSFT,MSFT,마이크로소프트,3680.323111704,2026-09-11,Naver exchange listing (USD),495.6300048828125,494.43400115966796,440.0026657104492,422.7634989420573,431.2575494384766,14.926684884276863,542.0700073242188,-8.567159557608564,57.48640815326856,-0.25,25.85,daily_close,일봉 종가,2026-09-12 15:12 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.73,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,14.92,6.42,Finnhub,yfinance,,,2026-09-11,,,,,0.85,23.34,40.81,14.52,37.28,31,29,29,29,-34.29,-44.13,2026-09-11,4.25,0,0,20,16,12,10,3,0,61,B,3
AMZN,AMZN,아마존닷컴,2769.709599018,2026-09-11,Naver exchange listing (USD),256.7799987792969,258.96049880981445,252.09299926757814,250.10033327738444,239.79769989013673,7.081927348319264,284.0199890136719,-9.59087081475232,48.02391858624754,-3.15,4.38,daily_close,일봉 종가,2026-09-12 15:12 KST,,,242.3,41.19,68.74,20.496784,4.9843616,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.69,60.0,-0.09,328.0,405.0,230.0,27.74,5.13,Finnhub,yfinance,,,2026-09-03,,,,,0.08,57.24,23.68,15.69,9.38,6,5,4,4,-13.44,-68.23,2026-09-11,4.25,4,0,20,20,15,10,5,0,74,A,4
GOOGL,GOOGL,알파벳 Class A,2268.9655,2026-09-11,Naver exchange listing (USD),338.5,341.0554992675781,348.08683217366536,350.3145825703939,336.81054931640625,0.5016026626905458,402.6199951171875,-15.925685732156591,44.28571269777571,-2.27,-9.31,daily_close,일봉 종가,2026-09-12 15:12 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,26.46,6.53,Finnhub,yfinance,,,2026-09-11,,,,,0.06,36.52,22.29,6.02,29.85,6,5,5,5,-23.3,12.54,2026-09-11,4.25,8,0,20,20,15,10,5,5,83,A,5
TSM,TSM,TSMC ADR,2246.98799576,2026-09-11,Naver exchange listing (USD),433.239990234375,421.70899963378906,423.835666402181,407.3892499287923,375.9453498840332,15.240151359237538,477.57000732421875,-9.28241229766936,58.8768665328744,0.64,1.74,daily_close,일봉 종가,2026-09-12 15:12 KST,,,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.94,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,27.5,7.14,Finnhub,yfinance,,,2026-09-11,,,,,0.42,43.13,40.81,14.5,35.18,31,29,29,29,-21.2,504.09,2026-09-11,4.25,0,0,20,20,15,10,3,0,68,B,6
SPCX,SPCX,스페이스X,2052.346357916,2026-09-11,Naver exchange listing (USD),151.2100067138672,142.99349975585938,139.91033325195312,,,,211.38999938964844,-28.46870374641205,67.99797884275142,7.02,-28.47,daily_close,일봉 종가,2026-09-12 15:12 KST,150.28,-0.6150431007036634,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-12,,,,,,,,,,15,0,0,0,,,2026-09-11,4.25,0,0,0,0,0,0,1,5,6,D,7
GOOG,GOOG,알파벳 Class C,1854.03215,2026-09-11,Naver exchange listing (USD),335.45001220703125,338.0375030517578,346.12933349609375,348.06108271280925,335.5938995361328,-0.04287543048322956,399.0400085449219,-15.93574453092264,43.78699577082606,-2.47,-9.61,daily_close,일봉 종가,2026-09-12 15:12 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,25.74,6.53,Finnhub,yfinance,,,2026-09-10,,,,,0.06,36.52,22.29,6.02,29.85,6,5,5,5,-15.5,17.54,2026-09-11,4.25,4,0,20,20,15,10,5,5,79,A,8
AVGO,AVGO,브로드컴,1728.006274831,2026-09-11,Naver exchange listing (USD),361.989990234375,367.4939987182617,382.9391662597656,387.9625005086263,370.20275009155273,-2.2184491755252167,481.57000732421875,-24.83128418945245,45.14867803609853,-13.36,-3.91,daily_close,일봉 종가,2026-09-12 15:12 KST,361.7361,-0.07013736324879974,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.72,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,45.3,0.51,Finnhub,yfinance,,,2026-09-12,,,,,0.72,20.26,40.74,14.5,35.18,31,29,29,29,51.49,39.03,2026-09-11,4.25,0,0,20,16,12,10,5,5,68,B,9
META,META,메타,1650.860458987,2026-09-11,Naver exchange listing (USD),648.030029296875,586.4670013427734,595.092495727539,604.5291641235351,623.2309475708008,3.979115899609098,790.0,-17.97088236748418,83.89165879570561,8.92,7.97,daily_close,일봉 종가,2026-09-12 15:12 KST,647.58,-0.0694457473465002,-13.4,22.36,79.04,22.988073,6.0160947,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,0.0,754.77,1000.0,580.0,16.47,0.38,Finnhub,yfinance,,,2026-09-10,,,,,,25.69,18.84,6.77,48.68,6,5,5,5,22.02,-11.14,2026-09-11,4.25,4,0,20,0,15,0,1,5,45,C,10
