yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,143611,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,267500.0,322625.0,344658.3333333333,360337.5,407847.5,-34.411759297286366,559000.0,-52.146690518783544,24.43181818181624,-19.67,-25.59,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,124.85,217.44,14.1,54.0,29.59,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.14,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,566667.0,,,111.84,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.43,2025.0,11011.0,16.52,-25.16,9,1,8,8,79.12,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-22,4.65,0,0,20,20,0,10,1,3,54,C,1
247540.KQ,247540,에코프로비엠,105167,중견기업부,양극활물질,KOSDAQ,주권,KRX,107300.0,124030.0,171968.33333333334,188025.83333333334,173249.0,-38.06602058309139,246000.0,-56.38211382113821,31.686046511621456,-28.89,-50.78,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,364.17,14.78,290.0,6.16,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.84,,,248722.0,,,131.8,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-22,4.65,0,0,0,0,0,0,3,3,6,D,2
086520.KQ,086520,에코프로,104683,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,76500.0,88245.0,118683.33333333333,136832.5,116416.25,-34.28752429321508,185000.0,-58.648648648648646,35.30499075784668,-25.73,-53.44,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,336.78,19.1,175.0,4.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.2,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,기타 금융업,기타 금융업,2026-07-22,4.65,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,92828,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,495000.0,460125.0,613758.3333333334,642370.8333333334,550365.0,-10.059687661824425,880000.0,-43.75,44.5491251682352,-1.59,-16.95,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-33.64,3949.62,6.94,,60.58,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,6.29,8.16,21,16,20,20,863.12,,30.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,0,0,0,0,5,5,10,D,4
036930.KQ,036930,주성엔지니어링,75299,우량기업부,LP CVD,KOSDAQ,주권,KRX,162000.0,185690.0,182615.0,121634.16666666667,85026.5,90.5288351278719,250500.0,-35.32934131736527,30.03992015967853,-12.05,34.55,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,-66.22,32.8,7.0,,15.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,16.98,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,6.29,8.16,21,16,20,20,138.47,3.49,30.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,6,0,4,0,3,5,18,D,5
240810.KQ,240810,원익IPS,54826,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,111700.0,133725.0,130628.33333333333,123577.5,99527.75,12.230006204299807,183300.0,-39.06164757228587,30.653266331655203,-25.58,-6.21,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,304.73,46.26,14.53,32.0,5.53,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,58.31,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011,OpenDART,0.11,2025.0,11011,7.16,6.8,21,15,20,20,-22.77,,30.0,6.67,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,6,20,0,10,3,5,44,C,6
058470.KQ,058470,리노공업,54720,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,71100.0,76460.0,94541.66666666667,99822.5,83848.0,-15.203701936838087,127000.0,-44.01574803149606,38.40749414518646,-16.25,-40.85,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,34.19,27.95,32.49,28.0,7.38,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.13,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,91.28,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,OFS,11011.0,OpenDART,0.82,2025.0,11011.0,4.21,8.6,10,7,9,9,75.3,17.07,14.08,98.86,전자부품 제조업,전자부품 제조업,2026-07-22,4.65,0,0,20,16,12,10,5,5,68,B,7
319660.KQ,319660,피에스케이,45390,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,154400.0,179515.0,139478.33333333334,104335.83333333333,76789.75,101.06850198105867,211500.0,-26.997635933806148,33.93903868698432,-3.32,77.68,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-0.73,10.42,21.95,39.0,10.4,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.44,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,16.03,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,6.29,6.8,21,15,20,20,65.34,22.31,30.0,30.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,16,0,12,0,3,5,36,D,8
298380.KQ,298380,에이비엘바이오,38855,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,68900.0,86420.0,106123.33333333333,144174.16666666666,147357.0,-53.24280488880745,245500.0,-71.93482688391039,19.1938579654459,-25.19,-54.19,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,14.06,-9.41,8,2,7,7,74.4,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-22,4.65,0,0,0,0,0,0,1,1,2,D,9
039030.KQ,039030,이오테크닉스,38005,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,307000.0,390750.0,455475.0,431570.8333333333,365380.0,-15.977886036455196,612000.0,-49.83660130718954,27.53108348134853,-33.26,-36.44,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,33.53,50.01,29.93,51.35,5.38,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,575000.0,,,87.3,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011,OpenDART,1.53,,,7.16,6.8,21,15,20,20,-24.86,24.98,30.0,71.17,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,6,5,12,10,3,3,39,D,10
