yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,14381845,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,242000.0,252650.0,294541.6666666667,247283.33333333334,195401.0,23.847882047686554,362500.0,-33.241379310344826,42.3340961098371,-18.24,-9.87,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,32.61,21.95,46.71,5.0,3.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.69,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,513958.0,,,112.38,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.15,2025.0,11011.0,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-05,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,12184612,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1616000.0,1792550.0,2104216.6666666665,1573258.3333333333,1193017.5,35.4548445433533,2919000.0,-44.638574854402194,38.77440347071555,-26.58,-4.15,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,116.89,8.72,52.39,5.0,6.68,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.19,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3632609.0,,,124.79,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,0.04,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-08-05,4.25,15,0,20,20,0,10,5,5,75,A,2
402340.KS,402340,SK스퀘어,1476614,,지주회사,KOSPI,주권,KRX,1089000.0,1142650.0,1311733.3333333333,971641.6666666666,720857.5,51.07007973143097,1970000.0,-44.72081218274111,37.83533765032328,-19.69,-0.82,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,143.06,4.22,46.16,3.0,3.75,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,74.47,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,0.02,,,17,16,16,15,,8.0,0.96,8.91,-62.5,290.62,기타 금융업,기타 금융업,2026-08-05,4.25,15,0,20,20,0,10,5,5,75,A,3
005935.KS,005935,삼성전자우,1475560,,,KOSPI,주권,KRX,183900.0,178255.0,195471.66666666666,167275.0,135783.5,35.43619070063741,235000.0,-21.74468085106383,47.34077478660103,-7.73,0.66,daily_close,NXT 미확인,2026-08-05 22:20 KST,,,32.61,21.95,46.7,4.0,2.48,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,493542.0,,,168.38,,,Naver/FnGuide,,,2026-08-03,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-08-05,4.25,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,1012846,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1318000.0,1285500.0,1570333.3333333333,1046862.5,728671.0,80.87724089472478,2270000.0,-41.93832599118943,47.89977892409678,-20.02,44.2,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,3.96,23.43,39.39,64.0,8.58,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2503333.0,,,89.93,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,16.16,2025.0,11011.0,7,6,6,6,29.21,37.0,3.93,5.76,72.97,118.32,전자부품 제조업,전자부품 제조업,2026-08-05,4.25,0,0,6,0,15,2,5,5,33,D,5
005380.KS,005380,현대차,828245,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,400500.0,409575.0,544283.3333333334,531754.1666666666,448845.0,-10.770978845703974,750000.0,-46.6,42.89156626505735,-16.48,-34.67,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,-23.26,5.89,24.96,10.0,0.8,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.5,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,724000.0,,,80.77,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-05,4.25,12,10,6,0,0,0,5,3,36,D,6
373220.KS,373220,LG에너지솔루션,785070,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,331500.0,324150.0,373466.6666666667,392041.6666666667,404500.0,-18.046971569839307,514000.0,-35.505836575875485,50.15384615384184,-0.15,-30.43,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,,80.86,5.53,-204.0,3.54,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,53.7,,,Naver/FnGuide,,KRW,2026-08-05,2025.0,CFS,11011,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-05,4.25,0,0,0,0,0,0,5,5,10,D,7
207940.KS,207940,삼성바이오로직스,690198,,바이오의약품,KOSPI,주권,KRX,1487000.0,1430700.0,1391316.6666666667,1495025.0,1598224.79,-6.959270729369679,1965000.0,-24.325699745547073,58.940397350992015,4.57,1.02,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,74.57,82.79,12.93,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2010909.0,,,35.23,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,0.51,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-05,4.25,0,0,16,20,15,10,3,5,69,B,8
105560.KS,105560,KB금융,605451,,-,KOSPI,주권,KRX,170600.0,173210.0,163058.33333333334,159161.66666666666,145873.5,16.950645593613643,186200.0,-8.378088077336198,39.250493096636106,-1.5,5.5,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,18.98,6.51,79.28,9.0,1.02,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.56,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,31.82,,,Naver/FnGuide,,KRW,2026-08-05,2025.0,CFS,11011,OpenDART,0.47,2025.0,11011,17,16,16,15,15.41,8.0,0.96,8.91,12.5,6.25,기타 금융업,기타 금융업,2026-08-05,4.25,12,8,6,20,12,8,5,0,71,A,9
032830.KS,032830,삼성생명,588000,,"생명보험,부동산 임대",KOSPI,주권,KRX,286500.0,310300.0,360958.3333333333,295925.0,242308.5,18.237701112424865,497000.0,-42.354124748490946,40.397350993374985,-23.6,-2.88,nxt_web_latest,NXT 체결가,2026-08-05 22:16 KST,,,9.3,9.99,23.4,22.0,0.69,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.79,,,408607.0,,,42.62,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,2.37,2025.0,11011.0,3,2,2,2,10.22,,,,,,보험업,보험업,2026-08-05,4.25,4,10,0,0,8,5,5,5,37,D,10
