yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15784952,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,270000.0,259075.0,277408.3333333333,260146.66666666666,212585.0,27.00802032128325,362500.0,-25.517241379310345,50.56603773584371,16.88,-9.7,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,32.61,21.95,46.72,5.0,3.02,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.62,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,82.18,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.15,2025.0,11011.0,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-09-07,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,13024678,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1783000.0,1629800.0,1946533.3333333333,1698958.3333333333,1311945.0,35.905087484612544,2919000.0,-38.91743747858855,56.64105378704633,25.39,-15.14,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,116.89,8.72,50.56,5.0,4.57,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.17,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3280417.0,,,83.98,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,0.04,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-09-07,4.25,15,0,20,20,0,10,3,5,73,A,2
005935.KS,005935,삼성전자우,1601532,,,KOSPI,주권,KRX,199600.0,189060.0,192391.66666666666,177874.16666666666,147799.5,35.04781815906008,235000.0,-15.063829787234043,55.188246097329916,17.34,3.15,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,32.61,21.95,46.73,4.0,2.32,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.05,,,487045.0,,,144.01,,,Naver/FnGuide,,,2026-09-08,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-09-07,4.25,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1484144,,지주회사,KOSPI,주권,KRX,1125000.0,1054850.0,1258100.0,1059050.0,806075.0,39.56517693762988,1970000.0,-42.89340101522843,49.211356466875884,19.81,-8.39,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,143.06,4.22,46.33,3.0,2.7,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1938333.0,,,72.3,,,Naver/FnGuide,,KRW,2026-09-08,2025.0,CFS,11011,OpenDART,0.02,,,17,16,16,15,,9.0,0.94,8.91,-66.67,187.23,기타 금융업,기타 금융업,2026-09-07,4.25,15,3,20,20,0,10,5,5,78,A,4
009150.KS,009150,삼성전기,1086046,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1454000.0,1388900.0,1537466.6666666667,1229279.1666666667,855607.5,69.93773429989803,2270000.0,-35.947136563876654,51.24113475177178,13.77,-19.45,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,3.96,23.43,37.93,72.0,10.56,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.16,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2325500.0,,,59.94,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,18.18,2025.0,11011.0,6,5,5,5,29.21,30.0,5.46,6.14,140.0,93.41,전자부품 제조업,전자부품 제조업,2026-09-07,4.25,0,0,6,0,15,2,5,5,33,D,5
373220.KS,373220,LG에너지솔루션,848250,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,362500.0,360375.0,352616.6666666667,386320.8333333333,393422.5,-7.859870749639383,514000.0,-29.474708171206228,54.06360424027733,0.69,-5.72,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,,80.86,5.56,-292.0,3.75,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,4.0,,,515778.0,,,42.28,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-07,4.25,0,0,0,0,0,0,5,5,10,D,6
005380.KS,005380,현대차,804698,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,393000.0,407800.0,448141.6666666667,509175.0,465085.0,-15.499317329090381,750000.0,-47.599999999999994,29.807692307688285,-0.63,-34.17,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,-23.26,5.89,24.37,11.0,0.86,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.54,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,704400.0,,,79.24,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-09-07,4.25,12,8,6,0,0,0,3,3,32,D,7
207940.KS,207940,삼성바이오로직스,678625,,바이오의약품,KOSPI,주권,KRX,1466000.0,1540250.0,1453233.3333333333,1469700.0,1575780.0,-6.96670855068601,1965000.0,-25.394402035623408,40.79320113314286,-5.78,14.0,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,74.57,82.79,13.1,38.0,8.41,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,1997143.0,,,36.23,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,0.51,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-07,4.25,0,0,16,20,15,10,5,5,71,A,8
032830.KS,032830,삼성생명,624000,,"생명보험,부동산 임대",KOSPI,주권,KRX,312000.0,299800.0,338733.3333333333,311412.5,257640.5,21.098973181623233,497000.0,-37.223340040241446,50.352941176467276,13.25,-14.52,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,9.3,9.99,23.21,19.0,0.68,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,402538.0,,,29.02,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2.04,2025.0,11011.0,4,3,3,3,10.22,8.0,0.84,10.97,137.5,-19.05,보험업,보험업,2026-09-07,4.25,4,10,0,0,8,5,5,5,37,D,9
105560.KS,105560,KB금융,623895,,-,KOSPI,주권,KRX,175900.0,168765.0,168151.66666666666,161460.0,151381.0,16.196880718187884,186200.0,-5.531686358754028,57.87234042551468,0.06,16.11,daily_close,NXT 미확인,2026-09-08 01:40 KST,,,18.98,6.51,79.17,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.48,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,27.85,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011.0,OpenDART,0.47,2025.0,11011.0,17,16,16,15,15.41,8.5,0.94,8.91,5.88,6.38,기타 금융업,기타 금융업,2026-09-07,4.25,12,8,6,20,12,8,3,0,69,B,10
