yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,47149,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,201000.0,376882.0,-46.6676572508106,1184000.0,-83.02364864864865,29.201101928372395,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,1036.5,7.44,512.61,17.54,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.02,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,,,,,,,,,,2025.0,11011.0,2.0,OpenDART,108.15,6.76,1.96,7,373.98,159.47,,,,,,의약품 제조업,의약품 제조업,2026-07-07,4.25,0,0,0,0,0,0,3,1,4,D,12
319660.KQ,319660,피에스케이,46868,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,157300.0,69302.0,126.97757640472136,211500.0,-25.626477541371155,49.828178694154076,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.43,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,95.77,12.2,7.4,21,-58.23,-11.39,22.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,16,0,12,0,5,5,38,D,13
039030.KQ,039030,이오테크닉스,45582,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,361000.0,359377.5,0.4514751201730771,612000.0,-41.01307189542484,27.81350482314987,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,,,,,,,,,1.31,,,3.0,OpenDART,95.77,12.2,7.4,21,-54.06,-37.87,24.98,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,6,10,12,10,3,5,46,C,14
087010.KQ,087010,펩트론,42251,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,182600.0,269485.0,-32.241126593316885,386000.0,-52.69430051813472,35.359116022096956,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,,5.34,,31.06,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,97.08,22.77,-33.24,8,,36.41,,OpenDART,2025.0,OFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-07,4.25,0,0,0,0,0,0,5,3,8,D,15
222800.KQ,222800,심텍,40610,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,106500.0,68274.75,55.98738918853603,157300.0,-32.2949777495232,41.89902034664215,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,,13.49,43.0,9.85,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-33.13,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,49.52,5.95,5.05,7,-13.17,65.55,,OpenDART,2025.0,CFS,11011,전자부품 제조업,전자부품 제조업,2026-07-07,4.25,0,0,0,0,0,0,5,5,10,D,16
347850.KQ,347850,디앤디파마텍,37885,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,85300.0,78215.84,9.057193530108485,111200.0,-23.29136690647482,36.926605504581225,daily_close,NXT 미확인,2026-07-07 22:50 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,39.38,,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-07,4.25,0,0,0,0,0,0,5,5,10,D,17
214370.KQ,214370,케어젠,36633,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,67500.0,85022.0,-20.608783608948272,150100.0,-55.029980013324455,40.564373897697216,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.65,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,97.08,22.77,-33.24,8,80.44,-23.72,-29.05,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-07,4.25,0,0,6,0,0,0,5,3,14,D,18
214450.KQ,214450,파마리서치,35376,우량기업부,재생의약품,KOSDAQ,주권,KRX,345000.0,399825.0,-13.71224910898518,711000.0,-51.47679324894515,60.26666666666216,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.07,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,,,,,,,,,0.31,2025.0,11011.0,5.0,OpenDART,21.42,7.81,-4.21,3,-6.63,-22.15,37.82,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-07,4.25,4,0,20,20,15,10,3,3,75,A,19
440110.KQ,440110,파두,35070,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,70000.0,49639.1,41.01786696374431,128300.0,-45.44037412314887,28.468899521526325,daily_close,NXT 미확인,2026-07-07 22:50 KST,,,,,27.45,,123.65,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,,,,,,,,,,,26.33,29.39,-19.3,5,,320.72,,OpenDART,2025.0,CFS,11011,반도체 제조업,반도체 제조업,2026-07-07,4.25,0,0,0,0,0,0,3,3,6,D,20
403870.KQ,403870,HPSP,34154,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,41500.0,41280.0,0.5329457364341085,83500.0,-50.29940119760479,26.067415730328875,daily_close,NXT 미확인,2026-07-07 22:50 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.2,55.66,500.0,404.37,OpenDART,49.38,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,95.77,12.2,7.4,21,-63.45,14.18,-6.21,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,20,0,0,0,3,3,26,D,21
084370.KQ,084370,유진테크,33480,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,143600.0,109555.0,31.07571539409429,206500.0,-30.46004842615012,41.78935447338287,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.16,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,95.77,12.2,7.4,21,-46.75,-20.08,31.84,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,6,0,15,0,5,5,31,D,22
310210.KQ,310210,보로노이,32384,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,173900.0,232946.0,-25.347505430443107,363500.0,-52.15955983493811,36.98539176626482,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,,6.53,,37.57,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-3.54,,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-07,4.25,0,0,0,0,0,0,5,3,8,D,23
095340.KQ,095340,ISC,31816,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,145600.0,153416.0,-5.094644626375346,271000.0,-46.27306273062731,27.74451097804004,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,2.68,60.46,24.79,40.0,6.44,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.58,31.0,850.0,173.95,OpenDART,43.58,5.0,True,,,,,,,,,14.93,2025.0,11011.0,5.0,OpenDART,21.95,4.03,13.58,2,,,91.78,,,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-07,4.25,0,0,12,0,15,2,3,3,35,D,24
214150.KQ,214150,클래시스,31150,우량기업부,미용의료기기,KOSDAQ,주권,KRX,47700.0,54125.0,-11.87066974595843,75600.0,-36.904761904761905,53.53773584902125,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,32.76,30.47,70.5,18.0,5.99,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.1,49.4,1000.0,651.53,OpenDART,97.29,5.0,False,,,,,,,,,0.55,2025.0,11011.0,5.0,OpenDART,22.0,13.09,19.41,3,-18.18,-54.24,32.57,,,,,의료용 기기 제조업,의료용 기기 제조업,2026-07-07,4.25,8,0,20,20,15,10,5,5,83,A,25
108490.KQ,108490,로보티즈,31081,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,208500.0,252625.655,-17.46681468277638,405000.0,-48.51851851851852,19.937694704048113,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,691.83,7.25,440.0,10.33,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,,,,,,,,,,95.77,12.2,7.4,21,359.43,-15.33,,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,0,0,0,0,1,3,4,D,26
145020.KQ,145020,휴젤,30514,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,249000.0,255562.5,-2.5678650036683783,388000.0,-35.824742268041234,46.35036496349891,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,3.3,21.91,57.97,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,,,,,5.76,,,,,97.08,22.77,-33.24,8,-80.43,-87.04,22.87,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-07,4.25,4,3,16,0,12,2,5,5,47,C,27
178320.KQ,178320,서진시스템,29120,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,45750.0,40207.75,13.784034172516494,80800.0,-43.37871287128713,20.509554140120073,daily_close,NXT 미확인,2026-07-07 22:50 KST,,,,15.93,17.17,,4.05,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,,,,,,,,,,,4.05,-12.63,1,,,,OpenDART,2025.0,CFS,11011,기타 전기장비 제조업,기타 전기장비 제조업,2026-07-07,4.25,0,0,0,0,0,0,1,5,6,D,28
080220.KQ,080220,제주반도체,28346,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,82300.0,44762.3,83.86007868228397,134000.0,-38.582089552238806,35.79766536964492,daily_close,NXT 미확인,2026-07-07 22:50 KST,,,102.29,22.3,1.59,31.42,11.4,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,0.31,,,,,26.33,29.39,-19.3,5,19.33,-61.21,53.63,OpenDART,2025.0,CFS,11011,반도체 제조업,반도체 제조업,2026-07-07,4.25,0,0,16,20,15,10,5,5,71,A,29
095610.KQ,095610,테스,28072,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,140700.0,74651.0,88.47704652315441,213000.0,-33.943661971830984,43.57894736841784,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.6,26.4,850.0,150.74,OpenDART,11.0,5.0,True,,,,,,,,,1.25,2025.0,11011.0,5.0,OpenDART,95.77,12.2,7.4,21,-56.14,-24.51,504.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,16,10,15,10,5,5,61,B,30
031980.KQ,031980,피에스케이홀딩스,27513,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,125300.0,81536.0,53.67445054945055,166500.0,-24.744744744744747,52.2796352583531,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-4.32,11.02,6.77,27.0,7.04,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.86,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,95.77,12.2,7.4,21,-71.81,-42.3,46.54,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-07,4.25,0,0,16,0,15,0,5,5,41,C,31
226950.KQ,226950,올릭스,27374,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,135000.0,141129.5,-4.343174176908442,207000.0,-34.78260869565217,47.27000747942662,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,,8.46,,25.72,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-33.97,,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-07,4.25,0,0,0,0,0,0,5,5,10,D,32
237690.KQ,237690,에스티팜,26863,우량기업부,원료의약품,KOSDAQ,주권,KRX,128400.0,126639.5,1.390166575199681,168700.0,-23.888559573206877,46.57097288675197,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,52.02,53.05,12.63,40.0,4.48,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.39,18.3,500.0,100.76,OpenDART,0.0,5.0,False,,,,,,,,,0.77,2025.0,11011.0,5.0,OpenDART,108.15,6.76,1.96,7,-63.01,-33.73,61.23,,,,,의약품 제조업,의약품 제조업,2026-07-07,4.25,0,0,12,16,15,10,5,5,63,B,33
131290.KQ,131290,티에스이,25828,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,224500.0,109930.0,104.22086782497952,276000.0,-18.65942028985507,45.34313725489884,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-10.0,1517.12,10.87,42.38,7.17,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.2,12.4,450.0,49.78,OpenDART,-3.45,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,39.19,7.64,13.56,2,,,1672.52,,,,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-07,4.25,0,0,12,0,15,0,5,5,37,D,34
064760.KQ,064760,티씨케이,25768,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,228000.0,210410.5,8.359611331183567,348500.0,-34.576757532281206,32.65993265992957,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-2.77,18.81,67.26,29.0,6.09,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.63,22.9,1430.0,159.87,OpenDART,0.0,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,24.52,3.68,9.4,2,,,6.91,,,,,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-07-07,4.25,0,0,12,0,4,0,3,5,24,D,35
