yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15843415,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,273000.0,245650.0,289150.0,253320.83333333334,203112.5,34.408271278232505,362500.0,-24.689655172413794,66.24365482233031,4.8,-6.67,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,32.61,21.95,46.53,5.0,3.33,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.61,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,493542.0,,,80.78,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,0.15,75.51,2025.0,11011.0,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-20,4.25,15,0,12,20,15,10,1,5,78,A,1
000660.KS,000660,SK하이닉스,12352625,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1710000.0,1582700.0,2048650.0,1625991.6666666667,1246195.0,37.217690650339634,2919000.0,-41.41829393627955,62.374245472836435,-6.56,-11.9,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,116.89,8.72,50.74,4.0,6.48,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.18,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3317917.0,,,94.03,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,0.03,,2025.0,11011.0,1,0,0,0,,,,,,반도체 제조업,반도체 제조업,2026-08-20,4.25,15,0,20,20,0,10,3,5,73,A,2
005935.KS,005935,삼성전자우,1534133,,,KOSPI,주권,KRX,191200.0,177850.0,194705.0,171973.33333333334,141058.0,35.547079924570035,235000.0,-18.638297872340427,64.27556818181179,3.3,1.97,daily_close,NXT 미확인,2026-08-20 20:57 KST,,,32.61,21.95,46.8,4.0,2.62,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,491875.0,,,157.26,,,Naver/FnGuide,,,2026-08-18,,,,,0.12,75.51,,,2,1,1,1,,,,,,,,2026-08-20,4.25,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1481506,,지주회사,KOSPI,주권,KRX,1128000.0,1030100.0,1296433.3333333333,1011116.6666666666,759732.5,48.47331132997469,1970000.0,-42.74111675126904,65.91355599214054,-8.29,-4.81,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,143.06,4.22,46.29,4.0,4.15,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,68.44,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.03,,,,18,17,17,16,8.0,0.96,8.82,-50.0,332.29,기타 금융업,기타 금융업,2026-08-20,4.25,15,0,20,20,0,10,1,5,71,A,4
009150.KS,009150,삼성전기,1042723,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1397000.0,1282350.0,1622300.0,1131983.3333333333,786382.5,77.64891767047206,2270000.0,-38.458149779735685,72.57641921397291,3.87,4.25,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,3.96,23.43,38.33,68.0,10.28,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.17,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2350500.0,,,68.25,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,17.17,29.21,2025.0,11011.0,6,5,5,5,26.0,6.4,6.14,161.54,60.62,전자부품 제조업,전자부품 제조업,2026-08-20,4.25,0,0,6,0,15,2,1,5,29,D,5
005380.KS,005380,현대차,854863,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,416500.0,401825.0,503616.6666666667,524629.1666666666,457335.0,-8.928903320323176,750000.0,-44.46666666666667,69.16426512967742,-0.36,-36.41,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,-23.26,5.89,24.98,11.0,0.9,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.4,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,722000.0,,,73.35,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,-9.97,2025.0,11011.0,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-20,4.25,12,8,6,0,0,0,1,5,32,D,6
373220.KS,373220,LG에너지솔루션,837720,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,358500.0,342000.0,363383.3333333333,388762.5,400512.5,-10.489685090977186,514000.0,-30.252918287937742,65.1999999999927,11.68,-10.04,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,,80.86,5.52,-218.0,3.75,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,42.13,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011,OpenDART,,,,,3,2,2,2,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-20,4.25,0,0,0,0,0,0,1,5,6,D,7
207940.KS,207940,삼성바이오로직스,728619,,바이오의약품,KOSPI,주권,KRX,1561000.0,1521500.0,1416316.6666666667,1482100.0,1592095.945,-1.9531451667631792,1965000.0,-20.559796437659035,55.328798185939284,13.78,10.32,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,74.57,82.79,13.13,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2011429.0,,,28.86,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,0.51,48.49,,,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-20,4.25,0,0,16,20,15,10,3,5,69,B,8
028260.KS,028260,삼성물산,606506,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,374500.0,340450.0,401833.3333333333,360487.5,320447.5,16.86781766123936,535000.0,-30.0,69.04761904761443,5.79,-10.94,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,15.35,12.4,30.96,23.0,0.98,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,5717.21,4113.35,9709.18,199334.7,-189625.52,0.75,18.8,2800.0,4582.52,OpenDART,6.78,4.0,True,4.0,OpenDART,,4.0,,,496667.0,,,32.62,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,OFS,11011,OpenDART,1.5,9.45,2025.0,11011.0,1,0,0,0,,,,,,기타 전문 도매업,기타 전문 도매업,2026-08-20,4.25,4,8,6,10,8,8,1,5,50,C,9
012450.KS,012450,한화에어로스페이스,601744,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1165000.0,1031250.0,1052016.6666666667,1216333.3333333333,1148060.0,1.4755326376670208,1537000.0,-24.20299284320104,79.7244094488167,30.75,-7.61,nxt_web_latest,NXT 체결가,2026-08-20 20:54 KST,,,-38.13,15.96,45.64,26.0,6.08,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.6,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1632222.0,,,40.1,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,2,1,1,1,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-20,4.25,0,0,16,0,15,0,1,5,37,D,10
