yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
347850.KQ,347850,디앤디파마텍,20947,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,45700.0,69637.5,79017.5,79408.75,79934.395,-42.82811548145201,111200.0,-58.902877697841724,15.745393634837185,-50.54,-38.41,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,,5.78,,34.67,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,,,,14.49,-18.83,8,2,7,7,139.27,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,0,0,0,0,1,3,4,D,26
084370.KQ,084370,유진테크,20303,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,88400.0,135475.0,145858.33333333334,135039.16666666666,114889.0,-23.056167257091627,206500.0,-57.19128329297821,29.407616361069017,-57.19,-32.0,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-32.89,30.03,36.58,28.0,5.3,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.26,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,156667.0,,,77.23,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.58,7.42,20,15,19,19,-5.02,30.0,-6.67,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,6,0,15,0,3,3,27,D,27
263750.KQ,263750,펄어비스,20172,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,32100.0,34770.0,40580.0,48540.833333333336,44466.25,-27.810418013662048,72000.0,-55.41666666666667,35.15358361771385,-14.97,-45.5,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,296.2,96.6,8.3,6.0,2.25,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,3.89,,,69111.0,,,115.3,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.02,,,4.6,-7.93,4,1,3,3,-51.09,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-07-30,4.68,15,3,0,20,0,10,5,3,56,B,28
095610.KQ,095610,테스,19360,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,100200.0,159640.0,147208.33333333334,109530.0,84056.5,19.205534372713593,217500.0,-53.93103448275862,38.86138613861117,-52.96,19.29,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,33.69,92.12,8.68,27.0,6.15,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,655.21,361.46,525.24,853.69,-328.45,0.85,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,196250.0,,,95.86,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11014.0,OpenDART,0.8,2025.0,11011.0,5.39,7.42,20,15,19,19,14.1,30.0,-10.0,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,16,16,15,10,5,3,65,B,29
226950.KQ,226950,올릭스,18851,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,89500.0,120800.0,140656.66666666666,154487.5,142950.0,-37.39069604756908,207000.0,-56.763285024154584,34.03403403402926,-46.41,-48.12,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,7.69,,14.49,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,,,21.34,-31.49,8,2,7,7,-32.1,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,0,0,0,0,3,3,6,D,30
310210.KQ,310210,보로노이,18568,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,100700.0,144445.0,203488.33333333334,246777.5,231180.0,-56.440868587248026,363500.0,-72.29711141678129,13.953488372090959,-46.89,-64.54,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,8.29,,21.34,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,346.87,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,,,14.49,-18.83,8,2,7,7,47.27,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,0,0,0,0,1,1,2,D,31
178320.KQ,178320,서진시스템,17758,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,27900.0,40355.0,58619.166666666664,51562.916666666664,41520.75,-32.80468199635122,80800.0,-65.47029702970298,35.564853556474944,-50.53,-53.11,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,15.93,16.48,,2.0,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,4.0,,,72250.0,,,158.96,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,,,,,1,0,0,0,,,,,기타 전기장비 제조업,기타 전기장비 제조업,2026-07-30,4.68,0,3,0,0,0,0,5,1,9,D,32
237690.KQ,237690,에스티팜,17682,우량기업부,원료의약품,KOSDAQ,주권,KRX,84200.0,116345.0,125863.33333333333,137990.83333333334,128315.5,-34.380491834579615,168700.0,-50.08891523414345,23.42064714945566,-36.02,-44.79,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,52.02,53.05,11.57,27.0,3.09,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.59,18.3,500.0,100.76,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,200583.0,,,138.22,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,0.52,2025.0,11011.0,5.14,7.59,7,5,6,6,-39.88,20.08,34.46,61.23,의약품 제조업,의약품 제조업,2026-07-30,4.68,0,0,12,20,15,10,1,3,61,B,33
357780.KQ,357780,솔브레인,17462,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,225000.0,286825.0,360525.0,392558.3333333333,348922.5,-35.515766395116394,501000.0,-55.08982035928144,29.203539823006437,-33.53,-50.87,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-33.25,18.26,29.89,15.0,2.05,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,1.04,22.77,2350.0,179.98,OpenDART,6.42,2.0,False,4.0,OpenDART,,4.0,,,549250.0,,,144.11,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,3,2,2,2,,,,-22.12,기타 화학제품 제조업,기타 화학제품 제조업,2026-07-30,4.68,8,3,6,0,0,0,3,3,23,D,34
080220.KQ,080220,제주반도체,17255,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,50100.0,77055.0,89221.66666666667,66579.58333333333,49199.75,1.8297857204558967,134000.0,-62.61194029850746,36.3366336633613,-51.5,-4.39,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,102.29,22.3,0.58,16.76,6.08,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,0.16,,,2.65,2.73,5,2,4,4,129.43,,,53.63,반도체 제조업,반도체 제조업,2026-07-30,4.68,8,0,16,20,15,10,5,1,75,A,35
068760.KQ,068760,셀트리온제약,17183,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,38600.0,39995.0,44293.333333333336,53347.5,56446.28,-31.616397041576523,95047.0,-59.388513051437705,41.91919191913264,-6.54,-31.19,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,76.47,119.93,5.08,44.08,4.04,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.52,,200.0,86.85,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,OFS,11011.0,OpenDART,0.58,2025.0,11011.0,4.66,7.95,7,5,6,6,-13.3,20.08,119.52,34.91,의약품 제조업,의약품 제조업,2026-07-30,4.68,0,0,6,20,15,10,5,3,59,B,36
058610.KQ,058610,에스피지,17032,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,76600.0,72510.0,95763.33333333333,110195.83333333333,91570.0,-16.348148957082014,158100.0,-51.54965211891208,52.83687943261536,-5.9,-39.97,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-30.29,103.2,8.34,154.57,5.48,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,0.0,True,4.0,OpenDART,,4.0,,,160000.0,,,108.88,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,-8.86,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-30,4.68,0,0,0,0,0,0,5,3,8,D,37
005290.KQ,005290,동진쎄미켐,16896,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,33400.0,43385.0,53022.5,52387.083333333336,47301.0,-29.38838502357244,66000.0,-49.3939393939394,34.66872110938412,-40.88,-40.99,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-35.98,13.86,13.87,16.83,1.92,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1469.19,937.43,3261.37,8654.98,-5393.61,1.95,33.71,650.0,334.0,OpenDART,71.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-27,2025.0,CFS,11014.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,-11.78,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-30,4.68,8,3,6,0,0,0,3,3,23,D,38
031980.KQ,031980,피에스케이홀딩스,16646,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,78000.0,123240.0,125431.66666666667,112410.0,87699.5,-11.059926225349061,166500.0,-53.153153153153156,36.878453038670465,-53.15,-37.25,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-4.32,11.02,7.37,12.0,3.26,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,1.38,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,145.64,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,2025.0,11011,5.58,7.42,20,15,19,19,-41.58,30.0,-60.0,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,12,0,16,0,15,0,5,3,51,C,39
067310.KQ,067310,하나마이크론,16456,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,24750.0,35772.5,43135.0,38572.5,33725.0,-26.612305411415864,56800.0,-56.426056338028175,32.197614991466764,-51.75,-37.66,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,44.79,21.94,10.0,3.49,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.28,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,,4.0,,,62000.0,,,150.51,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,2025.0,11011,3.94,2.73,5,2,4,4,-11.42,,,,반도체 제조업,반도체 제조업,2026-07-30,4.68,12,0,6,0,0,0,3,3,24,D,40
140860.KQ,140860,파크시스템스,15895,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,229000.0,257650.0,267558.3333333333,265987.5,253895.0,-9.805234447310896,339500.0,-32.54786450662739,29.431438127087546,-14.39,-20.76,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-19.61,42.01,38.18,32.0,6.88,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.22,10.1,500.0,34.76,OpenDART,7.72,5.0,False,5.0,OpenDART,,4.0,,,361125.0,,,57.7,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,2025.0,11011,,,2,1,1,1,,,,18.19,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-30,4.68,0,0,16,0,12,0,3,5,36,D,41
131290.KQ,131290,티에스이,15884,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,145000.0,233525.0,223333.33333333334,169196.66666666666,124632.5,16.34204561410547,284500.0,-49.03339191564148,34.07290015847671,-47.46,-14.1,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-10.0,1517.12,11.16,15.0,4.58,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.31,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,4.0,,,336667.0,,,132.18,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-30,4.68,8,0,12,0,15,0,3,3,41,C,42
140410.KQ,140410,메지온,15609,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,51000.0,55190.0,63860.0,87243.33333333333,85487.5,-40.34215528586051,172700.0,-70.46902142443544,45.36340852128735,-17.21,-41.85,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,,25.26,,118.82,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,,,,14.49,-18.83,8,2,7,7,720.01,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,43
064760.KQ,064760,티씨케이,15449,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,139800.0,209900.0,257141.66666666666,248879.16666666666,214640.5,-34.867837150957065,348500.0,-59.885222381635586,18.99717514124106,-51.37,-52.45,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-2.77,18.81,68.16,17.0,3.52,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,1.02,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,5.0,OpenDART,,4.0,,,385000.0,,,175.39,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,6.91,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-07-30,4.68,8,0,12,0,4,0,1,3,28,D,44
098460.KQ,098460,고영,15380,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,22550.0,26382.5,32438.333333333332,31681.666666666668,28122.6,-19.815379801298597,43500.0,-48.160919540229884,44.50980392154419,-32.99,-43.98,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,-29.74,61.63,24.32,31.0,4.38,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.62,62.8,140.0,92.63,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,46750.0,,,107.32,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.58,8.9,20,15,19,19,-21.51,28.0,10.71,-17.9,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,3,8,D,45
041510.KQ,041510,에스엠,15247,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,66400.0,72600.0,78525.0,88916.66666666667,98699.5,-32.72508979275477,153000.0,-56.60130718954248,37.499999999983594,-9.54,-31.26,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,1844.22,43.74,32.41,12.0,1.52,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.44,10.7,1620.0,370.89,OpenDART,10.52,5.0,True,5.0,OpenDART,,4.0,,,118167.0,,,77.96,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,0.01,2025.0,11011,,,3,2,2,2,,,,103.18,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-30,4.68,12,6,20,20,15,10,5,3,91,S,46
035900.KQ,035900,JYP Ent.,14923,우량기업부,오디오물 출판 및 원판 녹음 관련 제품,KOSDAQ,주권,KRX,41850.0,48092.5,53617.5,59334.583333333336,64215.25,-34.82856486582237,85100.0,-50.82256169212691,29.700272479541383,-21.33,-33.47,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,64.27,25.19,18.99,12.0,2.47,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,2.1,18.1,877.0,290.58,OpenDART,64.23,2.0,False,2.0,OpenDART,,4.0,,,87000.0,,,107.89,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.19,2025.0,11011.0,,,3,2,2,2,,,,23.33,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-30,4.68,12,3,20,20,12,10,3,3,83,A,47
007390.KQ,007390,네이처셀,14691,중견기업부,닥터쥬크르,KOSDAQ,주권,KRX,21350.0,23847.5,24961.0,22567.666666666668,22727.25,-6.0599060599060595,37800.0,-43.51851851851852,34.98622589528982,-7.78,11.49,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,1126.55,6.85,,23.19,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,,,9.81,-23.48,8,2,7,7,136.39,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-30,4.68,0,0,0,0,0,0,3,5,8,D,48
290650.KQ,290650,엘앤씨바이오,13889,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,51300.0,67710.0,73253.33333333333,76370.83333333333,69143.0,-25.80593841748261,118300.0,-56.63567202028741,28.77030162412059,-43.44,-18.83,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,192.78,8.73,21.74,,8.62,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.1,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3.56,9.66,7,6,6,6,142.13,23.54,,,의약품 제조업,의약품 제조업,2026-07-30,4.68,0,0,0,0,0,10,3,3,16,D,49
089970.KQ,089970,브이엠,13321,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,51200.0,88050.0,79075.0,60769.166666666664,46823.6,9.346568824268108,119700.0,-57.22639933166249,33.89982110911919,-57.23,-4.12,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,29.68,11.31,19.0,8.0,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,1.0,OpenDART,,4.0,,,123333.0,,,140.88,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,5.39,7.42,20,15,19,19,48.42,30.0,-36.67,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,4,0,16,0,0,0,3,3,26,D,50
032820.KQ,032820,우리기술,13282,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,7740.0,10122.0,13877.333333333334,16723.916666666668,11875.025,-34.82118985012663,29300.0,-73.58361774744027,37.51351351345674,-38.33,-64.17,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,-84.85,398.75,6.51,48.76,10.21,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,,,2,1,1,1,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,51
096530.KQ,096530,씨젠,13134,우량기업부,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",KOSDAQ,주권,KRX,25100.0,27785.0,28508.333333333332,26479.166666666668,25923.25,-3.175720636880021,35150.0,-28.591749644381224,41.86046511623364,-12.54,2.24,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,7007.69,906.71,18.3,20.01,1.12,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,1493.34,1088.69,2255.72,2199.82,55.9,3.98,95.5,1000.0,461.18,OpenDART,7.72,5.0,True,5.0,OpenDART,,4.0,,,44500.0,,,77.29,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,0.0,2025.0,11011,,,3,1,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-30,4.68,4,8,0,0,0,10,5,5,32,D,52
060370.KQ,060370,LS마린솔루션,12328,우량기업부,해저케이블등의 건설 및 유지보수 업무,KOSDAQ,주권,KRX,24150.0,27282.5,31421.666666666668,31167.083333333332,29968.25,-19.41471390555004,50100.0,-51.796407185628745,41.38817480716815,-18.0,-36.7,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-51.36,69.69,2.14,94.96,1.99,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,199.34,-565.57,735.64,1109.64,-374.0,,97.5,,81.43,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,44000.0,,,82.19,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,1,0,0,0,,,,-28.93,전기 및 통신 공사업,전기 및 통신 공사업,2026-07-30,4.68,0,3,0,0,0,0,5,3,11,D,53
089030.KQ,089030,테크윙,11820,중견기업부,"반도체테스트핸들러,C.O.K(Change Over Kit)",KOSDAQ,주권,KRX,31900.0,44157.5,51765.0,52513.75,52227.0,-38.92048174315967,71100.0,-55.13361462728551,40.95808383232159,-45.38,-44.33,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,181.67,15.11,259.35,5.58,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.41,49.4,130.0,46.46,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,2025.0,11011,5.39,8.9,20,15,19,19,3.53,28.0,826.25,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,3,8,D,54
0009K0.KQ,0009K0,에임드바이오,11576,기술성장기업부,ADC 기반 항암제,KOSDAQ,주권,KRX,17930.0,22027.0,28914.833333333332,41114.5,,,72500.0,-75.26896551724138,31.438127090271564,-33.35,-61.73,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,626.65,1.96,306.52,7.13,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,21.34,-31.49,8,1,7,7,-66.59,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,6,0,0,0,3,1,10,D,55
