yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,14264919,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,251500.0,300975.0,292800.0,238774.16666666666,185986.0,35.225232006710186,362500.0,-30.620689655172413,32.826086956519745,-28.95,17.25,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.66,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.21,75.51,2025.0,11011.0,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-20,4.25,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12572069,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1841000.0,2326300.0,2045716.6666666667,1489300.0,1115255.0,65.07435519231028,2919000.0,-36.930455635491604,29.21077959576496,-33.39,57.89,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,116.89,8.72,49.87,6.0,7.76,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.16,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.05,,2025.0,11011.0,1,0,0,0,,,,,,반도체 제조업,반도체 제조업,2026-07-20,4.25,15,0,20,20,0,10,3,5,73,A,2
402340.KS,402340,SK스퀘어,1553150,,지주회사,KOSPI,주권,KRX,1253000.0,1520350.0,1273633.3333333333,915558.3333333334,670284.5,86.93554751750936,1970000.0,-36.39593908629442,35.01618122977315,-29.61,78.74,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,143.06,4.22,45.59,4.0,4.35,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,51.64,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,0.03,,,,18,17,17,16,8.0,1.04,8.82,-50.0,318.27,기타 금융업,기타 금융업,2026-07-20,4.25,15,0,20,20,0,10,5,5,75,A,3
005935.KS,005935,삼성전자우,1357612,,,KOSPI,주권,KRX,169200.0,199505.0,193380.0,161169.16666666666,129336.5,30.82153916334523,235000.0,-28.000000000000004,35.19713261648393,-23.78,15.57,daily_close,NXT 미확인,2026-07-20 22:35 KST,,,32.61,21.95,46.58,4.0,2.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,513958.0,,,203.76,,,Naver/FnGuide,,,2026-07-14,,,,,0.12,75.51,,,2,1,1,1,,,,,,,,2026-07-20,4.25,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,952344,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1332000.0,1753000.0,1494650.0,953287.5,667451.5,99.56506203072433,2270000.0,-41.3215859030837,28.062104657849105,-41.32,95.88,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,3.96,23.43,40.11,75.0,9.92,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,18.94,29.21,2025.0,11011.0,7,6,6,6,29.0,4.84,5.76,158.62,104.96,전자부품 제조업,전자부품 제조업,2026-07-20,4.25,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,816983,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,404000.0,475575.0,575491.6666666666,543020.8333333334,438352.5,-7.836729572661271,750000.0,-46.13333333333333,22.928176795578338,-34.09,-23.34,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-23.26,5.89,25.01,11.0,0.97,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.48,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,-9.97,2025.0,11011.0,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-20,4.25,12,8,6,0,0,0,1,3,30,D,6
373220.KS,373220,LG에너지솔루션,742950,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,321500.0,345100.0,403500.0,400133.3333333333,406440.0,-20.898533608896763,514000.0,-37.45136186770428,25.297619047616934,-20.52,-25.06,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,80.86,5.53,-208.0,3.53,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,549591.0,,,70.95,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,,3,2,2,2,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-20,4.25,0,0,0,0,0,0,3,5,8,D,7
207940.KS,207940,삼성바이오로직스,622613,,바이오의약품,KOSPI,주권,KRX,1358000.0,1377300.0,1398200.0,1525375.0,1599820.89,-15.115497710496825,1965000.0,-30.890585241730278,37.22084367245529,-1.16,-15.39,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,74.57,82.79,12.76,33.0,8.17,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.44,48.49,,,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.25,0,0,16,20,15,10,5,5,71,A,8
032830.KS,032830,삼성생명,603000,,"생명보험,부동산 임대",KOSPI,주권,KRX,308000.0,376600.0,354033.3333333333,284711.6666666667,233731.0,31.775417039245973,497000.0,-38.028169014084504,26.008968609863842,-38.03,21.5,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,2.9,10.22,2025.0,11011.0,3,2,2,2,,,,,,보험업,보험업,2026-07-20,4.25,0,8,0,0,8,5,3,5,29,D,9
105560.KS,105560,KB금융,598712,,-,KOSPI,주권,KRX,170400.0,166930.0,160898.33333333334,155919.16666666666,142574.0,19.516882461037778,186200.0,-8.485499462943071,62.905982905967846,7.64,5.9,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,18.98,6.51,79.39,10.0,1.08,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.56,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,220842.0,,,29.6,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.53,15.41,2025.0,11011.0,18,17,17,16,7.0,1.04,8.82,42.86,3.85,기타 금융업,기타 금융업,2026-07-20,4.25,12,8,6,20,12,8,3,0,69,B,10
000270.KS,000270,기아,546578,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,141000.0,145055.0,156563.33333333334,158910.0,142536.0,-1.0776224953695908,206000.0,-31.55339805825243,49.61439588688054,-8.97,-10.42,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-21.72,5.03,38.85,7.0,0.94,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.82,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,232174.0,,,64.66,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,-6.31,2025.0,11011.0,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-20,4.25,15,8,12,0,0,0,5,5,45,C,11
028260.KS,028260,삼성물산,514882,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,327500.0,423400.0,412250.0,354937.5,304944.5,7.396591838842806,535000.0,-38.78504672897196,23.670668953686686,-33.37,9.17,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,15.35,12.4,30.76,22.0,0.91,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.85,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,585385.0,,,78.74,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,1.43,9.45,2025.0,11011.0,1,0,0,0,,,,,,기타 전문 도매업,기타 전문 도매업,2026-07-20,4.25,4,8,6,10,8,8,1,5,50,C,12
055550.KS,055550,신한지주,483198,,금융지주회사,KOSPI,주권,KRX,102500.0,102250.0,99568.33333333333,96412.5,88273.5,16.11638827054552,109200.0,-6.135531135531135,58.59872611462355,1.59,2.5,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,15.39,5.95,61.5,9.0,0.87,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.53,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.58,9.58,2025.0,11011.0,18,17,17,16,7.0,1.08,9.04,28.57,-19.44,기타 금융업,기타 금융업,2026-07-20,4.25,12,8,6,20,8,8,3,0,65,B,13
329180.KS,329180,HD현대중공업,470751,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,453000.0,547150.0,628400.0,586787.5,572097.5,-20.817692788379603,745000.0,-39.19463087248322,19.789473684209355,-32.08,-13.55,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.25,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,,,,,,,,,,,,,,,,,,0.17,651.55,2025.0,11011.0,3,2,2,2,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-20,4.25,4,0,16,20,15,10,1,5,71,A,14
012450.KS,012450,한화에어로스페이스,451179,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,885000.0,1028300.0,1171450.0,1255225.0,1147810.0,-22.896646657547855,1537000.0,-42.42029928432011,39.25925925925844,-21.12,-37.89,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-38.13,15.96,45.35,21.0,4.52,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.79,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1736111.0,,,96.17,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,,34.11,2025.0,11011,2,1,1,1,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-20,4.25,4,0,16,0,15,0,5,5,45,C,15
012330.KS,012330,현대모비스,428711,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,476500.0,495925.0,551633.3333333334,489625.0,427185.0,11.544178751594742,768000.0,-37.95572916666667,41.24629080118352,-22.14,13.45,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-8.74,7.12,37.16,10.0,0.83,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.36,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,774800.0,,,62.6,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,,4.5,2025.0,11011,1,0,0,0,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-20,4.25,12,8,6,0,4,0,5,5,40,C,16
034730.KS,034730,SK,419790,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,597000.0,682200.0,601925.0,471316.6666666667,383607.5,55.62782270941001,858000.0,-30.419580419580424,30.711610486890578,-17.54,58.36,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,11.73,29.84,5.0,1.08,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.34,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,853692.0,,,43.0,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,,,2025.0,11011,18,17,17,16,8.0,1.04,9.04,-37.5,3.85,기타 금융업,기타 금융업,2026-07-20,4.25,15,8,6,0,0,0,3,5,37,D,17
034020.KS,034020,두산에너빌리티,415083,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,65700.0,81120.0,101113.33333333333,99710.83333333333,91194.0,-27.955786564905587,136400.0,-51.832844574780054,21.707317073163324,-32.89,-40.81,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,23.18,,,1,0,0,0,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-20,4.25,0,0,0,0,12,0,1,3,16,D,18
068270.KS,068270,셀트리온,401387,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,172400.0,173955.0,179162.63333333333,190751.76666666666,185104.82,-6.863581402148257,236861.0,-27.214695538733686,42.14285714284309,1.23,-11.98,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,148.85,65.74,24.54,27.0,2.25,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,265398.0,,,53.94,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,0.18,15.32,2025.0,11011.0,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.25,0,3,6,20,12,10,5,5,61,B,19
086790.KS,086790,하나금융지주,366006,,기타 금융,KOSPI,주권,KRX,132800.0,123200.0,122248.33333333333,118061.66666666667,107422.5,23.6240080057716,136800.0,-2.923976608187134,75.40983606554492,7.53,8.23,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,9.62,4.94,68.28,8.0,0.79,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.09,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.83,10.23,2025.0,11011.0,18,17,17,16,7.0,1.08,8.82,14.29,-26.85,기타 금융업,기타 금융업,2026-07-20,4.25,15,10,6,16,8,5,1,0,61,B,20
