yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
100790.KQ,100790,미래에셋벤처투자,9078,우량기업부,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,KOSDAQ,주권,KRX,17140.0,15714.0,15624.166666666666,29575.416666666668,24478.75,-29.980084767400296,67400.0,-74.56973293768546,57.42187499989532,8.96,-15.57,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,263.75,20.88,4.11,14.95,1.98,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,2398.48,351.16,309.3,14.64,12.9,488.15,486.97,724.58,7218.06,-6493.48,,,,,,,0.0,,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,0.06,,,,,,3,2,2,2,,,12.85,기타 금융업,기타 금융업,2026-09-17,4.25,8,3,6,20,8,10,3,1,59,B,84
458870.KQ,458870,씨어스,9049,기술성장기업부,심전도검사솔루션 입원환자모니터링솔루션,KOSDAQ,주권,KRX,23550.0,22115.0,26860.833333333332,33560.416666666664,38752.44,-39.229633024397955,63034.0,-62.63921058476378,61.240310077386454,2.17,-18.93,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,102.08,4.85,16.0,12.51,52.78,36.81,495.06,,,-,481.71,163.27,160.46,33.89,33.31,20.86,4.54,110.96,145.84,-34.88,,,,,,,,,,,,4.0,,,43750.0,,,85.77,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,,,,,,,3,1,2,2,,,,의료용 기기 제조업,의료용 기기 제조업,2026-09-17,4.25,8,0,20,0,0,0,3,1,32,D,85
417200.KQ,417200,LS머트리얼즈,8896,중견기업부,울트라커패시터(셀 및 모듈),KOSDAQ,주권,KRX,13160.0,11437.5,12007.5,16779.0,16123.45,-18.379751231901366,31250.0,-57.888,66.52360515001473,12.29,-12.73,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,1535.82,-1.42,-10.07,-0.09,-0.66,56.41,-180.83,574.27,684.56,-110.29,0.17,,22.0,14.88,OpenDART,,1.0,,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,,2025.0,11011,21.0,5.21,15.99,9,6,7,7,,,,전자부품 제조업,전자부품 제조업,2026-09-17,4.25,0,0,0,0,0,0,1,3,4,D,86
356860.KQ,356860,티엘비,8887,우량기업부,SSD Module / DRAM Module PCB,KOSDAQ,주권,KRX,38050.0,37950.0,34545.2,39286.325,35271.725,7.876776653254133,62887.0,-39.49464913257112,43.775100401557204,9.97,-5.41,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,426.04,64.33,4.71,18.0,5.54,15.99,95.41,43.61,664.71,175.65,117 -> 169 -> 889,2585.0,260.0,190.0,10.06,7.35,81.85,-286.99,245.12,1202.53,-957.41,,22.97,,43.75,OpenDART,,0.0,,1.0,OpenDART,,4.0,,,58375.0,,,53.42,,,Naver/FnGuide,,KRW,2026-09-04,2025.0,CFS,11011.0,OpenDART,0.04,2025.0,11011.0,24.0,5.11,14.92,9,5,6,6,-25.0,8.41,175.65,전자부품 제조업,전자부품 제조업,2026-09-17,4.25,8,0,16,20,15,10,5,5,79,A,87
950260.KQ,950260,인제니아테라퓨틱스(Reg.S),8865,기술성장기업부,"IGT-427(안구망막질환 치료제), IGT-302(녹내장 치료제), IGT-303(만성신장질환치료제)",KOSDAQ,주식예탁증권,KRX,17520.0,16411.5,,,,,19290.0,-9.17573872472784,48.13374805593516,-4.42,,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-18,,,,,,,,,31.43,-31.49,10,2,9,9,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-17,4.25,0,0,0,0,0,0,5,0,5,D,88
101490.KQ,101490,에스앤에스텍,8715,우량기업부,블랭크마스크,KOSDAQ,주권,KRX,41200.0,41110.0,43515.833333333336,62590.416666666664,65543.0,-37.14050318111774,105100.0,-60.79923882017126,49.99999999995652,-4.74,-24.54,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,91.27,24.46,12.13,14.11,2.6,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,2437.33,503.9,580.93,20.67,23.83,468.82,-175.92,800.1,887.84,-87.74,0.49,7.2,200.0,41.66,OpenDART,10.06,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.15,2025.0,11011.0,24.0,5.38,12.3,9,5,6,6,-41.21,-51.67,50.19,전자부품 제조업,전자부품 제조업,2026-09-17,4.25,8,3,20,20,15,10,5,1,82,A,89
083450.KQ,083450,GST,8579,우량기업부,"GasScrubber,Chiller",KOSDAQ,주권,KRX,46850.0,44387.5,45598.333333333336,46874.583333333336,39317.25,19.158893361056535,66500.0,-29.54887218045113,56.09756097557144,2.18,-5.92,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,0.82,8.6,22.49,14.24,2.39,16.15,26.8,4.14,1.02,13.24,1916 -> 2437 -> 2457,3471.59,591.72,455.84,17.04,13.13,415.92,286.86,718.89,816.55,-97.66,1.39,25.68,650.0,116.27,OpenDART,29.4,5.0,True,5.0,OpenDART,,4.0,,,65000.0,,,38.74,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,17.37,2025.0,11011.0,32.0,5.79,8.16,20,17,18,18,-55.5,-58.72,13.24,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-17,4.25,8,3,16,0,8,2,3,5,45,C,90
099320.KQ,099320,쎄트렉아이,8574,우량기업부,"인공위성시스템, 위성지상국, 위성부분품 개발 및 제조",KOSDAQ,주권,KRX,79000.0,71830.0,76265.0,114486.66666666667,120859.75,-34.63497980096765,214000.0,-63.084112149532714,59.41422594138779,4.91,-12.12,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,2069.17,101.8,140.86,4.92,6.81,-740.17,-991.2,759.46,1739.99,-980.53,0.13,,100.0,10.95,OpenDART,,3.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,1,0,0,0,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-09-17,4.25,0,0,0,0,0,0,3,1,4,D,91
014620.KQ,014620,성광벤드,8551,우량기업부,관이음쇠,KOSDAQ,주권,KRX,32400.0,30902.5,27963.333333333332,32202.916666666668,31523.5,2.780465367107079,48300.0,-32.91925465838509,52.53456221191378,34.16,7.28,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,-11.68,15.11,35.34,20.0,1.44,6.45,7.42,7.91,0.0,-3.72,1370 -> 1438 -> 1270,2456.7,419.56,344.32,17.08,14.02,378.8,324.24,558.16,407.71,150.45,0.62,15.4,200.0,53.11,OpenDART,25.99,5.0,False,5.0,OpenDART,,4.0,,,44333.0,,,36.83,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,1,0,0,0,,,-3.72,1차 철강 제조업,1차 철강 제조업,2026-09-17,4.25,4,6,6,0,0,0,5,5,26,D,92
065350.KQ,065350,신성델타테크,8478,우량기업부,"세탁기, 자동차, 에어컨 및 LCD 부품",KOSDAQ,주권,KRX,30900.0,30305.0,29970.833333333332,40344.583333333336,49661.25,-37.77844899192026,121700.0,-74.60969597370584,51.412429378449744,3.0,-17.05,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,73.25,81.02,3.48,29.33,3.38,9.51,161.32,7.19,4.53,,456 -> 790,9453.64,276.9,242.07,2.93,2.56,143.76,-801.57,706.02,5756.98,-5050.96,0.39,13.6,120.0,32.98,OpenDART,0.0,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.4,2025.0,11011.0,,,,1,0,0,0,,,,가정용 기기 제조업,가정용 기기 제조업,2026-09-17,4.25,0,0,6,20,0,10,5,1,42,C,93
119850.KQ,119850,지엔씨에너지,8438,우량기업부,"비상발전기, 소형열병합발전설비, 바이오가스발전설비",KOSDAQ,주권,KRX,51200.0,47827.5,40538.0,35044.333333333336,34891.85,46.73913822282281,55400.0,-7.581227436823104,48.251748251724635,2.2,159.9,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,2626.34,493.72,400.17,18.8,15.24,410.79,372.73,779.47,1493.04,-713.57,,6.1,,24.25,OpenDART,,,,,,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,,2025.0,11011,,,,3,2,2,2,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-09-17,4.25,0,0,0,0,0,0,5,0,5,D,94
115180.KQ,115180,큐리언트,8407,벤처기업부,저분자 혁신신약,KOSDAQ,주권,KRX,22350.0,22612.5,21197.833333333332,26631.0,29305.35,-23.734062210483746,50900.0,-56.09037328094303,57.40072202160263,-14.2,5.92,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,3.87,,50.88,-71.44,58.18,-23.91,,,-,69.83,-297.64,-312.62,-426.24,-447.69,-286.73,-323.69,210.36,228.03,-17.67,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,,,,21.36,-25.16,10,2,8,8,,138.2,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-17,4.25,0,0,0,0,0,0,3,3,6,D,95
036830.KQ,036830,솔브레인홀딩스,8365,우량기업부,"반도체,디스플레이,2차전지 공정용 화학제품",KOSDAQ,주권,KRX,41100.0,42482.5,37347.5,45667.916666666664,45781.5,-10.225746207529243,79600.0,-48.366834170854275,39.525691699561,5.38,8.87,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,731.47,8.24,6.34,1.52,0.46,32.06,36.52,28.34,-72.01,131.39,4342 -> 2796 -> 23248,5566.47,88.6,4955.58,1.59,89.03,465.52,119.91,2176.39,7112.09,-4935.7,1.22,2.06,500.0,100.41,OpenDART,43.28,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,0.0,2025.0,11011,,,,1,0,0,0,,,131.39,회사 본부 및 경영 컨설팅 서비스업,회사 본부 및 경영 컨설팅 서비스업,2026-09-17,4.25,15,10,20,0,15,10,5,3,78,A,96
122870.KQ,122870,와이지엔터테인먼트,8242,우량기업부,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트",KOSDAQ,주권,KRX,44200.0,41810.0,41169.166666666664,45262.5,53829.5,-17.888889920954124,107400.0,-58.84543761638734,68.47290640384645,9.68,5.62,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,99.19,32.29,10.59,17.0,1.55,7.41,28.88,49.47,,-22.48,3285 -> 991 -> 1974,5454.04,713.42,537.45,13.08,9.85,909.09,822.28,1682.2,1879.34,-197.14,0.68,15.08,300.0,55.64,OpenDART,6.27,5.0,True,5.0,OpenDART,,4.0,,,61000.0,,,38.01,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,0.17,2025.0,11011.0,,,,3,2,2,2,,,-22.48,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-09-17,4.25,8,6,6,20,0,10,1,3,54,C,97
035760.KQ,035760,CJ ENM,8223,중견기업부,"의류, 생활주방, 가전제품, 보석, 기타",KOSDAQ,주권,KRX,37650.0,34075.0,32715.0,39933.333333333336,50248.5,-25.0723902206036,81800.0,-53.97310513447433,71.62162162153129,15.49,13.92,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,51345.11,1328.88,170.14,2.59,0.33,11663.75,2073.0,7820.51,52209.25,-44388.74,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011,OpenDART,,,,,,,1,0,0,0,,,,텔레비전 방송업,텔레비전 방송업,2026-09-17,4.25,0,0,0,0,0,0,1,3,4,D,98
445680.KQ,445680,큐리옥스바이오시스템즈,8216,기술성장기업부,세포 전처리 자동화기기 등,KOSDAQ,주권,KRX,47100.0,49902.5,44140.833333333336,64751.25,81948.75,-42.525053768361325,139600.0,-66.26074498567334,30.7692307692071,5.25,11.61,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,7.12,,16.74,-53.58,47.75,13.04,,,-,51.52,-123.14,-271.78,-239.01,-527.52,-111.09,-112.45,147.85,252.18,-104.33,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,,,,,,3,2,2,2,,,,의료용 기기 제조업,의료용 기기 제조업,2026-09-17,4.25,0,0,0,0,0,0,3,1,4,D,99
388720.KQ,388720,유일로보틱스,8199,벤처기업부,"취출로봇, 사출장비 및 자동화시스템",KOSDAQ,주권,KRX,70500.0,66870.0,67208.33333333333,79600.83333333333,88301.0,-20.15945459281322,150700.0,-53.21831453218314,55.81395348834613,0.28,1.29,daily_close,NXT 미확인,2026-09-18 00:49 KST,,,,,,,,,,,,,-,369.18,-126.2,-246.7,-34.18,-66.82,-112.68,-195.79,28.12,185.17,-157.05,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-16,2025.0,OFS,11011.0,OpenDART,,,,31.0,5.54,8.9,20,18,19,19,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-17,4.25,0,0,0,0,0,0,3,3,6,D,100
