yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,12189490,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,214000.0,269100.0,295608.3333333333,244048.33333333334,191659.0,11.656640178650624,362500.0,-40.96551724137931,32.30769230768999,-35.93,-5.31,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,32.61,21.95,46.71,5.0,3.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.78,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,513958.0,,,140.17,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,75.51,2025.0,11011.0,2,1,1,1,0.15,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-29,4.63,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,10234198,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1410000.0,1985750.0,2101250.0,1544391.6666666667,1163487.5,21.187378463455776,2919000.0,-51.69578622816034,31.3019390581715,-46.79,9.05,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,116.89,8.72,52.39,5.0,6.68,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.21,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3632609.0,,,157.63,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,1,0,0,0,0.04,,,,,,반도체 제조업,반도체 제조업,2026-07-29,4.63,15,0,20,20,0,10,3,3,71,A,2
005935.KS,005935,삼성전자우,1230837,,,KOSPI,주권,KRX,153400.0,184890.0,195555.0,164790.0,133142.5,15.214901327525022,235000.0,-34.72340425531915,37.14504988487705,-27.64,-6.18,daily_close,NXT 미확인,2026-07-29 22:23 KST,,,32.61,21.95,46.54,3.0,2.13,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,513958.0,,,235.04,,,Naver/FnGuide,,,2026-07-29,,,,,75.51,,,2,1,1,1,0.09,,,,,,,,2026-07-29,4.63,15,3,12,20,15,10,5,5,85,S,3
402340.KS,402340,SK스퀘어,1121646,,지주회사,KOSPI,주권,KRX,851000.0,1276700.0,1313016.6666666667,952333.3333333334,701340.0,21.339150768528818,1970000.0,-56.80203045685279,33.74613003095939,-49.85,2.53,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,143.06,4.22,45.57,3.0,3.11,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,123.27,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011,OpenDART,,,,18,17,17,16,0.02,8.0,0.97,8.82,-62.5,220.62,기타 금융업,기타 금융업,2026-07-29,4.63,15,0,20,20,0,10,3,3,71,A,4
009150.KS,009150,삼성전기,768598,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1050000.0,1478150.0,1549500.0,1011208.3333333334,704939.0,48.94905800360031,2270000.0,-53.74449339207048,32.850609756097214,-51.92,26.96,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,3.96,23.43,39.39,64.0,8.58,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.22,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2503333.0,,,138.41,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,29.21,2025.0,11011.0,6,5,5,5,16.16,39.0,2.38,6.14,64.1,260.5,전자부품 제조업,전자부품 제조업,2026-07-29,4.63,0,0,6,0,15,2,3,3,29,D,5
005380.KS,005380,현대차,723818,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,355500.0,435275.0,558883.3333333334,536195.8333333334,444630.0,-20.04588084474732,750000.0,-52.6,25.45045045044884,-28.18,-36.06,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,-23.26,5.89,24.96,10.0,0.8,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.81,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,724000.0,,,103.66,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,-9.97,2025.0,11011.0,2,1,1,1,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-29,4.63,12,10,6,0,0,0,3,3,34,D,6
373220.KS,373220,LG에너지솔루션,703170,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,302000.0,330300.0,385900.0,394862.5,405427.5,-25.510726332081568,514000.0,-41.245136186770424,44.642857142852684,-16.57,-36.15,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,,80.86,5.53,-208.0,3.53,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,549591.0,,,81.98,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-29,4.63,0,0,0,0,0,0,5,5,10,D,7
207940.KS,207940,삼성바이오로직스,684643,,바이오의약품,KOSPI,주권,KRX,1481000.0,1413100.0,1390866.6666666667,1505541.6666666667,1598339.535,-7.3413397110270395,1965000.0,-24.631043256997458,60.66176470588079,6.47,0.54,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,74.57,82.79,12.93,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2010909.0,,,35.78,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,48.49,,,2,1,1,1,0.51,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-29,4.63,0,0,16,20,15,10,3,5,69,B,8
105560.KS,105560,KB금융,567855,,-,KOSPI,주권,KRX,163800.0,172850.0,162311.66666666666,157865.0,144514.0,13.345419820917003,186200.0,-12.030075187969924,41.166936790914484,3.02,1.99,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,18.98,6.51,79.39,10.0,1.08,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.67,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,220842.0,,,34.82,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,15.41,2025.0,11011.0,18,17,17,16,0.53,8.0,0.97,8.82,25.0,11.34,기타 금융업,기타 금융업,2026-07-29,4.63,12,8,6,20,12,8,5,5,76,A,9
032830.KS,032830,삼성생명,531000,,"생명보험,부동산 임대",KOSPI,주권,KRX,273500.0,334000.0,360500.0,291823.3333333333,239073.0,14.400204121753607,497000.0,-44.969818913480886,30.50847457626911,-31.8,8.53,nxt_web_latest,NXT 체결가,2026-07-29 22:19 KST,,,9.3,9.99,23.4,22.0,0.69,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.79,,,408607.0,,,49.4,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,10.22,2025.0,11011.0,3,2,2,2,2.37,,,,,,보험업,보험업,2026-07-29,4.63,4,10,0,0,8,5,3,5,35,D,10
