yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,14849547,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,255000.0,280525.0,295933.3333333333,243170.0,190354.0,33.96093594040577,362500.0,-29.655172413793103,33.157894736839665,-24.89,13.59,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,32.61,21.95,46.71,5.0,3.53,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.65,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,513958.0,,,101.55,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011,OpenDART,0.15,2025.0,11011,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-27,4.25,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12942674,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1819000.0,2102100.0,2095283.3333333333,1533983.3333333333,1152160.0,57.87737814192473,2919000.0,-37.68413840356286,34.09776704888323,-31.95,40.79,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,116.89,8.72,52.5,6.0,8.27,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.16,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3547917.0,,,95.05,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,0.05,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-07-27,4.25,15,0,20,20,0,10,3,5,73,A,2
402340.KS,402340,SK스퀘어,1446263,,지주회사,KOSPI,주권,KRX,1096000.0,1354800.0,1310783.3333333333,946166.6666666666,694427.0,57.82796463847172,1970000.0,-44.36548223350254,34.30369787568806,-36.28,38.91,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,143.06,4.22,45.5,4.0,4.05,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,73.36,,,Naver/FnGuide,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,0.03,,,18,17,17,16,,8.0,0.97,8.82,-50.0,317.53,기타 금융업,기타 금융업,2026-07-27,4.25,15,0,20,20,0,10,3,5,73,A,3
005935.KS,005935,삼성전자우,1442663,,,KOSPI,주권,KRX,179800.0,190435.0,195753.33333333334,164139.16666666666,132243.0,35.96182784722065,235000.0,-23.48936170212766,37.37451737451333,-18.46,12.3,daily_close,NXT 미확인,2026-07-27 23:03 KST,,,32.61,21.95,46.76,4.0,2.46,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,513958.0,,,185.85,,,Naver/FnGuide,,,2026-07-24,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-07-27,4.25,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,989691,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1335000.0,1582100.0,1541550.0,998012.5,696170.5,91.76336831279119,2270000.0,-41.18942731277533,31.57509157509125,-33.02,68.14,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,3.96,23.43,39.8,84.0,11.15,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2503333.0,,,87.52,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,21.21,2025.0,11011.0,6,5,5,5,29.21,30.0,6.77,6.14,180.0,64.7,전자부품 제조업,전자부품 제조업,2026-07-27,4.25,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,825173,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,403500.0,449000.0,565441.6666666666,538720.8333333334,443190.0,-8.955526974886617,750000.0,-46.2,26.650943396224662,-16.02,-23.0,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,-23.26,5.89,25.15,11.0,0.95,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.48,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,3.96,,,772800.0,,,91.52,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-27,4.25,12,8,6,0,0,0,3,3,32,D,6
373220.KS,373220,LG에너지솔루션,779220,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,333500.0,337700.0,391408.3333333333,396804.1666666667,405857.5,-17.828301805436634,514000.0,-35.11673151750973,42.66211604095156,0.6,-28.12,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,,80.86,5.53,-208.0,3.53,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,549591.0,,,64.79,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-27,4.25,0,0,0,0,0,0,5,5,10,D,7
207940.KS,207940,삼성바이오로직스,715195,,바이오의약품,KOSPI,주권,KRX,1539000.0,1403650.0,1390016.6666666667,1510033.3333333333,1597939.05,-3.6884416836799905,1965000.0,-21.679389312977097,62.820512820511205,14.59,1.99,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,74.57,82.79,12.79,33.0,8.05,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2057368.0,,,33.68,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,0.44,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-27,4.25,0,0,16,20,15,10,3,5,69,B,8
032830.KS,032830,삼성생명,623000,,"생명보험,부동산 임대",KOSPI,주권,KRX,313500.0,346950.0,359725.0,290437.5,237857.0,31.801880962090667,497000.0,-36.9215291750503,30.2884615384595,-27.51,25.4,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,9.3,9.99,23.4,22.0,0.69,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.79,,,408607.0,,,30.34,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011,OpenDART,2.37,2025.0,11011,3,2,2,2,10.22,,,,,,보험업,보험업,2026-07-27,4.25,4,10,0,0,8,5,3,5,35,D,9
105560.KS,105560,KB금융,612191,,-,KOSPI,주권,KRX,172900.0,172220.0,162213.33333333334,157451.66666666666,144029.5,20.04485192269639,186200.0,-7.142857142857142,51.58286778397166,15.81,9.85,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,18.98,6.51,79.39,10.0,1.08,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.53,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,220842.0,,,27.73,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.53,2025.0,11011.0,18,17,17,16,15.41,8.0,0.97,8.82,25.0,11.34,기타 금융업,기타 금융업,2026-07-27,4.25,12,8,6,20,12,8,5,0,71,A,10
