yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
ORCL,ORCL,오라클,530.03,175.42,204.7054991912842,-14.306161440205756,328.3299865722656,-46.572044231668144,14.763731443192867,postMarketPrice,21.9,32.58,43.99,31.664946,15.797188,53.38,362.758,20.6,,18.9,3.07 -> 3.71 -> 4.34,,,,,,,,,,,1.45,18.9,2026-06-22,4.51,0,0,20,10,12,8,1,3,54,C,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,640.1799926757812,320.23690002441407,99.90825311729395,640.1799926757812,0.0,78.53804657516056,daily_close,33.5,18.76,85.13,58.163055,20.492462,39.69,30.399,11.4,,3.34,8.11 -> 8.61 -> 8.66,,,,,,,,,,,1.74,3.34,2026-06-22,4.51,0,0,20,5,4,10,1,0,40,C,19
CSCO,CSCO,시스코 시스템즈,471.16,121.52999877929688,82.91459995269776,46.57249609674165,130.0,-6.515385554387019,50.252393940963344,daily_close,37.1,18.51,82.86,39.84667,9.639545,25.23,67.541,12.0,,-7.8,3.07 -> 2.54 -> 2.61,,,,,,,,,,,1.07,-7.8,2026-06-22,4.51,0,0,20,10,0,10,5,0,45,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,1022.280029296875,673.3822991943359,51.812726666557104,1022.280029296875,0.0,72.52785556521899,daily_close,30.2,19.61,72.88,49.02138,24.334625,51.33,230.793,22.2,,-3.31,20.12 -> 22.05 -> 18.81,,,,,,,,,,,1.62,-3.31,2026-06-22,4.51,0,0,20,5,0,10,1,0,36,D,21
MA,MA,마스터카드,432.77,484.0899963378906,534.2707981872559,-9.39239090356899,598.9600219726562,-19.17824586296173,44.36362929543728,daily_close,21.2,35.12,91.55,28.327934,64.65021,232.08,282.059,15.8,,18.17,11.83 -> 13.89 -> 16.52,,,,,,,,,,,1.34,18.17,2026-06-22,4.51,0,0,20,10,12,8,5,5,60,B,22
COST,COST,코스트코,421.95,951.3499755859375,957.9553988647461,-0.6895334883687277,1094.3199462890625,-13.064732228261859,52.374477814008216,daily_close,45.5,45.01,73.79,47.835598,25.523098,29.15,60.257,21.5,,13.4,14.16 -> 16.56 -> 18.21,,,,,,,,,,,1.05,13.4,2026-06-22,4.51,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,57.369998931884766,52.268050060272216,9.761123412350956,57.369998931884766,0.0,83.75579223269625,daily_close,24.4,11.85,70.64,13.945409,1.4535484,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,,,,,,,,,,,0.57,11.22,2026-06-22,4.51,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,355.1199951171875,305.83015045166013,16.11673819364588,357.6400146484375,-0.7046246024028368,66.79506034806613,daily_close,-1.8,276.01,80.98,44.42733,20.664473,45.43,116.527,24.7,,-1.32,8.36 -> 5.99 -> 8.14,,,,,,,,,,,,-1.32,2026-06-22,4.51,0,0,20,0,0,0,1,0,21,D,25
UNH,UNH,유나이티드헬스,364.13,406.67999267578125,334.0486492919922,21.74274421936127,625.25,-34.95721828456118,69.03207418477525,daily_close,0.7,25.21,85.94,30.215523,3.7195497,12.18,73.982,2.0,,-25.54,23.86 -> 15.51 -> 13.23,,,,,,,,,,,43.17,-25.54,2026-06-22,4.51,0,0,12,0,0,2,1,5,20,D,26
MS,MS,Morgan Stanley,352.0,228.08,175.94099937438966,29.634366526850485,227.08999633789062,0.4359521238603334,65.1184563614883,postMarketPrice,31.9,15.4,62.76,20.196379,3.3722687,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,,,,,,,,,,,0.63,40.39,2026-06-22,4.51,4,0,16,20,15,10,1,0,66,B,27
PG,PG,프록터앤갬블,350.17,147.87,148.91520072937013,-0.7018764533444845,179.6999969482422,-17.71285336048724,66.38615650389539,postMarketPrice,5.8,,71.9,21.98538,6.515316,31.11,67.651,7.4,23.05,,-,,,,,,,,,,,3.79,,2026-06-22,4.51,4,0,20,0,0,5,1,5,35,D,28
CVX,CVX,쉐브론,345.8,175.3,171.87915016174315,1.9902645754518449,211.14999389648438,-16.97844893808508,34.22209503926513,postMarketPrice,-44.5,,70.53,30.196522,1.8688784,6.64,23.989,2.3,7.31,,-,,,,,,,,,,,,,2026-06-22,4.51,0,3,6,0,0,0,3,5,17,D,29
KO,KO,코카콜라,341.57,79.52999877929688,73.75775024414062,7.825955260362355,83.58999633789062,-4.857037607924129,53.22230098510177,daily_close,18.2,23.92,68.27,24.965408,10.15737,43.37,124.943,12.1,,10.94,2.47 -> 2.46 -> 3.04,,,,,,,,,,,1.37,10.94,2026-06-22,4.51,4,0,20,10,8,8,5,0,55,B,30
HD,HD,홈디포,333.32,326.6199951171875,358.28934967041016,-8.83904435963705,431.3699951171875,-24.28309831135641,62.5492479362286,daily_close,-4.3,,76.1,23.758352,24.021269,128.38,459.356,4.8,11.93,,-,,,,,,,,,,,,,2026-06-22,4.51,4,0,20,0,0,0,3,5,32,D,31
NFLX,NFLX,넷플릭스,325.83,72.87999725341797,98.0963899230957,-25.7057295273012,133.91299438476562,-45.57660547563035,17.39567213781808,daily_close,86.4,37.65,85.1,24.96129,10.472323,48.49,53.788,16.2,,45.02,1.2 -> 1.98 -> 2.53,,,,,,,,,,,0.29,45.02,2026-06-22,4.51,4,0,20,20,15,10,1,3,73,A,32
GS,GS,"Goldman Sachs Group, Inc. (The)",323.49,1106.3588,878.5209020996094,25.934260340974514,1106.3699951171875,-0.0010118782357560591,59.46292612937838,postMarketPrice,24.2,,74.64,20.039474,3.0778818,14.55,678.596,14.5,38.6,,-,,,,,,,,,,,0.83,,2026-06-22,4.51,4,0,12,16,0,8,3,0,43,C,33
TXN,TXN,Texas Instruments Incorporated,293.83,332.2799987792969,210.98355079650878,57.490950135623194,332.2799987792969,0.0,65.40523749900939,daily_close,31.3,,92.62,55.28424,17.511524,32.35,83.741,18.6,37.82,,-,,,,,,,,,,,1.77,,2026-06-22,4.51,0,0,20,5,0,10,1,0,36,D,34
PM,PM,Philip Morris International Inc,278.05,174.0,166.475,4.52019822796216,191.86000061035156,-9.308871340318316,50.67122246457879,postMarketPrice,-9.3,19.93,84.12,25.12676,-29.963049,,,9.1,36.04,20.26,5.02 -> 4.53 -> 7.26,,,,,,,,,,,,20.26,2026-06-22,4.51,0,0,0,0,12,0,5,0,17,D,35
WFC,WFC,Wells Fargo & Company,251.55,83.83999633789062,84.21775020599365,-0.44854424058949005,96.38999938964844,-13.02002607244086,69.51429978984186,daily_close,15.1,,78.74,12.704791,1.545287,12.03,,5.7,29.45,,-,,,,,,,,,,,0.84,,2026-06-22,4.51,8,6,12,16,0,8,1,5,56,B,36
RTX,RTX,RTX Corporation,249.94,181.8300018310547,182.56,-0.3998675333837176,212.16000366210938,-14.295815095930573,57.900337619140615,daily_close,32.5,,81.58,34.821766,3.771055,11.57,57.229,8.7,13.18,,-,,,,,,,,,,,1.07,,2026-06-22,4.51,0,0,12,10,0,10,3,5,40,C,37
QCOM,QCOM,QUALCOMM Incorporated,238.32,221.0,167.13704986572264,32.226816362709926,251.02000427246094,-11.959207936223589,47.436542065884645,postMarketPrice,173.0,19.11,84.88,24.339075,8.778244,36.08,55.979,-3.5,,-11.66,6.42 -> 8.97 -> 5.01,,,,,,,,,,,0.14,-11.66,2026-06-22,4.51,4,0,20,20,0,10,5,5,64,B,38
LIN,LIN,Linde plc,236.79,516.69,467.71090072631836,10.472088462685175,523.5700073242188,-1.3140568076807877,63.74645536096878,postMarketPrice,13.4,32.12,89.35,34.007305,6.143245,18.23,65.642,8.2,,7.72,12.59 -> 13.62 -> 14.61,,,,,,,,,,,2.54,7.72,2026-06-22,4.51,0,0,16,0,4,5,3,0,28,D,39
IBM,IBM,International Business Machines,234.13,252.22000122070312,273.48854972839354,-7.7767601344965245,329.2300109863281,-23.390944687853192,16.317672029802026,daily_close,14.2,36.69,65.59,22.024757,7.100305,35.77,211.169,9.5,,17.14,8.14 -> 6.43 -> 11.17,,,,,,,,,,,1.55,17.14,2026-06-22,4.51,4,0,20,5,12,5,1,5,52,C,40
AXP,AXP,American Express Company,230.63,338.01,337.5030503845215,0.1502059358873735,384.8900146484375,-12.18010674848455,67.57919064281914,postMarketPrice,17.6,18.87,65.32,21.098625,6.780885,34.42,177.847,11.6,,17.13,11.21 -> 14.01 -> 15.38,,,,,,,,,,,1.2,17.13,2026-06-22,4.51,4,0,20,10,12,8,1,5,60,B,41
MCD,MCD,McDonald's Corporation,197.95,270.1000061035156,305.0588996887207,-11.459719293840246,341.05999755859375,-20.805720976669882,42.679676595424674,daily_close,6.9,25.8,77.19,22.987623,-153.92818,,,9.4,44.25,1.67,11.56 -> 11.39 -> 11.95,,,,,,,,,,,3.33,1.67,2026-06-22,4.51,4,0,0,0,0,5,5,5,19,D,42
TMUS,TMUS,"T-Mobile US, Inc.",196.6,179.74,206.70574989318848,-13.045476435523707,272.8299865722656,-34.12014483518236,40.654718915430344,postMarketPrice,-12.0,32.59,44.02,19.306057,3.530315,18.02,218.569,10.6,,18.43,6.93 -> 9.66 -> 9.72,,,,,,,,,,,,18.43,2026-06-22,4.51,4,0,16,0,12,0,5,5,42,C,43
PEP,PEP,펩시코,194.13,140.64,150.1948497772217,-6.3616360956411295,179.3000030517578,-21.56162989054607,47.47349940263604,postMarketPrice,27.8,,80.91,22.26019,9.085792,43.88,244.837,8.5,16.96,,-,,,,,,,,,,,0.8,,2026-06-22,4.51,4,0,20,16,0,8,5,5,58,B,44
AMGN,AMGN,Amgen Inc.,182.21,344.7200012207031,332.180901184082,3.7747805463603146,388.1600036621094,-11.191261858916427,60.22563725347676,daily_close,4.4,24.27,85.22,23.47705,19.82617,101.32,623.754,5.8,,6.74,12.49 -> 7.56 -> 14.23,,,,,,,,,,,5.34,6.74,2026-06-22,4.51,4,0,20,0,4,2,3,5,38,D,45
NEE,NEE,"NextEra Energy, Inc.",180.93,86.08000183105469,85.87695018768311,0.2364448701634295,97.87999725341797,-12.055573920596146,60.82289685733534,daily_close,160.0,24.14,86.98,22.017767,3.2759335,10.32,156.686,7.3,,-4.52,3.6 -> 3.37 -> 3.28,,,,,,,,,,,0.14,-4.52,2026-06-22,4.51,4,0,12,20,0,10,3,5,54,C,46
DIS,DIS,Walt Disney Company (The),180.41,102.44999694824219,107.05550006866456,-4.301977121650393,124.01000213623047,-17.385698586073453,48.655908557339686,daily_close,-29.8,,78.09,16.6224,1.6676565,11.01,41.069,6.5,15.51,,-,,,,,,,,,,,,,2026-06-22,4.51,8,6,12,0,0,0,5,5,36,D,47
TMO,TMO,Thermo Fisher Scientific Inc,172.66,464.01,525.7158497619629,-11.73749084983884,639.4500122070312,-27.436079264665025,36.30892138898401,postMarketPrice,11.3,32.43,94.25,25.514004,3.2729156,13.52,82.903,6.2,,7.16,15.45 -> 16.53 -> 17.74,,,,,,,,,,,2.26,7.16,2026-06-22,4.51,0,0,12,0,4,5,5,5,31,D,48
ABT,ABT,Abbott Laboratories,153.99,87.83000183105469,113.4148498916626,-22.558640323597267,140.22000122070312,-37.36271497187321,50.161404196191825,daily_close,-19.7,26.48,82.67,24.764708,2.9579446,12.33,64.773,7.8,,6.82,3.26 -> 7.64 -> 3.72,,,,,,,,,,,,6.82,2026-06-22,4.51,4,3,12,0,4,0,5,5,33,D,49
UNP,UNP,Union Pacific Corporation,152.51,259.9100036621094,242.31280075073244,7.2621846047164516,279.3900146484375,-6.972336148391074,46.35237047932994,daily_close,6.2,19.51,90.83,21.142387,7.8537364,40.69,162.246,3.2,,7.07,10.45 -> 11.09 -> 11.98,,,,,,,,,,,3.41,7.07,2026-06-22,4.51,4,0,20,0,4,5,5,0,38,D,50
HON,HON,Honeywell International Inc.,145.11,228.11000061035156,213.54163429260254,6.822260383090876,248.0399932861328,-8.034991620399902,43.439691290241996,daily_close,-41.9,23.92,81.8,36.641598,10.67795,24.26,257.387,2.4,-1.51,-2.87,8.47 -> 8.71 -> 7.99,37442000000.0,6567000000.0,4729000000.0,17.54,12.63,6408000000.0,5422000000.0,12487000000.0,35563000000.0,-23076000000.0,,-2.87,2026-06-22,4.51,0,0,20,0,0,0,5,0,25,D,51
