yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5084.136,2026-09-14,Naver exchange listing (USD),210.9600067138672,219.4525001525879,210.65749944051106,206.8125,197.61475006103515,6.75316829776635,235.74000549316406,-10.51157979209237,51.640219426426754,-6.31,3.08,daily_close,일봉 종가,2026-09-15 15:28 KST,212.04,0.5119421936678449,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.47,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,55.31,3.44,Finnhub,yfinance,,,2026-09-11,,,,,0.22,102.92,41.56,13.82,34.82,32,30,30,30,-32.03,66.62,2026-09-14,4.96,0,0,20,20,15,10,5,5,75,A,1
AAPL,AAPL,애플,4861.0294744,2026-09-14,Naver exchange listing (USD),333.0799865722656,317.9834976196289,313.9766657511393,298.0564161936442,285.2391493225098,16.7721848012048,340.0799865722656,-2.0583392955740805,70.52344782799068,8.87,12.55,daily_close,일봉 종가,2026-09-15 15:28 KST,,,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-2.59,1.69,Finnhub,yfinance,,,2026-09-11,,,,,1.26,10.32,41.56,13.82,34.82,32,30,30,30,-12.67,211.51,2026-09-14,4.96,0,0,20,10,8,8,1,0,47,C,2
MSFT,MSFT,마이크로소프트,3752.944946606,2026-09-14,Naver exchange listing (USD),505.4100036621094,494.9345016479492,442.11099904378256,423.7835823059082,431.41459945678713,17.151808097939448,542.0700073242188,-6.762964777016814,60.23061007602794,2.02,33.39,daily_close,일봉 종가,2026-09-15 15:28 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.72,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,12.69,6.42,Finnhub,yfinance,,,2026-09-11,,,,,0.85,23.34,41.56,15.26,36.23,32,30,30,30,-35.47,-46.84,2026-09-14,4.96,0,0,20,16,12,10,3,0,61,B,3
AMZN,AMZN,아마존닷컴,2734.761943045,2026-09-14,Naver exchange listing (USD),253.5399932861328,258.5049987792969,252.36033248901367,250.46199989318848,239.9339998626709,5.670723378616397,284.0199890136719,-10.731637527833241,40.84958214675368,-3.47,6.75,daily_close,일봉 종가,2026-09-15 15:28 KST,253.6378,0.038576444133926524,242.3,41.19,68.74,20.496784,4.9843616,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.69,60.0,-0.09,328.0,405.0,230.0,29.37,5.13,Finnhub,yfinance,,,2026-09-03,,,,,0.08,57.24,21.75,15.69,9.38,6,5,4,4,-5.76,-68.23,2026-09-14,4.96,4,0,20,20,15,10,5,5,79,A,4
GOOGL,GOOGL,알파벳 Class A,2341.96117,2026-09-14,Naver exchange listing (USD),349.3900146484375,341.2300003051758,347.8468322753906,350.7089993794759,336.9645994567871,3.6874541752104353,402.6199951171875,-13.220898394094101,51.05640629712295,1.01,-3.96,daily_close,일봉 종가,2026-09-15 15:28 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,22.52,6.53,Finnhub,yfinance,,,2026-09-11,,,,,0.06,36.52,18.84,3.43,18.34,8,7,7,7,-9.26,97.52,2026-09-14,4.96,8,0,20,20,15,10,5,5,83,A,5
TSM,TSM,TSMC ADR,2167.99799674,2026-09-14,Naver exchange listing (USD),418.010009765625,421.29199981689453,423.6,408.05224990844727,376.6121998596191,10.99215849126416,477.57000732421875,-12.471469448490492,54.540234115144145,-1.96,-3.27,daily_close,일봉 종가,2026-09-15 15:28 KST,419.4803,0.35173565226329867,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.98,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,32.15,7.14,Finnhub,yfinance,,,2026-09-11,,,,,0.42,43.13,41.56,13.82,34.82,32,30,30,30,-22.62,533.81,2026-09-14,4.96,0,0,20,20,15,10,5,5,75,A,6
SPCX,SPCX,스페이스X,2010.813523744,2026-09-14,Naver exchange listing (USD),148.14999389648438,143.4009994506836,139.18249969482423,,,,211.38999938964844,-29.9162711934143,66.17464450206623,5.82,-22.77,daily_close,일봉 종가,2026-09-15 15:28 KST,148.6331,0.3260925571506907,-25857.58,,48.16,,15.342792,,31.211,91.9,,,-,,,,,,,,,,,,0.0,0.0,,yfinance,,,,,,Industrials,Aerospace & Defense,,4.33,19.0,,220.68,450.0,117.0,48.96,,,yfinance,,,2026-09-15,,,,,,,35.08,14.14,43.96,7,6,6,6,,8.51,2026-09-14,4.96,0,0,0,0,0,0,1,5,6,D,7
GOOG,GOOG,알파벳 Class C,1910.73917,2026-09-14,Naver exchange listing (USD),345.7099914550781,338.1460021972656,345.8561665852865,348.4501660664876,335.7300994873047,2.972593754034498,399.0400085449219,-13.364578976506344,50.96351961201947,0.63,-4.53,daily_close,일봉 종가,2026-09-15 15:28 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,22.01,6.53,Finnhub,yfinance,,,2026-09-15,,,,,0.06,36.52,18.79,3.43,18.34,8,7,7,7,0.24,106.29,2026-09-14,4.96,4,0,20,20,15,10,5,5,79,A,8
META,META,메타,1695.62014336,2026-09-14,Naver exchange listing (USD),665.5999755859375,590.2545013427734,596.726161702474,605.0419972737631,623.4936975097656,6.753280465278859,790.0,-15.746838533425633,84.78001941577794,12.84,17.27,daily_close,일봉 종가,2026-09-15 15:28 KST,664.88,-0.108169412912568,-13.4,22.36,79.02,25.050808,6.4923916,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.66,57.0,0.0,758.28,1000.0,580.0,13.92,0.38,Finnhub,yfinance,,,2026-09-15,,,,,,25.69,18.79,3.43,18.34,8,7,7,7,33.32,89.28,2026-09-14,4.96,0,0,20,0,15,0,1,5,41,C,9
AVGO,AVGO,브로드컴,1645.565687063,2026-09-14,Naver exchange listing (USD),344.7200012207031,365.08049926757815,382.13616638183595,388.14758377075196,370.0365501403809,-6.841634673675724,481.57000732421875,-28.417468700740923,40.53397528117649,-12.28,-12.26,daily_close,일봉 종가,2026-09-15 15:28 KST,,,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.75,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,52.58,0.51,Finnhub,yfinance,,,2026-09-12,,,,,0.72,20.26,38.67,13.82,34.82,32,30,30,30,59.6,45.87,2026-09-14,4.96,0,0,20,16,12,10,5,5,68,B,10
