yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,174137,우량기업부,,KOSDAQ,주권,KRX,251500.0,276950.0,269884.18333333335,272830.89166666666,292066.085,-13.889351445923623,430123.0,-41.52835351748221,24.79999999999444,-19.26,-12.37,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,124.86,217.49,14.4,69.0,37.73,39.42,53.76,109.82,320.87,,901 -> 2026,2158.59,1069.0,1451.73,49.52,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.15,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,485000.0,,,92.84,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,0.55,2025.0,11011.0,,11.28,-31.49,9,1,7,7,,234.49,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-23,4.25,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,108756,중견기업부,,KOSDAQ,주권,KRX,80100.0,84000.0,83831.66666666667,109990.0,118250.0,-32.26215644820296,185000.0,-56.7027027027027,46.46017699112166,-7.93,-32.12,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,,336.78,19.17,79.63,4.98,-8.39,117.92,9.11,,,-,34130.22,2137.64,-1055.4,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.19,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,3,2,2,2,,,,기타 금융업,기타 금융업,2026-09-23,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,102721,중견기업부,,KOSDAQ,주권,KRX,105500.0,108917.45,109921.46666666666,150859.35,162748.24,-35.17595028984645,242127.0,-56.42782506701028,48.842592592576764,-3.87,-30.62,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,,358.44,14.64,746.0,5.78,2.29,142.16,-8.5,,,-,25315.76,1433.1,915.88,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,172386.0,,,63.4,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,2,1,1,1,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-23,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,97377,우량기업부,,KOSDAQ,주권,KRX,209500.0,193790.0,175696.66666666666,163768.33333333334,115965.5,80.65717821248562,250500.0,-16.367265469061877,70.48371174727555,20.82,18.63,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,-66.22,32.8,8.8,887.5,14.45,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3106.93,312.58,356.93,10.06,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,-2.15,,,Naver/FnGuide,,KRW,2026-09-23,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,30.0,5.54,8.98,19,17,18,18,2858.33,160.83,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-23,4.25,0,0,6,0,4,0,1,5,16,D,4
277810.KQ,277810,레인보우로보틱스,84001,기술성장기업부,,KOSDAQ,주권,KRX,435500.0,442200.0,450625.0,550237.5,569272.5,-23.49885160446008,880000.0,-50.51136363636364,49.66442953019668,-3.33,-15.6,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.23,-24.8,14.22,-7.27,4.17,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,49.25,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,,,,31.0,5.54,8.98,19,18,18,18,,1084.66,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-23,4.25,0,0,0,0,0,0,5,3,8,D,5
240810.KQ,240810,원익IPS,65625,우량기업부,,KOSDAQ,주권,KRX,132400.0,116485.0,113900.0,121055.83333333333,110403.0,19.924277419997647,183300.0,-27.768685215493726,75.84905660375355,21.13,-16.73,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9097.96,738.14,840.29,8.11,9.24,1566.07,1245.35,1072.74,1946.21,-873.47,0.15,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,16.85,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.08,2025.0,11011.0,32.0,5.79,8.16,19,17,18,18,-21.88,-12.78,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-23,4.25,4,0,6,20,0,10,1,5,46,C,6
039030.KQ,039030,이오테크닉스,59318,우량기업부,,KOSDAQ,주권,KRX,479500.0,442375.0,384491.6666666667,430520.8333333333,395402.5,21.268833656843345,612000.0,-21.65032679738562,63.820224719097105,19.73,5.04,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3808.91,807.53,575.65,21.2,15.11,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,11.05,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,1.37,,,30.0,5.54,8.24,19,17,18,18,52.9,20.04,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-23,4.25,0,0,6,10,12,10,3,5,46,C,7
222800.KQ,222800,심텍,57534,중견기업부,,KOSDAQ,주권,KRX,149400.0,128310.0,113910.0,106899.16666666667,85265.5,75.21740915141528,157300.0,-5.022250476795931,75.51999999998309,32.56,20.19,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14105.6,118.69,-1645.8,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.07,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,17.97,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,18.0,5.11,18.61,9,5,6,6,33.33,41.68,,전자부품 제조업,전자부품 제조업,2026-09-23,4.25,4,0,0,0,0,0,1,0,5,D,8
058470.KQ,058470,리노공업,56625,우량기업부,,KOSDAQ,주권,KRX,74600.0,67860.0,69076.66666666667,86881.66666666667,86121.0,-13.377689529847538,127000.0,-41.259842519685044,71.5481171547698,12.35,-12.54,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,34.19,27.95,31.56,25.0,6.28,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.34,1769.97,1519.61,47.51,40.79,1794.69,1192.33,852.03,607.09,244.94,1.07,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,103500.0,,,38.74,,,Naver/FnGuide,,KRW,2026-09-24,2025.0,OFS,11011,OpenDART,0.73,2025.0,11011,18.0,5.11,12.3,9,5,6,6,38.89,22.9,17.07,전자부품 제조업,전자부품 제조업,2026-09-23,4.25,4,0,20,16,12,10,1,5,68,B,9
403870.KQ,403870,HPSP,45676,우량기업부,,KOSDAQ,주권,KRX,55600.0,52800.0,44718.333333333336,48204.583333333336,44429.75,25.141374867065423,83500.0,-33.41317365269461,64.36170212761164,14.64,3.54,daily_close,NXT 미확인,2026-09-24 00:39 KST,,,-16.35,35.96,33.26,35.0,13.18,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1729.65,899.02,726.62,51.98,42.01,1002.05,977.76,939.41,614.76,324.65,0.9,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,67800.0,,,21.94,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,30.0,5.54,8.16,19,17,18,18,16.67,137.91,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-23,4.25,0,0,20,0,0,0,3,5,28,D,10
