yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,199073,371500.0,422037.5,-11.974646802713028,559000.0,-33.54203935599284,54.77099236640928,regularMarketPrice,124.85,217.44,14.67,69.0,37.83,39.42,53.76,109.82,320.87,,1171 -> 2633,,,,,,,,,,,0.55,,2026-06-24,4.25,0,0,20,20,0,10,5,5,60,B,1
247540.KQ,247540,에코프로비엠,149191,152500.0,173016.0,-11.857862856614418,246000.0,-38.00813008130081,29.460201280874543,daily_close,,364.17,14.15,420.0,9.28,2.29,142.16,-8.5,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,5,8,D,2
086520.KQ,086520,에코프로,146230,107700.0,112893.0,-4.599930908027956,185000.0,-41.78378378378378,35.24475524474833,daily_close,,336.78,19.6,256.64,7.14,-8.39,117.92,9.11,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,3
277810.KQ,277810,레인보우로보틱스,99909,515000.0,534100.0,-3.5761093428196964,880000.0,-41.47727272727273,24.55242966751831,daily_close,-33.64,3949.62,6.94,,86.12,1.07,7.08,76.68,,,110 -> 73,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,1,5,6,D,4
950160.KQ,950160,코오롱티슈진,85825,101100.0,80982.25,24.842172204402814,138800.0,-27.16138328530259,44.354838709669075,regularMarketPrice,,,4.8,,68.46,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,5
036930.KQ,036930,주성엔지니어링,84781,182400.0,70087.75,160.24519263352013,250500.0,-27.18562874251497,33.47889374090019,daily_close,-66.22,32.8,7.6,,15.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,,,,,,,,,,,,3.49,2026-06-24,4.25,0,0,6,0,4,0,3,5,18,D,6
240810.KQ,240810,원익IPS,73920,150600.0,90908.5,65.66107679699918,183300.0,-17.83960720130933,55.92705167172855,daily_close,304.73,46.26,17.33,45.0,7.73,9.05,20.06,21.6,596.23,,423 -> 1712,,,,,,,,,,,0.15,,2026-06-24,4.25,0,0,6,20,0,10,3,5,44,C,7
028300.KQ,028300,HLB,66998,50300.0,49659.0,1.2908032783584042,95100.0,-47.10830704521556,45.528455284526935,regularMarketPrice,,,19.73,,16.27,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,3,8,D,8
058470.KQ,058470,리노공업,64932,85200.0,81227.5,4.890585085100489,127000.0,-32.91338582677165,39.15662650601584,daily_close,34.19,27.95,27.71,38.0,9.89,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,,,,,,,,,,,1.11,17.07,2026-06-24,4.25,0,0,20,10,12,10,5,5,62,B,9
039030.KQ,039030,이오테크닉스,59934,486500.0,349131.5,39.34577659134166,612000.0,-20.50653594771242,49.14950760966752,regularMarketPrice,33.53,50.01,25.12,52.0,8.69,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,,,,,,,,,,,1.55,24.98,2026-06-24,4.25,0,0,6,5,12,10,5,5,43,C,10
141080.KQ,141080,리가켐바이오,56491,152600.0,169625.0,-10.036845983787767,213500.0,-28.524590163934427,53.46534653464605,regularMarketPrice,,483.55,11.6,-112.0,10.59,-13.22,29.7,12.47,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,11
000250.KQ,000250,삼천당제약,55946,238500.0,375873.5,-36.547801321455225,1184000.0,-79.85641891891892,30.38674033148935,daily_close,,1036.5,6.71,581.42,19.9,1.94,54.36,9.91,226.92,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,1,4,D,12
298380.KQ,298380,에이비엘바이오,55315,98800.0,148705.0,-33.55973235600686,245500.0,-59.75560081466396,44.736842105254006,daily_close,,,12.91,-98.0,30.72,-23.48,79.29,137.43,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,3,8,D,13
087010.KQ,087010,펩트론,50365,216000.0,275092.5,-21.48095640557267,386000.0,-44.04145077720207,33.65695792879954,daily_close,,,5.06,,35.04,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,5,8,D,14
319660.KQ,319660,피에스케이,49156,169700.0,62138.25,173.10070689148793,180200.0,-5.826859045504994,67.66773162938692,regularMarketPrice,-0.73,10.42,25.25,33.0,8.43,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,,,,,,,,,,,,22.31,2026-06-24,4.25,0,0,16,0,12,0,1,0,29,D,15
222800.KQ,222800,심텍,44095,117700.0,63588.75,85.09563405476598,134100.0,-12.229679343773302,51.99999999999322,regularMarketPrice,,,14.92,35.0,7.78,-32.1,181.13,14.55,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,16
440110.KQ,440110,파두,43233,86300.0,46685.6,84.85357369295886,128300.0,-32.73577552611068,30.537352555695577,regularMarketPrice,,,25.76,,173.5,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,5,8,D,17
403870.KQ,403870,HPSP,41643,50600.0,40261.25,25.67915799931696,83500.0,-39.40119760479042,51.72605790645073,daily_close,-16.35,35.96,29.57,40.0,15.7,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,,,,,,,,,,,,-6.21,2026-06-24,4.25,0,0,20,0,0,0,5,5,30,D,18
347850.KQ,347850,디앤디파마텍,40860,92000.0,76111.17,20.87581888440291,111200.0,-17.26618705035971,48.96265560165264,daily_close,,,6.71,,63.16,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,19
095340.KQ,095340,ISC,40380,190500.0,148426.5,28.346353245545775,271000.0,-29.704797047970477,42.72445820433066,regularMarketPrice,2.68,60.46,21.82,44.0,7.02,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,,,,,,,,,,,16.42,91.78,2026-06-24,4.25,0,0,12,0,15,2,5,5,39,D,20
080220.KQ,080220,제주반도체,38885,112900.0,41174.1,174.20150045781207,134000.0,-15.746268656716417,52.60707635008626,daily_close,102.29,22.3,4.64,34.76,12.62,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,,,,,,,,,,,0.34,53.63,2026-06-24,4.25,0,0,16,20,15,10,5,5,71,A,21
214370.KQ,214370,케어젠,38621,71900.0,84287.5,-14.696722527065104,150100.0,-52.09860093271153,40.39634146340602,regularMarketPrice,-37.87,92.25,3.99,163.68,16.23,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,,,,,,,,,,,,-29.05,2026-06-24,4.25,0,0,6,0,0,0,5,3,14,D,22
108490.KQ,108490,로보티즈,37448,255500.0,246104.7,3.817602833265674,405000.0,-36.91358024691358,29.04761904761712,regularMarketPrice,,691.83,7.83,350.0,11.79,2.49,1.79,29.67,,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,3,5,8,D,23
084370.KQ,084370,유진테크,37078,161800.0,103938.0,55.66972618291673,196100.0,-17.49107598164202,51.772225450315375,daily_close,-32.89,30.03,38.07,41.0,7.91,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,,,,,,,,,,,,31.84,2026-06-24,4.25,0,0,6,0,15,0,5,5,31,D,24
310210.KQ,310210,보로노이,36491,198100.0,230659.0,-14.115642571935194,363500.0,-45.50206327372765,41.59235668789438,daily_close,,,6.67,,39.73,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,3,8,D,25
178320.KQ,178320,서진시스템,35326,55500.0,38789.2,43.08106380126428,80800.0,-31.31188118811881,36.32734530937109,regularMarketPrice,,15.93,12.91,,4.85,-12.63,212.62,-12.15,-98.99,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,26
067310.KQ,067310,하나마이크론,32075,48250.0,31091.4,55.187608148877175,56800.0,-15.05281690140845,53.24232081909567,regularMarketPrice,,44.79,21.44,20.0,6.91,9.89,209.16,22.68,19.57,,-,,,,,,,,,,,,,2026-06-24,4.25,4,0,6,0,0,0,5,5,20,D,27
145020.KQ,145020,휴젤,31928,259500.0,258572.5,0.35870017113188757,388000.0,-33.118556701030926,53.00751879698689,regularMarketPrice,3.3,21.91,58.08,17.0,2.6,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,,,,,,,,,,,5.15,22.87,2026-06-24,4.25,8,3,16,0,12,2,5,5,51,C,28
214450.KQ,214450,파마리서치,31636,304500.0,414075.0,-26.46259735555153,711000.0,-57.17299578059072,52.77777777777264,daily_close,65.07,24.5,7.71,16.0,4.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,,,,,,,,,,,0.25,37.82,2026-06-24,4.25,8,0,20,20,15,10,5,3,81,A,29
095610.KQ,095610,테스,31460,162500.0,67908.25,139.29345845313347,183400.0,-11.395856052344602,59.18508287292245,regularMarketPrice,33.69,92.12,11.5,35.0,7.19,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,,,,,,,,,,,1.04,504.31,2026-06-24,4.25,0,0,16,10,15,10,3,5,59,B,30
319400.KQ,319400,현대무벡스,30517,27400.0,22665.325,20.889508533409508,46350.0,-40.88457389428263,34.426229508176974,daily_close,-56.77,99.75,1.45,357.22,22.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,,,,,,,,,,,,65.83,2026-06-24,4.25,0,0,6,0,15,0,3,5,29,D,31
214150.KQ,214150,클래시스,29682,45500.0,54394.5,-16.35183704234803,75600.0,-39.81481481481482,55.05050505046613,regularMarketPrice,32.76,30.47,70.57,17.0,5.83,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,,,,,,,,,,,0.52,32.57,2026-06-24,4.25,8,0,20,20,15,10,3,5,81,A,32
005290.KQ,005290,동진쎄미켐,29256,57400.0,45919.0,25.002722184716564,66000.0,-13.030303030303031,47.478070175424016,regularMarketPrice,-35.98,13.86,16.45,23.88,2.73,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,,,,,,,,,,,,-11.78,2026-06-24,4.25,4,3,6,0,0,0,5,5,23,D,33
064760.KQ,064760,티씨케이,28842,258000.0,203760.5,26.619241707789293,348500.0,-25.968436154949785,45.42857142856779,daily_close,-2.77,18.81,66.85,26.0,5.47,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,,,,,,,,,,,,6.91,2026-06-24,4.25,0,0,12,0,4,0,5,5,26,D,34
