yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,16457274,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,270000.0,246225.0,288858.3333333333,253970.83333333334,204022.5,32.33834503547403,362500.0,-25.517241379310345,56.24999999999481,0.0,-9.7,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,32.61,21.95,46.86,6.0,3.27,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.62,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,82.18,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,75.51,2025.0,11011,2,1,1,1,0.18,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-21,4.25,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,12637517,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1761000.0,1573250.0,2043283.3333333333,1631925.0,1252240.0,40.62799463361656,2919000.0,-39.67112024665981,50.5291005290999,-8.23,-14.18,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,116.89,8.72,50.74,4.0,6.48,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.17,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3317917.0,,,88.41,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,1,0,0,0,0.03,,,,,,반도체 제조업,반도체 제조업,2026-08-21,4.25,15,0,20,20,0,10,5,5,75,A,2
005935.KS,005935,삼성전자우,1660908,,,KOSPI,주권,KRX,207000.0,178645.0,195035.0,172512.5,141704.5,46.07863547029205,235000.0,-11.914893617021278,56.86106346483022,8.32,10.58,daily_close,NXT 미확인,2026-08-21 20:57 KST,,,32.61,21.95,46.8,4.0,2.62,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,491875.0,,,137.62,,,Naver/FnGuide,,,2026-08-18,,,,,75.51,,,2,1,1,1,0.12,,,,,,,,2026-08-21,4.25,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1481506,,지주회사,KOSPI,주권,KRX,1120000.0,1025200.0,1295466.6666666667,1015083.3333333334,763987.5,46.59925718679952,1970000.0,-43.14720812182741,55.455712451860364,-8.27,-5.17,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,143.06,4.22,46.29,4.0,4.15,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,69.64,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,18,17,17,16,0.03,8.0,0.96,8.82,-50.0,332.29,기타 금융업,기타 금융업,2026-08-21,4.25,15,0,20,20,0,10,3,5,73,A,4
009150.KS,009150,삼성전기,982969,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1318000.0,1275750.0,1618033.3333333333,1139075.0,791802.5,66.4556502410639,2270000.0,-41.93832599118943,59.04365904365819,-8.98,-16.16,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,3.96,23.43,38.33,68.0,10.28,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2350500.0,,,78.34,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,29.21,2025.0,11011.0,6,5,5,5,17.17,26.0,6.4,6.14,161.54,60.62,전자부품 제조업,전자부품 제조업,2026-08-21,4.25,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,849744,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,416000.0,400975.0,499050.0,523320.8333333333,458157.5,-9.201530041525022,750000.0,-44.53333333333334,59.71223021582132,-3.7,-39.62,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-23.26,5.89,24.98,11.0,0.9,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.4,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,722000.0,,,73.56,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,-9.97,2025.0,11011.0,2,1,1,1,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-21,4.25,12,8,6,0,0,0,3,5,34,D,6
373220.KS,373220,LG에너지솔루션,803790,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,346500.0,341775.0,362450.0,388075.0,399680.0,-13.305644515612489,514000.0,-32.5875486381323,55.89353612166705,-0.43,-13.27,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,80.86,5.52,-218.0,3.75,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,47.05,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-21,4.25,0,0,0,0,0,0,3,5,8,D,7
207940.KS,207940,삼성바이오로직스,717972,,바이오의약품,KOSPI,주권,KRX,1548000.0,1530100.0,1418416.6666666667,1480625.0,1590785.0,-2.6895526422489526,1965000.0,-21.22137404580153,57.81990521326822,12.26,8.63,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,74.57,82.79,13.13,38.0,9.04,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2011429.0,,,29.94,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,48.49,,,2,1,1,1,0.51,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.25,0,0,16,20,15,10,3,5,69,B,8
032830.KS,032830,삼성생명,657000,,"생명보험,부동산 임대",KOSPI,주권,KRX,311500.0,292750.0,355791.6666666667,303629.1666666667,249634.5,24.782431915460403,497000.0,-37.32394366197183,54.00943396226059,-5.46,-10.49,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,9.3,9.99,23.4,23.0,0.73,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,393538.0,,,26.34,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,10.22,2025.0,11011,3,2,2,2,2.47,,,,,,보험업,보험업,2026-08-21,4.25,4,10,0,0,8,5,5,5,37,D,9
028260.KS,028260,삼성물산,641372,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,376500.0,342225.0,401575.0,360891.6666666667,321390.0,17.147391020255764,535000.0,-29.626168224299064,62.6436781609145,4.58,-8.39,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,15.35,12.4,30.96,23.0,0.98,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,5717.21,4113.35,9709.18,199334.7,-189625.52,0.74,18.8,2800.0,4582.52,OpenDART,6.78,4.0,True,4.0,OpenDART,,4.0,,,496667.0,,,31.92,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,OFS,11011.0,OpenDART,9.45,2025.0,11011.0,1,0,0,0,1.5,,,,,,기타 전문 도매업,기타 전문 도매업,2026-08-21,4.25,4,8,6,10,8,8,3,5,52,C,10
105560.KS,105560,KB금융,582751,,-,KOSPI,주권,KRX,163300.0,168085.0,165405.0,159594.16666666666,148771.5,9.765647318202747,186200.0,-12.298603651987111,43.786982248502575,-7.37,3.81,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,18.98,6.51,79.31,9.0,0.96,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,37657.85,37625.36,9745.82,59179.04,-49433.22,2.67,27.0,4367.0,15777.74,OpenDART,14.1,0.0,False,2.0,OpenDART,,4.0,,,224889.0,,,37.72,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,OFS,11011.0,OpenDART,15.41,2025.0,11011.0,18,17,17,16,0.47,8.0,1.03,8.82,12.5,-6.8,기타 금융업,기타 금융업,2026-08-21,4.25,12,8,6,20,12,8,5,5,76,A,11
