yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,20958908,357500.0,168516.0,112.14602767689715,362500.0,-1.3793103448275863,55.9595959595928,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,32.61,21.95,47.41,8.0,4.99,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,0.25,75.51,2026-06-25,4.25,15,0,12,20,15,10,3,0,75,A,1
000660.KS,000660,SK하이닉스,20789527,2923000.0,961107.5,204.12831030868034,2919000.0,0.1370332305584104,69.01661427929908,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,116.89,8.72,50.78,9.0,12.27,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,,,,,,0.08,,2026-06-25,4.25,12,0,20,20,0,10,1,0,63,B,2
402340.KS,402340,SK스퀘어,2505889,1906000.0,569340.0,234.77359749885832,1970000.0,-3.248730964467005,72.33449477351846,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,143.06,4.22,46.52,7.0,6.94,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,,,,,,0.05,,2026-06-25,4.25,15,0,20,20,0,10,1,0,66,B,3
009150.KS,009150,삼성전기,1491633,1994000.0,547405.0,264.26411888820894,2270000.0,-12.158590308370044,57.58533501896283,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,3.96,23.43,39.26,121.0,15.37,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,,,,,,30.56,29.21,2026-06-25,4.25,0,0,6,0,15,2,3,5,31,D,4
005380.KS,005380,현대차,1029931,503000.0,418887.5,20.079973739965983,750000.0,-32.93333333333333,19.314641744547444,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,-23.26,5.89,25.01,13.0,1.1,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,,,,,,,-9.97,2026-06-25,4.25,8,8,6,0,0,0,1,5,28,D,5
032830.KS,032830,삼성생명,894000,448000.0,217092.0,106.36412212333941,497000.0,-9.859154929577464,55.59157212317413,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,9.3,9.99,23.26,31.0,0.99,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,,,,,,3.33,10.22,2026-06-25,4.25,0,8,0,0,8,5,3,0,24,D,6
028260.KS,028260,삼성물산,841649,527000.0,286877.0,83.70242298964364,535000.0,-1.4953271028037385,58.158995815897306,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,15.35,12.4,30.78,32.0,1.36,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,,,,,,2.08,9.45,2026-06-25,4.25,0,6,6,0,8,8,3,0,31,D,7
373220.KS,373220,LG에너지솔루션,823680,355000.0,407272.5,-12.8347727872616,514000.0,-30.93385214007782,32.48587570621211,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,,80.86,5.5,-251.0,3.72,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,8
207940.KS,207940,삼성바이오로직스,641592,1381000.0,1609248.14,-14.183526724473946,1965000.0,-29.720101781170484,53.97923875432396,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,74.57,82.79,12.57,33.0,8.09,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,,,,,,0.44,48.49,2026-06-25,4.25,0,0,16,20,15,10,5,5,71,A,9
034730.KS,034730,SK,622073,879000.0,347722.5,152.7877833617324,858000.0,2.4475524475524475,74.84008528784425,nxt_web_latest,NXT 체결가,2026-06-25 18:57 KST,,,,11.73,30.03,7.0,1.6,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,,,,,,,,2026-06-25,4.25,15,6,6,0,0,0,1,0,28,D,10
