yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
MUFG,MUFG,미쓰비시 UFJ 파이낸셜 그룹 ADR,264.285356518,2026-09-25,Naver exchange listing (USD),23.479999542236328,23.34149980545044,22.557000001271565,20.74041665395101,19.406349973678587,20.99132280971411,24.1299991607666,-2.693740742383114,44.07766561205819,4.63,15.84,daily_close,일봉 종가,2026-09-26 15:26 KST,23.48,1.9495897837557044e-06,50.9,0.09,3.21,15.418919,1.7771883,9.46,,28.8,,,159.47 -> 212.33,7521125000000.0,,2427229000000.0,,32.27,-23064420000000.0,-23737555000000.0,90045500000000.0,25737631000000.0,64307869000000.0,2.3,35.38,0.54,,yfinance,,2.0,True,3.0,yfinance dividend history,Financial Services,Banks - Diversified,88.89,,2.0,0.0,21.59,25.18,18.0,-8.05,27.66,Finnhub,yfinance,2026-09-24,0.3,,16.44,2.62,13.11,18,17,17,17,-6.21,-32.17,,,,,,,2026-09-25,4.25,8,6,6,20,0,10,5,0,55,B,53
ANET,ANET,아리스타 네트웍스,260.505951044,2026-09-25,Naver exchange listing (USD),206.5500030517578,196.5779998779297,187.8046671549479,173.29908332824706,157.03909984588623,31.527755351667324,210.5,-1.8764831108038897,62.173503334665426,2.72,23.96,daily_close,일봉 종가,2026-09-26 15:26 KST,,,35.7,40.21,73.33,59.62222,16.006989,31.48,,37.7,30.95,29.3,1.65 -> 2.23 -> 2.75,9005700000.0,3856100000.0,3511400000.0,42.82,38.99,4371900000.0,4252400000.0,1963900000.0,43964000.0,1919936000.0,,0.0,0.0,,yfinance,,,,,,Technology,Computer Hardware,94.29,4.74,28.0,0.17,241.04,289.0,185.0,16.7,7.0,Finnhub,yfinance,2026-09-25,1.67,29.3,36.6,14.97,38.1,33,31,30,31,62.9,6.93,,,,,,,2026-09-25,4.25,0,0,20,5,15,10,3,0,53,C,54
SNDK,SNDK,샌디스크,260.303699978,2026-09-25,Naver exchange listing (USD),1777.800048828125,1663.7887451171875,1548.4052449544272,1511.0220372517904,1107.9115729522705,60.46407423029182,2335.0,-23.862952940979657,52.230301468469165,19.72,-12.52,daily_close,일봉 종가,2026-09-26 15:26 KST,1772.1001,-0.3206181050496726,-144.49,,80.93,25.574686,17.200575,91.64,1.277,371.6,2359.17,,-,20248000000.0,12468000000.0,11433000000.0,61.58,56.46,11671000000.0,11494000000.0,4762000000.0,177000000.0,4585000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Computer Hardware,84.85,4.48,24.0,0.98,2136.54,3600.0,1000.0,20.18,43.43,Finnhub,yfinance,2026-09-24,,,39.22,14.97,35.18,33,31,30,31,-34.79,14.9,,,,,,,2026-09-25,4.25,0,0,20,0,0,0,5,5,30,D,55
AZN,AZN,아스트라제네카,258.372819733,2026-09-25,Naver exchange listing (USD),166.5800018310547,163.24350051879884,166.51216684977214,176.90833371480306,182.6113500213623,-8.77894401877662,209.47999572753906,-20.47927953573305,56.58521726352619,1.25,-9.4,daily_close,일봉 종가,2026-09-26 15:26 KST,,,2.5,37.45,64.95,23.90597,4.9394026,21.96,64.225,6.4,30.01,31.02,3.81 -> 4.5 -> 6.54,58739000000.0,13327000000.0,10225000000.0,22.69,17.41,14575000000.0,8670000000.0,5711000000.0,29149000000.0,-23438000000.0,1.92,47.41,3.2,,yfinance,2.58,9.0,False,9.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,80.0,4.55,11.0,-2.86,212.9,240.0,184.0,27.81,0.65,Finnhub,yfinance,2026-09-23,9.56,31.02,33.34,6.95,13.83,12,11,10,10,-28.3,-28.93,,,,,,,2026-09-25,4.25,4,0,20,0,15,2,3,5,49,C,56
CRWD,CRWD,크라우드 스트라이크 홀딩스,258.164691713,2026-09-25,Naver exchange listing (USD),252.1300048828125,230.2830017089844,210.09016647338868,177.57708333333332,150.1114874267578,67.96183237197715,262.489990234375,-3.9468115878674688,70.99516215603886,10.6,30.51,daily_close,일봉 종가,2026-09-26 15:26 KST,,,-712.5,790.54,76.4,5884.5005,47.236607,1.46,15.958,25.8,,,-,4812005000.0,-293292000.0,-162502000.0,-6.1,-3.38,1612349000.0,1241490000.0,5230125000.0,820077000.0,4410048000.0,,0.0,0.0,,yfinance,,,,,,Technology,Software - Infrastructure,73.77,4.3,50.0,-1.64,234.09,300.0,119.0,-7.16,1.13,Finnhub,yfinance,2026-09-25,,,36.6,14.97,38.1,33,31,30,31,15977.87,215.54,,,,,,,2026-09-25,4.25,0,0,0,0,0,0,1,0,1,D,57
RTX,RTX,RTX,255.265392474,2026-09-25,Naver exchange listing (USD),189.39999389648438,197.55999908447265,205.82749938964844,194.35508308410644,194.687099609375,-2.7156939126931374,225.49000549316406,-16.005149105277656,22.99665809711405,-10.69,-1.24,daily_close,일봉 종가,2026-09-26 15:26 KST,189.38,-0.01055643987787408,28.7,32.79,81.7,33.34507,3.8456852,12.27,57.02,14.5,42.25,49.14,2.23 -> 3.55 -> 4.96,88603000000.0,9300000000.0,6732000000.0,10.5,7.6,10567000000.0,7448000000.0,7435000000.0,39506000000.0,-32071000000.0,1.54,48.77,2.92,,yfinance,7.32,10.0,False,10.0,yfinance dividend history,Industrials,Aerospace & Defense,66.67,4.13,22.0,0.0,234.41,265.0,200.0,23.76,13.19,Finnhub,yfinance,2026-09-26,1.16,49.14,34.72,15.34,43.96,8,6,7,6,-3.96,-74.93,,,,,,,2026-09-25,4.25,0,0,12,10,15,8,1,5,51,C,58
GEV,GEV,GE 버노바,255.049027173,2026-09-25,Naver exchange listing (USD),957.6300048828125,931.3580047607422,990.4231699625651,1009.5861643473307,910.335048828125,5.195335070924751,1174.8599853515625,-18.489861190033345,52.84243080724482,0.4,-15.58,daily_close,일봉 종가,2026-09-26 15:26 KST,,,32.8,47.81,81.65,26.525528,20.945095,82.58,28.364,21.9,194.9,,5.58 -> 17.69,38068000000.0,1389000000.0,4884000000.0,3.65,12.83,4987000000.0,3710000000.0,8848000000.0,1172000000.0,7676000000.0,0.21,5.73,2.0,,yfinance,,2.0,False,2.0,yfinance dividend history,Industrials,Specialty Industrial Machinery,83.33,4.46,33.0,1.93,1237.34,1450.0,940.0,29.21,-3.82,Finnhub,yfinance,2026-09-22,0.81,,34.72,8.37,29.69,8,6,7,6,-23.6,150.24,,,,,,,2026-09-25,4.25,0,0,20,16,0,10,5,5,56,B,59
TXN,TXN,텍사스 인스트루먼트,253.946784046,2026-09-25,Naver exchange listing (USD),278.07000732421875,263.1955047607422,275.9678329467773,278.88583348592124,246.2321504211426,12.930016185385357,332.2799987792969,-16.31455147894257,69.5323668722037,4.33,-6.82,daily_close,일봉 종가,2026-09-26 15:26 KST,,,51.8,25.9,91.66,41.103184,13.733712,35.18,78.036,22.8,14.96,-12.2,7.07 -> 5.2 -> 5.45,17682000000.0,6140000000.0,5001000000.0,34.72,28.28,7153000000.0,2603000000.0,3225000000.0,14048000000.0,-10823000000.0,2.19,85.41,6.08,,yfinance,5.45,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,48.84,3.92,31.0,2.33,324.71,400.0,225.0,16.77,6.68,Finnhub,yfinance,2026-09-22,0.79,-12.2,36.6,15.51,38.1,33,31,30,31,12.3,-11.45,,,,,,,2026-09-25,4.25,0,0,20,16,0,10,1,5,52,C,60
WFC,WFC,웰스파고,250.901224908,2026-09-25,Naver exchange listing (USD),82.97000122070312,87.05750045776367,86.81833343505859,83.6215835571289,85.02715011596679,-2.4194023820132307,96.38999938964844,-13.92260426799683,29.532171024108976,-2.35,-3.46,daily_close,일봉 종가,2026-09-26 15:26 KST,82.92,-0.060264215942480576,25.0,12.2,78.81,12.334299,1.6022484,12.57,,9.5,29.45,13.84,4.83 -> 5.37 -> 6.26,83699000000.0,,21338000000.0,,25.49,-19001000000.0,-19001000000.0,174210000000.0,193035000000.0,-18825000000.0,2.41,26.16,2.0,,yfinance,15.62,10.0,False,10.0,yfinance dividend history,Financial Services,Banks - Diversified,66.67,4.12,23.0,-5.74,100.24,115.0,90.0,20.81,4.4,Finnhub,yfinance,2026-09-26,0.49,13.84,16.44,2.62,13.11,18,17,17,17,-24.97,-38.85,,,,,,,2026-09-25,4.25,8,6,12,20,8,8,3,5,70,A,61
TMO,TMO,써모 피셔 사이언티픽,249.57941805,2026-09-25,Naver exchange listing (USD),675.0,632.5710021972657,591.2238362630209,535.6309178670248,540.2249006652833,24.947961334018874,678.3900146484375,-0.4997147032292788,78.14452242748598,7.02,31.49,daily_close,일봉 종가,2026-09-26 15:26 KST,675.0,0.0,9.4,32.41,94.09,36.309845,4.7377396,13.51,80.575,10.5,5.09,7.16,15.45 -> 16.53 -> 17.74,44557000000.0,8110000000.0,6704000000.0,18.2,15.05,7818000000.0,6293000000.0,9852000000.0,39385000000.0,-29533000000.0,0.28,9.69,1.88,,yfinance,12.75,10.0,False,10.0,yfinance dividend history,Healthcare,Diagnostics & Research,80.56,4.48,27.0,0.0,653.11,780.0,520.0,-3.24,3.16,Finnhub,yfinance,2026-09-26,3.86,7.16,30.97,6.95,18.06,12,11,10,10,17.24,-31.83,,,,,,,2026-09-25,4.25,0,0,12,0,4,5,1,0,22,D,62
