yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
055550.KS,055550,신한지주,454244,95700.0,85175.5,12.35625267829364,107500.0,-10.976744186046512,45.37815126049086,regularMarketPrice,15.39,5.95,61.62,9.0,0.81,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,,,,,,,,,,,9.58,0.58,2026-06-24,4.25,12,8,6,20,8,8,5,5,72,A,18
006400.KS,006400,삼성SDI,394063,489000.0,383669.0,27.453612358569497,712000.0,-31.320224719101127,33.74655647382791,daily_close,-70.17,22.94,26.54,127.0,1.93,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,,,,,,,,,,,,,2026-06-24,4.25,0,3,0,0,0,0,3,5,11,D,19
068270.KS,068270,셀트리온,382760,172700.0,183995.8,-6.139161872173164,236861.0,-27.0880389764461,47.17261904760922,regularMarketPrice,148.85,65.74,24.41,28.0,2.22,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,,,,,,,,,,,15.32,0.19,2026-06-24,4.25,0,3,6,20,12,10,5,5,61,B,20
267260.KS,267260,HD현대일렉트릭,337761,937000.0,888772.5,5.426304256713613,1420000.0,-34.014084507042256,45.46783625730902,daily_close,46.07,25.65,34.78,40.0,18.66,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,,,,,,,,,,,68.14,0.87,2026-06-24,4.25,0,0,20,16,15,10,5,5,71,A,21
010120.KS,010120,LS ELECTRIC,336750,224500.0,137666.5,63.07525796036073,318500.0,-29.513343799058084,45.71428571428206,daily_close,20.11,26.34,18.37,77.0,18.62,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,,,,,,,,,,,17.98,3.83,2026-06-24,4.25,0,0,12,0,12,8,5,5,42,C,22
066570.KS,066570,LG전자,333099,204500.0,121820.5,67.86993978845925,392500.0,-47.898089171974526,19.354838709676073,daily_close,161.86,28.06,28.54,19.0,1.49,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,,,,,,,,,,,16.18,0.12,2026-06-24,4.25,4,6,0,20,12,10,1,3,56,B,23
042660.KS,042660,한화오션,324798,106000.0,123570.5,-14.219008582145415,149900.0,-29.286190793862577,45.0489662676754,daily_close,135.85,27.59,10.98,25.0,5.77,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,,,,,,,,,,,131.76,0.18,2026-06-24,4.25,4,0,20,20,15,10,5,5,79,A,24
086790.KS,086790,하나금융지주,313327,114200.0,104085.0,9.71801892683864,132000.0,-13.484848484848486,44.66666666665625,daily_close,9.62,4.94,68.44,8.0,0.73,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,,,,,,,,,,,10.23,0.83,2026-06-24,4.25,15,10,6,16,8,5,5,5,70,A,25
035420.KS,035420,NAVER,312834,199400.0,237429.0,-16.016998765946873,290500.0,-31.359724612736663,29.50030102347735,daily_close,3.89,24.18,35.05,19.0,1.17,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,,,,,,,,,,,41.51,4.88,2026-06-24,4.25,4,8,6,0,15,2,3,5,43,C,26
298040.KS,298040,효성중공업,312652,3353000.0,2450605.0,36.82335586518431,4601000.0,-27.124538143881765,47.056258177060336,daily_close,133.52,20.47,26.62,46.0,14.98,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,,,,,,,,,,,111.72,0.34,2026-06-24,4.25,0,0,20,20,15,10,5,5,75,A,27
000810.KS,000810,삼성화재,283957,636000.0,501425.0,26.838510245799473,730000.0,-12.876712328767123,33.79310344827422,daily_close,-0.74,9.42,58.3,16.0,1.23,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,,,,,,,,,,,6.39,,2026-06-24,4.25,8,6,12,0,4,0,3,5,38,D,28
005490.KS,005490,POSCO홀딩스,262685,331500.0,345640.0,-4.090961694248351,535000.0,-38.03738317757009,29.799426934095024,daily_close,-38.15,27.33,31.65,15.0,0.47,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,,,,,,,,,,,-36.54,,2026-06-24,4.25,8,10,0,0,0,0,3,5,26,D,29
009540.KS,009540,HD한국조선해양,260445,368000.0,419312.5,-12.237293188254583,479500.0,-23.2533889468196,47.10327455919063,daily_close,84.96,21.88,33.54,9.0,2.19,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,,,,,,,,,,,212.72,0.11,2026-06-24,4.25,12,3,16,20,15,10,5,5,86,S,30
042700.KS,042700,한미반도체,257342,270000.0,206106.5,31.00023531523751,409500.0,-34.065934065934066,44.31438127090094,regularMarketPrice,41.96,44.0,6.27,158.01,44.0,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,,,,,,,,,,,-9.81,3.77,2026-06-24,4.25,0,0,20,0,0,10,5,5,40,C,31
000150.KS,000150,두산,250194,1545000.0,1051495.0,46.93365161032625,2203000.0,-29.868361325465276,36.76012461059137,daily_close,,220.26,20.16,71.0,13.22,4.99,169.14,9.11,5.87,,-,,,,,,,,,,,,,2026-06-24,4.25,0,0,0,0,0,0,5,5,10,D,32
015760.KS,015760,한국전력,235921,36750.0,46090.5,-20.265564487258764,67900.0,-45.876288659793815,44.03669724766871,daily_close,144.73,3.62,52.26,4.0,0.48,19.4,416.85,4.32,61.28,,5439 -> 13311,,,,,,,,,,,,0.03,2026-06-24,4.25,15,10,16,20,0,10,5,3,79,A,33
006800.KS,006800,미래에셋증권,233619,41750.0,42590.065,-1.972443573401455,83800.0,-50.17899761336515,14.09978308025174,regularMarketPrice,76.41,11.79,8.63,12.0,2.01,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,,,,,,,,,,,126.19,0.16,2026-06-24,4.25,12,3,12,20,15,10,1,3,76,A,34
010130.KS,010130,고려아연,229185,1098000.0,1364730.0,-19.544525290716845,2115000.0,-48.08510638297872,32.69841269841197,daily_close,319.09,54.23,28.13,20.0,2.17,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,,,,,,,,,,,21.41,0.06,2026-06-24,4.25,4,3,6,20,12,10,3,3,61,B,35
011070.KS,011070,LG이노텍,226494,957000.0,393364.0,143.286116675649,1530000.0,-37.450980392156865,36.39798488664923,daily_close,-24.04,12.45,22.5,33.0,4.46,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,,,,,,,,,,,-22.3,,2026-06-24,4.25,0,0,6,0,0,0,5,5,16,D,36
010140.KS,010140,삼성중공업,216480,24600.0,26750.75,-8.039961496406644,34400.0,-28.488372093023255,35.496183206068935,regularMarketPrice,749.32,97.29,28.73,23.0,5.21,13.73,265.05,7.54,71.51,,73 -> 620,,,,,,,,,,,,0.03,2026-06-24,4.25,4,0,12,20,0,10,5,5,56,B,37
316140.KS,316140,우리금융지주,214717,29250.0,29759.5,-1.7120583343134124,40800.0,-28.308823529411764,45.02164502159045,regularMarketPrice,1.86,4.73,45.32,7.0,0.6,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,,,,,,,,,,,11.6,3.76,2026-06-24,4.25,15,10,6,0,8,2,5,5,51,C,38
064350.KS,064350,현대로템,213373,195500.0,207107.0,-5.604349442558678,269000.0,-27.323420074349443,51.320754716974356,daily_close,89.24,19.33,37.2,24.0,7.02,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,,,,,,,,,,,118.7,0.27,2026-06-24,4.25,4,0,20,20,15,10,5,5,79,A,39
051910.KS,051910,LG화학,210012,297500.0,342180.0,-13.05745514056929,429500.0,-30.73341094295693,35.23035230352036,regularMarketPrice,,29.2,37.29,101.0,0.76,-5.5,114.54,-5.68,34.98,,-,,,,,,,,,,,,,2026-06-24,4.25,0,10,0,0,0,0,5,5,20,D,40
017670.KS,017670,SK텔레콤,195458,91000.0,71492.0,27.28696917137582,125200.0,-27.316293929712458,23.906705539348835,daily_close,-67.28,15.89,75.45,17.0,1.52,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,,,,,,,,,,,-38.32,,2026-06-24,4.25,8,6,0,0,0,0,1,5,20,D,41
079550.KS,079550,LIG디펜스앤에어로스페이스,181280,824000.0,604985.0,36.201724009686195,1020000.0,-19.215686274509807,57.545605306798,daily_close,15.46,25.03,25.57,51.0,12.33,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,,,,,,,,,,,20.33,3.3,2026-06-24,4.25,0,0,16,0,12,8,3,5,44,C,42
