yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,13504903,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,235000.0,247950.0,292825.0,248420.83333333334,196775.5,19.425436601609448,362500.0,-35.172413793103445,46.733668341705254,-15.47,-15.77,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,32.61,21.95,46.68,5.0,3.21,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.71,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,493542.0,,,110.02,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,0.15,75.51,2025.0,11011.0,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-07,4.67,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,10387601,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1466000.0,1725300.0,2090916.6666666667,1583183.3333333333,1203432.5,21.81821581185484,2919000.0,-49.77732100034258,40.34988713318253,-32.94,-20.11,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,116.89,8.72,50.84,4.0,6.13,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.2,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3322083.0,,,126.61,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011,OpenDART,0.03,,2025.0,11011,1,0,0,0,,,,,,반도체 제조업,반도체 제조업,2026-08-07,4.67,15,0,20,20,0,10,5,3,73,A,2
005935.KS,005935,삼성전자우,1364833,,,KOSPI,주권,KRX,170100.0,176740.0,194810.0,168230.0,136763.5,24.375290190730713,235000.0,-27.617021276595743,50.31402651778992,-8.35,-9.04,daily_close,NXT 미확인,2026-08-07 21:18 KST,,,32.61,21.95,46.7,4.0,2.48,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.04,,,493542.0,,,190.15,,,Naver/FnGuide,,,2026-08-03,,,,,0.12,75.51,,,2,1,1,1,,,,,,,,2026-08-07,4.67,15,3,12,20,15,10,5,5,85,S,3
402340.KS,402340,SK스퀘어,1239089,,지주회사,KOSPI,주권,KRX,971000.0,1108250.0,1305000.0,978575.0,728012.5,33.37683075496643,1970000.0,-50.71065989847716,38.73106060606009,-26.83,-13.77,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,143.06,4.22,46.16,3.0,3.75,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1900000.0,,,95.67,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,0.02,,,,18,17,17,16,8.0,0.96,8.82,-62.5,290.62,기타 금융업,기타 금융업,2026-08-07,4.67,15,0,20,20,0,10,5,3,73,A,4
009150.KS,009150,삼성전기,954585,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1300000.0,1262250.0,1581150.0,1062854.1666666667,739215.0,75.86223223284159,2270000.0,-42.731277533039645,50.10752688171993,-12.93,35.7,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,3.96,23.43,38.58,65.0,9.84,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2350500.0,,,80.81,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011,OpenDART,16.41,29.21,2025.0,11011,6,5,5,5,23.0,5.48,6.14,182.61,79.56,전자부품 제조업,전자부품 제조업,2026-08-07,4.67,0,0,6,0,15,2,5,5,33,D,5
373220.KS,373220,LG에너지솔루션,842400,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,357000.0,327950.0,370033.3333333333,391420.8333333333,404167.5,-11.670285215906771,514000.0,-30.544747081712064,62.536873156337016,13.88,-19.41,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,,80.86,5.53,-204.0,3.54,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,3.95,,,509526.0,,,42.72,,,Naver/FnGuide,,KRW,2026-08-05,2025.0,CFS,11011.0,OpenDART,,,,,3,2,2,2,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-07,4.67,0,0,0,0,0,0,3,5,8,D,6
005380.KS,005380,현대차,809816,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,398000.0,403950.0,536008.3333333334,530504.1666666666,450590.0,-11.671364211367319,750000.0,-46.93333333333333,49.035812672172526,-10.66,-38.39,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,-23.26,5.89,25.09,10.0,0.87,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.51,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,724000.0,,,81.91,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011,OpenDART,,-9.97,2025.0,11011,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-07,4.67,12,8,6,0,0,0,5,3,34,D,7
207940.KS,207940,삼성바이오로직스,720287,,바이오의약품,KOSPI,주권,KRX,1550000.0,1449800.0,1394133.3333333333,1492591.6666666667,1597724.105,-2.9870053816331437,1965000.0,-21.119592875318066,67.43801652892407,16.98,7.42,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,74.57,82.79,13.04,38.0,9.08,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,2011429.0,,,29.77,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011,OpenDART,0.51,48.49,,,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-07,4.67,0,0,16,20,15,10,1,5,67,B,8
105560.KS,105560,KB금융,623541,,-,KOSPI,주권,KRX,175900.0,173455.0,163640.0,159550.0,146477.0,20.087112652498345,186200.0,-5.531686358754028,58.139534883702,2.63,14.52,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,18.98,6.51,79.28,9.0,1.02,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.48,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,27.85,,,Naver/FnGuide,,KRW,2026-08-05,2025.0,CFS,11011.0,OpenDART,0.47,15.41,2025.0,11011.0,18,17,17,16,8.0,0.96,8.82,12.5,6.25,기타 금융업,기타 금융업,2026-08-07,4.67,12,8,6,20,12,8,3,0,69,B,9
012450.KS,012450,한화에어로스페이스,565650,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1091000.0,934800.0,1065983.3333333333,1217491.6666666667,1141270.0,-4.404742085571337,1537000.0,-29.017566688353934,69.27083333333165,14.48,-15.03,nxt_web_latest,NXT 체결가,2026-08-07 21:14 KST,,,-38.13,15.96,45.29,23.0,5.19,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.64,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1659474.0,,,52.11,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,2,1,1,1,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-07,4.67,4,0,16,0,15,0,1,5,41,C,10
