yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1191.739990234375,982.6876528930665,21.273528442720455,1229.9300537109375,-3.1050597846060977,60.792945039609556,daily_close,일봉 종가,2026-07-02 14:35 KST,,,169.9,66.6,85.32,42.365448,34.130653,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,58.0,22.13,6.92,,yfinance,,,,Healthcare,Drug Manufacturers - General,79.49,2.57,,,,,18.88,Finnhub,0.25,98.92,31.63,7.7,33.29,15,33.94,343.26,2026-07-01,4.47,0,0,20,20,15,10,3,0,68,B,11
WMT,WMT,월마트,932.53,108.81999969482422,117.02184970855713,-7.008819322339899,134.1999969482422,-18.91206991845644,16.8450656145788,daily_close,일봉 종가,2026-07-02 14:35 KST,,,19.4,36.02,38.09,39.880283,9.55942,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,87.0,33.54,0.99,,yfinance,,,,Consumer Defensive,Discount Stores,89.58,-2.09,,,,,-1.67,Finnhub,2.06,19.45,28.02,10.03,25.12,9,42.33,-4.69,2026-07-01,4.47,0,0,20,0,12,8,1,5,46,C,12
AMD,AMD,AMD,876.24,540.8800048828125,276.40314994812013,95.6851812232725,580.9099731445312,-6.890907388804502,63.23600132126505,daily_close,일봉 종가,2026-07-02 14:35 KST,544.104,0.596064762624393,91.2,135.05,72.09,182.11447,13.67689,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,80.7,4.43,,,,,4.63,Finnhub,2.0,123.61,63.8,15.22,42.78,18,185.45,-10.14,2026-07-01,4.47,0,0,6,5,15,10,3,0,39,D,13
JPM,JPM,JP모건 체이스,871.43,334.07000732421875,308.3619006347656,8.336991903517514,335.1199951171875,-0.3133169635555711,70.20584130667584,daily_close,일봉 종가,2026-07-02 14:35 KST,,,17.2,11.99,75.66,15.775385,2.5657625,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,182.0,28.24,6.0,,yfinance,,,,Financial Services,Banks - Diversified,,,,,,,,,0.92,11.06,20.64,9.35,35.37,16,-23.57,-72.56,2026-07-01,4.47,8,3,16,16,8,8,1,0,60,B,14
INTC,INTC,Intel Corporation,673.43,127.0199966430664,59.856650009155274,112.20699224503589,140.94000244140625,-9.876547152840361,60.57142630189369,daily_close,일봉 종가,2026-07-02 14:35 KST,,,98.63,65.53,64.05,,6.296163,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,32.08,-1.25,,,,,1244.7,Finnhub,,,63.8,15.22,42.78,18,,-58.63,2026-07-01,4.47,0,0,0,0,0,10,3,0,13,D,15
V,V,비자,622.33,351.0799865722656,328.77969848632813,6.782744855782154,373.30999755859375,-5.954839444887613,76.83204388749103,daily_close,일봉 종가,2026-07-02 14:35 KST,,,35.5,28.25,91.68,29.938046,18.40414,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,78.0,21.97,2.68,,yfinance,,,,Financial Services,Credit Services,91.67,0.0,,,,,1.24,Finnhub,0.84,10.99,20.64,9.35,35.37,16,45.05,96.84,2026-07-01,4.47,0,0,20,16,8,10,1,0,55,B,16
XOM,XOM,엑슨모빌,571.22,136.27999877929688,135.54959972381593,0.5388426501953102,171.47000122070312,-20.52254166378197,19.48936948223904,daily_close,일봉 종가,2026-07-02 14:35 KST,136.3209,0.030012636534696817,-43.4,12.2,68.74,23.05565,2.20271,9.87,18.261,2.6,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,301.0,68.01,4.12,,yfinance,,,,Energy,Oil & Gas Integrated,51.61,0.0,,,,,5.59,Finnhub,,-13.19,25.97,1.99,8.25,2,,,2026-07-01,4.47,4,3,6,0,0,0,1,5,19,D,17
ORCL,ORCL,오라클,530.03,142.5,200.6871494293213,-28.99395880343293,328.3299865722656,-56.59854237266395,12.02170551531077,daily_close,일봉 종가,2026-07-02 14:35 KST,,,21.9,36.14,43.89,24.44254,10.927914,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,140.0,34.31,2.0,,yfinance,,,,Technology,Software - Infrastructure,81.63,2.78,,,,,9.27,Finnhub,1.12,25.36,63.8,15.22,42.78,18,-61.69,-28.2,2026-07-01,4.47,4,0,20,10,15,8,1,3,61,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,650.9099731445312,337.18854995727537,93.04035478873972,723.0,-9.970958071295815,64.68230801442012,daily_close,일봉 종가,2026-07-02 14:35 KST,,,33.5,18.76,85.14,58.803005,20.815569,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,,,,,,,,,,,,,,,,,,,1.76,3.34,38.37,11.65,26.14,14,53.25,78.67,2026-07-01,4.47,0,0,20,5,4,10,3,0,42,C,19
CSCO,CSCO,시스코 시스템즈,471.16,117.01000213623047,84.68625,38.168831582730924,130.0,-9.992306049053486,46.28784436000925,daily_close,일봉 종가,2026-07-02 14:35 KST,116.56,-0.38458433297569333,37.1,18.51,82.88,39.003334,9.43553,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,144.0,55.0,1.68,,yfinance,,,,Technology,Communication Equipment,69.7,-2.18,,,,,-0.11,Finnhub,1.05,-7.8,63.8,15.22,42.78,18,-38.87,-38.01,2026-07-01,4.47,0,0,20,10,0,10,5,0,45,C,20
