yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,peg,cagr,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
329180.KS,329180,HD현대중공업,645511,,615000.0,571567.5,7.598840032017216,745000.0,-17.449664429530202,44.59930313588633,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,0.92,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,0.17,651.55,2.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,4,0,16,20,15,10,5,5,75,A,11
034020.KS,034020,두산에너빌리티,566896,,89400.0,90306.5,-1.0038037129110309,136400.0,-34.457478005865106,49.89898989897579,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,23.18,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,0,0,12,0,5,5,22,D,12
012450.KS,012450,한화에어로스페이스,562556,,1097000.0,1146080.0,-4.282423565545162,1537000.0,-28.627195836044244,56.40599001663762,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-38.13,15.96,45.35,26.0,5.64,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.64,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,,34.11,4.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,16,0,15,0,3,5,39,D,13
105560.KS,105560,KB금융,562180,,159600.0,138913.0,14.892054739297258,172000.0,-7.209302325581396,56.52985074625389,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,18.98,6.51,80.06,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.74,27.0,4367.0,15777.74,OpenDART,14.1,4.0,False,0.47,15.41,4.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,12,8,6,20,12,8,3,0,69,B,14
034730.KS,034730,SK,553195,,753000.0,359580.0,109.4109794760554,858000.0,-12.237762237762238,66.54929577464625,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,,11.73,29.67,6.0,1.42,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.06,27.6,8000.0,4407.19,OpenDART,0.0,5.0,True,,,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,6,6,0,0,0,1,5,33,D,15
000270.KS,000270,기아,552434,,141700.0,139922.0,1.270707965866697,206000.0,-31.213592233009702,38.79443585779686,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-21.72,5.03,38.72,7.0,0.89,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.8,34.9,6800.0,26424.99,OpenDART,22.7,5.0,False,,-6.31,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,8,12,0,0,0,5,5,45,C,16
055550.KS,055550,신한지주,457566,,96500.0,85919.0,12.315087466101794,107500.0,-10.232558139534884,49.20634920632733,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,15.39,5.95,61.69,8.0,0.77,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.68,25.06,2590.0,12457.3,OpenDART,7.22,5.0,False,0.52,9.58,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,10,6,20,8,8,5,5,77,A,17
012330.KS,012330,현대모비스,448218,,492000.0,417017.5,17.980660284040837,768000.0,-35.9375,36.64495114006348,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-8.74,7.12,36.87,11.0,0.87,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.32,15.9,6500.0,5797.54,OpenDART,12.91,5.0,False,,4.5,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,12,8,6,0,4,0,5,5,40,C,18
068270.KS,068270,셀트리온,405806,,174400.0,184266.28,-5.354360005531126,236861.0,-26.370318456816445,56.51491365775839,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,148.85,65.74,24.47,28.0,2.27,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,2.0,True,0.19,15.32,2.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,3,6,20,12,10,3,5,59,B,19
006400.KS,006400,삼성SDI,395674,,493000.0,390556.5,26.23013571659926,712000.0,-30.75842696629213,48.91774891774694,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-70.17,22.94,26.25,118.0,1.71,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,4.0,True,,,4.0,OpenDART,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,6,0,0,0,0,5,5,16,D,20
