yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peg,cagr,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
403870.KQ,403870,HPSP,30409,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,36950.0,37095.0,47415.0,46991.666666666664,41811.0,-11.626127095740356,83500.0,-55.74850299401197,46.422628951725464,-16.78,-33.18,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,-16.35,35.96,31.76,26.0,10.25,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.35,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,84.03,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,OFS,11011,OpenDART,2025.0,11011,19,14,18,18,27.5,6.6,8.16,55.3,,-6.21,-5.45,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,20,0,0,0,5,3,28,D,22
080220.KQ,080220,제주반도체,30206,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,87700.0,72960.0,91186.66666666667,68336.25,51008.65,71.93162336191999,134000.0,-34.55223880597015,55.377574370700515,-1.57,48.9,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,102.29,22.3,2.79,19.8,7.19,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,,5,2,4,4,,3.26,2.73,120.55,0.19,53.63,,반도체 제조업,반도체 제조업,2026-08-10,4.25,4,0,16,20,15,10,3,5,73,A,23
214150.KQ,214150,클래시스,30204,우량기업부,미용의료기기,KOSDAQ,주권,KRX,46700.0,44012.5,45743.333333333336,50971.25,53300.25,-12.38315017284159,75600.0,-38.22751322751323,56.39097744356945,-3.71,-8.43,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,32.76,30.47,71.0,16.0,5.31,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.14,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,71000.0,,,52.03,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,4,2,3,3,,7.12,10.37,-25.42,0.49,32.57,,의료용 기기 제조업,의료용 기기 제조업,2026-08-10,4.25,8,0,20,20,15,10,3,5,81,A,24
095340.KQ,095340,ISC,30121,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,142700.0,135710.0,173808.33333333334,198037.5,160326.5,-10.994127608349212,271000.0,-47.34317343173432,51.22156697556262,-5.62,-41.52,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,2.68,60.46,31.33,29.0,4.68,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.6,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,242600.0,,,70.01,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,10.82,91.78,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-08-10,4.25,0,0,12,0,15,2,5,3,37,D,25
347850.KQ,347850,디앤디파마텍,30115,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,65700.0,60697.5,77454.16666666667,77859.58333333333,80318.895,-18.20106588866792,111200.0,-40.91726618705036,53.42066957786393,-22.06,-3.67,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,,4.37,,32.73,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,16.96,-18.83,92.98,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,0,0,0,0,5,5,10,D,26
226950.KQ,226950,올릭스,29024,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,139300.0,114880.0,134873.33333333334,153646.66666666666,143775.5,-3.112839113757212,207000.0,-32.70531400966183,63.93762183234995,13.07,-10.65,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,8.54,,16.23,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,23.09,-31.49,-29.71,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,0,0,0,0,3,5,8,D,27
084370.KQ,084370,유진테크,28209,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,124400.0,121525.0,143128.33333333334,135933.33333333334,116268.5,6.993725729668827,206500.0,-39.75786924939467,48.77606527651239,-24.92,-6.89,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-32.89,30.03,36.45,29.0,5.53,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.18,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,156667.0,,,25.94,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,26.0,7.01,8.16,-21.11,,31.84,11.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,6,0,15,0,5,5,31,D,28
095610.KQ,095610,테스,27607,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,144500.0,149840.0,151010.0,113268.33333333333,87068.0,65.96223641291864,217500.0,-33.5632183908046,42.23268325487161,-18.68,17.96,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,33.69,92.12,7.22,25.0,5.63,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.59,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,196250.0,,,35.81,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,27.5,7.01,8.16,-19.69,0.74,504.31,-9.09,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,4,0,16,16,15,10,5,5,71,A,29
319400.KQ,319400,현대무벡스,27287,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,24500.0,21533.5,28685.333333333332,29595.166666666668,24917.5,-1.6755292465134946,46350.0,-47.14131607335491,62.302284709979254,5.38,-43.87,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,-56.77,99.75,1.62,258.89,16.52,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.2,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,65.83,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-10,4.25,0,0,6,0,15,0,3,3,27,D,30
257720.KQ,257720,실리콘투,25181,우량기업부,화장품 유통,KOSDAQ,주권,KRX,38700.0,36332.5,35904.166666666664,38869.166666666664,40819.5,-5.192371293131959,61800.0,-37.37864077669903,57.06940874031882,2.93,-4.8,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,31.11,14.49,8.19,11.0,5.24,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.79,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,55500.0,,,43.41,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,,,,,0.35,103.34,,상품 종합 도매업,상품 종합 도매업,2026-08-10,4.25,12,0,20,20,15,10,3,5,85,S,31
131290.KQ,131290,티에스이,25109,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,234500.0,219360.0,226540.0,175950.83333333334,129819.0,80.63611643904206,284500.0,-17.57469244288225,44.111874386650555,-12.99,23.75,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-10.0,1517.12,11.02,17.0,5.38,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.19,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,4.0,,,320000.0,,,36.46,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,1672.52,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-08-10,4.25,8,0,12,0,15,0,5,5,45,C,32
357780.KQ,357780,솔브레인,24385,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,314000.0,278075.0,339491.6666666667,384479.1666666667,348672.5,-9.944145293936286,501000.0,-37.3253493013972,58.23095823095422,0.8,-34.03,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-33.25,18.26,29.7,17.0,2.21,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.75,22.77,2350.0,179.98,OpenDART,6.42,2.0,False,4.0,OpenDART,,4.0,,,521556.0,,,66.1,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,-22.12,,기타 화학제품 제조업,기타 화학제품 제조업,2026-08-10,4.25,8,3,6,0,0,0,3,5,25,D,33
178320.KQ,178320,서진시스템,23837,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,37450.0,36327.5,55117.5,51565.0,41964.5,-10.757902512838232,80800.0,-53.650990099009896,51.608751608733016,-20.91,-43.26,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,15.93,16.27,,2.64,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,4.0,,,72250.0,,,92.92,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,,1,0,0,0,,,,,,,,기타 전기장비 제조업,기타 전기장비 제조업,2026-08-10,4.25,0,3,0,0,0,0,5,3,11,D,34
058610.KQ,058610,에스피지,23818,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,107400.0,83915.0,92635.0,107880.83333333333,94215.5,13.993981881962098,158100.0,-32.06831119544592,69.90384615383675,45.14,-18.82,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-30.29,103.2,4.09,251.52,8.92,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,0.0,True,4.0,OpenDART,,4.0,,,130000.0,,,21.04,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,-8.86,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-08-10,4.25,0,0,0,0,0,0,1,5,6,D,35
263750.KQ,263750,펄어비스,22718,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,36500.0,34112.5,38379.166666666664,47459.583333333336,44447.0,-17.87972191598983,72000.0,-49.30555555555556,59.79020979015125,-1.48,-29.67,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,296.2,96.6,7.85,6.0,2.25,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,3.88,,,68750.0,,,88.36,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,,,4,1,3,3,,5.91,-7.93,-61.93,0.02,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-08-10,4.25,15,3,0,20,0,10,3,3,54,C,36
031980.KQ,031980,피에스케이홀딩스,22640,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,105800.0,113045.0,122203.33333333333,114041.66666666667,89439.25,18.29258407242905,166500.0,-36.45645645645645,37.437185929643846,-22.32,-21.51,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-4.32,11.02,6.49,16.0,4.35,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,1.02,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,81.1,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,27.5,7.01,8.16,-37.95,,46.54,-41.82,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,8,0,16,0,15,0,5,5,49,C,37
064760.KQ,064760,티씨케이,22582,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,204500.0,190145.0,241998.33333333334,246907.5,214435.0,-4.633105603096509,348500.0,-41.31994261119082,48.04992199687638,-11.85,-38.96,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-2.77,18.81,68.38,18.0,3.54,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.7,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,5.0,OpenDART,,4.0,,,345000.0,,,68.7,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,6.91,,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-08-10,4.25,8,0,12,0,4,0,5,5,34,D,38
237690.KQ,237690,에스티팜,22546,우량기업부,원료의약품,KOSDAQ,주권,KRX,108300.0,107215.0,119955.0,134816.66666666666,128557.0,-15.757212753875713,168700.0,-35.803200948429165,45.37037037036057,-12.38,-24.05,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,52.02,53.05,12.45,29.0,3.22,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.46,18.3,500.0,100.76,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,184786.0,,,70.62,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,21.25,5.58,7.59,-42.29,0.56,61.23,36.47,의약품 제조업,의약품 제조업,2026-08-10,4.25,0,0,12,20,15,10,5,5,67,B,39
067310.KQ,067310,하나마이크론,22507,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,33850.0,33202.5,41775.0,38336.666666666664,33916.25,-0.19533409501345228,56800.0,-40.404929577464785,44.827586206875935,-14.84,-22.63,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,44.79,21.41,13.0,4.37,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.21,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,,4.0,,,62000.0,,,83.16,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,5,2,4,4,,4.67,2.73,-6.42,,,,반도체 제조업,반도체 제조업,2026-08-10,4.25,8,0,6,0,0,0,5,5,24,D,40
010170.KQ,010170,대한광통신,21830,중견기업부,"광섬유, 광케이블",KOSDAQ,주권,KRX,14040.0,10175.5,15273.833333333334,13281.958333333334,8958.04,56.73071341498809,29100.0,-51.75257731958764,65.43574593789394,11.43,-43.27,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,,4.01,,14.84,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,,,1,0,0,0,,,,,,,,절연선 및 케이블 제조업,절연선 및 케이블 제조업,2026-08-10,4.25,0,0,0,0,0,0,1,3,4,D,41
098460.KQ,098460,고영,21620,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,31700.0,27065.0,31127.5,31478.333333333332,28597.5,10.848850423988111,43500.0,-27.126436781609197,63.4361233479785,10.07,-25.32,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,-29.74,61.63,24.99,34.0,5.31,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.44,62.8,140.0,92.63,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,47417.0,,,49.58,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,26.0,7.01,8.98,-24.25,,-17.9,30.77,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,0,0,0,0,3,5,8,D,42
005290.KQ,005290,동진쎄미켐,21432,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,42400.0,40982.5,50855.0,51672.5,47145.25,-10.065170934505598,66000.0,-35.75757575757576,49.846153846132374,-10.07,-26.52,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-35.98,13.86,13.25,15.7,1.79,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.53,33.71,650.0,334.0,OpenDART,71.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,-11.78,,기초 화학물질 제조업,기초 화학물질 제조업,2026-08-10,4.25,8,6,6,0,0,0,5,5,30,D,43
032820.KQ,032820,우리기술,21166,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,12250.0,10098.0,12787.166666666666,16812.666666666668,12105.95,1.1899107463685152,29300.0,-58.19112627986348,63.37209302316984,9.28,-32.47,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,-84.85,398.75,7.78,60.64,12.69,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,,,3,2,2,2,,,,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-08-10,4.25,0,0,0,0,0,0,3,3,6,D,44
068760.KQ,068760,셀트리온제약,19981,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,45150.0,40430.0,42995.833333333336,51756.25,56083.06,-19.494407045549934,76917.0,-41.300362728655564,78.24267782417613,10.12,-11.99,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,76.47,119.93,5.27,49.83,4.57,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.44,,200.0,86.85,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-10,2025.0,OFS,11011,OpenDART,2025.0,11011,7,5,6,6,21.25,4.91,7.95,-6.92,0.65,34.91,134.49,의약품 제조업,의약품 제조업,2026-08-10,4.25,0,0,6,20,15,10,1,5,57,B,45
140860.KQ,140860,파크시스템스,18871,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,268000.0,251225.0,261183.33333333334,265245.8333333333,253837.5,5.579356872014577,339500.0,-21.06038291605302,57.27848101265315,-0.56,-7.59,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-19.61,42.01,38.7,35.0,7.64,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.19,10.1,500.0,34.76,OpenDART,7.72,5.0,False,5.0,OpenDART,,4.0,,,361125.0,,,34.75,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,18.19,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-08-10,4.25,0,0,16,0,12,0,3,5,36,D,46
140410.KQ,140410,메지온,18669,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,61000.0,55295.0,60865.0,81836.66666666667,85146.5,-28.35876988484553,172700.0,-64.67863346844238,55.160744500832955,7.77,-20.88,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,,24.92,,108.82,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,16.96,-18.83,541.63,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,0,0,0,0,3,1,4,D,47
089970.KQ,089970,브이엠,17796,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,69300.0,77850.0,79970.0,62875.416666666664,48390.0,43.21140731556107,119700.0,-42.10526315789473,35.96377749029102,-32.98,19.28,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,29.68,11.03,18.0,7.7,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,1.0,OpenDART,,4.0,,,118750.0,,,71.36,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,27.5,6.6,8.16,16.67,,,-34.55,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,8,0,16,0,0,0,5,5,34,D,48
041510.KQ,041510,에스엠,17468,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,76500.0,71180.0,76531.66666666667,86856.66666666667,96912.0,-21.062407132243685,153000.0,-50.0,63.37209302323002,-1.29,-10.11,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,1844.22,43.74,32.28,13.0,1.76,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.12,10.7,1620.0,370.89,OpenDART,10.52,5.0,True,5.0,OpenDART,,4.0,,,118167.0,,,54.47,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,0.01,103.18,,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-08-10,4.25,8,6,20,20,15,10,3,3,85,S,49
290650.KQ,290650,엘앤씨바이오,17422,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,65100.0,60717.5,72825.83333333333,74559.58333333333,69433.25,-6.24088603082817,118300.0,-44.97041420118343,47.73195876287282,-10.45,7.43,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,192.78,8.73,23.03,,7.84,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.08,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,7,6,6,6,25.12,3.9,9.66,101.03,,,,의약품 제조업,의약품 제조업,2026-08-10,4.25,0,0,0,0,0,10,5,5,20,D,50
083650.KQ,083650,비에이치아이,17359,우량기업부,"보일러,열교환기등",KOSDAQ,주권,KRX,56500.0,44575.0,57931.666666666664,76149.16666666667,67544.5,-16.35144238242936,109500.0,-48.401826484018265,66.56017039401637,16.86,-32.17,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,232.86,26.53,12.08,22.0,9.49,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,,,,,,,,,,,,4.0,,,110000.0,,,94.69,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,,,2,1,1,1,,,,,0.09,180.92,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-10,4.25,4,0,20,20,15,10,1,3,73,A,51
