yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,220.77999877929688,218.75450134277344,208.31166610717773,203.68083318074545,195.96330017089844,12.66395217204239,235.74000549316406,-6.345977078676617,52.54027175388964,6.84,0.97,daily_close,일봉 종가,2026-09-01 15:34 KST,220.27,-0.23099863308119953,127.8,60.85,71.5,27.876263,27.358118,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.45,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.12,4.72,58.0,1.37,323.42,515.0,180.0,46.49,3.44,Finnhub,yfinance,2026-09-01,0.22,102.92,40.45,10.68,35.48,23,21,22,22,-31.08,156.16,,,,,,,2026-08-31,4.76,0,0,20,20,15,10,5,0,70,A,1
GOOGL,GOOGL,알파벳A,4490.91,339.3500061035156,348.56349792480466,351.7424992879232,348.26158294677737,334.8091494750977,1.3562522516296047,402.6199951171875,-15.714567031191873,44.173877866861176,-9.15,-8.82,daily_close,일봉 종가,2026-09-01 15:34 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,26.14,6.53,Finnhub,yfinance,2026-09-01,0.06,36.52,19.94,4.5,23.92,7,6,6,6,-14.26,50.56,,,,,,,2026-08-31,4.76,8,0,20,20,15,10,5,5,83,A,2
GOOG,GOOG,알파벳C,4483.96,335.4100036621094,346.0835021972656,349.89050038655597,346.127249399821,333.72844940185547,0.503869017840034,399.0400085449219,-15.945770729816273,39.06026356648104,-9.95,-9.17,daily_close,일봉 종가,2026-09-01 15:34 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,25.75,6.53,Finnhub,yfinance,2026-08-26,0.06,36.52,19.92,4.5,23.92,7,6,6,6,-5.45,57.24,,,,,,,2026-08-31,4.76,4,0,20,20,15,10,5,5,79,A,3
AAPL,AAPL,애플,4376.98,316.8500061035156,310.5324996948242,309.77049967447914,292.64283320109047,282.8101495361328,12.036292411434033,340.0799865722656,-6.830740233463789,65.12159109681323,4.43,1.81,daily_close,일봉 종가,2026-09-01 15:34 KST,,,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,2.4,1.69,Finnhub,yfinance,2026-09-01,1.26,10.32,40.45,10.68,35.48,23,21,22,22,-10.27,303.09,,,,,,,2026-08-31,4.76,0,0,20,10,8,8,1,0,47,C,4
MSFT,MSFT,마이크로소프트,2818.35,507.2900085449219,494.33249816894534,427.04466501871747,415.9551653544108,431.1686993408203,17.654646387939902,542.0700073242188,-6.416145204376623,52.22791804104682,4.03,18.51,daily_close,일봉 종가,2026-09-01 15:34 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.72,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,12.28,6.42,Finnhub,yfinance,2026-09-01,0.85,23.34,40.45,11.06,35.92,23,21,22,22,-33.7,-26.65,,,,,,,2026-08-31,4.76,0,0,20,16,12,10,5,0,63,B,5
AMZN,AMZN,아마존,2628.93,259.7699890136719,265.6720001220703,250.42916615804037,247.0623331705729,238.73299995422363,8.81193176623342,284.0199890136719,-8.538131447794923,38.09522424489178,-8.54,2.36,daily_close,일봉 종가,2026-09-01 15:34 KST,260.2015,0.16611271685638185,242.3,41.19,68.73,21.434431,5.2081866,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.68,60.0,0.0,327.0,405.0,230.0,25.88,5.13,Finnhub,yfinance,2026-08-29,0.09,57.24,22.53,16.36,41.7,8,7,4,4,-4.86,-68.17,,,,,,,2026-08-31,4.76,4,0,20,20,15,10,5,0,74,A,6
AVGO,AVGO,브로드컴,1957.03,370.3399963378906,389.96300048828124,385.89150085449216,385.33308436075845,369.4753004455566,0.23403347701219712,481.57000732421875,-23.097370952224214,26.231565602611354,-5.58,-11.59,daily_close,일봉 종가,2026-09-01 15:34 KST,,,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.7,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,42.02,0.51,Finnhub,yfinance,2026-08-28,0.72,20.26,36.29,10.68,35.48,23,21,22,22,70.07,88.76,,,,,,,2026-08-31,4.76,0,0,20,16,12,10,3,5,66,B,7
TSLA,TSLA,테슬라,1504.13,367.95001220703125,341.1124984741211,366.460498046875,380.33991622924805,400.56999984741213,-8.143392578776922,489.8800048828125,-24.889767179811503,64.97615453432869,14.24,-12.07,daily_close,일봉 종가,2026-09-01 15:34 KST,,,-3.0,176.51,43.7,323.19626,15.722664,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.65,39.0,0.85,390.09,600.0,125.0,6.02,-7.04,Finnhub,yfinance,2026-09-01,,-49.94,21.43,11.1,45.9,8,7,4,4,1408.15,41.65,,,,,,,2026-08-31,4.76,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,572.3400268554688,574.8744995117188,590.169829305013,604.6498306274414,622.4477481079101,-8.050108849257894,790.0,-27.551895334750792,40.311164163103086,-3.03,-8.8,daily_close,일봉 종가,2026-09-01 15:34 KST,572.0,-0.05940993806372657,-13.4,22.36,79.03,21.05059,5.5603786,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.37,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,754.14,1000.0,580.0,31.76,0.38,Finnhub,yfinance,2026-08-26,,25.69,18.81,5.1,33.34,7,6,6,6,11.91,9.03,,,,,,,2026-08-31,4.76,4,0,20,0,15,0,5,5,49,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,504.0299987792969,508.38549652099607,499.8536656697591,489.05016606648763,492.4352996826172,2.3545629454575363,539.7999877929688,-6.6265264584242365,34.80931548473566,-1.78,5.31,daily_close,일봉 종가,2026-09-01 15:34 KST,504.11,0.0158723133339072,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,3.23,-3.3,Finnhub,yfinance,2026-08-29,0.12,-16.27,20.13,3.16,15.8,18,17,17,17,-26.76,-99.97,,,,,,,2026-08-31,4.76,8,10,12,20,0,10,3,0,63,B,10
LLY,LLY,일라이릴리,979.64,1156.72998046875,1204.3775024414062,1178.6613362630208,1071.6099207560221,1060.6274545288086,9.06091253150105,1280.3399658203125,-9.654465895889278,39.99037422918955,3.15,2.8,daily_close,일봉 종가,2026-09-01 15:34 KST,1161.7,0.42966116683826316,26.2,66.6,85.44,40.75881,34.79738,102.29,162.071,47.7,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.6,21.69,6.92,,yfinance,15.24,10.0,False,10.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,78.95,4.29,27.0,0.0,1299.01,1600.0,850.0,12.3,24.79,Finnhub,yfinance,2026-09-01,1.56,98.92,25.03,4.2,14.94,16,15,14,14,62.84,728.51,,,,,,,2026-08-31,4.76,0,0,20,5,15,8,5,0,53,C,11
WMT,WMT,월마트,932.53,104.87000274658203,109.94499931335449,113.08049926757812,119.30874932607016,118.58844959259034,-11.56811383666615,134.1999969482422,-21.855435818655085,33.6706917054365,-5.28,-10.93,daily_close,일봉 종가,2026-09-01 15:34 KST,104.8015,-0.06532158366350344,-9.1,35.93,38.16,38.18116,8.894328,22.31,70.378,5.9,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.94,34.96,0.99,,yfinance,7.98,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Discount Stores,89.58,4.42,40.0,0.0,128.43,155.0,81.0,22.47,2.65,Finnhub,yfinance,2026-08-26,,19.45,22.87,8.24,29.72,9,7,6,6,66.95,7.94,,,,,,,2026-08-31,4.76,0,0,20,0,12,0,3,5,40,C,12
AMD,AMD,AMD,876.24,470.7200012207031,481.3415008544922,503.7693339029948,415.99316749572756,336.7168004608154,39.7970046568799,580.9099731445312,-18.968510960030066,48.84644773133415,-2.87,-10.03,daily_close,일봉 종가,2026-09-01 15:34 KST,,,159.5,135.05,75.37,120.51319,11.088466,10.2,6.361,50.1,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Semiconductors,82.76,4.53,48.0,-1.45,613.09,1250.0,365.0,30.25,5.88,Finnhub,yfinance,2026-08-25,0.76,123.61,36.29,10.68,35.92,23,21,22,22,232.08,3.82,,,,,,,2026-08-31,4.76,0,0,12,16,15,10,5,5,63,B,13
JPM,JPM,JP모건 체이스,871.43,356.0199890136719,358.10899658203124,342.9404998779297,322.0086669921875,317.3348005676269,12.190654279596032,365.17999267578125,-2.508353098698352,40.21453570987227,0.96,14.52,daily_close,일봉 종가,2026-09-01 15:34 KST,,,46.9,11.94,75.95,15.2591,2.6788063,17.79,,30.4,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.69,25.71,6.0,,yfinance,11.53,10.0,False,10.0,yfinance dividend history,Financial Services,Banks - Diversified,60.0,3.91,20.0,3.33,373.65,420.0,305.0,4.95,4.8,Finnhub,yfinance,2026-09-01,0.33,11.06,20.13,3.16,14.82,18,17,17,17,-24.2,-15.23,,,,,,,2026-08-31,4.76,8,3,16,20,8,10,5,0,70,A,14
INTC,INTC,Intel Corporation,673.43,89.51000213623047,95.79249954223633,106.12533302307129,93.38008311589559,73.04264991760255,22.54484501480204,140.94000244140625,-36.49070484907722,37.804875265594255,-1.64,-19.92,daily_close,일봉 종가,2026-09-01 15:34 KST,,,98.63,65.53,62.53,,5.154099,-10.71,48.997,25.4,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,0.0,,9.0,yfinance dividend history,Technology,Semiconductors,34.55,3.48,41.0,1.82,114.88,200.0,75.0,28.34,1086.32,Finnhub,yfinance,2026-08-29,,,38.37,11.06,35.92,23,22,22,22,,-53.4,,,,,,,2026-08-31,4.76,0,0,0,0,0,10,5,5,20,D,15
V,V,비자,622.33,379.3699951171875,369.9400039672852,353.63150278727215,334.11725056966145,333.18969970703125,13.860060935485668,384.1400146484375,-1.2417398212512414,67.94618426008651,3.75,18.49,daily_close,일봉 종가,2026-09-01 15:34 KST,379.4252,0.014551726157327019,10.2,28.2,90.3,32.67234,20.344461,61.19,67.821,14.4,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.71,22.13,2.68,,yfinance,15.71,10.0,False,10.0,yfinance dividend history,Financial Services,Credit Services,92.16,4.55,37.0,0.32,417.9,460.0,330.0,10.16,0.78,Finnhub,yfinance,2026-09-01,3.2,10.99,20.08,3.09,14.82,18,17,17,17,62.71,558.4,,,,,,,2026-08-31,4.76,0,0,20,0,8,5,1,0,34,D,16
