yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
080220.KQ,080220,제주반도체,38162,110800.0,40680.4,172.3670367056371,134000.0,-17.313432835820898,54.390681003577406,daily_close,102.29,22.3,4.64,34.76,12.62,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,,,,,,,,,,,53.63,0.34,2026-06-23,4.51,0,0,16,20,15,10,5,5,71,A,21
214370.KQ,214370,케어젠,37331,69500.0,84180.0,-17.43882157282015,150100.0,-53.69753497668221,40.75757575756711,daily_close,-37.87,92.25,3.99,163.68,16.23,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,,,,,,,,,,,-29.05,,2026-06-23,4.51,0,0,6,0,0,0,5,3,14,D,22
108490.KQ,108490,로보티즈,37302,254500.0,245330.18,3.7377464117949155,405000.0,-37.160493827160494,22.181146025876856,daily_close,,691.83,7.83,350.0,11.79,2.49,1.79,29.67,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,1,5,6,D,23
084370.KQ,084370,유진테크,37123,162000.0,103371.25,56.71668863441237,196100.0,-17.389087200407953,60.1539942252125,daily_close,-32.89,30.03,38.07,41.0,7.91,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,,,,,,,,,,,31.84,,2026-06-23,4.51,0,0,6,0,15,0,3,5,29,D,24
178320.KQ,178320,서진시스템,36089,56700.0,38607.45,46.86284641953821,80800.0,-29.826732673267326,34.79923518163504,daily_close,,15.93,12.91,,4.85,-12.63,212.62,-12.15,-98.99,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,25
310210.KQ,310210,보로노이,34209,185900.0,230272.5,-19.269561063522566,363500.0,-48.858321870701516,34.63796477494792,daily_close,,,6.67,,39.73,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,3,6,D,26
067310.KQ,067310,하나마이크론,33006,49650.0,30910.7,60.623991045172055,56800.0,-12.588028169014084,58.861439312549436,regularMarketPrice,,44.79,21.44,20.0,6.91,9.89,209.16,22.68,19.57,,-,,,,,,,,,,,,,2026-06-23,4.51,4,0,6,0,0,0,3,5,18,D,27
095610.KQ,095610,테스,30530,157700.0,67245.75,134.51296178568904,183400.0,-14.01308615049073,65.49912434325208,daily_close,33.69,92.12,11.5,35.0,7.19,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,,,,,,,,,,,504.31,1.04,2026-06-23,4.51,0,0,16,10,15,10,1,5,57,B,28
319400.KQ,319400,현대무벡스,29904,26850.0,22553.325,19.051182031917683,46350.0,-42.07119741100323,30.30888030886392,daily_close,-56.77,99.75,1.45,357.22,22.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,,,,,,,,,,,65.83,,2026-06-23,4.51,0,0,6,0,15,0,3,5,29,D,29
145020.KQ,145020,휴젤,29775,242000.0,258860.0,-6.513173143784284,388000.0,-37.628865979381445,49.596774193542785,regularMarketPrice,3.3,21.91,58.08,17.0,2.6,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,,,,,,,,,,,22.87,5.15,2026-06-23,4.51,8,3,16,0,12,2,5,5,51,C,30
214450.KQ,214450,파마리서치,29091,280000.0,416107.5,-32.70969641258569,711000.0,-60.618846694796055,45.816733067723966,regularMarketPrice,65.07,24.5,7.71,16.0,4.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,,,,,,,,,,,37.82,0.25,2026-06-23,4.51,8,0,20,20,15,10,5,1,79,A,31
005290.KQ,005290,동진쎄미켐,29052,57000.0,45782.0,24.503079813026954,66000.0,-13.636363636363635,54.896421845559914,regularMarketPrice,-35.98,13.86,16.45,23.88,2.73,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,,,,,,,,,,,-11.78,,2026-06-23,4.51,4,3,6,0,0,0,5,5,23,D,32
214150.KQ,214150,클래시스,28605,43850.0,54433.0,-19.44225010563445,75600.0,-41.9973544973545,53.157894736802945,regularMarketPrice,32.76,30.47,70.57,17.0,5.83,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,,,,,,,,,,,32.57,0.52,2026-06-23,4.51,8,0,20,20,15,10,5,5,83,A,33
064760.KQ,064760,티씨케이,28451,254500.0,203024.0,25.354637875325086,348500.0,-26.97274031563845,50.89974293058759,regularMarketPrice,-2.77,18.81,66.85,26.0,5.47,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,,,,,,,,,,,6.91,,2026-06-23,4.51,0,0,12,0,4,0,5,5,26,D,34
357780.KQ,357780,솔브레인,26097,335500.0,341852.5,-1.8582575818518219,501000.0,-33.03393213572854,46.76434676434517,regularMarketPrice,-33.25,18.26,24.39,19.0,2.58,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,,,,,,,,,,,-22.12,,2026-06-23,4.51,4,3,6,0,0,0,5,5,23,D,35
131290.KQ,131290,티에스이,26049,235500.0,99743.5,136.10561089193783,270500.0,-12.939001848428836,57.05186533211647,regularMarketPrice,-10.0,1517.12,11.18,37.46,6.34,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,,,,,,,,,,,1672.52,,2026-06-23,4.51,0,0,12,0,15,0,3,5,35,D,36
031980.KQ,031980,피에스케이홀딩스,25335,117500.0,76339.5,53.917696605296086,152300.0,-22.849638870650033,54.97351383166115,daily_close,-4.32,11.02,6.45,19.0,4.76,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,,,,,,,,,,,46.54,,2026-06-23,4.51,4,0,16,0,15,0,5,5,45,C,37
226950.KQ,226950,올릭스,24691,121500.0,137300.5,-11.507969745193936,207000.0,-41.30434782608695,35.77906018136437,daily_close,,,9.15,,20.13,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,38
237690.KQ,237690,에스티팜,24185,115900.0,125065.5,-7.3285598346466445,168700.0,-31.298162418494368,43.50086655111596,daily_close,52.02,53.05,13.12,37.0,4.15,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,,,,,,,,,,,61.23,0.71,2026-06-23,4.51,0,0,12,16,15,10,5,5,63,B,39
131970.KQ,131970,두산테스나,24159,125000.0,76333.25,63.75563728781364,190100.0,-34.24513413992635,41.909814323603534,daily_close,-95.9,238.23,6.27,60.0,5.84,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,,,,,,,,,,,-83.42,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,40
290650.KQ,290650,엘앤씨바이오,23706,87900.0,65822.0,33.54197684664702,118300.0,-25.697379543533387,57.44680851062513,regularMarketPrice,192.78,8.73,22.68,,10.25,-57.68,118.98,18.75,12.82,,2132 -> 6242,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,10,3,5,18,D,41
263750.KQ,263750,펄어비스,23354,36350.0,44308.75,-17.962027816176263,72000.0,-49.51388888888889,25.283018867897823,regularMarketPrice,296.2,96.6,6.97,7.0,2.52,-1.05,43.8,6.78,,,237 -> 939,,,,,,,,,,,,0.02,2026-06-23,4.51,15,3,0,20,0,10,3,3,54,C,42
257720.KQ,257720,실리콘투,22295,34000.0,42257.5,-19.540909897651304,61800.0,-44.983818770226534,44.23076923072159,regularMarketPrice,31.11,14.49,6.82,10.0,4.42,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,,,,,,,,,,,103.34,0.32,2026-06-23,4.51,12,0,20,20,15,10,5,5,87,S,43
043260.KQ,043260,성호전자,22269,31400.0,21133.8,48.57716075670254,53200.0,-40.97744360902256,34.33852140076887,daily_close,871.74,6.42,1.24,6.53,4.65,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,,,,,,,,,,,101.28,0.01,2026-06-23,4.51,15,0,20,20,15,10,3,5,88,S,44
010170.KQ,010170,대한광통신,22187,14270.0,7352.845,94.0745384949635,29100.0,-50.96219931271477,35.127143701922435,daily_close,,,0.87,,21.31,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,3,8,D,45
089970.KQ,089970,브이엠,22146,89400.0,36772.2,143.1184427366326,102800.0,-13.03501945525292,66.08775137110672,regularMarketPrice,,29.68,16.65,27.0,11.25,17.34,40.37,105.41,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,16,0,0,0,1,5,22,D,46
032820.KQ,032820,우리기술,21896,12760.0,11018.15,15.80891528977188,29300.0,-56.45051194539249,44.11571334644197,regularMarketPrice,-84.85,398.75,4.58,71.78,15.03,0.67,172.08,22.16,-1016.67,,33 -> 5,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,3,8,D,47
098460.KQ,098460,고영,21557,31400.0,26498.05,18.49928579650201,43500.0,-27.816091954022987,48.60248447202856,daily_close,-29.74,61.63,22.33,48.0,6.36,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,,,,,,,,,,,-17.9,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,48
420770.KQ,420770,기가비스,19938,157300.0,63573.0,147.43208594843722,159200.0,-1.193467336683417,66.3926002055403,regularMarketPrice,353.16,47.97,2.56,107.59,8.74,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,,,,,,,,,,,-33.36,0.3,2026-06-23,4.51,0,0,6,20,0,10,1,0,37,D,49
183300.KQ,183300,코미코,19579,95300.0,60491.78,57.54206604599832,139200.0,-31.537356321839084,51.726844583981745,daily_close,-10.74,15.48,21.39,44.65,7.59,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,,,,,,,,,,,24.61,,2026-06-23,4.51,0,0,16,0,12,0,5,5,38,D,50
089030.KQ,089030,테크윙,19453,52500.0,52136.25,0.6976911457958714,71100.0,-26.160337552742618,53.24324324322981,regularMarketPrice,,181.67,14.92,489.43,10.54,4.63,198.75,-14.23,-32.48,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,51
082920.KQ,082920,비츠로셀,18566,40950.0,27449.895,49.18089850616914,64100.0,-36.11544461778471,21.62162162160675,regularMarketPrice,10.56,11.12,31.54,25.0,5.77,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,,,,,,,,,,,23.31,2.37,2026-06-23,4.51,4,0,16,0,12,5,1,5,43,C,52
035900.KQ,035900,JYP Ent.,18014,50700.0,67682.5,-25.09141949543826,85100.0,-40.42303172737955,39.56521739128026,daily_close,64.27,25.19,18.49,14.0,2.89,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,,,,,,,,,,,23.33,0.22,2026-06-23,4.51,8,3,20,20,12,10,5,5,83,A,53
