yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,185944,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,347000.0,299850.0,335108.3333333333,352662.5,400785.0,-13.41991341991342,559000.0,-37.924865831842574,67.53246753246262,4.83,-2.66,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,124.85,217.44,14.61,62.0,33.02,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.11,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,537500.0,,,54.9,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,CFS,11011.0,OpenDART,0.5,2025.0,11011.0,,16.96,-31.49,10,1,9,9,,94.69,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-04,4.25,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,111336,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82600.0,78735.0,106506.66666666667,131053.33333333333,117710.5,-29.827840337098223,185000.0,-55.351351351351354,52.045133991527095,-3.39,-48.28,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,,336.78,19.6,171.24,4.77,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,3,2,2,2,,,,기타 금융업,기타 금융업,2026-08-04,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,100276,중견기업부,양극활물질,KOSDAQ,주권,KRX,102800.0,108990.0,155271.66666666666,179450.0,172707.5,-40.477396754628494,246000.0,-58.211382113821145,44.5405405405338,-15.53,-56.35,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,,364.17,15.04,261.0,5.67,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.1,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.83,,,248647.0,,,141.87,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,2,1,1,1,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-04,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,90597,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,470000.0,429750.0,579658.3333333334,622695.8333333334,555937.5,-15.458122540753234,880000.0,-46.590909090909086,56.37583892617298,-2.08,-32.57,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,-33.64,3949.62,5.31,,58.46,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,94.68,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,28.0,6.6,8.98,19,15,18,18,,785.76,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-04,4.25,0,0,0,0,0,0,3,3,6,D,4
036930.KQ,036930,주성엔지니어링,63214,우량기업부,LP CVD,KOSDAQ,주권,KRX,136000.0,158190.0,183423.33333333334,128570.41666666667,89536.25,51.89378603638192,250500.0,-45.70858283433134,35.10526315789215,-25.15,0.67,daily_close,NXT 미확인,2026-08-04 22:29 KST,,,-66.22,32.8,8.47,887.5,9.95,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.04,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,39.71,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,27.5,6.6,8.98,19,14,18,18,3127.27,50.76,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-04,4.25,0,0,6,0,4,0,5,3,18,D,5
058470.KQ,058470,리노공업,49080,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,64900.0,68430.0,86640.0,97951.66666666667,84376.0,-23.08239309756329,127000.0,-48.89763779527559,41.959334565608366,-13.35,-42.82,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,34.19,27.95,32.83,26.0,6.88,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.23,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,109.55,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,OFS,11011,OpenDART,0.76,2025.0,11011,14.58,2.98,8.6,8,5,7,7,78.33,130.87,17.07,전자부품 제조업,전자부품 제조업,2026-08-04,4.25,0,0,20,16,12,10,5,3,66,B,6
240810.KQ,240810,원익IPS,47365,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,96500.0,109005.0,126668.33333333333,123135.0,101626.0,-5.043984807037569,183300.0,-47.35406437534097,37.876386687792944,-22.49,-27.39,daily_close,NXT 미확인,2026-08-04 22:29 KST,,,304.73,46.26,13.97,30.0,5.25,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.21,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,83.25,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,0.1,2025.0,11011.0,27.5,6.88,8.16,19,14,18,18,9.09,-23.69,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-04,4.25,0,0,6,20,0,10,5,3,44,C,7
028300.KQ,028300,HLB,45753,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,34850.0,34120.0,44960.0,49710.0,49618.75,-29.764453961456105,92500.0,-62.32432432432432,64.51612903222379,-28.51,-41.43,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,,,18.51,,9.8,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-31,2025.0,CFS,11011.0,OpenDART,,,,,,,3,2,2,2,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-04,4.25,0,0,0,0,0,0,3,1,4,D,8
298380.KQ,298380,에이비엘바이오,45013,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,80500.0,74270.0,95195.0,133097.5,146198.0,-44.937687246063554,245500.0,-67.20977596741345,55.61797752807531,-10.75,-36.31,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,,,13.69,-68.0,21.33,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,220000.0,,,173.29,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,,9.81,-9.41,8,2,7,7,,117.43,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-04,4.25,0,0,0,0,0,0,3,1,4,D,9
141080.KQ,141080,리가켐바이오,40684,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,108600.0,102580.0,134625.0,162049.16666666666,164727.5,-34.072938641089074,213500.0,-49.133489461358316,53.07692307691491,-15.02,-40.56,nxt_web_latest,NXT 체결가,2026-08-04 22:19 KST,,,,483.55,11.47,-57.0,7.13,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,106.26,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,,23.09,-31.49,10,2,9,9,,-69.12,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-04,4.25,0,0,0,0,0,0,5,3,8,D,10
