yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
083650.KQ,083650,비에이치아이,16679,54100.0,68137.25,-20.60143313679375,109500.0,-50.593607305936075,39.087947882727235,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,232.86,26.53,13.49,20.0,9.12,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,,,,,,0.09,180.92,2026-06-25,4.25,4,0,20,20,15,10,5,3,77,A,59
030530.KQ,030530,원익홀딩스,15988,20700.0,28839.8,-28.224190181624003,48700.0,-57.49486652977412,43.47826086954115,daily_close,정규장 종가,2026-06-25 17:48 KST,,137.36,5.42,82.8,1.58,2.78,51.37,-3.49,-101.31,,-,6230.0,-4.0,504.0,-0.06,8.09,,,,,,,,2026-06-25,4.25,0,6,0,0,0,0,5,3,14,D,60
007390.KQ,007390,네이처셀,15818,24450.0,22442.0,8.94750913465823,37800.0,-35.317460317460316,26.262626262607697,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,1126.55,8.73,,25.08,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,61
041510.KQ,041510,에스엠,15682,68600.0,106782.0,-35.756962783989806,153000.0,-55.16339869281046,43.37078651684029,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,1844.22,43.74,32.9,11.0,1.57,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,,,,,,0.01,103.18,2026-06-25,4.25,12,6,20,20,15,10,5,3,91,S,62
096530.KQ,096530,씨젠,15223,29200.0,25652.25,13.830170842713601,35150.0,-16.927453769559033,47.28682170537504,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,7007.69,906.71,18.06,23.19,1.3,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,,,,,,0.0,,2026-06-25,4.25,4,6,0,0,0,10,5,5,30,D,63
0009K0.KQ,0009K0,에임드바이오,14906,23000.0,47551.25,-51.631134828211664,72500.0,-68.27586206896552,40.44321329636753,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,626.65,2.1,334.06,7.77,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,,,,,,,,2026-06-25,4.25,0,0,6,0,0,0,5,1,12,D,64
078600.KQ,078600,대주전자재료,14891,94500.0,95322.5,-0.8628602900679273,182800.0,-48.304157549234134,32.69720101780588,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-43.95,667.76,15.44,145.55,5.65,8.6,155.9,16.1,-29.59,444.67,45 -> 2382 -> 1335,2546.0,207.0,209.0,8.13,8.21,,,,,,,444.67,2026-06-25,4.25,0,0,6,0,15,0,3,3,27,D,65
039200.KQ,039200,오스코텍,13964,36850.0,47772.25,-22.863168471235916,62000.0,-40.564516129032256,34.78260869562395,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,5847.83,547.23,12.86,25.14,7.81,33.87,23.02,193.53,,,23 -> 1368,998.0,521.0,544.0,52.2,54.51,,,,,,0.0,,2026-06-25,4.25,0,0,20,0,0,10,3,5,38,D,66
323280.KQ,323280,태성,13268,42950.0,50328.75,-14.66110324615652,89700.0,-52.11817168338907,36.28318584069512,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,103.42,4.64,,10.36,-3.0,34.71,-35.98,-141.67,,-,379.0,-25.0,-25.0,-6.6,-6.6,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,3,8,D,67
060370.KQ,060370,LS마린솔루션,12981,24850.0,29532.75,-15.85612582641305,50100.0,-50.399201596806385,30.24911032025456,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-51.36,69.69,2.87,96.32,2.02,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,,,,,,,-28.93,2026-06-25,4.25,0,3,0,0,0,0,3,3,9,D,68
031330.KQ,031330,에스에이엠티,12739,12740.0,6102.1,108.78058373346879,18860.0,-32.44962884411453,30.952380952329364,daily_close,정규장 종가,2026-06-25 17:48 KST,39.34,6.2,9.03,4.16,1.72,16.55,183.14,30.01,68.99,51.79,329 -> 544 -> 758,37566.0,1139.0,758.0,3.03,2.02,,,,,,0.11,51.79,2026-06-25,4.25,15,6,16,20,15,10,3,5,90,S,69
458870.KQ,458870,씨어스,12578,33200.0,38432.765,-13.615374798040161,63034.0,-47.3300123742742,59.164733178615855,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,102.08,5.89,21.0,23.24,52.78,36.81,495.06,,,-,482.0,163.0,160.0,33.82,33.2,,,,,,,,2026-06-25,4.25,4,0,20,0,0,0,3,3,30,D,70
127120.KQ,127120,제이에스링크,12020,34450.0,28340.5,21.557488399992945,48900.0,-29.550102249488752,42.03124999998161,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,2.23,,13.35,-35.13,79.37,21.38,,,-,193.0,-125.0,-164.0,-64.77,-84.97,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,71
476830.KQ,476830,알지노믹스,11969,86200.0,131327.0,-34.36231696452367,236000.0,-63.47457627118644,38.91454965357338,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,11.8,,23.13,604.61,6.72,7800.0,,,-,79.0,-146.0,-1038.0,-184.81,-1313.92,,,,,,,,2026-06-25,4.25,0,0,20,0,0,0,5,1,26,D,72
166090.KQ,166090,하나머티리얼즈,11787,59900.0,53876.0,11.181230974831093,81100.0,-26.140567200986435,46.72727272726084,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,20.8,21.83,22.8,23.63,2.37,9.39,47.86,8.7,15.44,5.86,1731 -> 1606 -> 1940,2735.0,501.0,384.0,18.32,14.04,,,,,,1.14,5.86,2026-06-25,4.25,4,3,6,10,4,8,5,5,45,C,73
101490.KQ,101490,에스앤에스텍,11499,53500.0,68618.75,-22.032972037526186,105100.0,-49.096098953377734,37.03703703702104,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,91.27,24.46,14.45,19.19,3.5,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,2437.0,504.0,581.0,20.68,23.84,,,,,,0.21,50.19,2026-06-25,4.25,4,0,20,20,15,10,5,3,77,A,74
475830.KQ,475830,오름테라퓨틱,11359,52500.0,78691.75,-33.28398466167038,143700.0,-63.465553235908146,40.90909090908127,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,8.18,,9.99,-33.22,29.37,,,,-,,-518.0,-420.0,,,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,1,6,D,75
195940.KQ,195940,HK이노엔,11246,39700.0,49222.75,-19.346237258178384,57600.0,-31.07638888888889,44.48529411760126,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,22.91,20.56,14.27,12.0,0.84,5.87,57.85,18.52,25.74,26.83,1661 -> 2174 -> 2672,10632.0,1109.0,757.0,10.43,7.12,,,,,,0.52,26.83,2026-06-25,4.25,12,8,6,20,15,8,5,5,79,A,76
204270.KQ,204270,제이앤티씨,11234,19320.0,20678.05,-6.567592205261132,31250.0,-38.176,55.53602811946236,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,39.18,2.68,,4.6,-31.32,121.3,-32.03,,,-,1857.0,-780.0,-916.0,-42.0,-49.33,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,5,8,D,77
437730.KQ,437730,삼현,11145,35200.0,44882.75,-21.573433000428896,73200.0,-51.91256830601093,35.75909661228354,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,19.27,100.86,1.96,206.76,8.77,8.46,53.4,-5.38,-85.45,-5.72,369 -> 275 -> 328,950.0,8.0,97.0,0.84,10.21,,,,,,10.73,-5.72,2026-06-25,4.25,0,0,6,0,0,8,5,3,22,D,78
100790.KQ,100790,미래에셋벤처투자,10598,19950.0,22223.6,-10.23056570492629,67400.0,-70.4005934718101,22.620689655163673,daily_close,정규장 종가,2026-06-25 17:48 KST,263.75,20.88,6.61,24.3,2.72,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,2398.0,351.0,309.0,14.64,12.89,,,,,,0.09,12.85,2026-06-25,4.25,4,3,6,20,8,10,1,1,53,C,79
003380.KQ,003380,하림지주,10550,9420.0,11201.9,-15.907122898793952,19610.0,-51.963284038755745,35.34031413599614,daily_close,정규장 종가,2026-06-25 17:48 KST,772.77,17.26,9.07,4.11,0.28,7.29,170.94,7.67,15.92,148.93,331 -> 235 -> 2051,132149.0,8874.0,5138.0,6.72,3.89,,,,,,0.01,148.93,2026-06-25,4.25,15,10,6,20,15,10,5,3,84,A,80
232140.KQ,232140,와이씨,10460,12750.0,16382.95,-22.17518822922612,23700.0,-46.20253164556962,39.225422045625706,daily_close,정규장 종가,2026-06-25 17:48 KST,75.37,55.92,8.22,30.0,2.75,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,2726.0,170.0,290.0,6.24,10.64,,,,,,0.4,19.34,2026-06-25,4.25,0,3,6,20,12,10,5,3,59,B,81
085660.KQ,085660,차바이오텍,10161,11000.0,15053.0,-26.924865475320537,23850.0,-53.878406708595385,35.319148936065005,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,8.28,,1.98,-37.19,214.81,21.37,,,-,12683.0,-488.0,-1467.0,-3.85,-11.57,,,,,,,,2026-06-25,4.25,0,3,0,0,0,0,5,3,11,D,82
417200.KQ,417200,LS머트리얼즈,10100,14930.0,15881.15,-5.989175846837286,31250.0,-52.224000000000004,33.17972350225064,daily_close,정규장 종가,2026-06-25 17:48 KST,-92.86,746.84,7.92,,5.5,0.24,33.22,8.09,-101.61,-83.26,214 -> 84 -> 6,1536.0,-1.0,-10.0,-0.07,-0.65,,,,,,,-83.26,2026-06-25,4.25,0,0,0,0,0,0,3,3,6,D,83
036540.KQ,036540,SFA반도체,9949,6050.0,5878.25,2.9217879470930974,11010.0,-45.049954586739325,37.246049661281845,daily_close,정규장 종가,2026-06-25 17:48 KST,,23.78,8.69,,2.06,-3.93,16.21,-8.26,,,-,3674.0,-196.0,-191.0,-5.33,-5.2,,,,,,,,2026-06-25,4.25,0,3,0,0,0,0,5,3,11,D,84
065350.KQ,065350,신성델타테크,9811,35550.0,57538.5,-38.21528194165646,121700.0,-70.78882497945769,34.394904458568064,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,73.25,81.02,3.63,42.91,3.85,9.51,161.32,7.19,4.53,,456 -> 790,9454.0,277.0,242.0,2.93,2.56,,,,,,0.59,,2026-06-25,4.25,0,0,6,20,0,10,3,1,40,C,85
347700.KQ,347700,스피어,9771,18850.0,25791.8,-26.91475585263533,53100.0,-64.50094161958569,33.51123595504299,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-98.98,1590.82,9.33,21.57,8.8,0.43,49.85,11.94,-40.13,,491 -> 5,956.0,91.0,2.0,9.52,0.21,,,,,,,,2026-06-25,4.25,4,0,0,0,0,0,3,1,8,D,86
090710.KQ,090710,휴림로봇,9528,7970.0,9207.15,-13.436839847292589,21500.0,-62.93023255813953,32.4881141045238,daily_close,정규장 종가,2026-06-25 17:48 KST,,,5.88,,7.66,-13.42,36.13,26.45,,,-,1683.0,-173.0,-301.0,-10.28,-17.88,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,1,4,D,87
038500.KQ,038500,삼표시멘트,9410,8720.0,8988.625,-2.988499353349372,20200.0,-56.83168316831683,35.38205980058217,daily_close,정규장 종가,2026-06-25 17:48 KST,-38.34,9.33,3.76,19.12,1.21,5.29,84.0,-14.4,-26.28,9.89,313 -> 613 -> 378,6769.0,766.0,408.0,11.32,6.03,,,,,,,9.89,2026-06-25,4.25,4,6,6,0,8,0,5,3,32,D,88
281740.KQ,281740,레이크머티리얼즈,9373,14260.0,17448.2,-18.27237193521395,27550.0,-48.23956442831216,36.6249999999359,daily_close,정규장 종가,2026-06-25 17:48 KST,-63.09,69.3,10.23,76.26,6.74,5.8,161.94,1.8,-40.09,-43.54,367 -> 317 -> 117,1412.0,133.0,78.0,9.42,5.52,,,,,,,-43.54,2026-06-25,4.25,0,0,6,0,0,0,5,3,14,D,89
491000.KQ,491000,리브스메드,9301,37200.0,59084.5,-37.03932503448451,91300.0,-59.2552026286966,32.9979879275468,daily_close,정규장 종가,2026-06-25 17:48 KST,,,6.78,,5.31,-20.75,11.65,88.93,,,-,512.0,-226.0,-229.0,-44.14,-44.73,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,3,6,D,90
099320.KQ,099320,쎄트렉아이,9297,84700.0,116355.25,-27.205691191415944,214000.0,-60.42056074766356,26.27235213204446,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,93.35,37.02,11.4,55.0,3.77,6.31,73.42,20.78,,-45.98,4784 -> 722 -> 1396,2069.0,102.0,141.0,4.93,6.81,,,,,,0.59,-45.98,2026-06-25,4.25,0,0,6,20,0,10,3,1,40,C,91
388210.KQ,388210,씨엠티엑스,9133,94500.0,123150.0,-23.26431181485993,164400.0,-42.518248175182485,40.70422535210464,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,247.81,,7.25,14.0,4.7,-35.89,51.01,47.75,119.49,,891 -> 3099,1606.0,518.0,-215.0,32.25,-13.39,,,,,,0.06,,2026-06-25,4.25,8,0,0,20,0,10,5,5,48,C,92
083450.KQ,083450,GST,9113,49350.0,33207.05,48.61302042789105,66500.0,-25.789473684210527,47.349823321539155,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,0.82,8.6,22.45,16.58,2.86,16.15,26.8,4.14,1.02,13.24,1916 -> 2437 -> 2457,3472.0,592.0,456.0,17.05,13.13,,,,,,20.22,13.24,2026-06-25,4.25,8,3,16,0,8,2,5,5,47,C,93
074600.KQ,074600,원익QnC,9016,34100.0,27865.2,22.37486183483341,42150.0,-19.098457888493474,49.924357034774616,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-55.74,18.02,11.95,38.58,1.77,4.73,170.93,5.84,-34.22,-23.19,1451 -> 1934 -> 856,9436.0,596.0,10.0,6.32,0.11,,,,,,,-23.19,2026-06-25,4.25,0,6,0,0,0,0,5,5,16,D,94
397030.KQ,397030,에이프릴바이오,9014,38900.0,47891.75,-18.775154384627832,73300.0,-46.93042291950887,34.14634146340168,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,17.75,12.84,-104.0,9.18,-10.39,0.83,-92.0,-143.2,,-,22.0,-73.0,-97.0,-331.82,-440.91,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,3,3,6,D,95
161580.KQ,161580,필옵틱스,8743,37100.0,43452.0,-14.618429531436988,63000.0,-41.11111111111111,41.621621621600625,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,19.45,0.06,,8.18,-14.67,100.09,-74.84,-352.9,,-,1034.0,-349.0,-264.0,-33.75,-25.53,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,96
090360.KQ,090360,로보스타,8628,88000.0,72335.0,21.656183037257208,158800.0,-44.584382871536526,20.669291338579825,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,219.72,257.62,4.42,,9.83,-5.82,25.72,-15.04,-5800.0,,71 -> 227,757.0,-57.0,-52.0,-7.53,-6.87,,,,,,,,2026-06-25,4.25,0,0,0,0,0,10,1,5,16,D,97
137400.KQ,137400,피엔티,8410,35550.0,44419.5,-19.96758180528822,70400.0,-49.502840909090914,35.537190082617215,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-47.64,12.61,6.85,10.71,1.24,11.37,146.08,-28.03,-41.71,1.45,2808 -> 5519 -> 2890,7449.0,956.0,695.0,12.83,9.33,,,,,,,1.45,2026-06-25,4.25,12,6,12,0,0,0,5,3,38,D,98
388720.KQ,388720,유일로보틱스,8352,71400.0,91301.5,-21.79756082868299,150700.0,-52.621101526211014,22.448979591828703,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,,,15.03,,8.94,-26.71,20.64,4.83,-3250.0,,-,369.0,-126.0,-247.0,-34.15,-66.94,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,1,3,4,D,99
056190.KQ,056190,SFA,8348,23350.0,26672.0,-12.455008998200361,35650.0,-34.50210378681627,40.254237288087836,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,37.83,21.28,12.95,16.61,0.71,6.11,49.77,-20.26,,,1113 -> 1534,16310.0,859.0,521.0,5.27,3.19,,,,,,0.44,,2026-06-25,4.25,8,10,6,20,0,10,5,5,64,B,100
