yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,199213,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,286000.0,310950.0,272401.15,274086.18333333335,301238.995,-5.058772354488832,430123.0,-33.50739207157022,45.58823529411295,-6.23,7.12,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,124.86,217.49,14.4,69.0,37.73,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,485000.0,,,69.58,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011.0,OpenDART,0.55,,2025.0,11011.0,,24.34,-33.31,11,1,10,10,,55.01,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-07,4.25,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,112015,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82500.0,87665.0,89973.33333333333,116503.33333333333,118276.5,-30.24818962346705,185000.0,-55.4054054054054,43.97905759160692,-4.07,-24.17,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,,336.78,19.17,79.63,4.98,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-08,2025.0,CFS,11011,OpenDART,,,2025.0,11011,,,,3,2,2,2,,,기타 금융업,기타 금융업,2026-09-07,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,104385,중견기업부,양극활물질,KOSDAQ,주권,KRX,106700.0,110989.75,120622.18333333333,159254.34166666667,164972.715,-35.322638049570806,242127.0,-55.93221739004737,49.35750084785976,1.32,-34.02,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,,358.44,14.64,746.0,5.78,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,172386.0,,,61.56,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,,,,2,1,1,1,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-07,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,87012,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,187200.0,173320.0,174346.66666666666,150000.83333333334,105332.0,77.72376865529942,250500.0,-25.269461077844312,54.89467162328664,46.48,-23.75,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,-66.22,32.8,8.8,887.5,14.45,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,9.51,,,Naver/FnGuide,,KRW,2026-09-08,2025.0,CFS,11011,OpenDART,,3.49,2025.0,11011,30.0,5.54,8.98,19,17,18,18,2858.33,160.83,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-07,4.25,0,0,6,0,4,0,5,5,20,D,4
277810.KQ,277810,레인보우로보틱스,86911,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,448000.0,464075.0,477391.6666666667,569537.5,566110.0,-20.86343643461518,880000.0,-49.09090909090909,42.903225806447736,-3.66,-25.95,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,45.09,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,,,,31.0,5.54,8.98,19,18,18,18,,1084.66,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-07,4.25,0,0,0,0,0,0,5,3,8,D,5
240810.KQ,240810,원익IPS,57722,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,117600.0,110755.0,122370.0,121205.0,106936.5,9.971805697773913,183300.0,-35.84288052373159,55.34979423866718,33.18,-16.6,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.17,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,31.56,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.08,,2025.0,11011.0,32.0,5.79,8.16,19,17,18,18,-21.88,-12.78,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-07,4.25,4,0,6,20,0,10,3,5,48,C,6
039030.KQ,039030,이오테크닉스,56177,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,456000.0,402700.0,392991.6666666667,425654.1666666667,383750.0,18.827361563517915,612000.0,-25.49019607843137,65.67164179103791,40.52,-9.52,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,16.78,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,1.37,24.98,,,30.0,5.54,8.24,19,17,18,18,52.9,20.04,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-07,4.25,0,0,6,10,12,10,1,5,44,C,7
058470.KQ,058470,리노공업,52128,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,68400.0,67715.0,73551.66666666667,90725.83333333333,85553.5,-20.050027175977604,127000.0,-46.14173228346456,51.72413793099287,4.11,-31.46,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,34.19,27.95,31.56,25.0,6.28,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.17,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,103500.0,,,51.32,,,Naver/FnGuide,,KRW,2026-09-04,2025.0,OFS,11011.0,OpenDART,0.73,17.07,2025.0,11011.0,16.06,5.01,12.5,8,6,7,7,55.67,25.35,전자부품 제조업,전자부품 제조업,2026-09-07,4.25,4,0,20,16,12,10,5,3,70,A,8
222800.KQ,222800,심텍,45493,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,119800.0,115155.0,112860.0,99412.91666666667,80533.0,48.758893869593834,157300.0,-23.839796567069293,55.56946182727437,8.91,-10.13,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,47.12,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,16.06,5.01,15.99,8,6,7,7,49.44,44.51,전자부품 제조업,전자부품 제조업,2026-09-07,4.25,4,0,0,0,0,0,3,5,12,D,9
108490.KQ,108490,로보티즈,44221,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,301500.0,260225.0,241985.0,265492.5,264457.0,14.007192095501347,405000.0,-25.555555555555554,57.62711864406232,31.37,5.24,daily_close,NXT 미확인,2026-09-08 01:44 KST,,,,691.83,4.66,972.0,10.11,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,392286.0,,,30.11,,,Naver/FnGuide,,KRW,2026-09-04,2025.0,CFS,11011.0,OpenDART,,,,,30.0,5.54,8.98,19,17,18,18,3140.0,82.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-07,4.25,0,0,0,0,0,0,3,5,8,D,10
