yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,209.66000366210938,215.5605010986328,208.1436663309733,202.6719165802002,195.5335501861572,7.224567580603486,235.74000549316406,-11.063036066575025,39.40014026700619,10.34,-6.55,daily_close,일봉 종가,2026-08-27 20:49 KST,,,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.48,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,2026-08-27,0.14,102.92,40.45,10.68,35.48,23,21,22,22,-25.08,129.24,,,,,,,2026-08-26,4.66,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,342.0,350.3989990234375,352.8498326619466,347.30599950154624,333.9773994445801,2.4021387581201172,402.6199951171875,-15.056379676211387,32.12255823308382,1.57,-9.13,daily_close,일봉 종가,2026-08-27 20:49 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,25.17,6.53,Finnhub,yfinance,2026-08-27,0.06,36.52,18.81,4.5,23.92,7,6,6,6,-9.11,50.56,,,,,,,2026-08-26,4.66,8,0,20,20,15,10,3,5,81,A,2
GOOG,GOOG,알파벳C,4483.96,339.1000061035156,348.4235015869141,351.01283365885416,345.25424931844077,332.95859939575195,1.8444955976235504,399.0400085449219,-15.021050811414693,27.549982119104143,0.99,-8.99,daily_close,일봉 종가,2026-08-27 20:49 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,24.39,6.53,Finnhub,yfinance,2026-08-26,0.06,36.52,17.94,4.5,23.92,7,6,6,6,4.99,57.24,,,,,,,2026-08-26,4.66,4,0,20,20,15,10,3,5,77,A,3
AAPL,AAPL,애플,4376.98,313.45001220703125,310.26399993896484,309.5298334757487,291.2014996846517,282.1202494812012,11.105109535186937,340.0799865722656,-7.8305032394417635,51.309176858898866,-7.32,2.33,daily_close,일봉 종가,2026-08-27 20:49 KST,310.16,-1.0496130416030094,28.7,30.44,66.29,34.966743,41.42799,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.87,41.0,1.85,322.28,400.0,215.0,2.82,1.69,Finnhub,yfinance,2026-08-27,1.22,10.32,40.45,10.68,35.48,23,21,22,22,-13.56,287.9,,,,,,,2026-08-26,4.66,0,0,20,10,8,8,5,0,51,C,4
MSFT,MSFT,마이크로소프트,2818.35,496.3699951171875,488.2119964599609,423.2249974568685,413.4405817667643,431.09679916381833,15.141192437516828,542.0700073242188,-8.430647626607666,47.236746715473856,27.1,7.78,daily_close,일봉 종가,2026-08-27 20:49 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.73,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,14.75,6.42,Finnhub,yfinance,2026-08-27,0.85,23.34,40.45,11.06,35.92,23,21,22,22,-33.7,-26.65,,,,,,,2026-08-26,4.66,0,0,20,16,12,10,5,0,63,B,5
AMZN,AMZN,아마존,2628.93,260.2799987792969,266.10399932861327,250.06033274332682,245.8837500254313,238.5302500152588,9.118235009038374,284.0199890136719,-8.358563183111816,36.16625540729635,14.84,-0.38,daily_close,일봉 종가,2026-08-27 20:49 KST,,,242.3,41.19,67.81,22.83119,5.552037,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.65,61.0,0.0,321.95,400.0,207.0,23.69,5.24,Finnhub,yfinance,2026-08-19,0.09,57.24,23.64,16.36,41.7,8,7,4,4,-3.42,-66.06,,,,,,,2026-08-26,4.66,4,0,20,20,15,10,5,0,74,A,6
AVGO,AVGO,브로드컴,1957.03,355.5899963378906,392.8970001220703,390.37550099690753,384.5675842285156,369.22085037231443,-3.6917888089686004,481.57000732421875,-26.160269342004856,15.742317755491456,-3.98,-22.69,daily_close,일봉 종가,2026-08-27 20:49 KST,359.34,1.0545863777748128,85.4,63.62,80.06,69.45743,22.574606,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.73,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.69,45.0,-0.16,527.88,675.0,215.88,48.45,0.51,Finnhub,yfinance,2026-08-18,0.81,20.26,34.97,10.68,35.48,23,21,22,22,98.62,111.37,,,,,,,2026-08-26,4.66,0,0,20,16,12,10,1,5,64,B,7
TSLA,TSLA,테슬라,1504.13,345.82000732421875,334.6439971923828,369.7001647949219,381.3660827636719,401.78429977416994,-13.92893960301757,489.8800048828125,-29.407200972216717,63.64298919033573,15.92,-16.85,daily_close,일봉 종가,2026-08-27 20:49 KST,,,-3.0,176.51,43.7,323.19626,15.722664,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.65,39.0,0.85,390.09,600.0,125.0,12.8,-7.04,Finnhub,yfinance,2026-08-27,,-49.94,22.83,11.27,45.9,8,7,4,4,1315.66,39.51,,,,,,,2026-08-26,4.66,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,576.1400146484375,573.1005004882812,592.2818288167317,606.5236638387045,623.2431982421875,-7.557753333947511,790.0,-27.070884221716774,44.69871834183968,-1.62,-4.05,daily_close,일봉 종가,2026-08-27 20:49 KST,573.5,-0.458224490803411,-13.4,22.36,79.03,21.05059,5.5603786,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.36,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,754.14,1000.0,580.0,30.9,0.38,Finnhub,yfinance,2026-08-26,,25.69,17.94,5.1,33.34,7,6,6,6,17.34,9.03,,,,,,,2026-08-26,4.66,4,0,20,0,15,0,5,5,49,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,504.9100036621094,509.53199615478513,498.4216654459635,488.8742495218913,492.3436996459961,2.552343825085746,539.7999877929688,-6.463502208199539,34.26014290528036,-0.83,7.36,daily_close,일봉 종가,2026-08-27 20:49 KST,,,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,3.05,-3.3,Finnhub,yfinance,2026-08-19,0.12,-16.27,20.13,3.16,15.8,18,17,17,17,-26.76,-99.97,,,,,,,2026-08-26,4.66,8,10,12,20,0,10,3,0,63,B,10
