yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,167189,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,313500.0,314075.0,341550.0,357983.3333333333,405435.0,-22.67564467793851,559000.0,-43.917710196779964,45.36585365853349,-8.73,-17.28,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,124.85,217.44,14.1,54.0,29.59,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,566667.0,,,80.76,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,1,8,8,0.43,,,15.43,-25.16,,91.77,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-27,4.25,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,109435,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,81100.0,85140.0,114896.66666666667,135736.66666666666,116889.75,-30.618381851274385,185000.0,-56.16216216216217,46.02917341976265,-14.99,-48.15,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,,336.78,19.41,172.79,4.81,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,기타 금융업,기타 금융업,2026-07-27,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,108102,중견기업부,양극활물질,KOSDAQ,주권,KRX,111100.0,119370.0,167235.0,185860.83333333334,173162.5,-35.84061214177435,246000.0,-54.83739837398374,43.05210918113396,-16.9,-46.46,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,,364.17,14.78,290.0,6.16,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.84,,,248722.0,,,123.87,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-27,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,86523,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,444000.0,453200.0,605283.3333333334,638241.6666666666,552627.5,-19.65654984596315,880000.0,-49.54545454545455,46.33620689655032,-7.5,-33.63,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,-33.64,3949.62,6.29,,74.15,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,106.08,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,,,20,16,19,19,,,29.0,6.15,8.9,,1105.69,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-27,4.25,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,69675,우량기업부,LP CVD,KOSDAQ,주권,KRX,149900.0,182685.0,184093.33333333334,124576.66666666667,86817.5,72.66104184064272,250500.0,-40.159680638722556,40.851553509778064,-9.48,18.97,daily_close,NXT 미확인,2026-07-27 23:09 KST,,,-66.22,32.8,6.32,979.17,10.98,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.04,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,26.42,,,Naver/FnGuide,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,15,19,19,,3.49,28.0,6.15,8.9,3397.04,78.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-27,4.25,0,0,6,0,4,0,5,5,20,D,5
058470.KQ,058470,리노공업,53195,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,70100.0,74165.0,92121.66666666667,99697.5,84123.5,-16.67013379139004,127000.0,-44.803149606299215,43.19999999998388,-16.84,-36.16,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,34.19,27.95,32.49,28.0,7.38,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.14,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,94.01,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,10,7,9,9,0.82,17.07,14.58,4.12,8.6,92.04,79.13,전자부품 제조업,전자부품 제조업,2026-07-27,4.25,0,0,20,16,12,10,5,5,68,B,6
240810.KQ,240810,원익IPS,52028,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,106000.0,126260.0,130111.66666666667,124132.5,100441.25,5.534329769890359,183300.0,-42.17130387343153,41.96350999130679,-35.29,-12.76,daily_close,NXT 미확인,2026-07-27 23:09 KST,,,304.73,46.26,13.97,30.0,5.25,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.19,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,66.82,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011,OpenDART,2025.0,11011,20,15,19,19,0.1,,28.0,7.35,7.42,7.14,-28.57,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-27,4.25,0,0,6,20,0,10,5,5,46,C,7
319660.KQ,319660,피에스케이,42291,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,147300.0,175435.0,142391.66666666666,106986.66666666667,78542.0,87.5429706399124,211500.0,-30.354609929078013,41.471801925718154,-21.73,60.11,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,-0.73,10.42,20.57,27.0,7.35,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.46,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,21.62,,,Naver/FnGuide,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,15,19,19,,22.31,30.0,6.15,7.42,-10.0,19.51,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-27,4.25,0,0,16,0,12,0,5,5,38,D,8
028300.KQ,028300,HLB,41890,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,31400.0,39630.0,47982.5,51092.083333333336,49823.5,-36.9775306833121,92500.0,-66.05405405405406,33.679245283009976,-34.17,-49.27,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,,,18.2,,11.3,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-27,4.25,0,0,0,0,0,0,3,1,4,D,9
298380.KQ,298380,에이비엘바이오,40646,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,73100.0,83260.0,101721.66666666667,140314.16666666666,146953.5,-50.25637361478291,245500.0,-70.22403258655805,31.589958158986562,-17.59,-57.67,nxt_web_latest,NXT 체결가,2026-07-27 22:59 KST,,,,,13.88,-73.0,23.03,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,220000.0,,,200.96,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,,14.06,-9.41,,63.8,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-27,4.25,0,0,0,0,0,0,3,1,4,D,10
