yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5412.378,2026-09-24,Naver exchange listing (USD),224.5800018310547,221.89999923706054,213.5293327331543,210.0514166514079,199.2756499481201,12.698165525754087,235.74000549316406,-4.73403045815785,45.552749970438114,7.12,12.24,daily_close,일봉 종가,2026-09-25 15:26 KST,,,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.45,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,45.89,3.44,Finnhub,yfinance,,,2026-09-16,,,,,0.22,102.92,39.22,14.97,35.18,33,31,30,31,-27.97,53.82,2026-09-24,5.16,0,0,20,20,15,10,5,0,70,A,1
AAPL,AAPL,애플,4902.4769456,2026-09-24,Naver exchange listing (USD),335.9200134277344,328.0714996337891,320.2453333536784,303.6449996948242,287.45044937133787,16.8618849483105,340.0799865722656,-1.2232337417030779,58.320774087531596,7.17,16.09,daily_close,일봉 종가,2026-09-25 15:26 KST,335.91,-0.0029808964438208896,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-3.41,1.69,Finnhub,yfinance,,,2026-09-16,,,,,1.26,10.32,39.22,14.97,35.18,33,31,30,31,-7.46,187.58,2026-09-24,5.16,0,0,20,10,8,8,3,0,49,C,2
MSFT,MSFT,마이크로소프트,3697.401866334,2026-09-24,Naver exchange listing (USD),497.92999267578125,499.48500061035156,459.17016550699867,432.4385821024577,431.93514923095705,15.278877757998007,542.0700073242188,-8.142862370549274,41.921802199517494,0.31,33.49,daily_close,일봉 종가,2026-09-25 15:26 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.73,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,14.39,6.42,Finnhub,yfinance,,,2026-09-16,,,,,0.85,23.34,39.22,15.51,38.1,33,31,30,31,-31.62,-47.69,2026-09-24,5.16,0,0,20,16,12,10,5,0,63,B,3
AMZN,AMZN,아마존닷컴,2689.890878585,2026-09-24,Naver exchange listing (USD),249.3800048828125,254.63550033569337,254.48733317057292,253.42841669718425,240.73394996643066,3.5915395055776305,284.0199890136719,-12.196319086961132,39.30338311834065,-4.19,4.63,daily_close,일봉 종가,2026-09-25 15:26 KST,,,242.3,41.19,68.71,19.794327,4.9102745,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.68,59.0,-0.09,328.22,405.0,230.0,31.61,5.13,Finnhub,yfinance,,,2026-09-23,,,,,0.08,57.24,21.21,15.93,9.38,6,5,4,4,-6.67,-69.18,2026-09-24,5.16,4,0,20,20,15,10,5,5,79,A,4
TSM,TSM,TSMC ADR,2339.8777451,2026-09-24,Naver exchange listing (USD),451.1499938964844,429.0230010986328,421.67066701253253,414.8225003560384,382.4234001159668,17.97133589620217,477.57000732421875,-5.532176020802333,66.11593629961786,8.01,-5.53,daily_close,일봉 종가,2026-09-25 15:26 KST,450.1,-0.2327372072901483,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.9,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,22.44,7.14,Finnhub,yfinance,,,2026-09-16,,,,,0.42,43.13,39.22,14.97,35.18,33,31,30,31,-18.0,485.12,2026-09-24,5.16,0,0,20,20,15,10,1,0,66,B,5
GOOGL,GOOGL,알파벳 Class A,2294.83908,2026-09-24,Naver exchange listing (USD),342.3599853515625,342.010498046875,347.3433319091797,354.71058247884116,338.0558493041992,1.2732026545975246,402.6199951171875,-14.966968977307147,49.915307988654874,0.11,-4.2,daily_close,일봉 종가,2026-09-25 15:26 KST,,,294.0,23.77,81.0,17.547304,6.7781363,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,90.0,4.63,54.0,1.43,428.07,515.0,340.0,25.04,6.53,Finnhub,yfinance,,,2026-09-16,,,,,0.06,36.52,18.84,3.43,18.34,8,7,7,7,-6.86,97.61,2026-09-24,5.16,8,0,20,20,15,10,5,5,83,A,6
SPCX,SPCX,스페이스X,2009.184785149,2026-09-24,Naver exchange listing (USD),148.02999877929688,148.00500106811523,137.73783340454102,,,,211.38999938964844,-29.97303599663771,48.23528706389824,6.02,-13.36,daily_close,일봉 종가,2026-09-25 15:26 KST,,,-25857.58,,48.16,,15.342792,,31.211,91.9,,,-,,,,,,,,,,,,0.0,0.0,,yfinance,,,,,,Industrials,Aerospace & Defense,,4.33,19.0,,220.68,450.0,117.0,49.08,,,yfinance,,,2026-09-22,,,,,,,34.48,8.68,39.7,8,7,7,7,,76.76,2026-09-24,5.16,0,0,0,0,0,0,5,5,10,D,7
META,META,메타,1980.915365498,2026-09-24,Naver exchange listing (USD),777.5900268554688,651.8314971923828,616.9128295898438,614.7743306477864,626.047947692871,24.206145826540077,790.0,-1.5708826765229431,85.58391814074358,34.97,38.04,daily_close,일봉 종가,2026-09-25 15:26 KST,775.9982,-0.20471286931315374,-13.4,22.34,79.02,28.011168,7.5847645,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.27,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.66,57.0,0.0,786.8,1000.0,580.0,1.18,0.38,Finnhub,yfinance,,,2026-09-25,,,,,,25.69,18.79,3.43,18.34,8,7,7,7,49.07,121.13,2026-09-24,5.16,0,0,20,0,15,0,1,0,36,D,8
GOOG,GOOG,알파벳 Class C,1873.70827,2026-09-24,Naver exchange listing (USD),339.010009765625,338.6330001831055,345.06116689046223,352.27099939982094,336.6544494628906,0.6996967681527786,399.0400085449219,-15.043604023113637,49.94694705075485,-0.03,-4.05,daily_close,일봉 종가,2026-09-25 15:26 KST,337.7,-0.3864221491662409,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,24.42,6.53,Finnhub,yfinance,,,2026-09-25,,,,,0.06,36.52,18.79,3.43,18.34,8,7,7,7,0.24,106.29,2026-09-24,5.16,4,0,20,20,15,10,5,5,79,A,9
AVGO,AVGO,브로드컴,1672.488959501,2026-09-24,Naver exchange listing (USD),350.3599853515625,358.96849670410154,378.07633209228516,390.9649167378744,368.5923001098633,-4.946471956377393,481.57000732421875,-27.246302713432613,45.87678026023711,-1.47,-7.25,daily_close,일봉 종가,2026-09-25 15:26 KST,350.03,-0.09418465731222399,215.3,63.5,79.82,46.31673,17.367111,44.25,59.604,85.5,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.74,32.4,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.23,4.74,47.0,0.16,531.85,715.0,215.88,51.8,0.53,Finnhub,yfinance,,,2026-09-22,,,,,0.22,20.26,36.6,14.97,35.18,33,31,30,31,26.55,16.01,2026-09-24,5.16,0,0,20,20,12,10,5,5,72,A,10
