yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
031980.KQ,031980,피에스케이홀딩스,24257,112500.0,75427.25,49.15034022849832,152300.0,-26.132632961260672,51.96797865243011,-4.32,11.02,6.45,19.0,4.76,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,4,0,16,5,5,30,D,2026-06-19,4.45,,46.54,21
082920.KQ,082920,비츠로셀,19768,43600.0,27177.38,60.427532013755545,64100.0,-31.981279251170047,26.06382978721463,10.56,11.12,31.54,25.0,5.77,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,4,0,16,3,5,28,D,2026-06-19,4.45,2.37,23.31,22
140860.KQ,140860,파크시스템스,17891,255500.0,254480.0,0.40081735303363725,339500.0,-24.742268041237114,46.551724137928794,-19.61,42.01,35.65,34.0,7.74,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,0,0,16,5,5,26,D,2026-06-19,4.45,,18.19,23
476830.KQ,476830,알지노믹스,12721,91300.0,131388.0,-30.51115779218802,236000.0,-61.313559322033896,29.672897196256827,,,9.75,,24.58,604.61,6.72,7800.0,,,-,0,0,20,3,1,24,D,2026-06-19,4.45,,,24
263750.KQ,263750,펄어비스,25345,39450.0,44249.75,-10.846953937592868,72000.0,-45.208333333333336,30.733944954088955,296.2,96.6,6.97,7.0,2.52,-1.05,43.8,6.78,,,237 -> 939,15,3,0,3,3,24,D,2026-06-19,4.45,0.02,,25
183300.KQ,183300,코미코,21613,105200.0,59851.27,75.76903547744269,139200.0,-24.42528735632184,56.35451505016063,-10.74,15.48,21.39,44.65,7.59,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,0,0,16,3,5,24,D,2026-06-19,4.45,,24.61,26
357780.KQ,357780,솔브레인,28469,366000.0,340460.0,7.50161546143453,501000.0,-26.94610778443114,47.74897680763801,-33.25,18.26,24.39,19.0,2.58,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,4,3,6,5,5,23,D,2026-06-19,4.45,,-22.12,27
064760.KQ,064760,티씨케이,28898,258500.0,201501.5,28.28688620183969,348500.0,-25.82496413199426,48.25737265415187,-2.77,18.81,66.85,26.0,5.47,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,0,0,12,5,5,22,D,2026-06-19,4.45,,6.91,28
237690.KQ,237690,에스티팜,25416,121800.0,124817.0,-2.4171386910436876,168700.0,-27.800829875518673,40.15999999999101,52.02,53.05,13.12,37.0,4.15,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,0,0,12,5,5,22,D,2026-06-19,4.45,0.71,61.23,29
095340.KQ,095340,ISC,39426,186000.0,146399.0,27.05004815606664,271000.0,-31.365313653136536,44.604316546758504,2.68,60.46,21.82,44.0,7.02,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,0,0,12,5,5,22,D,2026-06-19,4.45,16.42,91.78,30
038500.KQ,038500,삼표시멘트,10349,9590.0,8874.225,8.065774757795745,20200.0,-52.524752475247524,29.95658465985248,-38.34,9.33,2.8,21.03,1.33,5.29,84.0,-14.4,-26.28,9.89,313 -> 613 -> 378,4,6,6,3,3,22,D,2026-06-19,4.45,,9.89,31
096530.KQ,096530,씨젠,14518,27800.0,25620.75,8.50580096211079,35150.0,-20.910384068278805,40.22556390973209,7007.69,906.71,17.85,22.12,1.24,4.81,21.66,14.46,,,13 -> 924,4,6,0,5,5,20,D,2026-06-19,4.45,0.0,,32
080220.KQ,080220,제주반도체,39368,114300.0,39596.6,188.66114767429528,118900.0,-3.8687973086627423,61.47426981918135,102.29,22.3,4.64,34.76,12.62,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,0,0,16,3,0,19,D,2026-06-19,4.45,0.34,53.63,33
166090.KQ,166090,하나머티리얼즈,12756,64500.0,53118.5,21.42662161017348,81100.0,-20.468557336621455,50.469043151956726,20.8,21.83,22.69,25.57,2.56,9.39,47.86,8.7,15.44,5.86,1731 -> 1606 -> 1940,0,3,6,5,5,19,D,2026-06-19,4.45,1.23,5.86,34
388210.KQ,388210,씨엠티엑스,9973,103300.0,123846.0,-16.58995849684285,164400.0,-37.1654501216545,48.06924101197506,247.81,,7.44,16.0,5.14,-35.89,51.01,47.75,119.49,,891 -> 3099,8,0,0,5,5,18,D,2026-06-19,4.45,0.06,,35
067310.KQ,067310,하나마이크론,32567,49000.0,30496.4,60.67470258784643,54500.0,-10.091743119266056,62.934947049897694,,44.79,21.44,20.0,6.91,9.89,209.16,22.68,19.57,,-,4,0,6,3,5,18,D,2026-06-19,4.45,,,36
089970.KQ,089970,브이엠,21898,88400.0,35917.55,146.11923697468228,97000.0,-8.8659793814433,67.0915411355627,,29.68,16.65,27.0,11.25,17.34,40.37,105.41,,,-,0,0,16,1,0,17,D,2026-06-19,4.45,,,37
095610.KQ,095610,테스,32176,166200.0,65837.25,152.44067757994145,182200.0,-8.781558726673985,66.48005598319853,33.69,92.12,11.5,35.0,7.19,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,0,0,16,1,0,17,D,2026-06-19,4.45,1.04,504.31,38
319660.KQ,319660,피에스케이,47795,165000.0,59897.65,175.46990574755438,172000.0,-4.069767441860465,73.33333333332612,-0.73,10.42,25.25,33.0,8.43,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,0,0,16,1,0,17,D,2026-06-19,4.45,,22.31,39
281740.KQ,281740,레이크머티리얼즈,10523,16010.0,17404.15,-8.010445784482446,27550.0,-41.88747731397459,36.568848758407235,-63.09,69.3,10.17,85.61,7.57,5.8,161.94,1.8,-40.09,-43.54,367 -> 317 -> 117,0,0,6,5,5,16,D,2026-06-19,4.45,,-43.54,40
005290.KQ,005290,동진쎄미켐,30734,60300.0,45476.75,32.59522723149742,66000.0,-8.636363636363637,56.12691466081432,-35.98,13.86,16.45,23.88,2.73,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,4,3,6,3,0,16,D,2026-06-19,4.45,,-11.78,41
039030.KQ,039030,이오테크닉스,61412,498500.0,344956.5,44.5109745721562,612000.0,-18.545751633986928,53.71900826446143,33.53,50.01,25.12,52.0,8.69,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,0,0,6,5,5,16,D,2026-06-19,4.45,1.55,24.98,42
232140.KQ,232140,와이씨,11814,14400.0,16335.9,-11.850586744531979,23700.0,-39.24050632911392,41.46576663446668,75.37,55.92,8.28,32.0,3.11,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,0,0,6,5,5,16,D,2026-06-19,4.45,0.42,19.34,43
036930.KQ,036930,주성엔지니어링,89755,193100.0,67666.5,185.37016101024878,250500.0,-22.914171656686626,48.69958537504455,-66.22,32.8,7.6,,15.04,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,0,0,6,5,5,16,D,2026-06-19,4.45,,3.49,44
218410.KQ,218410,RFHIC,19410,73100.0,54283.0,34.66462796824052,112500.0,-35.02222222222222,35.29411764705027,11.66,23.8,25.87,44.0,5.13,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,0,0,6,5,5,16,D,2026-06-19,4.45,3.77,28.82,45
