yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,190.00999450683594,203.12749786376952,208.5413330078125,197.7225830078125,192.99085021972655,-1.5445580500302536,235.74000549316406,-19.398494070050486,40.40859249532918,-5.04,-4.25,daily_close,일봉 종가,2026-07-30 13:35 KST,191.2641,0.660020803863008,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.53,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,,,2026-07-28,,,,,0.14,102.92,39.0,9.5,34.6,21,19,20,20,-22.3,157.72,2026-07-29,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,336.7099914550781,349.62049865722656,366.2778330485026,340.6929158528646,325.2272997283936,3.5306666249340286,402.6199951171875,-16.370275808812092,39.68179152526712,-5.78,-12.7,daily_close,일봉 종가,2026-07-30 13:35 KST,,,294.0,23.78,81.11,16.393574,6.416221,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,86.96,4.59,54.0,-0.18,428.12,515.0,340.0,27.15,6.53,Finnhub,yfinance,,,2026-07-28,,,,,0.06,36.52,21.15,5.05,25.48,7,6,6,6,-22.49,27.05,2026-07-29,4.25,8,0,20,20,15,10,5,5,83,A,2
GOOG,GOOG,알파벳C,4483.96,335.760009765625,348.1269989013672,363.9063323974609,338.9994987487793,324.4679991912842,3.4801615575296827,399.0400085449219,-15.858058696932172,40.23832810787476,-4.97,-12.38,daily_close,일봉 종가,2026-07-30 13:35 KST,335.1528,-0.18084636286758668,82.0,23.92,61.11,26.951181,8.941894,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,6.41,0.88,,yfinance,,,,,,Communication Services,Internet Content & Information,87.14,,,-1.43,,,,,8.28,Finnhub,,,,2026-07-22,,,,,0.33,36.52,18.34,5.05,25.48,7,6,6,6,46.95,77.07,2026-07-29,4.25,0,0,20,20,15,10,5,5,75,A,3
AAPL,AAPL,애플,4376.98,338.19000244140625,322.40050048828124,305.7251663208008,284.0715830485026,277.2134494018555,21.996246275611846,340.0799865722656,-0.5557469435084682,68.64710795986242,16.88,20.72,daily_close,일봉 종가,2026-07-30 13:35 KST,340.0,0.5352013795580325,21.8,30.46,65.83,35.073936,39.856747,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.59,1.08,,yfinance,,,,,,Technology,Consumer Electronics,69.09,,,-3.13,,,,,3.74,Finnhub,,,,2026-07-28,,,,,1.61,10.32,39.0,9.5,34.6,21,19,20,20,-10.07,319.54,2026-07-29,4.25,0,0,20,5,8,8,1,0,42,C,4
MSFT,MSFT,마이크로소프트,2818.35,390.5400085449219,389.8134994506836,400.4538314819336,398.8073323567708,434.1290493774414,-10.040572243444194,542.0700073242188,-27.95395368345198,53.86734601344386,4.7,-5.77,daily_close,일봉 종가,2026-07-30 13:35 KST,425.01,8.826238208860286,23.4,33.6,76.44,23.700062,6.9982247,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.93,20.73,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.65,4.67,55.0,0.23,556.75,870.0,400.0,42.56,5.58,Finnhub,yfinance,,,2026-07-28,,,,,1.01,18.71,39.0,9.68,35.48,21,19,20,20,-39.23,-27.7,2026-07-29,4.25,4,0,20,10,12,8,5,5,64,B,5
AMZN,AMZN,아마존,2628.93,226.64999389648438,242.7224998474121,250.82183329264322,236.26091690063475,234.65900009155274,-3.413040280553328,274.989990234375,-17.57882034058413,27.41973257934218,-4.9,-15.51,daily_close,일봉 종가,2026-07-30 13:35 KST,,,74.8,41.19,68.71,27.931406,5.6484075,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.67,62.0,-0.09,313.13,370.0,207.0,38.16,9.72,Finnhub,yfinance,,,2026-07-30,,,,,0.37,57.24,24.64,16.73,38.64,8,7,4,4,13.36,-66.24,2026-07-29,4.25,0,0,20,20,15,10,3,5,73,A,6
AVGO,AVGO,브로드컴,1957.03,370.32000732421875,382.3634994506836,401.0231674194336,373.8510012308756,365.4664002990723,1.328058344398994,481.57000732421875,-23.10152175343024,35.450345549710704,-1.97,-12.1,daily_close,일봉 종가,2026-07-30 13:35 KST,372.91,0.699393126095321,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.7,41.26,2.6,,yfinance,,,,,,Technology,Semiconductors,92.86,,,-0.12,,,,,0.51,Finnhub,,,,2026-07-29,,,,,0.72,20.26,35.07,9.5,34.6,21,19,20,20,74.94,110.95,2026-07-29,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,298.32000732421875,373.86499938964846,399.0346659342448,393.959166208903,412.74635009765626,-27.72316284477479,489.8800048828125,-39.10345301895269,9.068900821151772,-29.07,-23.67,daily_close,일봉 종가,2026-07-30 13:35 KST,,,8.3,176.51,45.6,349.39447,17.392338,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,48.33,3.62,40.0,0.0,425.61,600.0,125.0,42.67,-0.06,Finnhub,yfinance,,,2026-07-28,,,,,42.1,-49.94,24.64,10.86,42.77,8,7,4,4,1318.0,60.15,2026-07-29,4.25,0,0,0,0,0,5,1,5,11,D,8
META,META,메타 플랫폼스,1465.23,585.6099853515625,625.8064910888672,605.5521616617839,620.1169133504231,636.1134979248047,-7.939387033603283,790.0,-25.87215375296677,36.54760838990906,3.96,-3.8,daily_close,일봉 종가,2026-07-30 13:35 KST,542.49,-7.363259922160656,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.36,7.64,2.1,,yfinance,,,,,,Communication Services,Internet Content & Information,87.5,,,-0.17,,,,,8.96,Finnhub,,,,2026-07-22,,,,,0.36,25.69,18.34,5.06,28.45,7,6,6,6,21.44,26.16,2026-07-29,4.25,4,0,20,20,15,10,5,5,79,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,509.1600036621094,496.85749969482424,488.13616638183595,486.8287503560384,490.1939001464844,3.869102310321966,539.7999877929688,-5.676173550157772,64.06153848166448,1.75,7.64,daily_close,일봉 종가,2026-07-30 13:35 KST,,,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,2.19,-3.3,Finnhub,yfinance,,,2026-07-30,,,,,0.12,-16.27,20.06,3.27,16.16,17,16,16,16,-26.5,-99.97,2026-07-29,4.25,8,10,12,20,0,10,3,0,63,B,10
