yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,176575,우량기업부,,KOSDAQ,주권,KRX,254000.0,285975.0,271265.1,273428.38333333336,294328.975,-13.702006402869435,430123.0,-40.94712442719873,15.032679738559338,-20.62,-11.14,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,124.86,217.49,14.4,69.0,37.73,39.42,53.76,109.82,320.87,,901 -> 2026,2158.59,1069.0,1451.73,49.52,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.15,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,485000.0,,,90.94,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,0.55,2025.0,11011.0,11.28,-31.49,9,1,7,7,234.49,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-18,4.25,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,110114,중견기업부,,KOSDAQ,주권,KRX,81600.0,84975.0,85078.33333333333,111611.66666666667,118296.5,-31.020782525264906,185000.0,-55.89189189189189,34.20195439737854,-0.12,-24.23,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,336.78,19.17,79.63,4.98,-8.39,117.92,9.11,,,-,34130.22,2137.64,-1055.4,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,3,2,2,2,,,,,기타 금융업,기타 금융업,2026-09-18,4.25,0,0,0,0,0,0,3,3,6,D,2
247540.KQ,247540,에코프로비엠,102624,중견기업부,,KOSDAQ,주권,KRX,105300.0,109999.0,111778.06666666667,153149.2,163377.56,-35.54806425068412,242127.0,-56.510426346504104,37.17121400806596,1.31,-29.85,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,358.44,14.64,746.0,5.78,2.29,142.16,-8.5,,,-,25315.76,1433.1,915.88,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,172386.0,,,63.71,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,95518,우량기업부,,KOSDAQ,주권,KRX,204500.0,188625.0,173823.33333333334,160213.33333333334,113264.0,80.55163158638226,250500.0,-18.36327345309381,64.2192347466298,21.29,12.12,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-66.22,32.8,8.8,887.5,14.45,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3106.93,312.58,356.93,10.06,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,0.24,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.54,8.98,20,17,18,18,160.83,30.0,2858.33,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,6,0,4,0,3,5,18,D,4
277810.KQ,277810,레인보우로보틱스,84583,기술성장기업부,,KOSDAQ,주권,KRX,434500.0,443825.0,453875.0,552812.5,568647.5,-23.590625123648657,880000.0,-50.625,41.8238993710655,-4.3,-15.63,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.23,-24.8,14.22,-7.27,4.17,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,49.6,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,,,5.54,8.98,20,18,18,18,1084.66,31.0,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,3,8,D,5
240810.KQ,240810,원익IPS,59636,우량기업부,,KOSDAQ,주권,KRX,121500.0,113195.0,115295.0,120626.66666666667,109348.5,11.112635289921673,183300.0,-33.715220949263504,60.46025104600739,12.6,-19.32,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9097.96,738.14,840.29,8.11,9.24,1566.07,1245.35,1072.74,1946.21,-873.47,0.16,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,27.34,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.08,2025.0,11011.0,5.79,8.16,20,17,18,18,-12.78,32.0,-21.88,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,4,0,6,20,0,10,3,5,48,C,6
039030.KQ,039030,이오테크닉스,55869,우량기업부,,KOSDAQ,주권,KRX,452500.0,429725.0,384083.3333333333,428391.6666666667,392040.0,15.421895724926028,612000.0,-26.062091503267975,61.63069544364094,11.87,-6.99,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3808.91,807.53,575.65,21.2,15.11,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,17.68,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,1.37,,,5.54,8.24,20,17,18,18,20.04,30.0,52.9,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,6,10,12,10,3,5,46,C,7
058470.KQ,058470,리노공업,53043,우량기업부,,KOSDAQ,주권,KRX,69600.0,66755.0,69706.66666666667,87525.0,86006.5,-19.075883799480273,127000.0,-45.196850393700785,57.73195876284493,5.94,-18.31,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,34.19,27.95,31.56,25.0,6.28,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.34,1769.97,1519.61,47.51,40.79,1794.69,1192.33,852.03,607.09,244.94,1.15,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,103500.0,,,48.71,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,OFS,11011,OpenDART,0.73,2025.0,11011,5.11,12.3,9,5,6,6,22.9,18.0,38.89,17.07,전자부품 제조업,전자부품 제조업,2026-09-18,4.25,4,0,20,16,12,10,3,3,68,B,8
222800.KQ,222800,심텍,47733,중견기업부,,KOSDAQ,주권,KRX,125900.0,123555.0,113000.0,104609.58333333333,83924.0,50.01668175968733,157300.0,-19.96185632549269,46.65354330707376,26.28,6.97,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14105.6,118.69,-1645.8,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,39.99,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.11,18.61,9,5,6,6,41.68,18.0,33.33,,전자부품 제조업,전자부품 제조업,2026-09-18,4.25,4,0,0,0,0,0,5,5,14,D,9
108490.KQ,108490,로보티즈,44954,기술성장기업부,,KOSDAQ,주권,KRX,307500.0,284050.0,244435.0,269875.8333333333,269225.5,14.216521094769998,405000.0,-24.074074074074073,64.61988304093038,21.06,20.35,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,691.83,4.66,972.0,10.11,2.49,1.79,29.67,,,-,389.43,33.46,53.03,8.59,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,392286.0,,,27.57,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011,OpenDART,,,,5.54,8.98,20,17,18,18,82.49,30.0,3140.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,0,0,0,0,3,5,8,D,10
