yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,171476,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,319500.0,282076.95,265638.8333333333,272638.2833333333,306431.61,4.264700368215934,430123.0,-25.71892226177163,68.640580442547,35.47,13.61,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,124.86,217.49,14.77,87.0,47.24,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,42.41,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,11,1,10,10,0.7,24.17,-33.31,95.45,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-21,4.7,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,110929,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82400.0,83185.0,96803.33333333333,123560.0,118577.5,-30.50958234066328,185000.0,-55.45945945945946,53.249999999981355,-2.25,-43.95,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-21,4.7,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,103308,중견기업부,양극활물질,KOSDAQ,주권,KRX,106500.0,106625.0,136570.0,169714.16666666666,170132.5,-37.40173100377647,246000.0,-56.70731707317073,51.77065767283769,-9.9,-51.59,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,364.17,14.76,751.0,6.25,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.8,,,179467.0,,,68.51,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-21,4.7,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,88075,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,452500.0,458025.0,519683.3333333333,600791.6666666666,564240.0,-19.803629661137105,880000.0,-48.57954545454545,55.24999999999613,-10.93,-41.39,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-33.64,3949.62,5.2,,71.52,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,102.21,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,21,17,20,20,,6.65,8.16,975.49,,25.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,0,0,0,0,3,3,6,D,4
036930.KQ,036930,주성엔지니어링,78367,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,168600.0,148080.0,180473.33333333334,139640.0,97365.25,73.1623962347963,250500.0,-32.69461077844311,70.02724795639436,2.87,-28.1,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,12.69,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.65,8.16,109.92,3.49,25.0,3450.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,6,0,4,0,1,5,16,D,5
240810.KQ,240810,원익IPS,52961,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,107900.0,100830.0,123176.66666666667,122421.66666666667,104560.0,3.1943381790359604,183300.0,-41.13475177304964,57.3257467994196,-4.77,-11.56,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,304.73,46.26,15.83,24.0,5.35,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.19,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,43.39,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,2025.0,11011,21,16,20,20,0.08,6.9,6.8,-22.46,,29.0,-17.24,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,4,0,6,20,0,10,3,5,48,C,6
028300.KQ,028300,HLB,51481,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,38400.0,36577.5,42525.833333333336,48487.083333333336,49473.0,-22.38190528166879,92500.0,-58.48648648648649,72.67605633797085,28.0,-26.72,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,,20.38,,12.78,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-21,4.7,0,0,0,0,0,0,1,3,4,D,7
058470.KQ,058470,리노공업,50071,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,65600.0,66470.0,79085.0,95132.5,85065.0,-22.88250161641098,127000.0,-48.346456692913385,53.2786885245596,-11.23,-40.79,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,34.19,27.95,31.85,27.0,7.25,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.22,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,116600.0,,,77.74,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,0.79,4.47,9.7,62.19,17.07,17.91,50.75,전자부품 제조업,전자부품 제조업,2026-08-21,4.7,0,0,20,16,12,10,5,3,66,B,8
039030.KQ,039030,이오테크닉스,49832,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,405000.0,339675.0,402533.3333333333,426162.5,375732.5,7.7894512718489874,612000.0,-33.82352941176471,80.91168091167447,23.29,-25.96,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,33.53,50.01,27.65,67.33,7.05,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,31.48,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,,,21,16,20,20,2.01,6.65,6.8,6.02,24.98,25.0,169.32,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,6,0,12,10,1,5,34,D,9
298380.KQ,298380,에이비엘바이오,42102,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,75100.0,78190.0,88078.33333333333,122755.0,145913.0,-48.53097393652382,245500.0,-69.40936863543789,58.203124999984084,1.08,-36.09,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,,13.03,-68.0,26.91,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,179.63,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,7,2,6,6,,13.49,-6.93,99.48,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.7,0,0,0,0,0,0,3,1,4,D,10
087010.KQ,087010,펩트론,41644,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,179600.0,165765.0,186303.33333333334,231997.5,248668.5,-27.77533141511691,386000.0,-53.471502590673566,74.56479690521235,65.07,-33.6,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,,3.79,,31.86,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-12,2025.0,OFS,11011.0,OpenDART,,,7,2,6,6,,13.49,-13.96,136.17,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.7,0,0,0,0,0,0,1,3,4,D,11
214450.KQ,214450,파마리서치,41610,우량기업부,재생의약품,KOSDAQ,주권,KRX,401500.0,387200.0,337858.3333333333,325800.0,366227.5,9.631308408025067,711000.0,-43.53023909985935,64.090909090905,11.53,28.69,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,65.07,24.5,7.77,22.0,6.86,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.92,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,512667.0,,,27.69,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.34,,,,37.82,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-21,4.7,4,0,20,20,15,10,3,5,77,A,12
000250.KQ,000250,삼천당제약,39572,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,169100.0,166350.0,214588.33333333334,412073.3333333333,370466.5,-54.35484719940939,1184000.0,-85.7179054054054,61.382598331336595,1.81,-53.35,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,1036.5,4.69,423.62,14.5,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,3.9,9.66,271.79,,25.21,1580.36,의약품 제조업,의약품 제조업,2026-08-21,4.7,0,0,0,0,0,0,3,1,4,D,13
222800.KQ,222800,심텍,37351,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,100500.0,98015.0,111480.0,93203.33333333333,77264.0,30.073514185131494,157300.0,-36.10934520025429,61.96581196579961,2.24,-24.32,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,,10.03,22.0,6.55,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.1,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171111.0,,,70.26,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,,4.47,12.5,46.53,,20.41,7.79,전자부품 제조업,전자부품 제조업,2026-08-21,4.7,4,0,0,0,0,0,3,5,12,D,14
108490.KQ,108490,로보티즈,37239,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,253500.0,229155.0,253143.33333333334,264896.6666666667,262899.5,-3.5753206073043122,405000.0,-37.407407407407405,72.76264591439028,17.09,-19.01,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,691.83,5.24,972.0,10.97,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,390600.0,,,54.08,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,,,21,16,20,20,,6.65,8.16,64.96,,25.0,3788.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,0,0,0,0,1,5,6,D,15
141080.KQ,141080,리가켐바이오,37019,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,101000.0,103475.0,122430.0,155290.0,163034.5,-38.04992194903532,213500.0,-52.69320843091335,60.26272577995331,-0.69,-35.3,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,483.55,10.49,-51.0,9.06,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,121.78,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,11,2,10,10,,31.93,-33.31,-71.63,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-21,4.7,0,0,0,0,0,0,3,3,6,D,16
403870.KQ,403870,HPSP,36952,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,44900.0,37582.5,46046.666666666664,46929.166666666664,42077.0,6.709128502507308,83500.0,-46.22754491017964,71.63865546214274,13.24,-25.29,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,-16.35,35.96,33.13,33.0,13.32,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.11,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68250.0,,,52.0,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.65,6.8,100.3,-6.21,25.0,32.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,20,0,0,0,1,3,24,D,17
319660.KQ,319660,피에스케이,35397,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,122100.0,127840.0,148680.0,117168.33333333333,86744.25,40.7586093602746,211500.0,-42.269503546099294,43.071161048677844,-22.23,6.36,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-0.73,10.42,20.6,25.0,6.74,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.56,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,49.76,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.8,6.8,-0.88,22.31,29.0,-13.79,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,4,0,16,0,12,0,5,5,42,C,18
095340.KQ,095340,ISC,32707,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,156900.0,141550.0,166210.0,196793.33333333334,163599.5,-4.095061415224374,271000.0,-42.103321033210335,62.31306081753867,6.59,-34.62,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,2.68,60.46,30.1,40.0,6.31,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.54,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,217167.0,,,38.41,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,14.93,,,,91.78,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-08-21,4.7,0,0,12,0,15,2,3,5,37,D,19
