yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
086790.KS,086790,하나금융지주,300981,109600.0,104379.0,5.001963996589352,132000.0,-16.969696969696972,47.3161033797085,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,9.62,4.94,68.47,7.0,0.65,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,,,,,,0.73,10.23,2026-06-26,4.25,15,10,6,16,8,5,5,5,70,A,24
042660.KS,042660,한화오션,300285,99700.0,123485.0,-19.261448758958576,149900.0,-33.48899266177451,47.09897610920752,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,135.85,27.59,10.58,19.0,4.4,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,,,,,,0.14,131.76,2026-06-26,4.25,4,0,20,20,15,10,5,5,79,A,25
298040.KS,298040,효성중공업,289340,3119000.0,2470225.0,26.26380188039551,4601000.0,-32.21038904585959,47.93425144380245,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,133.52,20.47,26.81,37.0,12.06,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,,,,,,0.28,111.72,2026-06-26,4.25,0,0,20,20,15,10,5,5,75,A,26
000810.KS,000810,삼성화재,283957,625000.0,503400.0,24.155740961462058,730000.0,-14.383561643835616,43.46153846153612,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-0.74,9.42,58.36,14.0,1.12,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,,,,,,,6.39,2026-06-26,4.25,8,8,12,0,4,0,5,5,42,C,27
042700.KS,042700,한미반도체,245428,260500.0,207871.5,25.31780450903563,409500.0,-36.385836385836384,50.74906367040932,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,41.96,44.0,6.96,137.92,38.41,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,5767.0,2514.0,2140.0,43.59,37.11,,,,,,3.29,-9.81,2026-06-26,4.25,0,0,20,0,0,10,5,5,40,C,28
009540.KS,009540,HD한국조선해양,244521,346500.0,418980.0,-17.299155090935127,479500.0,-27.73722627737226,46.749999999996724,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,84.96,21.88,33.6,7.0,1.8,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,,,,,,0.08,212.72,2026-06-26,4.25,15,6,16,20,15,10,5,5,92,S,29
005490.KS,005490,POSCO홀딩스,241686,306000.0,345870.0,-11.527452511059067,535000.0,-42.80373831775701,32.91139240506037,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-38.15,27.33,31.88,13.0,0.41,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,,,,,,,-36.54,2026-06-26,4.25,8,10,0,0,0,0,3,5,26,D,30
015760.KS,015760,한국전력,238168,37000.0,46098.5,-19.73708472076098,67900.0,-45.50810014727541,53.160919540187116,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,144.73,3.62,52.38,4.0,0.47,19.4,416.85,4.32,61.28,,5439 -> 13311,974293.0,134906.0,86667.0,13.85,8.9,,,,,,0.03,,2026-06-26,4.25,15,10,16,20,0,10,5,3,79,A,31
000150.KS,000150,두산,233515,1438000.0,1060640.0,35.57851863026097,2203000.0,-34.72537448933273,41.94312796208461,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,,220.26,20.63,65.0,11.68,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,5,10,D,32
006800.KS,006800,미래에셋증권,225225,39800.0,42823.72,-7.06085319070833,83800.0,-52.50596658711218,25.51546391750736,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,76.41,11.79,9.61,10.0,1.66,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,,,,,,0.13,126.19,2026-06-26,4.25,12,6,12,20,15,10,3,3,81,A,33
