yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000270.KS,000270,기아,584448,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,147500.0,142346.5,3.6203910879438554,206000.0,-28.398058252427184,59.809264305165705,-7.12,-7.35,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-21.72,5.03,38.85,7.0,0.94,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.61,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,232174.0,,,57.41,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,-6.31,2025.0,11011,,,,2,1,1,1,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-16,4.59,15,8,12,0,0,0,3,5,43,C,11
028260.KS,028260,삼성물산,561099,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,341000.0,304340.5,12.045554239412763,535000.0,-36.26168224299066,24.083769633506677,-29.76,13.1,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,15.35,12.4,30.76,22.0,0.91,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.82,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,585385.0,,,71.67,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,1.43,9.45,2025.0,11011,,,,1,0,0,0,,,기타 전문 도매업,기타 전문 도매업,2026-07-16,4.59,4,8,6,10,8,8,1,5,50,C,12
055550.KS,055550,신한지주,512152,,금융지주회사,KOSPI,주권,KRX,107500.0,88109.5,22.007275038446476,109200.0,-1.5567765567765568,77.07641196009703,6.65,7.93,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,15.39,5.95,61.5,9.0,0.87,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.41,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.58,9.58,2025.0,11011.0,7.0,1.08,9.04,18,17,17,16,28.57,-19.44,기타 금융업,기타 금융업,2026-07-16,4.59,12,8,6,20,8,8,1,0,63,B,13
329180.KS,329180,HD현대중공업,508012,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,482500.0,572352.5,-15.698804495481369,745000.0,-35.23489932885906,32.60869565217193,-29.46,-6.13,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.17,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,,,,,,,,,,,,,,,,,,0.17,651.55,2025.0,11011.0,,,,3,2,2,2,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-16,4.59,4,0,16,20,15,10,3,5,73,A,14
012450.KS,012450,한화에어로스페이스,486242,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,940000.0,1148550.0,-18.157677071089633,1537000.0,-38.841899804814574,44.480519480518474,-20.94,-33.94,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-38.13,15.96,45.34,22.0,4.8,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.74,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1773889.0,,,88.71,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,,,,2,1,1,1,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-16,4.59,4,0,16,0,15,0,5,5,45,C,15
034020.KS,034020,두산에너빌리티,446471,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,69300.0,91173.0,-23.990655128162945,136400.0,-49.193548387096776,36.744186046499664,-30.42,-36.13,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,23.18,,,,,,1,0,0,0,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-16,4.59,0,0,0,0,12,0,5,3,20,D,16
012330.KS,012330,현대모비스,437331,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,481500.0,426407.5,12.920152670860622,768000.0,-37.3046875,48.7106017191938,-20.15,12.76,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-8.74,7.12,37.07,11.0,0.86,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.35,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,779600.0,,,61.91,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,4.5,2025.0,11011.0,,,,1,0,0,0,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-16,4.59,12,8,6,0,4,0,5,5,40,C,17
034730.KS,034730,SK,420515,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,571000.0,381862.5,49.53026285639465,858000.0,-33.44988344988345,29.129662522201755,-16.89,54.95,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,11.73,29.83,5.0,1.13,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.4,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,853692.0,,,49.51,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,8.0,1.04,9.04,18,17,17,16,-37.5,8.65,기타 금융업,기타 금융업,2026-07-16,4.59,15,8,6,0,0,0,3,5,37,D,18
068270.KS,068270,셀트리온,408829,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,174500.0,185044.86,-5.698542504774241,236861.0,-26.328099602720584,59.50095969288228,0.52,-11.77,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,148.85,65.74,24.54,27.0,2.25,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,265398.0,,,52.09,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,0.18,15.32,2025.0,11011.0,,,,2,1,1,1,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.59,0,3,6,20,12,10,3,5,59,B,19
086790.KS,086790,하나금융지주,375335,,기타 금융,KOSPI,주권,KRX,137200.0,107208.5,27.974927361170053,136800.0,0.29239766081871343,85.37859007829778,8.8,11.09,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,9.62,4.94,68.28,8.0,0.79,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,2.99,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.83,10.23,2025.0,11011.0,7.0,1.08,8.82,18,17,17,16,14.29,-26.85,기타 금융업,기타 금융업,2026-07-16,4.59,15,10,6,16,8,5,1,0,61,B,20
