yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
006400.KS,006400,삼성SDI,350144,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,430000.0,403672.5,6.521994934012102,712000.0,-39.60674157303371,46.238532110089366,-17.62,-16.18,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-70.17,22.94,26.63,102.0,1.53,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,,,,,3,1,2,2,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-16,4.59,0,6,0,0,0,0,5,5,16,D,21
000810.KS,000810,삼성화재,312978,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,696000.0,516375.0,34.78576615831518,730000.0,-4.657534246575342,61.64874551971017,-0.57,45.0,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-0.74,9.42,58.32,14.0,1.12,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,2.8,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,6.39,2025.0,11011.0,,,,3,2,2,2,,,보험업,보험업,2026-07-16,4.59,8,8,12,0,4,0,3,0,35,D,22
035420.KS,035420,NAVER,298194,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,189700.0,234797.5,-19.206976224193188,290500.0,-34.69879518072289,44.36619718308766,-19.28,-12.38,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,3.89,24.18,35.03,16.0,0.96,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.39,20.2,2630.0,3935.96,OpenDART,42.23,5.0,True,5.0,OpenDART,,4.0,,,330143.0,,,74.03,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,4.11,41.51,2025.0,11011.0,,,,2,1,1,1,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-16,4.59,8,8,6,0,15,2,5,5,49,C,23
066570.KS,066570,LG전자,291563,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,178100.0,131043.0,35.909586929481165,392500.0,-54.624203821656046,39.904420549575164,-22.06,43.4,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,161.86,28.06,28.64,15.0,1.3,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.76,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.09,16.18,2025.0,11011.0,,,,2,1,1,1,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-16,4.59,8,6,0,20,12,10,5,3,64,B,24
267260.KS,267260,HD현대일렉트릭,287295,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,787000.0,917095.0,-14.18555329600532,1420000.0,-44.5774647887324,41.18852459016275,-27.6,-27.6,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,46.07,25.65,34.44,31.0,14.24,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,0.0,False,3.0,OpenDART,,4.0,,,1456923.0,,,85.12,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,0.67,68.14,2025.0,11011.0,32.0,10.36,24.41,4,3,3,3,-3.12,37.45,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-16,4.59,0,0,20,20,15,10,5,5,75,A,25
010120.KS,010120,LS ELECTRIC,285000,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,187500.0,149827.0,25.144333130877612,318500.0,-41.13029827315541,46.844660194171574,-22.52,0.54,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,0.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,3.88,17.98,2025.0,11011.0,31.0,10.36,29.21,4,3,3,3,151.61,82.92,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-16,4.59,0,0,12,0,12,8,5,5,42,C,26
042660.KS,042660,한화오션,265660,,선박 제조,KOSPI,주권,KRX,85900.0,121991.0,-29.584969382987268,149900.0,-42.69513008672448,43.200962695540255,-31.33,-33.92,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,135.85,27.59,9.53,15.0,3.54,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.11,131.76,,,,,,3,2,2,2,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-16,4.59,8,0,20,20,15,10,5,5,83,A,27
298040.KS,298040,효성중공업,260061,,-,KOSPI,주권,KRX,2758000.0,2591920.0,6.407605172999167,4601000.0,-40.05650945446642,43.50703060380455,-25.32,-7.45,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,133.52,20.47,26.44,32.0,10.36,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.27,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,3.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.24,111.72,2025.0,11011.0,31.0,14.24,29.21,4,3,3,3,3.23,-27.25,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-16,4.59,0,0,20,20,15,10,5,5,75,A,28
009540.KS,009540,HD한국조선해양,250536,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,353500.0,414237.5,-14.66248227164368,479500.0,-26.277372262773724,52.92096219930762,-16.03,-15.73,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,84.96,21.88,33.54,7.0,1.85,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.48,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,2.0,OpenDART,,4.0,,,583667.0,,,65.11,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,0.08,212.72,2025.0,11011,8.0,1.04,8.82,18,17,17,16,-12.5,77.88,기타 금융업,기타 금융업,2026-07-16,4.59,15,3,16,20,15,10,5,5,89,S,29
005490.KS,005490,POSCO홀딩스,246837,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,309000.0,348070.0,-11.224753641508892,535000.0,-42.242990654205606,52.765957446802226,-15.8,-19.74,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-38.15,27.33,32.23,14.0,0.4,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.24,115.0,10000.0,7562.08,OpenDART,-5.9,5.0,True,5.0,OpenDART,,4.0,,,530824.0,,,71.79,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,-36.54,2025.0,11011.0,,,,1,0,0,0,,,1차 철강 제조업,1차 철강 제조업,2026-07-16,4.59,8,10,0,0,0,0,5,5,28,D,30
042700.KS,042700,한미반도체,231132,,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",KOSPI,주권,KRX,239500.0,217875.5,9.925163682929012,409500.0,-41.514041514041516,46.52133580704707,-24.09,-16.4,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,41.96,44.0,7.9,144.35,40.2,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,5767.0,2514.0,2140.0,43.59,37.11,2286.27,1348.92,2762.35,1230.04,1532.31,0.33,35.5,800.0,758.82,OpenDART,58.74,5.0,True,5.0,OpenDART,,4.0,,,380000.0,,,58.66,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,3.44,-9.81,2025.0,11011.0,,,,3,2,2,2,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.59,0,0,20,0,0,10,5,5,40,C,31
316140.KS,316140,우리금융지주,229348,,금융지주,KOSPI,주권,KRX,31400.0,30174.0,4.063100682706966,40800.0,-23.03921568627451,70.06369426739097,-0.48,-12.04,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,1.86,4.73,45.84,7.0,0.56,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,4.33,31.96,1360.0,9984.68,OpenDART,10.87,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,3.76,11.6,2025.0,11011.0,8.0,1.08,8.94,18,17,17,16,-12.5,-48.15,기타 금융업,기타 금융업,2026-07-16,4.59,15,10,6,0,8,2,1,5,47,C,32
006800.KS,006800,미래에셋증권,224106,,"유가증권매매,유가증권위탁매매,유가증권인수",KOSPI,주권,KRX,39450.0,44302.985,-10.954081310773981,83800.0,-52.9236276849642,49.63898916965,-22.19,-43.96,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,76.41,11.79,9.43,10.0,1.8,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,-68609.61,-69186.45,16980.57,1368057.27,-1351076.7,0.76,11.1,300.0,1741.85,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.13,126.19,2025.0,11011.0,6.5,1.22,12.42,5,4,4,4,53.85,47.54,금융 지원 서비스업,금융 지원 서비스업,2026-07-16,4.59,12,6,12,20,15,10,5,3,83,A,33
015760.KS,015760,한국전력,218588,,"전력자원개발,발전,송전,전력용기자재확보",KOSPI,주권,KRX,34050.0,46053.75,-26.06465271557691,67900.0,-49.85272459499264,37.238493723805746,-13.47,-25.82,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,144.73,3.62,51.64,4.0,0.44,19.4,416.85,4.32,61.28,,5439 -> 13311,974293.0,134906.0,86667.0,13.85,8.9,208801.54,49425.25,22408.11,2056045.13,-2033637.02,4.53,11.6,1542.0,9899.09,OpenDART,623.94,2.0,False,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.03,,2025.0,11011.0,,,,1,0,0,0,,,전기업,전기업,2026-07-16,4.59,15,10,16,20,0,10,5,3,79,A,34
010130.KS,010130,고려아연,214782,,"연,아연괴 제조,판매",KOSPI,주권,KRX,1009000.0,1377430.0,-26.747638718482975,2115000.0,-52.29314420803782,46.30136986301192,-16.54,-39.9,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,319.09,54.23,28.14,16.0,1.86,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,-6282.11,-15712.09,34510.7,92115.02,-57604.32,1.98,52.6,20000.0,4078.65,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.05,21.41,2025.0,11011.0,,,,1,0,0,0,,,1차 비철금속 제조업,1차 비철금속 제조업,2026-07-16,4.59,8,3,6,20,12,10,5,3,67,B,35
096770.KS,096770,SK이노베이션,205230,,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",KOSPI,주권,KRX,120300.0,114882.5,4.715687767936805,149800.0,-19.692923898531376,73.8415545590279,16.23,-7.03,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,53.47,14.56,9.0,0.75,-14.42,190.2,8.11,26.15,,-,802961.0,4487.0,-54364.0,0.56,-6.77,22830.53,-33675.57,160915.52,692169.86,-531254.34,,,,,,-10.7,0.0,True,3.0,OpenDART,,3.75,,,166909.0,,,38.74,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,,,,,,2,1,1,1,,,석유 정제품 제조업,석유 정제품 제조업,2026-07-16,4.59,12,10,0,0,0,0,1,5,28,D,36
138040.KS,138040,메리츠금융지주,197971,,투자사업,KOSPI,주권,KRX,117000.0,112804.5,3.7192665186229275,146200.0,-19.972640218878247,81.05263157890755,4.28,-0.59,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,6.73,7.76,14.08,8.0,1.8,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,203170.0,28727.0,23501.0,14.14,11.57,-64720.07,-65197.88,31532.99,1241967.76,-1210434.77,,,,,,235.23,0.0,True,3.0,OpenDART,,3.8,,,148000.0,,,26.5,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,1.19,10.07,,,7.0,1.04,8.82,18,17,17,16,14.29,73.08,기타 금융업,기타 금융업,2026-07-16,4.59,15,6,20,10,8,5,1,5,70,A,37
010140.KS,010140,삼성중공업,196240,,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",KOSPI,주권,KRX,22200.0,26852.25,-17.325363796329917,34400.0,-35.46511627906977,46.78899082562798,-19.86,-23.58,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,749.32,97.29,29.0,19.0,4.17,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,15628.49,13465.94,7726.15,108538.31,-100812.16,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.03,,,,,,,3,2,2,2,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-16,4.59,4,0,12,20,0,10,5,5,56,B,38
000150.KS,000150,두산,194649,,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",KOSPI,주권,KRX,1203000.0,1114325.0,7.95773225943957,2203000.0,-45.392646391284615,38.43930635838099,-26.38,-9.55,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,220.26,21.16,61.0,10.03,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,9819.08,834.83,49279.03,206934.67,-157655.64,0.33,94.61,4000.0,717.01,OpenDART,25.99,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,31.5,5.47,6.37,7,6,6,6,93.65,83.36,전자부품 제조업,전자부품 제조업,2026-07-16,4.59,0,0,0,0,0,0,5,3,8,D,39
017670.KS,017670,SK텔레콤,192666,,"이동전화,무선호출서비스,부가통신",KOSPI,주권,KRX,88900.0,74105.5,19.96410522835687,125200.0,-28.993610223642175,47.982062780238934,-7.3,-9.56,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-67.28,15.89,76.67,16.0,1.42,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,170992.0,10732.0,3751.0,6.28,2.19,39238.47,16005.95,14900.24,171524.91,-156624.67,1.87,86.6,1660.0,3535.51,OpenDART,-15.75,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,-38.32,2025.0,11011.0,,,,3,2,2,2,,,전기 통신업,전기 통신업,2026-07-16,4.59,8,6,0,0,0,0,5,5,24,D,40
011200.KS,011200,HMM,189119,,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",KOSPI,주권,KRX,20050.0,20358.65,-1.5160631967247409,25950.0,-22.736030828516377,67.75510204062275,-1.96,-4.98,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-61.33,8.23,7.69,13.0,0.63,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,108914.0,14612.0,18787.0,13.42,17.25,33051.31,17064.29,17607.67,69918.56,-52310.89,3.49,35.15,700.0,6602.66,OpenDART,3.93,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,3.39,2025.0,11011.0,,,,1,0,0,0,,,해상 운송업,해상 운송업,2026-07-16,4.59,8,10,6,0,4,0,1,5,34,D,41
033780.KS,033780,KT&G,186755,,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",KOSPI,주권,KRX,178000.0,157561.5,12.971760233305726,189000.0,-5.82010582010582,60.9841827767864,-1.33,3.91,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-0.02,13.64,51.22,15.0,2.01,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,65797.0,13437.0,11023.0,20.42,16.75,5828.75,-930.03,9135.03,48529.58,-39394.55,3.37,57.6,6000.0,6274.28,OpenDART,6.27,5.0,False,5.0,OpenDART,,4.0,,,229286.0,,,28.81,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,16.47,2025.0,11011,,,,1,0,0,0,,,담배 제조업,담배 제조업,2026-07-16,4.59,8,3,12,0,12,0,3,0,38,D,42
051910.KS,051910,LG화학,183893,,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",KOSPI,주권,KRX,260000.0,341292.5,-23.819011551674883,429500.0,-39.46449359720605,46.007604562732745,-24.09,-27.78,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,29.2,37.44,-599.0,0.58,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,82338.59,-56228.12,98999.26,539561.16,-440561.9,0.77,,2000.0,1569.34,OpenDART,-41.52,5.0,True,5.0,OpenDART,,3.79,,,449929.0,,,73.05,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,,2025.0,11011,,,,1,0,0,0,,,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-16,4.59,0,10,0,0,0,0,5,5,20,D,43
064350.KS,064350,현대로템,173536,,"철도차량, 특수중기, 산업기계",KOSPI,주권,KRX,159100.0,205017.0,-22.396679299765385,269000.0,-40.8550185873606,46.064139941686264,-24.78,-26.34,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,89.24,19.33,38.39,19.0,5.76,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,58390.0,10056.0,7705.0,17.22,13.2,9043.13,7478.41,9084.14,62768.0,-53683.86,0.38,8.5,600.0,654.85,OpenDART,144.95,3.0,False,3.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.21,118.7,2025.0,11011.0,,,,1,0,0,0,,,그외 기타 운송장비 제조업,그외 기타 운송장비 제조업,2026-07-16,4.59,4,0,20,20,15,10,5,5,79,A,44
024110.KS,024110,기업은행,172243,,은행업,KOSPI,주권,KRX,21550.0,21382.4,0.7838222089194784,28550.0,-24.518388791593697,71.84684684662031,-1.37,-4.43,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,2.53,4.67,13.82,6.0,0.47,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,292172.0,36556.0,27189.0,12.51,9.31,-30221.46,-34147.86,221431.08,4638365.97,-4416934.89,4.86,30.83,1048.0,8357.02,OpenDART,2.97,5.0,True,5.0,OpenDART,,3.73,,,27714.0,,,28.6,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2.37,0.77,2025.0,11011,,,,2,1,1,1,,,은행 및 저축기관,은행 및 저축기관,2026-07-16,4.59,15,10,6,0,0,2,1,5,39,D,45
079550.KS,079550,LIG디펜스앤에어로스페이스,164780,,정밀유도무기 등,KOSPI,주권,KRX,754000.0,625057.5,20.628902141003028,1020000.0,-26.078431372549023,51.37795275590409,-14.71,-13.93,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,15.46,25.03,25.3,44.0,10.49,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,43069.0,3194.0,2375.0,7.42,5.51,-5843.05,-8663.03,1251.9,65886.65,-64634.75,0.39,25.4,2950.0,644.43,OpenDART,25.29,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2.85,20.33,2025.0,11011.0,,,,1,0,0,0,,,무기 및 총포탄 제조업,무기 및 총포탄 제조업,2026-07-16,4.59,0,0,16,0,12,8,5,5,46,C,46
010950.KS,010950,S-Oil,163132,,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",KOSPI,주권,KRX,143800.0,98622.5,45.80851225633096,144900.0,-0.759144237405107,86.15384615382928,36.82,22.59,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-81.34,31.62,79.89,6.0,1.7,2.01,198.82,-6.52,-44.2,,8137 -> 1518,342470.0,2356.0,1770.0,0.69,0.52,39423.04,336.87,18346.58,176695.56,-158348.98,0.23,21.8,330.0,385.15,OpenDART,-60.85,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,,,,2,1,1,1,,,석유 정제품 제조업,석유 정제품 제조업,2026-07-16,4.59,15,6,0,0,0,0,1,0,22,D,47
267250.KS,267250,HD현대,161540,,지주회사,KOSPI,주권,KRX,207500.0,230579.0,-10.009150876706032,310500.0,-33.17230273752013,56.797235023032314,-13.0,-20.04,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,89.12,15.56,27.2,7.0,1.36,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,712594.0,60996.0,36755.0,8.56,5.16,73848.84,50959.56,63674.75,483507.99,-419833.24,1.93,29.4,4000.0,2826.74,OpenDART,-7.86,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.08,90.79,2025.0,11011.0,8.0,1.04,8.82,18,17,17,16,-12.5,30.77,기타 금융업,기타 금융업,2026-07-16,4.59,15,6,12,20,15,10,3,5,86,S,48
035720.KS,035720,카카오,159030,,인터넷 서비스(인터넷 광고),KOSPI,주권,KRX,35900.0,52463.25,-31.57114742224319,70400.0,-49.00568181818182,61.2244897958484,-8.65,-28.2,daily_close,NXT 미확인,2026-07-16 22:05 KST,,,795.16,180.5,28.52,23.0,1.33,4.59,82.49,2.99,47.79,,124 -> 1110,80991.0,7320.0,5180.0,9.04,6.4,14047.63,7903.9,63737.84,125586.03,-61848.19,0.21,6.7,75.0,330.25,OpenDART,7.72,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.03,,2025.0,11011.0,,,,2,1,1,1,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-16,4.59,4,6,0,20,0,10,3,3,46,C,49
011070.KS,011070,LG이노텍,158096,,기타 전자부품 제조업,KOSPI,주권,KRX,662000.0,444891.5,48.800325472615235,1530000.0,-56.73202614379085,23.217922606923977,-48.4,68.02,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-24.04,12.45,26.0,18.0,2.57,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,218966.0,6650.0,3413.0,3.04,1.56,13314.02,5768.74,14064.03,61678.29,-47614.26,0.28,13.0,1880.0,444.89,OpenDART,-14.43,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,-22.3,2025.0,11011.0,48.0,8.6,5.98,7,6,6,6,-62.5,-70.12,전자부품 제조업,전자부품 제조업,2026-07-16,4.59,8,3,6,0,0,0,1,3,21,D,50
018260.KS,018260,삼성에스디에스,154213,,"IT서비스, 물류BPO",KOSPI,주권,KRX,198500.0,179857.5,10.36515018834355,362000.0,-45.16574585635359,55.01066098080203,-10.18,8.77,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,0.34,16.5,18.0,22.0,1.54,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,139299.0,9571.0,7827.0,6.87,5.62,12033.28,8438.64,15589.81,31908.04,-16318.23,1.61,32.5,3190.0,2467.47,OpenDART,7.37,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,64.71,4.66,2025.0,11011.0,,,,2,1,1,1,,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-07-16,4.59,4,6,6,0,4,2,3,3,28,D,51
