yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
028260.KS,028260,삼성물산,574073,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,359000.0,302720.0,18.591437632135307,535000.0,-32.89719626168225,29.729729729728405,-27.77,16.75,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,15.35,12.4,30.6,27.0,1.14,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.78,18.8,2800.0,4582.52,OpenDART,-9.64,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,1.76,2025.0,11011.0,1,0,0,0,9.45,,,,,,기타 전문 도매업,기타 전문 도매업,2026-07-14,4.25,0,8,6,5,8,8,3,5,43,C,11
000270.KS,000270,기아,545016,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,141100.0,141885.0,-0.5532649681079748,206000.0,-31.50485436893204,50.51395007341106,-17.1,-6.86,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-21.72,5.03,38.72,7.0,0.89,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.82,34.9,6800.0,26424.99,OpenDART,22.7,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,2,1,1,1,-6.31,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-14,4.25,15,8,12,0,0,0,5,5,45,C,12
055550.KS,055550,신한지주,505506,,금융지주회사,KOSPI,주권,KRX,106300.0,87736.5,21.158240868965596,109200.0,-2.6556776556776556,66.46341463411798,-0.37,6.51,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,15.39,5.95,61.5,9.0,0.87,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.44,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.58,2025.0,11011.0,17,16,16,15,9.58,7.0,1.2,8.91,28.57,-27.5,기타 금융업,기타 금융업,2026-07-14,4.25,12,8,6,20,8,8,1,0,63,B,13
329180.KS,329180,HD현대중공업,489119,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,469000.0,572622.5,-18.096127902763165,745000.0,-37.04697986577181,24.255319148934717,-32.81,-1.16,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.21,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,,,,,,,,,,,,,,,,,,0.17,2025.0,11011.0,3,2,2,2,651.55,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-14,4.25,4,0,16,20,15,10,1,5,71,A,14
034020.KS,034020,두산에너빌리티,454157,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,71600.0,91082.5,-21.38994867290643,136400.0,-47.50733137829912,29.087048832263108,-30.69,-31.29,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,1,0,0,0,23.18,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-14,4.25,0,0,0,0,12,0,3,3,18,D,15
012450.KS,012450,한화에어로스페이스,449632,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,885000.0,1149545.0,-23.01301819415508,1537000.0,-42.42029928432011,32.32484076433049,-25.19,-41.35,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-38.13,15.96,45.35,26.0,5.64,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.79,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,2,1,1,1,34.11,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-14,4.25,0,0,16,0,15,0,3,5,39,D,16
012330.KS,012330,현대모비스,422813,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,470500.0,424650.0,10.797127045802425,768000.0,-38.73697916666667,37.64367816091651,-28.71,13.24,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-8.74,7.12,36.87,11.0,0.87,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.38,15.9,6500.0,5797.54,OpenDART,12.91,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,1,0,0,0,4.5,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-14,4.25,12,8,6,0,4,0,5,5,40,C,17
034730.KS,034730,SK,407465,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,571000.0,378217.5,50.97133263267829,858000.0,-33.44988344988345,38.905325443786175,-15.16,54.53,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,11.73,29.67,6.0,1.42,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.4,27.6,8000.0,4407.19,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,17,16,16,15,,7.5,1.0,8.91,-20.0,42.0,기타 금융업,기타 금융업,2026-07-14,4.25,15,6,6,0,0,0,5,5,37,D,18
068270.KS,068270,셀트리온,401852,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,173800.0,184893.92,-6.000154034270035,236861.0,-26.623631581391617,50.08818342150439,-0.4,-9.73,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,148.85,65.74,24.54,27.0,2.25,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,265398.0,,,52.7,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.18,2025.0,11011,2,1,1,1,15.32,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.25,0,3,6,20,12,10,5,5,61,B,19
086790.KS,086790,하나금융지주,367652,,기타 금융,KOSPI,주권,KRX,132800.0,106744.5,24.409220147173862,134000.0,-0.8955223880597015,74.74999999997384,0.61,9.66,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,9.62,4.94,68.28,8.0,0.79,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.09,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.83,2025.0,11011.0,17,16,16,15,10.23,7.0,1.2,8.72,14.29,-34.17,기타 금융업,기타 금융업,2026-07-14,4.25,15,10,6,16,8,5,1,0,61,B,20
006400.KS,006400,삼성SDI,344503,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,431500.0,401270.0,7.533580880703765,712000.0,-39.396067415730336,38.195777351245546,-21.4,-8.39,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-70.17,22.94,26.63,102.0,1.53,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,3,1,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-14,4.25,0,6,0,0,0,0,5,5,16,D,21
066570.KS,066570,LG전자,301988,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,188500.0,129952.5,45.053000134664586,392500.0,-51.97452229299363,36.098981077139655,-19.44,54.26,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,161.86,28.06,28.64,15.0,1.3,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.72,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.09,2025.0,11011.0,2,1,1,1,16.18,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-14,4.25,8,6,0,20,12,10,5,3,64,B,22
035420.KS,035420,NAVER,287521,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,184400.0,235242.0,-21.61263719913961,290500.0,-36.52323580034423,34.88805970148343,-23.8,-12.61,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,3.89,24.18,34.66,16.0,1.0,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.43,20.2,2630.0,3935.96,OpenDART,50.62,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,4.11,2025.0,11011.0,2,1,1,1,41.51,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-14,4.25,8,8,6,0,15,2,3,5,47,C,23
267260.KS,267260,HD현대일렉트릭,287295,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,808000.0,914905.0,-11.684819735382362,1420000.0,-43.098591549295776,36.434108527130796,-27.47,-23.05,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,46.07,25.65,34.67,37.0,17.52,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,3.0,False,3.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.8,2025.0,11011.0,4,3,3,3,68.14,32.0,10.36,24.41,15.62,69.11,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-14,4.25,0,0,20,16,15,10,5,5,71,A,24
010120.KS,010120,LS ELECTRIC,281550,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,190500.0,148482.0,28.29837960156787,318500.0,-40.1883830455259,40.90009891196551,-26.02,1.98,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,0.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,3.88,2025.0,11011.0,4,3,3,3,17.98,32.0,10.36,29.21,143.75,82.92,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-14,4.25,0,0,12,0,12,8,5,5,42,C,25
000810.KS,000810,삼성화재,280386,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,627000.0,514132.5,21.952998497469036,730000.0,-14.10958904109589,48.30508474575985,-6.56,29.01,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-0.74,9.42,58.32,14.0,1.12,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,3.11,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3,2,2,2,6.39,,,,,,보험업,보험업,2026-07-14,4.25,8,8,12,0,4,0,5,5,42,C,26
298040.KS,298040,효성중공업,249618,,-,KOSPI,주권,KRX,2724000.0,2577415.0,5.687287456618356,4601000.0,-40.79547924364269,35.90492076730588,-30.01,-8.13,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,133.52,20.47,26.44,32.0,10.36,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.28,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,3.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.24,2025.0,11011.0,4,3,3,3,111.72,37.0,17.52,29.21,-13.51,-40.87,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-14,4.25,0,0,20,20,15,10,5,5,75,A,27
005490.KS,005490,POSCO홀딩스,240498,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,304500.0,347767.5,-12.441501865470466,535000.0,-43.08411214953271,39.230769230765006,-21.92,-17.26,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-38.15,27.33,32.23,14.0,0.4,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.28,115.0,10000.0,7562.08,OpenDART,-5.9,5.0,True,5.0,OpenDART,,4.0,,,530824.0,,,74.33,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,1,0,0,0,-36.54,,,,,,1차 철강 제조업,1차 철강 제조업,2026-07-14,4.25,8,10,0,0,0,0,5,5,28,D,28
042660.KS,042660,한화오션,235325,,선박 제조,KOSPI,주권,KRX,78200.0,122266.5,-36.0413522919197,149900.0,-47.831887925283525,32.019704433492024,-39.47,-37.84,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,135.85,27.59,9.53,15.0,3.54,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,0.11,,,3,2,2,2,131.76,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-14,4.25,8,0,20,20,15,10,3,3,79,A,29
009540.KS,009540,HD한국조선해양,231428,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,328500.0,414952.5,-20.83431236105337,479500.0,-31.49113660062565,35.4609929077979,-25.09,-18.18,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,84.96,21.88,33.42,7.0,1.87,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.74,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,2.0,OpenDART,,,,,,,,,,,,,,,,,,,0.08,2025.0,11011.0,17,16,16,15,212.72,7.5,1.0,8.72,-6.67,87.0,기타 금융업,기타 금융업,2026-07-14,4.25,15,3,16,20,15,10,5,5,89,S,30
316140.KS,316140,우리금융지주,223523,,금융지주,KOSPI,주권,KRX,30900.0,30124.75,2.5734653399613276,40800.0,-24.264705882352942,59.119496855241806,-6.51,-12.59,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,1.86,4.73,45.84,7.0,0.56,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,4.4,31.96,1360.0,9984.68,OpenDART,10.87,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,3.76,2025.0,11011.0,17,16,16,15,11.6,7.5,1.2,8.72,-6.67,-53.33,기타 금융업,기타 금융업,2026-07-14,4.25,15,10,6,0,8,2,3,5,49,C,31
