yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
086790.KS,086790,하나금융지주,376981,,기타 금융,KOSPI,주권,KRX,137400.0,131030.0,126423.33333333333,121936.66666666667,113769.0,20.77103604672626,137400.0,0.0,66.6666666666346,8.27,11.17,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,9.62,4.94,68.15,9.0,0.82,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,2.99,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,4.0,,,164737.0,,,19.9,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.94,10.23,2025.0,11011,17,16,16,15,1.01,8.91,-18.81,8.0,12.5,기타 금융업,기타 금융업,2026-09-01,4.77,12,8,6,16,8,5,1,0,56,B,21
066570.KS,066570,LG전자,336356,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,206500.0,196675.0,196503.33333333334,177962.5,146866.5,40.603881756561236,392500.0,-47.388535031847134,63.44902386116173,30.04,-31.85,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,161.86,28.06,29.74,16.0,1.38,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.65,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,5.0,OpenDART,,4.0,,,233235.0,,,12.95,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.1,16.18,2025.0,11011,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-09-01,4.77,8,6,0,20,12,10,3,3,62,B,22
035420.KS,035420,NAVER,326964,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,215000.0,219325.0,213293.33333333334,213583.33333333334,228377.5,-5.857626079626933,290500.0,-25.989672977624785,50.757575757564986,3.61,-15.85,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,3.89,24.18,36.45,18.0,1.13,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.22,20.2,2630.0,3935.96,OpenDART,42.23,5.0,True,5.0,OpenDART,,4.0,,,330565.0,,,53.75,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,4.63,41.51,2025.0,11011.0,2,1,1,1,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-09-01,4.77,8,8,6,0,15,2,5,5,49,C,23
010120.KS,010120,LS ELECTRIC,306750,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,204500.0,204270.0,209971.66666666666,211127.5,169902.0,20.363503666819696,318500.0,-35.79277864992151,50.82872928176009,8.55,-9.91,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,20.11,26.34,18.71,58.0,14.49,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,297500.0,,,45.48,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2.88,17.98,2025.0,11011.0,4,3,3,3,10.49,29.21,38.13,27.0,114.81,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-09-01,4.77,0,0,12,0,12,8,5,5,42,C,24
000810.KS,000810,삼성화재,302263,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,677000.0,643600.0,644883.3333333334,573075.0,544822.5,24.260653699140548,730000.0,-7.260273972602739,58.33333333332955,9.9,-2.59,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-0.74,9.42,57.93,14.0,1.19,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,2.88,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,5.0,OpenDART,,3.88,,,775000.0,,,14.48,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,6.39,2025.0,11011,3,2,2,2,,,,,,보험업,보험업,2026-09-01,4.77,8,8,12,0,4,0,3,0,35,D,25
267260.KS,267260,HD현대일렉트릭,277202,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,769000.0,762100.0,849150.0,959125.0,923860.0,-16.76227999913407,1420000.0,-45.84507042253521,54.901960784311214,14.26,-19.56,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,46.07,25.65,34.55,27.0,11.49,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,0.0,False,3.0,OpenDART,,4.0,,,1181000.0,,,53.58,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,0.59,68.14,2025.0,11011.0,4,3,3,3,10.49,24.41,9.53,35.0,-22.86,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-09-01,4.77,0,0,20,20,15,10,5,3,73,A,26
298040.KS,298040,효성중공업,271903,,-,KOSPI,주권,KRX,2916000.0,2886650.0,3006316.6666666665,3144275.0,2754310.0,5.870435789725921,4601000.0,-36.62247337535318,53.30739299610837,16.87,-13.73,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,133.52,20.47,27.18,35.0,10.49,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.26,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,3.0,OpenDART,,4.0,,,4254286.0,,,45.89,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.26,111.72,2025.0,11011,4,3,3,3,11.49,29.21,-8.7,27.0,29.63,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-09-01,4.77,0,0,20,20,15,10,5,5,75,A,27
005490.KS,005490,POSCO홀딩스,270213,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,341000.0,327350.0,327433.3333333333,363762.5,352145.0,-3.164889463147283,535000.0,-36.26168224299066,59.00621118011396,12.36,-12.56,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-38.15,27.33,32.64,14.0,0.43,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,2.93,115.0,10000.0,7562.08,OpenDART,-5.9,5.0,True,5.0,OpenDART,,4.0,,,511412.0,,,49.97,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,-36.54,2025.0,11011.0,1,0,0,0,,,,,,1차 철강 제조업,1차 철강 제조업,2026-09-01,4.77,8,10,0,0,0,0,3,5,26,D,28
042660.KS,042660,한화오션,269337,,선박 제조,KOSPI,주권,KRX,87900.0,89125.0,94938.33333333333,110400.0,117018.0,-24.883351279290366,149900.0,-41.36090727151434,48.028673835101344,5.9,-21.66,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,135.85,27.59,10.37,14.0,3.58,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,4.0,,,141050.0,,,60.47,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.1,131.76,,,3,2,2,2,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-09-01,4.77,8,0,20,20,15,10,5,5,83,A,29
010130.KS,010130,고려아연,261120,,"연,아연괴 제조,판매",KOSPI,주권,KRX,1251000.0,1242200.0,1136716.6666666667,1337383.3333333333,1390450.0,-10.029127260958683,2115000.0,-40.85106382978723,51.74050632911278,22.65,-1.11,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,319.09,54.23,27.53,21.0,2.25,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,-6282.11,-15712.09,34510.7,92115.02,-57604.32,1.6,52.6,20000.0,4078.65,OpenDART,0.0,5.0,True,5.0,OpenDART,,4.0,,,1558833.0,,,24.61,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.07,21.41,2025.0,11011,1,0,0,0,,,,,,1차 비철금속 제조업,1차 비철금속 제조업,2026-09-01,4.77,4,3,6,20,12,10,5,5,65,B,30
316140.KS,316140,우리금융지주,254559,,금융지주,KOSPI,주권,KRX,34550.0,33265.0,31659.166666666668,32140.833333333332,31231.25,10.626375825495298,40800.0,-15.318627450980394,55.31914893606036,3.6,10.74,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,1.86,4.73,48.26,8.0,0.65,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,3.94,31.96,1360.0,9984.68,OpenDART,6.37,5.0,True,5.0,OpenDART,,4.0,,,43778.0,,,26.71,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,4.3,11.6,2025.0,11011.0,17,16,16,15,1.01,9.17,-35.64,8.5,-5.88,기타 금융업,기타 금융업,2026-09-01,4.77,15,10,6,0,8,2,3,5,49,C,31
009540.KS,009540,HD한국조선해양,250182,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,353500.0,372625.0,369450.0,391937.5,404802.5,-12.67346422020615,479500.0,-26.277372262773724,30.044843049323575,-4.07,-6.73,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,84.96,21.88,33.26,7.0,1.73,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.48,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,2.0,OpenDART,,4.0,,,567500.0,,,60.54,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.08,212.72,2025.0,11011.0,17,16,16,15,0.94,8.91,84.04,8.5,-17.65,기타 금융업,기타 금융업,2026-09-01,4.77,15,6,16,20,15,10,3,5,90,S,32
096770.KS,096770,SK이노베이션,228728,,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",KOSPI,주권,KRX,135300.0,121895.0,111688.33333333333,117125.0,115642.0,16.999014198993446,149800.0,-9.679572763684913,58.33333333332118,25.28,17.75,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,,53.47,15.07,8.0,0.94,-14.42,190.2,8.11,26.15,,-,802961.0,4487.0,-54364.0,0.56,-6.77,22830.53,-33675.57,160915.52,692169.86,-531254.34,,,,,,-10.7,0.0,True,3.0,OpenDART,,4.0,,,178923.0,,,32.24,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,,2,1,1,1,,,,,,석유 정제품 제조업,석유 정제품 제조업,2026-09-01,4.77,15,8,0,0,0,0,3,0,26,D,33
138040.KS,138040,메리츠금융지주,209853,,투자사업,KOSPI,주권,KRX,125400.0,119965.0,114870.0,113265.0,113641.0,10.34749782208886,146200.0,-14.227086183310533,53.149606299183304,4.24,16.87,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,6.73,7.76,14.35,8.0,1.78,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,203170.0,28727.0,23501.0,14.14,11.57,-64720.07,-65197.88,31532.99,1241967.76,-1210434.77,,,,,,235.23,0.0,True,3.0,OpenDART,,3.83,,,153333.0,,,22.28,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,1.19,10.07,,,17,16,16,15,0.94,8.91,89.36,8.5,-5.88,기타 금융업,기타 금융업,2026-09-01,4.77,15,6,20,10,8,5,5,5,74,A,34
015760.KS,015760,한국전력,207675,,"전력자원개발,발전,송전,전력용기자재확보",KOSPI,주권,KRX,32350.0,33592.5,35459.166666666664,39400.0,45084.75,-28.246247345277503,67900.0,-52.356406480117826,39.08045977007301,-6.23,-15.09,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,144.73,3.62,52.53,5.0,0.41,19.4,416.85,4.32,61.28,,5439 -> 13311,974293.0,134906.0,86667.0,13.85,8.9,208801.54,49425.25,22408.11,2056045.13,-2033637.02,4.77,11.6,1542.0,9899.09,OpenDART,623.94,2.0,False,2.0,OpenDART,,3.92,,,50667.0,,,56.62,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.03,,2025.0,11011,1,0,0,0,,,,,,전기업,전기업,2026-09-01,4.77,15,10,16,20,0,10,5,3,79,A,35
042700.KS,042700,한미반도체,204921,,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",KOSPI,주권,KRX,215000.0,215390.0,235836.66666666666,273697.5,231190.0,-7.002898049223583,409500.0,-47.49694749694749,51.49253731342207,6.17,-24.03,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,41.96,44.0,7.89,89.7,26.54,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,5767.0,2514.0,2140.0,43.59,37.11,2286.27,1348.92,2762.35,1230.04,1532.31,0.37,35.5,800.0,758.82,OpenDART,58.74,5.0,True,5.0,OpenDART,,4.0,,,380000.0,,,76.74,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,2.14,-9.81,2025.0,11011.0,3,2,2,2,,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,20,0,0,10,5,3,38,D,36
017670.KS,017670,SK텔레콤,203191,,"이동전화,무선호출서비스,부가통신",KOSPI,주권,KRX,94600.0,94900.0,92561.66666666667,92349.16666666667,80020.0,18.220444888777806,125200.0,-24.440894568690098,62.64705882350362,15.37,-11.09,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-67.28,15.89,69.95,15.0,1.3,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,170992.0,10732.0,3751.0,6.28,2.19,39238.47,16005.95,14900.24,171524.91,-156624.67,1.75,86.6,1660.0,3535.51,OpenDART,-20.63,5.0,True,5.0,OpenDART,,3.89,,,120947.0,,,27.85,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,,-38.32,2025.0,11011.0,3,2,2,2,,,,,,전기 통신업,전기 통신업,2026-09-01,4.77,8,6,0,0,0,0,3,5,22,D,37
011200.KS,011200,HMM,201381,,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",KOSPI,주권,KRX,21350.0,21610.0,20435.333333333332,20431.75,20440.8,4.447966811475093,25950.0,-17.726396917148364,47.9999999999104,2.89,9.77,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-61.33,8.23,8.59,11.0,0.7,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,108914.0,14612.0,18787.0,13.42,17.25,33051.31,17064.29,17607.67,69918.56,-52310.89,3.28,35.15,700.0,6602.66,OpenDART,-16.45,5.0,True,5.0,OpenDART,,3.31,,,24818.0,,,16.24,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,,3.39,2025.0,11011.0,1,0,0,0,,,,,,해상 운송업,해상 운송업,2026-09-01,4.77,12,10,6,0,4,0,5,5,42,C,38
051910.KS,051910,LG화학,199070,,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",KOSPI,주권,KRX,282000.0,269925.0,280408.3333333333,315616.6666666667,329950.0,-14.532504924988634,429500.0,-34.342258440046564,54.761904761895636,14.17,-19.2,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,,29.2,37.49,-61.0,0.58,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,82338.59,-56228.12,98999.26,539561.16,-440561.9,0.71,,2000.0,1569.34,OpenDART,-41.52,5.0,True,5.0,OpenDART,,3.85,,,383769.0,,,36.09,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,2,1,1,1,,,,,,기초 화학물질 제조업,기초 화학물질 제조업,2026-09-01,4.77,0,10,0,0,0,0,5,5,20,D,39
000150.KS,000150,두산,195297,,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",KOSPI,주권,KRX,1206000.0,1205050.0,1328966.6666666667,1377241.6666666667,1185285.0,1.7476809374960451,2203000.0,-45.25646845211076,52.6901669758799,-2.58,-30.69,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,,220.26,20.3,53.0,8.26,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,9819.08,834.83,49279.03,206934.67,-157655.64,0.33,94.61,4000.0,717.01,OpenDART,25.99,5.0,False,5.0,OpenDART,,4.0,,,2115833.0,,,75.44,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,2025.0,11011,6,5,5,5,5.52,6.6,49.64,30.0,76.67,전자부품 제조업,전자부품 제조업,2026-09-01,4.77,0,0,0,0,0,0,5,3,8,D,40
018260.KS,018260,삼성에스디에스,189575,,"IT서비스, 물류BPO",KOSPI,주권,KRX,245000.0,232000.0,215055.0,198048.33333333334,187949.0,30.354511064171664,362000.0,-32.32044198895028,56.2499999999877,20.69,-2.97,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,0.34,16.5,18.68,26.0,1.8,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,139299.0,9571.0,7827.0,6.87,5.62,12033.28,8438.64,15589.81,31908.04,-16318.23,1.3,32.5,3190.0,2467.47,OpenDART,-0.1,5.0,True,5.0,OpenDART,,4.0,,,269786.0,,,10.12,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,76.47,4.66,2025.0,11011.0,2,1,1,1,,,,,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-09-01,4.77,0,6,6,0,4,2,3,5,26,D,41
006800.KS,006800,미래에셋증권,189514,,"유가증권매매,유가증권위탁매매,유가증권인수",KOSPI,주권,KRX,34900.0,35607.5,40082.5,53764.65,46232.51,-24.511993832911084,83800.0,-58.35322195704057,47.619047618994706,4.96,-38.12,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,76.41,11.79,11.25,7.0,1.43,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,-68609.61,-69186.45,16980.57,1368057.27,-1351076.7,0.86,11.1,300.0,1741.85,OpenDART,14.47,5.0,True,5.0,OpenDART,,3.82,,,55625.0,,,59.38,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.09,126.19,2025.0,11011.0,5,4,4,4,1.04,12.42,37.5,5.5,27.27,금융 지원 서비스업,금융 지원 서비스업,2026-09-01,4.77,15,6,12,20,15,10,5,3,86,S,42
010140.KS,010140,삼성중공업,184800,,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",KOSPI,주권,KRX,21000.0,21330.0,22858.333333333332,26037.5,26422.0,-20.520778139429265,34400.0,-38.95348837209303,41.489361702004075,0.48,-24.32,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,749.32,97.29,28.95,20.0,3.76,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,15628.49,13465.94,7726.15,108538.31,-100812.16,,,,,,,,,,,,4.0,,,38579.0,,,83.71,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.03,,,,3,2,2,2,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-09-01,4.77,4,0,12,20,0,10,5,5,56,B,43
003550.KS,003550,LG,181883,,지주회사,KOSPI,주권,KRX,120300.0,111630.0,105378.33333333333,103458.33333333333,96832.5,24.23514832313531,165800.0,-27.44270205066345,65.46391752574958,20.66,-2.12,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,29.09,16.15,37.21,14.0,0.58,2.64,12.03,1.07,-5.65,-23.3,7867 -> 3585 -> 4628,72525.0,9122.0,10001.0,12.58,13.79,10151.14,8256.22,15114.5,36480.76,-21366.26,2.58,64.86,3100.0,4781.8,OpenDART,1.1,5.0,False,5.0,OpenDART,,4.0,,,147750.0,,,22.82,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.48,-23.3,2025.0,11011.0,17,16,16,15,1.01,9.17,-42.57,8.0,75.0,기타 금융업,기타 금융업,2026-09-01,4.77,8,10,0,20,0,8,1,5,52,C,44
033780.KS,033780,KT&G,181564,,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",KOSPI,주권,KRX,174900.0,176965.0,177720.0,173545.0,163946.5,6.681142933822924,189000.0,-7.4603174603174605,39.91935483868715,-0.4,-2.45,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-0.02,13.64,50.96,14.0,1.88,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,65797.0,13437.0,11023.0,20.42,16.75,5828.75,-930.03,9135.03,48529.58,-39394.55,3.43,57.6,6000.0,6274.28,OpenDART,6.27,5.0,False,5.0,OpenDART,,4.0,,,240000.0,,,37.22,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,16.47,2025.0,11011.0,1,0,0,0,,,,,,담배 제조업,담배 제조업,2026-09-01,4.77,8,3,12,0,12,0,5,0,40,C,45
267250.KS,267250,HD현대,172994,,지주회사,KOSPI,주권,KRX,219000.0,221525.0,217165.0,243020.0,236707.5,-7.4807515604702,310500.0,-29.468599033816425,44.086021505363064,10.27,-19.34,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,89.12,15.56,26.79,4.0,1.27,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,712594.0,60996.0,36755.0,8.56,5.16,73848.84,50959.56,63674.75,483507.99,-419833.24,1.83,29.4,4000.0,2826.74,OpenDART,-4.55,5.0,True,5.0,OpenDART,,4.0,,,324000.0,,,47.95,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.04,90.79,2025.0,11011.0,17,16,16,15,0.94,8.91,35.11,8.5,-52.94,기타 금융업,기타 금융업,2026-09-01,4.77,15,6,12,20,15,10,5,5,88,S,46
010950.KS,010950,S-Oil,170788,,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",KOSPI,주권,KRX,151700.0,141035.0,127830.0,120923.33333333333,109791.5,38.17098773584476,153600.0,-1.2369791666666665,60.58700209641828,24.65,34.49,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-81.34,31.62,79.28,6.0,1.75,2.01,198.82,-6.52,-44.2,,8137 -> 1518,342470.0,2356.0,1770.0,0.69,0.52,39423.04,336.87,18346.58,176695.56,-158348.98,0.22,21.8,330.0,385.15,OpenDART,-60.85,5.0,True,5.0,OpenDART,,3.93,,,172857.0,,,13.95,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,2025.0,11011,2,1,1,1,,,,,,석유 정제품 제조업,석유 정제품 제조업,2026-09-01,4.77,15,6,0,0,0,0,3,0,24,D,47
003670.KS,003670,포스코퓨처엠,170154,,"내화물, 생석회, 음극재 및 양극재",KOSPI,주권,KRX,191300.0,165975.0,165083.33333333334,196764.16666666666,201920.0,-5.259508716323296,296000.0,-35.37162162162162,67.87941787940801,39.84,-8.47,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,7.52,726.86,9.76,621.0,4.25,0.92,102.65,-20.57,4585.71,,359 -> 386,29387.0,328.0,365.0,1.12,1.24,-335.77,-15428.71,3198.41,46318.17,-43119.76,0.13,60.9,250.0,222.37,OpenDART,-5.9,1.0,True,4.0,OpenDART,,3.75,,,205625.0,,,7.49,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,82.58,,2025.0,11011.0,4,1,3,3,3.66,-5.19,16.12,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-01,4.77,0,0,0,0,0,5,1,5,11,D,48
024110.KS,024110,기업은행,166662,,은행업,KOSPI,주권,KRX,20900.0,20352.5,20735.166666666668,21358.416666666668,21553.3,-3.0310903666723856,28550.0,-26.79509632224168,65.95744680811771,3.21,1.21,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,2.53,4.67,13.59,6.0,0.44,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,292172.0,36556.0,27189.0,12.51,9.31,-30221.46,-34147.86,221431.08,4638365.97,-4416934.89,5.01,30.83,1048.0,8357.02,OpenDART,2.97,5.0,True,5.0,OpenDART,,3.71,,,27286.0,,,30.56,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,2.37,0.77,2025.0,11011.0,2,1,1,1,,,,,,은행 및 저축기관,은행 및 저축기관,2026-09-01,4.77,15,10,6,0,0,2,1,5,39,D,49
