yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
105560.KS,105560,KB금융,607225,,-,KOSPI,주권,KRX,171200.0,168360.0,166766.66666666666,160642.5,150497.0,13.756420393762001,186200.0,-8.055853920515576,57.823129251673144,1.0,-0.23,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,18.98,6.51,79.25,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.55,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,31.36,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.47,15.41,2025.0,11011.0,17,16,16,15,0.96,8.91,4.17,8.0,12.5,기타 금융업,기타 금융업,2026-09-01,4.77,12,8,6,20,12,8,3,0,69,B,11
012450.KS,012450,한화에어로스페이스,545540,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1058000.0,1112450.0,1046233.3333333334,1201283.3333333333,1152620.0,-8.209123561971856,1537000.0,-31.164606376057254,45.614035087717895,15.13,0.86,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-38.13,15.96,45.54,25.0,4.74,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.66,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1650000.0,,,55.95,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,2,1,1,1,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-09-01,4.77,4,0,16,0,15,0,5,5,45,C,12
055550.KS,055550,신한지주,521559,,금융지주회사,KOSPI,주권,KRX,111100.0,106220.0,103421.66666666667,99533.33333333333,93163.5,19.252711630627875,111100.0,0.0,63.86554621844983,8.18,3.35,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,15.39,5.95,62.09,9.0,0.89,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.33,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,4.0,,,137000.0,,,23.31,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,0.58,9.58,2025.0,11011,17,16,16,15,1.01,9.17,-11.88,8.0,12.5,기타 금융업,기타 금융업,2026-09-01,4.77,12,8,6,20,8,8,3,0,65,B,13
034020.KS,034020,두산에너빌리티,521416,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,81400.0,79295.0,80595.0,94799.16666666667,91034.5,-10.583350268304875,136400.0,-40.32258064516129,54.82093663909731,20.24,-14.85,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-24.14,284.35,23.91,165.0,6.46,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,4.0,,,129000.0,,,58.48,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,,23.18,,,1,0,0,0,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-09-01,4.77,0,0,0,0,12,0,5,5,22,D,14
000270.KS,000270,기아,512221,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,131200.0,133095.0,141758.33333333334,150870.83333333334,146164.5,-10.23812211583524,206000.0,-36.310679611650485,45.70637119111801,1.23,-18.56,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-21.72,5.03,39.34,6.0,0.85,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.18,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,216600.0,,,65.09,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,-6.31,2025.0,11011.0,2,1,1,1,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-09-01,4.77,15,8,12,0,0,0,5,5,45,C,15
329180.KS,329180,HD현대중공업,475474,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,453000.0,482400.0,531691.6666666666,562216.6666666666,562900.0,-19.523894119737076,745000.0,-39.19463087248322,29.508196721308096,-3.72,-31.78,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,124.28,179.12,14.05,15.0,4.47,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.25,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,4.0,,,871059.0,,,92.29,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.12,651.55,2025.0,11011.0,3,2,2,2,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-09-01,4.77,8,0,16,20,15,10,3,5,77,A,16
006400.KS,006400,삼성SDI,458531,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,569000.0,497625.0,474033.3333333333,506545.8333333333,436502.5,30.354350776914224,712000.0,-20.084269662921347,73.54838709676976,46.08,0.18,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-70.17,22.94,26.02,67.0,1.84,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,3.95,,,699600.0,,,22.95,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,,,4,1,3,3,4.25,-5.19,-56.71,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-01,4.77,0,3,0,0,0,0,1,5,9,D,17
068270.KS,068270,셀트리온,437320,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,188000.0,194940.0,181138.33333333334,185046.75833333333,188458.82,-0.24345902197626357,236861.0,-20.628554299779196,16.417910447754338,3.18,9.68,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,148.85,65.74,25.53,29.0,2.55,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,275338.0,,,46.46,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.19,15.32,2025.0,11011.0,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-01,4.77,0,3,6,20,12,10,1,5,57,B,18
034730.KS,034730,SK,424865,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,586000.0,550050.0,611708.3333333334,525370.8333333334,432767.5,35.407580282715315,858000.0,-31.7016317016317,62.70491803278329,12.05,-6.24,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,,11.73,29.93,3.0,1.02,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.37,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,848167.0,,,44.74,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,17,16,16,15,0.94,9.17,8.51,8.5,-64.71,기타 금융업,기타 금융업,2026-09-01,4.77,15,8,6,0,0,0,3,5,37,D,19
012330.KS,012330,현대모비스,398354,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,443500.0,491775.0,510358.3333333333,498645.8333333333,454725.0,-2.4685249326516026,768000.0,-42.25260416666667,34.33734939758746,-10.13,-36.37,daily_close,NXT 미확인,2026-09-02 00:39 KST,,,-8.74,7.12,37.61,11.0,0.85,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.47,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,737200.0,,,66.22,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,4.5,2025.0,11011.0,1,0,0,0,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-09-01,4.77,12,8,6,0,4,0,3,5,38,D,20
