yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,194.8300018310547,191.0272004699707,1.990711978047226,235.74000549316406,-17.353865575987555,40.419855397639786,daily_close,일봉 종가,2026-07-04 14:11 KST,194.3965,-0.2225026058515321,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.51,0.61,1.0,,yfinance,,,,Technology,Semiconductors,92.65,-0.31,,,,,3.02,Finnhub,0.14,102.92,63.8,15.22,42.78,18,-52.5,60.86,2026-07-03,4.48,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,359.9100036621094,316.1534997558594,13.840271874276166,402.6199951171875,-10.60801549179068,51.25972222175757,daily_close,일봉 종가,2026-07-04 14:11 KST,,,82.0,23.78,80.67,27.55225,9.141316,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.24,6.41,0.88,,yfinance,,,,Communication Services,Internet Content & Information,87.14,-1.43,,,,,8.28,Finnhub,0.34,36.52,20.56,6.46,33.02,6,34.01,41.51,2026-07-03,4.48,0,0,20,20,15,10,5,5,75,A,2
GOOG,GOOG,알파벳C,4483.96,356.17999267578125,315.56704940795896,12.86983014988953,399.0400085449219,-10.740781613710212,49.78054699599058,daily_close,일봉 종가,2026-07-04 14:11 KST,,,82.0,23.92,61.11,26.951181,8.941894,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,6.41,0.88,,yfinance,,,,Communication Services,Internet Content & Information,87.14,-1.43,,,,,8.28,Finnhub,0.33,36.52,20.56,6.46,33.02,6,31.09,38.42,2026-07-03,4.48,0,0,20,20,15,10,5,5,75,A,3
AAPL,AAPL,애플,4376.98,308.6300048828125,270.69144927978516,14.015424463524248,315.20001220703125,-2.0843931058934744,58.29293134334104,daily_close,일봉 종가,2026-07-04 14:11 KST,,,21.8,30.46,65.83,35.073936,39.856747,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.35,12.59,1.08,,yfinance,,,,Technology,Consumer Electronics,69.09,-3.13,,,,,3.74,Finnhub,1.61,10.32,63.8,15.22,42.78,18,-45.03,161.87,2026-07-03,4.48,0,0,20,5,8,8,3,0,44,C,4
MSFT,MSFT,마이크로소프트,2818.35,390.489990234375,445.43609924316405,-12.335351603102538,542.0700073242188,-27.96318096219293,50.06410541749729,daily_close,일봉 종가,2026-07-04 14:11 KST,390.82,0.08451170935954565,23.4,33.6,75.78,22.190363,6.6877027,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.93,20.73,3.64,,yfinance,,,,Technology,Software - Infrastructure,92.42,1.51,,,,,5.58,Finnhub,0.95,18.71,63.8,15.22,42.78,18,-65.22,-56.06,2026-07-03,4.48,4,0,20,16,12,8,5,5,70,A,5
AMZN,AMZN,아마존,2628.93,242.6699981689453,232.98255012512206,4.1580144258102845,274.989990234375,-11.75315219215188,50.886310409247706,daily_close,일봉 종가,2026-07-04 14:11 KST,242.9912,0.13236157476337923,74.8,41.19,68.02,31.638998,5.8438177,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,Consumer Cyclical,Internet Retail,,,,,,,,,0.42,57.24,76.08,14.24,46.97,7,-58.41,-58.96,2026-07-03,4.48,0,0,20,20,15,10,5,5,75,A,6
AVGO,AVGO,브로드컴,1957.03,360.45001220703125,361.45050048828125,-0.27679814522277507,481.57000732421875,-25.15106698404559,41.48128584033219,daily_close,일봉 종가,2026-07-04 14:11 KST,,,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.72,41.26,2.6,,yfinance,,,,Technology,Semiconductors,92.86,-0.12,,,,,0.51,Finnhub,0.72,20.26,63.8,15.22,42.78,18,-3.84,31.67,2026-07-03,4.48,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,393.45001220703125,418.60775009155276,-6.009859559222044,489.8800048828125,-19.68441081787956,48.06649107897688,daily_close,일봉 종가,2026-07-04 14:11 KST,394.399,0.24119653412779632,8.3,176.51,44.91,383.15314,19.422752,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,Consumer Cyclical,Auto Manufacturers,48.33,0.79,,,,,-0.06,Finnhub,46.16,-49.94,76.08,14.24,46.97,7,403.62,36.4,2026-07-03,4.48,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,582.9000244140625,646.5121487426758,-9.839277491122928,790.0,-26.215186783030063,53.42324049528915,daily_close,일봉 종가,2026-07-04 14:11 KST,585.0,0.36026342391191674,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.36,7.64,2.1,,yfinance,,,,Communication Services,Internet Content & Information,87.5,-0.17,,,,,8.96,Finnhub,0.36,25.69,20.56,6.46,33.02,6,8.32,-1.18,2026-07-03,4.48,4,0,20,20,15,10,5,5,79,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,507.7799987792969,490.24734985351563,3.5762863238363134,539.7999877929688,-5.93182470132856,69.53970373396757,daily_close,일봉 종가,2026-07-04 14:11 KST,506.8,-0.19299672725447647,119.6,11.79,67.25,14.8820715,0.0009884891,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,Financial Services,Insurance - Diversified,10.0,0.0,,,,,-3.3,Finnhub,0.12,-16.27,20.64,9.35,35.37,16,-27.9,-99.99,2026-07-03,4.48,8,10,12,20,0,10,1,0,61,B,10
LLY,LLY,일라이릴리,979.64,1213.9100341796875,985.0162530517578,23.237563889811522,1229.9300537109375,-1.3025146822711173,60.421101376434265,daily_close,일봉 종가,2026-07-04 14:11 KST,,,169.9,66.6,85.32,42.365448,34.130653,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.57,22.13,6.92,,yfinance,,,,Healthcare,Drug Manufacturers - General,79.49,2.57,,,,,18.88,Finnhub,0.25,98.92,31.63,7.7,33.29,15,33.94,343.26,2026-07-03,4.48,0,0,20,20,15,10,3,0,68,B,11
WMT,WMT,월마트,932.53,111.83999633789062,117.06259967803955,-4.461376523768299,134.1999969482422,-16.661699790481585,29.061879261716072,daily_close,일봉 종가,2026-07-04 14:11 KST,111.81,-0.02682076079473205,19.4,36.02,38.09,39.880283,9.55942,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.89,33.54,0.99,,yfinance,,,,Consumer Defensive,Discount Stores,89.58,-2.09,,,,,-1.67,Finnhub,2.06,19.45,28.02,10.03,25.12,9,42.33,-4.69,2026-07-03,4.48,0,0,20,0,12,8,3,5,48,C,12
AMD,AMD,AMD,876.24,517.8200073242188,278.18644996643064,86.14134778552486,580.9099731445312,-10.860541002386203,54.571206331827774,daily_close,일봉 종가,2026-07-04 14:11 KST,,,91.2,135.05,72.09,182.11447,13.67689,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,80.7,4.43,,,,,4.63,Finnhub,2.0,123.61,63.8,15.22,42.78,18,185.45,-10.14,2026-07-03,4.48,0,0,6,5,15,10,5,5,46,C,13
JPM,JPM,JP모건 체이스,871.43,334.4700012207031,308.48975067138673,8.42175485336996,335.1199951171875,-0.1939585539373978,68.16763184073375,daily_close,일봉 종가,2026-07-04 14:11 KST,334.98,0.1524796775302924,17.2,11.99,75.66,15.775385,2.5657625,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.79,28.24,6.0,,yfinance,,,,Financial Services,Banks - Diversified,,,,,,,,,0.92,11.06,20.64,9.35,35.37,16,-23.57,-72.56,2026-07-03,4.48,8,3,16,16,8,8,1,0,60,B,14
INTC,INTC,Intel Corporation,673.43,120.3499984741211,60.33454999923706,99.4711131112156,140.94000244140625,-14.609056059755037,51.8575339041799,daily_close,일봉 종가,2026-07-04 14:11 KST,,,98.63,65.53,64.05,,6.296163,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,32.08,-1.25,,,,,1244.7,Finnhub,,,63.8,15.22,42.78,18,,-58.63,2026-07-03,4.48,0,0,0,0,0,10,5,5,20,D,15
V,V,비자,622.33,362.1300048828125,328.89509857177734,10.105017209243101,373.30999755859375,-2.994828091638898,86.17735035451724,daily_close,일봉 종가,2026-07-04 14:11 KST,362.0295,-0.02775381256933942,35.5,28.25,91.68,29.938046,18.40414,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.74,21.97,2.68,,yfinance,,,,Financial Services,Credit Services,91.67,0.0,,,,,1.24,Finnhub,0.84,10.99,20.64,9.35,35.37,16,45.05,96.84,2026-07-03,4.48,0,0,20,16,8,10,1,0,55,B,16
XOM,XOM,엑슨모빌,571.22,137.08999633789062,135.67329971313475,1.0441970732276067,171.47000122070312,-20.050157250865812,26.564796037399205,daily_close,일봉 종가,2026-07-04 14:11 KST,136.68,-0.29907093795530165,-43.4,12.2,68.74,23.05565,2.20271,9.87,18.261,2.6,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,3.01,68.01,4.12,,yfinance,,,,Energy,Oil & Gas Integrated,51.61,0.0,,,,,5.59,Finnhub,,-13.19,25.97,1.99,8.25,2,,,2026-07-03,4.48,4,3,6,0,0,0,3,5,21,D,17
ORCL,ORCL,오라클,530.03,140.27000427246094,199.87779937744142,-29.822118960004886,328.3299865722656,-57.2777358118073,14.896670118531787,daily_close,일봉 종가,2026-07-04 14:11 KST,,,21.9,36.14,43.89,24.44254,10.927914,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.43,34.31,2.0,,yfinance,,,,Technology,Software - Infrastructure,81.63,2.78,,,,,9.27,Finnhub,1.12,25.36,63.8,15.22,42.78,18,-61.69,-28.2,2026-07-03,4.48,4,0,20,10,15,8,1,3,61,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,603.0399780273438,339.3490998840332,77.70489983130129,723.0,-16.591980909081087,54.880501291995266,daily_close,일봉 종가,2026-07-04 14:11 KST,,,33.5,18.76,85.14,58.803005,20.815569,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,,,,,,,,,,,,,,,,,,,1.76,3.34,38.37,11.65,26.14,14,53.25,78.67,2026-07-03,4.48,0,0,20,5,4,10,5,5,49,C,19
CSCO,CSCO,시스코 시스템즈,471.16,112.69000244140625,84.9146000289917,32.709807739695435,130.0,-13.315382737379808,32.00787087615066,daily_close,일봉 종가,2026-07-04 14:11 KST,,,37.1,18.51,82.88,39.003334,9.43553,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.49,55.0,1.68,,yfinance,,,,Technology,Communication Equipment,69.7,-2.18,,,,,-0.11,Finnhub,1.05,-7.8,63.8,15.22,42.78,18,-38.87,-38.01,2026-07-03,4.48,0,0,20,10,0,10,3,5,48,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,963.530029296875,696.7836990356445,38.28251588411296,1064.9000244140625,-9.519203004334992,57.10435533803457,daily_close,일봉 종가,2026-07-04 14:11 KST,,,30.2,19.61,72.9,52.901146,26.286688,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,0.68,29.58,6.52,,yfinance,,,,Industrials,Farm & Heavy Construction Machinery,55.88,2.94,,,,,7.97,Finnhub,1.75,-3.31,33.68,12.49,37.04,7,57.07,110.46,2026-07-03,4.48,0,0,20,5,0,10,3,0,38,D,21
MA,MA,마스터카드,432.77,539.3900146484375,531.1385485839844,1.5535430607421565,598.9600219726562,-9.945573183336473,76.88632460881014,daily_close,일봉 종가,2026-07-04 14:11 KST,,,21.2,35.12,91.48,30.26883,68.95987,232.08,282.059,15.8,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,0.65,18.23,3.48,,yfinance,,,,Financial Services,Credit Services,90.2,0.2,,,,,2.2,Finnhub,1.43,18.17,20.64,9.35,35.37,16,46.65,637.54,2026-07-03,4.48,0,0,20,10,12,8,1,0,51,C,22
COST,COST,코스트코,421.95,951.6699829101562,957.2201486206054,-0.5798212374078405,1094.3199462890625,-13.0354896538846,41.76719949994503,daily_close,일봉 종가,2026-07-04 14:11 KST,,,45.5,45.01,73.76,46.512577,24.80471,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,0.62,27.01,5.88,,yfinance,,,,Consumer Defensive,Discount Stores,68.18,0.0,,,,,-0.24,Finnhub,1.02,13.4,28.02,10.03,25.12,9,66.0,147.31,2026-07-03,4.48,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,58.72999954223633,52.575400047302246,11.706234264307586,58.72999954223633,0.0,72.50945483691527,daily_close,일봉 종가,2026-07-04 14:11 KST,58.685,-0.07662104986730663,24.4,11.85,70.64,14.362283,1.4969997,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,,,,,,,,,,,,,,,,,,,0.59,11.22,38.37,11.65,26.14,14,-62.57,-87.15,2026-07-03,4.48,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,377.5199890136719,309.40705047607423,22.014022767999162,377.5199890136719,0.0,91.04914548985762,daily_close,일봉 종가,2026-07-04 14:11 KST,,,-1.8,276.01,80.99,46.539227,21.592997,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,0.5,19.25,1.88,,yfinance,,,,Industrials,Aerospace & Defense,,,,,,,,,,-1.32,33.68,12.49,37.04,7,38.18,72.88,2026-07-03,4.48,0,0,20,0,0,0,1,0,21,D,25
UNH,UNH,유나이티드헬스,364.13,425.3599853515625,337.30409912109377,26.105785983601777,625.25,-31.969614497950822,62.92910179063208,daily_close,일봉 종가,2026-07-04 14:11 KST,424.7,-0.15515924729427233,0.7,25.21,85.93,32.26923,3.969369,12.18,73.982,2.0,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,,,,,,,,,,,,,,,,,,,46.1,-25.54,38.37,11.65,26.14,14,-15.9,-65.93,2026-07-03,4.48,0,0,12,0,0,2,3,5,22,D,26
MS,MS,Morgan Stanley,352.0,213.92999267578125,178.45224937438965,19.880804767531917,227.08999633789062,-5.795060933696263,51.466161476392585,daily_close,일봉 종가,2026-07-04 14:11 KST,214.4,0.21970146324039241,31.9,15.4,62.71,19.190218,3.201366,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,65966000000.0,,16861000000.0,,25.56,-17889000000.0,-20787000000.0,81310000000.0,370538000000.0,-289228000000.0,1.87,35.55,4.0,,yfinance,,,,Financial Services,Capital Markets,56.25,1.7,,,,,13.19,Finnhub,0.6,40.39,20.64,9.35,35.37,16,-7.02,-65.76,2026-07-03,4.48,4,0,16,20,15,10,5,0,70,A,27
PG,PG,프록터앤갬블,350.17,151.41000366210938,148.54500061035156,1.9287105186885427,179.6999969482422,-15.742901372603246,56.257651124896356,daily_close,일봉 종가,2026-07-04 14:11 KST,,,5.8,23.88,71.92,21.469986,6.3532777,31.11,67.651,7.4,2.84,5.04,5.9 -> 6.02 -> 6.51,84284000000.0,20451000000.0,15974000000.0,24.26,18.95,17817000000.0,14044000000.0,9556000000.0,35463000000.0,-25907000000.0,2.81,61.8,4.26,,yfinance,,,,Consumer Defensive,Household & Personal Products,61.11,-1.75,,,,,0.19,Finnhub,3.7,5.04,28.02,10.03,25.12,9,-23.38,-36.66,2026-07-03,4.48,4,0,20,0,4,5,3,5,41,C,28
CVX,CVX,쉐브론,345.8,169.1999969482422,172.42510009765624,-1.870437162331618,211.14999389648438,-19.867391977670643,24.60266272392211,daily_close,일봉 종가,2026-07-04 14:11 KST,169.0,-0.11820150818523124,-44.5,14.21,70.53,28.87805,1.784169,6.64,23.989,2.3,-11.86,-23.6,11.36 -> 9.72 -> 6.63,184432000000.0,16674000000.0,12299000000.0,9.04,6.67,33939000000.0,16592000000.0,6293000000.0,40758000000.0,-34465000000.0,4.21,120.38,7.12,,yfinance,,,,Energy,Oil & Gas Integrated,74.19,0.0,,,,,15.54,Finnhub,,-23.6,25.97,1.99,8.25,2,,,2026-07-03,4.48,0,6,6,0,0,0,1,5,18,D,29
KO,KO,코카콜라,341.57,84.13999938964844,74.32350017547607,13.207799943484682,84.13999938964844,0.0,57.19391442208874,daily_close,일봉 종가,2026-07-04 14:11 KST,,,18.2,23.92,68.23,25.562893,10.400461,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,2.52,64.78,2.12,,yfinance,,,,Consumer Defensive,Beverages - Non-Alcoholic,82.35,-0.51,,,,,1.67,Finnhub,1.4,10.94,28.02,10.03,25.12,9,-8.77,3.69,2026-07-03,4.48,0,0,20,10,8,8,3,0,49,C,30
