yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,201.19000244140625,190.40515045166015,5.664159800385309,235.74000549316406,-14.655977876762918,39.865476366772626,daily_close,일봉 종가,2026-06-25 00:08 KST,214.5,60.85,70.87,30.81902,24.89963,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.14,102.92,2026-06-23,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,352.2201,312.85002471923826,12.58432864631982,402.6199951171875,-12.517981155535503,46.213606333902675,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,82.0,23.78,80.76,26.82927,8.908235,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.33,36.52,2026-06-23,4.25,0,0,20,20,15,10,5,5,75,A,2
GOOG,GOOG,알파벳C,4483.96,351.5950012207031,312.3599243927002,12.56085488696573,399.0400085449219,-11.889787066019881,47.750926206377784,daily_close,일봉 종가,2026-06-25 00:08 KST,82.0,,61.1,28.007622,9.299489,38.88,20.026,21.8,36.12,,-,,,,,,,,,,,0.34,,2026-06-23,4.25,0,0,20,20,0,10,5,5,60,B,3
AAPL,AAPL,애플,4376.98,297.20001220703125,269.0459495544434,10.464406804567297,315.20001220703125,-5.710659677315352,37.27096965074472,daily_close,일봉 종가,2026-06-25 00:08 KST,21.8,30.46,65.82,35.737602,40.709362,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,1.64,10.32,2026-06-23,4.25,0,0,20,5,8,8,5,0,46,C,4
MSFT,MSFT,마이크로소프트,2818.35,374.37,449.3882743835449,-16.693420514020385,542.0700073242188,-30.93696479390628,20.387795715960635,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,23.4,33.6,75.77,22.304346,6.7140574,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.95,18.71,2026-06-23,4.25,4,0,20,16,12,8,1,5,66,B,5
AMZN,AMZN,아마존,2628.93,240.92999267578125,232.8728000640869,3.4599114235226254,274.989990234375,-12.38590449403787,43.37945051898773,daily_close,일봉 종가,2026-06-25 00:08 KST,74.8,41.19,68.02,32.625675,5.87521,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,0.44,57.24,2026-06-23,4.25,0,0,20,20,15,10,5,5,75,A,6
AVGO,AVGO,브로드컴,1957.03,385.245,361.0256700134277,6.7084786479785485,481.57000732421875,-20.002285412132732,30.97156581235575,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,85.4,,79.91,68.44426,22.319588,37.28,74.018,47.9,48.99,,-,,,,,,,,,,,0.8,,2026-06-23,4.25,0,0,20,16,0,10,3,5,54,C,7
TSLA,TSLA,테슬라,1504.13,382.7200012207031,417.69335021972654,-8.372972416397285,489.8800048828125,-21.874745364988684,36.828232321810304,daily_close,일봉 종가,2026-06-25 00:08 KST,8.3,176.51,44.93,344.56305,17.466549,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,41.51,-49.94,2026-06-23,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,566.3200073242188,652.1871493530274,-13.166027897665453,790.0,-28.313923123516616,32.273817245351296,daily_close,일봉 종가,2026-06-25 00:08 KST,62.4,22.36,79.33,20.567278,5.888728,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.33,25.69,2026-06-23,4.25,4,0,20,20,15,10,3,5,77,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,496.395,490.0959248352051,1.2852739322231566,539.7999877929688,-8.040939009731142,73.14166850308143,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,119.6,11.79,67.32,14.772687,0.0009821001,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,0.12,-16.27,2026-06-23,4.25,8,10,12,20,0,10,1,0,61,B,10
