yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5262.476,2026-09-10,Naver exchange listing (USD),218.36000061035156,220.51300048828125,210.37099939982096,206.13824996948242,197.27565010070802,10.687761261402565,235.74000549316406,-7.372530956913242,50.9860223645247,-2.56,2.78,daily_close,일봉 종가,2026-09-11 15:26 KST,217.76,-0.2747758786748822,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.46,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,50.05,3.44,Finnhub,yfinance,2026-09-11,0.22,102.92,40.77,12.77,37.69,30,28,27,28,-30.71,80.32,,,,,,,2026-09-10,4.25,0,0,20,20,15,10,5,0,70,A,1
AAPL,AAPL,애플,4766.0213626,2026-09-10,Naver exchange listing (USD),326.57000732421875,315.27549896240237,312.80733286539714,296.6741664886475,284.64944946289063,14.72708200926742,340.0799865722656,-3.9725887383778935,64.73086482554677,8.05,10.17,daily_close,일봉 종가,2026-09-11 15:26 KST,,,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.33,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-0.65,1.69,Finnhub,yfinance,2026-09-11,1.26,10.32,40.77,12.77,37.69,30,28,27,28,-10.98,237.12,,,,,,,2026-09-10,4.25,0,0,20,10,8,8,3,0,49,C,2
MSFT,MSFT,마이크로소프트,3656.635621588,2026-09-10,Naver exchange listing (USD),492.44000244140625,494.49650115966796,438.3059987386068,421.8154988606771,431.13999938964844,14.218120132332498,542.0700073242188,-9.155644882069296,56.91365641972827,0.0,23.18,daily_close,일봉 종가,2026-09-11 15:26 KST,490.188,-0.4573150902122782,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.74,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,15.66,6.42,Finnhub,yfinance,2026-09-11,0.85,23.34,40.77,12.87,38.11,30,28,27,28,-34.22,-36.96,,,,,,,2026-09-10,4.25,0,0,20,16,12,10,3,0,61,B,3
AMZN,AMZN,아마존닷컴,2716.964525651,2026-09-10,Naver exchange listing (USD),251.88999938964844,259.37799911499025,251.9133326212565,249.6719165802002,239.61724990844726,5.121813845159451,284.0199890136719,-11.312580405204084,40.5299587565034,-5.76,2.39,daily_close,일봉 종가,2026-09-11 15:26 KST,,,242.3,41.19,68.74,20.496784,4.9843616,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.69,60.0,-0.09,328.0,405.0,230.0,30.22,5.13,Finnhub,yfinance,2026-09-03,0.08,57.24,23.68,15.69,9.38,6,5,4,4,-13.44,-68.23,,,,,,,2026-09-10,4.25,4,0,20,20,15,10,5,5,79,A,4
GOOGL,GOOGL,알파벳 Class A,2229.4178,2026-09-10,Naver exchange listing (USD),332.6000061035156,341.44849853515626,348.665998840332,350.0020825703939,336.6163493347168,-1.1931515623465745,402.6199951171875,-17.391085853371912,42.46498601522236,-3.18,-9.95,daily_close,일봉 종가,2026-09-11 15:26 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,28.7,6.53,Finnhub,yfinance,2026-09-11,0.06,36.52,22.29,6.02,29.85,6,5,5,5,-23.3,12.54,,,,,,,2026-09-10,4.25,8,0,20,20,15,10,5,5,83,A,5
TSM,TSM,TSMC ADR,2219.96646622,2026-09-10,Naver exchange listing (USD),428.0299987792969,421.5714996337891,423.71216634114586,406.52258326212564,375.1544499206543,14.094341375885536,477.57000732421875,-10.373350039817206,57.68886429355508,-0.26,-3.03,daily_close,일봉 종가,2026-09-11 15:26 KST,427.3,-0.17054850860424609,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.95,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,29.05,7.14,Finnhub,yfinance,2026-09-11,0.42,43.13,40.77,12.77,37.69,30,28,27,28,-21.12,585.93,,,,,,,2026-09-10,4.25,0,0,20,20,15,10,3,5,73,A,6
SPCX,SPCX,스페이스X,2011.220708393,2026-09-10,Naver exchange listing (USD),148.17999267578125,142.49749908447265,140.9133331298828,,,,211.38999938964844,-29.90207999260845,67.9493577933613,1.39,-23.02,daily_close,일봉 종가,2026-09-11 15:26 KST,147.7582,-0.2846488707177541,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-11,,,,,,19,0,0,0,,,,,,,,,2026-09-10,4.25,0,0,0,0,0,0,1,5,6,D,7
GOOG,GOOG,알파벳 Class C,1826.06553,2026-09-10,Naver exchange listing (USD),330.3900146484375,338.4620025634766,346.72350006103517,347.7555826822917,335.4148994445801,-1.498110192619172,399.0400085449219,-17.203787195878657,42.06139745604405,-3.5,-10.0,daily_close,일봉 종가,2026-09-11 15:26 KST,328.9386,-0.4393034244639379,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.27,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,27.66,6.53,Finnhub,yfinance,2026-09-10,0.06,36.52,22.29,6.02,29.85,6,5,5,5,-15.5,17.54,,,,,,,2026-09-10,4.25,4,0,20,20,15,10,5,5,79,A,8
AVGO,AVGO,브로드컴,1716.677662844,2026-09-10,Naver exchange listing (USD),360.8299865722656,370.2854995727539,383.184499613444,387.5335006713867,370.093800201416,-2.5030988425390364,481.57000732421875,-25.072163738524615,47.709041387532615,-13.27,-8.4,daily_close,일봉 종가,2026-09-11 15:26 KST,359.43,-0.3879906394601254,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.72,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,45.77,0.51,Finnhub,yfinance,2026-09-02,0.72,20.26,38.52,12.77,38.11,30,28,27,28,60.22,57.87,,,,,,,2026-09-10,4.25,0,0,20,16,12,10,5,5,68,B,9
META,META,메타,1641.562061266,2026-09-10,Naver exchange listing (USD),644.3800048828125,583.813998413086,594.2954956054688,604.0760803222656,622.9620474243164,3.438083836254588,790.0,-18.43291077432753,83.93825444426551,11.32,8.58,daily_close,일봉 종가,2026-09-11 15:26 KST,641.2127,-0.49152749290978826,-13.4,22.36,79.04,22.988073,6.0160947,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.33,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,0.0,754.77,1000.0,580.0,17.13,0.38,Finnhub,yfinance,2026-09-10,,25.69,18.84,6.77,48.68,6,5,5,5,22.02,-11.14,,,,,,,2026-09-10,4.25,4,0,20,0,15,0,1,5,45,C,10
