yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,192.52999877929688,190.64020050048828,0.991290543047744,235.74000549316406,-18.329517988884657,38.73453539181383,daily_close,일봉 종가,2026-06-28 00:07 KST,192.79,0.1350445241529163,214.5,60.85,70.87,29.48392,23.857498,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.14,102.92,2026-06-26,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,337.3900146484375,313.85254981994626,7.499529585467577,402.6199951171875,-16.20137630019195,29.31172420574724,daily_close,일봉 종가,2026-06-28 00:07 KST,,,82.0,23.78,80.76,25.715702,8.538493,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.31,36.52,2026-06-26,4.25,0,0,20,20,15,10,3,5,73,A,2
GOOG,GOOG,알파벳C,4483.96,334.69000244140625,313.3410494232178,6.813327860325524,399.0400085449219,-16.126204071156796,30.48120324432658,daily_close,일봉 종가,2026-06-28 00:07 KST,336.1355,0.43189146614763024,82.0,23.92,61.1,25.509909,8.470162,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.31,36.52,2026-06-26,4.25,0,0,20,20,15,10,3,5,73,A,3
AAPL,AAPL,애플,4376.98,283.7799987792969,269.4588493347168,5.314781637321785,315.20001220703125,-9.968277985692756,33.48289740011812,daily_close,일봉 종가,2026-06-28 00:07 KST,282.5007,-0.4508065349213791,21.8,30.46,65.82,34.35593,39.088154,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,1.58,10.32,2026-06-26,4.25,0,0,20,5,8,8,3,0,44,C,4
MSFT,MSFT,마이크로소프트,2818.35,372.9700012207031,447.98749923706055,-16.7454444921153,542.0700073242188,-31.195233792445343,31.32479084661709,daily_close,일봉 종가,2026-06-28 00:07 KST,,,23.4,33.6,75.78,22.227055,6.686806,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.95,18.71,2026-06-26,4.25,4,0,20,16,12,8,3,5,68,B,5
AMZN,AMZN,아마존,2628.93,232.69000244140625,232.76760009765624,-0.03333696623474935,274.989990234375,-15.382373648188544,39.479502198751526,daily_close,일봉 종가,2026-06-28 00:07 KST,231.9999,-0.29657588816263314,74.8,41.19,68.02,31.658504,5.662522,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,0.42,57.24,2026-06-26,4.25,0,0,20,20,15,10,5,5,75,A,6
AVGO,AVGO,브로드컴,1957.03,365.0199890136719,361.31635040283203,1.025040413120152,481.57000732421875,-24.20209243473071,43.77142424611418,daily_close,일봉 종가,2026-06-28 00:07 KST,,,85.4,63.62,79.91,60.63455,19.80575,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.71,20.26,2026-06-26,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,379.7099914550781,417.9647001647949,-9.152617121645381,489.8800048828125,-22.48918354079156,45.75020338062383,daily_close,일봉 종가,2026-06-28 00:07 KST,377.86,-0.48721168700059764,8.3,176.51,44.93,345.1909,17.340733,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,41.59,-49.94,2026-06-26,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,550.25,650.019499206543,-15.348693282021268,790.0,-30.348101265822784,35.078534027985356,daily_close,일봉 종가,2026-06-28 00:07 KST,551.22,0.1762835074965974,62.4,22.36,79.34,20.001818,5.7309947,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,25.69,2026-06-26,4.25,4,0,20,20,15,10,5,5,79,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,498.6600036621094,490.08914978027343,1.748835673199172,539.7999877929688,-7.621338470025665,60.8266546504632,daily_close,일봉 종가,2026-06-28 00:07 KST,,,119.6,11.79,67.32,14.836656,0.0009863529,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,0.12,-16.27,2026-06-26,4.25,8,10,12,20,0,10,3,0,63,B,10
LLY,LLY,일라이릴리,979.64,1208.1199951171875,975.9136026000976,23.793744845694256,1208.1199951171875,0.0,66.89277256506162,daily_close,일봉 종가,2026-06-28 00:07 KST,1211.0,0.23838732033676338,169.9,66.6,85.36,42.91723,34.599766,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.25,98.92,2026-06-26,4.25,0,0,20,20,15,10,1,0,66,B,11
WMT,WMT,월마트,932.53,115.69000244140625,116.87119972229004,-1.0106829430095359,134.1999969482422,-13.792842718152082,38.99242479908921,daily_close,일봉 종가,2026-06-28 00:07 KST,115.65,-0.03457726731962378,19.4,36.02,38.09,40.87986,9.764518,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,2.11,19.45,2026-06-26,4.25,0,0,20,0,12,8,5,5,50,C,12
AMD,AMD,AMD,876.24,521.5800170898438,270.465650100708,92.84519749388997,551.6300048828125,-5.447489717197767,59.300446551747825,daily_close,일봉 종가,2026-06-28 00:07 KST,,,91.2,135.05,72.16,172.13863,13.188864,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,1.89,123.61,2026-06-26,4.25,0,0,6,5,15,10,3,0,39,D,13
JPM,JPM,JP모건 체이스,871.43,329.04998779296875,307.97300064086915,6.8437775740860225,335.1199951171875,-1.811293689621874,64.14517167713764,daily_close,일봉 종가,2026-06-28 00:07 KST,329.17,0.03647233292309831,17.2,11.99,75.65,15.751555,2.563114,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,0.92,11.06,2026-06-26,4.25,8,3,16,16,8,8,3,0,62,B,14
INTC,INTC,Intel Corporation,673.43,128.32000732421875,58.23210000038147,120.35957371171251,140.94000244140625,-8.954161273293632,67.16524150139166,daily_close,일봉 종가,2026-06-28 00:07 KST,,,98.63,65.53,64.04,,5.7861753,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,,2026-06-26,4.25,0,0,0,0,0,10,1,0,11,D,15
V,V,비자,622.33,336.2300109863281,328.70579849243165,2.2890416075424707,373.30999755859375,-9.93276012289107,62.93949322314469,daily_close,일봉 종가,2026-06-28 00:07 KST,,,35.5,28.25,91.67,29.313862,18.036156,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.83,10.99,2026-06-26,4.25,0,0,20,16,8,10,3,0,57,B,16
