yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,200955,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,288500.0,311900.0,272084.48333333334,274020.825,301913.445,-4.442811415702274,430123.0,-32.92616298128675,41.47157190635063,-1.7,19.03,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,124.86,217.49,14.4,69.0,37.73,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,485000.0,,,68.11,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011,OpenDART,2025.0,11011,9,1,8,8,0.55,,21.36,-33.31,,76.64,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-04,4.25,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,111879,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82400.0,87840.0,90411.66666666667,117070.0,118332.0,-30.365412568028937,185000.0,-55.45945945945946,37.44394618832905,-1.44,-22.19,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,336.78,19.14,79.15,5.05,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-09-04,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,103700,중견기업부,양극활물질,KOSDAQ,주권,KRX,106000.0,110920.5,121539.06666666667,159934.24166666667,165203.49,-35.836706597421156,242127.0,-56.221321868275744,42.59627432961998,5.07,-34.53,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,358.44,14.64,746.0,5.78,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,172386.0,,,62.63,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-04,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,89045,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,459000.0,464925.0,480008.3333333333,572062.5,565840.0,-18.881662660822847,880000.0,-47.840909090909086,37.99999999999696,-6.23,-23.24,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,41.61,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,,19,18,18,18,,31.0,5.54,8.98,,1084.66,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,82875,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,178300.0,170350.0,175318.33333333334,148991.66666666666,104548.25,70.54326590832463,250500.0,-28.822355289421157,50.341064120044955,33.66,-10.4,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,-66.22,32.8,7.92,887.5,13.41,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,14.97,,,Naver/FnGuide,,KRW,2026-09-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,,30.0,5.54,8.98,2858.33,142.06,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,0,0,6,0,4,0,5,5,20,D,5
240810.KQ,240810,원익IPS,56348,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,114800.0,109290.0,122760.0,121216.66666666667,106699.0,7.592386057976176,183300.0,-37.370430987452266,48.1999999999865,23.97,-1.63,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.17,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,34.77,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,0.08,32.0,5.69,8.16,-21.88,-11.25,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,4,0,6,20,0,10,5,5,50,C,6
039030.KQ,039030,이오테크닉스,54575,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,443000.0,396125.0,393791.6666666667,425275.0,382897.5,15.696759576649102,612000.0,-27.61437908496732,64.88549618319917,31.65,1.14,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,20.2,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,1.37,30.0,5.54,8.24,52.9,20.04,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,0,0,6,10,12,10,3,5,46,C,7
058470.KQ,058470,리노공업,50757,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,66600.0,67580.0,74075.0,91101.66666666667,85496.0,-22.10161878918312,127000.0,-47.55905511811024,38.7096774193257,-0.45,-28.39,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,34.19,27.95,31.56,25.0,6.28,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.2,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,103500.0,,,55.41,,,Naver/FnGuide,,KRW,2026-09-04,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,9,7,8,8,0.73,18.0,4.59,11.1,38.89,36.82,17.07,전자부품 제조업,전자부품 제조업,2026-09-04,4.25,4,0,20,16,12,10,5,3,70,A,8
028300.KQ,028300,HLB,44954,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,33750.0,38245.0,39945.0,47247.916666666664,48757.5,-30.779880018458698,92500.0,-63.51351351351351,14.66165413532292,-4.12,-30.41,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,,18.48,,13.03,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-05,2025.0,CFS,11011,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-04,4.25,0,0,0,0,0,0,1,1,2,D,9
222800.KQ,222800,심텍,44771,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,117900.0,114665.0,113085.0,98847.08333333333,80199.0,47.00931433060263,157300.0,-25.047679593134138,55.73566084787056,11.23,7.67,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,49.49,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,7,8,8,,18.0,4.59,14.24,33.33,57.73,,전자부품 제조업,전자부품 제조업,2026-09-04,4.25,4,0,0,0,0,0,3,5,12,D,10
108490.KQ,108490,로보티즈,44661,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,304500.0,256625.0,241735.0,265134.1666666667,264069.5,15.310552714342245,405000.0,-24.814814814814813,58.419243986248674,30.41,10.93,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,691.83,4.66,972.0,10.11,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,392286.0,,,28.83,,,Naver/FnGuide,,KRW,2026-09-04,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,,30.0,5.54,8.98,3140.0,82.49,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,0,0,0,0,0,0,3,5,8,D,11
403870.KQ,403870,HPSP,41808,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,50800.0,45320.0,45956.666666666664,47404.166666666664,42871.25,18.49432895005394,83500.0,-39.16167664670659,73.74429223739578,41.9,-4.33,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,-16.35,35.96,33.26,35.0,13.18,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,0.98,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,67800.0,,,33.46,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,OFS,11011,OpenDART,2025.0,11011,19,17,18,18,,30.0,5.54,8.16,16.67,137.91,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-04,4.25,0,0,20,0,0,0,1,5,26,D,12
214450.KQ,214450,파마리서치,40155,우량기업부,재생의약품,KOSDAQ,주권,KRX,386500.0,410075.0,359316.6666666667,333583.3333333333,361555.0,6.8993652418027684,711000.0,-45.639943741209564,47.281323877065425,-2.03,37.3,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,65.07,24.5,9.99,20.0,5.93,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.96,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,518750.0,,,34.22,,,Naver/FnGuide,,KRW,2026-09-05,2025.0,CFS,11011,OpenDART,2025.0,11011,3,1,2,2,0.31,,,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-04,4.25,4,0,20,20,15,10,5,3,77,A,13
298380.KQ,298380,에이비엘바이오,39975,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,71400.0,78705.0,82895.0,113600.0,144524.0,-50.596440729567405,245500.0,-70.91649694501018,29.968454258661836,-14.29,-20.84,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,,12.99,-68.0,23.18,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,240000.0,,,236.13,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,,7,3,6,6,,70.39,8.71,-6.93,,166.13,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-04,4.25,0,0,0,0,0,0,3,1,4,D,14
095340.KQ,095340,ISC,38578,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,182000.0,161955.0,160501.66666666666,195182.5,168045.5,8.30400099972924,271000.0,-32.84132841328413,60.29850746267817,33.53,0.78,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,2.68,60.46,30.03,41.0,6.19,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.47,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,217167.0,,,19.32,,,Naver/FnGuide,,KRW,2026-09-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,15.3,,,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-09-04,4.25,0,0,12,0,15,2,3,5,37,D,15
000250.KQ,000250,삼천당제약,36828,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,157000.0,174260.0,192266.66666666666,362108.3333333333,367442.5,-57.272226266694794,1184000.0,-86.73986486486487,18.503937007868927,-4.91,-39.26,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,1036.5,4.68,209.76,12.31,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,14.88,3.65,9.66,1309.68,237.26,,의약품 제조업,의약품 제조업,2026-09-04,4.25,0,0,0,0,0,0,1,1,2,D,16
087010.KQ,087010,펩트론,36678,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,157300.0,179930.0,170416.66666666666,223687.5,243990.0,-35.53014467806058,386000.0,-59.248704663212436,31.17948717948269,-11.63,-35.0,daily_close,NXT 미확인,2026-09-05 00:11 KST,,,,,3.84,,29.71,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-02,2025.0,OFS,11011.0,OpenDART,,,7,3,6,6,,70.39,8.71,-13.96,,241.1,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-04,4.25,0,0,0,0,0,0,3,3,6,D,17
