yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,207920,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,298500.0,311850.0,270786.2,273955.18333333335,303026.315,-1.4937036078863324,430123.0,-30.60124662015284,42.80303030302576,11.8,34.0,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,124.86,217.49,14.93,79.0,42.51,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,52.43,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,1,9,9,0.63,,,18.84,-31.49,,125.64,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-02,4.25,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,111336,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,82000.0,87930.0,91231.66666666667,118365.83333333333,118421.5,-30.755817144690788,185000.0,-55.67567567567567,39.86928104573947,0.0,-22.05,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,,336.78,19.14,79.15,5.05,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-03,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-09-02,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,105656,중견기업부,양극활물질,KOSDAQ,주권,KRX,108000.0,112110.0,125420.0,163986.66666666666,168303.5,-35.83021149292796,246000.0,-56.09756097560976,44.87179487178481,5.37,-32.37,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,,364.17,14.92,776.0,6.13,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,175143.0,,,62.17,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-02,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,84680,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,436500.0,468825.0,485433.3333333333,577166.6666666666,565382.5,-22.795629507457342,880000.0,-50.39772727272728,33.63914373088397,-6.53,-28.44,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,48.91,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,,,19,18,18,18,,,31.0,5.54,8.98,,1084.66,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-02,4.25,0,0,0,0,0,0,3,3,6,D,4
036930.KQ,036930,주성엔지니어링,80737,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,173700.0,166850.0,176058.33333333334,147215.0,103117.75,68.44820605569846,250500.0,-30.65868263473054,49.76599063961472,27.72,-4.98,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,-66.22,32.8,7.92,887.5,13.41,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,205000.0,,,18.02,,,Naver/FnGuide,,KRW,2026-09-03,2025.0,CFS,11011,OpenDART,2025.0,11011,19,17,18,18,,3.49,30.0,5.54,8.98,2858.33,142.06,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-02,4.25,0,0,6,0,4,0,5,5,20,D,5
240810.KQ,240810,원익IPS,53845,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,109700.0,107815.0,123026.66666666667,121414.16666666667,106303.5,3.195097057011293,183300.0,-40.15275504637207,48.10126582277061,13.68,4.58,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,41.03,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,0.08,,32.0,5.69,8.16,-21.88,-11.25,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-02,4.25,4,0,6,20,0,10,5,5,50,C,6
039030.KQ,039030,이오테크닉스,49524,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,402000.0,386250.0,393950.0,424841.6666666667,381447.5,5.3880284967131775,612000.0,-34.31372549019608,56.73469387754454,30.1,1.39,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,32.46,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,1.37,24.98,30.0,5.54,8.24,52.9,20.04,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-02,4.25,0,0,6,10,12,10,3,5,46,C,7
058470.KQ,058470,리노공업,49080,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,64400.0,67725.0,75093.33333333333,91940.0,85411.5,-24.600317287484707,127000.0,-49.29133858267716,29.166666666642357,0.0,-24.32,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,34.19,27.95,31.67,26.0,6.31,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.24,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,115750.0,,,79.74,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,9,7,8,8,0.76,17.07,17.0,4.57,11.1,52.94,38.07,전자부품 제조업,전자부품 제조업,2026-09-02,4.25,0,0,20,16,12,10,3,3,64,B,8
222800.KQ,222800,심텍,46860,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,123400.0,113345.0,112905.0,97764.58333333333,79550.0,55.12256442489001,157300.0,-21.55117609663064,62.05128205127092,27.09,23.4,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,42.83,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,7,8,8,,,17.0,4.57,14.24,41.18,58.42,전자부품 제조업,전자부품 제조업,2026-09-02,4.25,4,0,0,0,0,0,3,5,12,D,9
028300.KQ,028300,HLB,44421,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,33350.0,38422.5,40455.833333333336,47506.666666666664,48914.0,-31.81911109293863,92500.0,-63.94594594594595,19.101123595485575,-2.91,-30.95,daily_close,NXT 미확인,2026-09-03 00:26 KST,,,,,20.09,,12.26,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-02,4.25,0,0,0,0,0,0,1,1,2,D,10
