yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,209661,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,301000.0,310275.0,269523.8,273875.425,303565.165,-0.8450129645145481,430123.0,-30.020017529869364,40.50179211469127,23.21,17.65,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,124.86,217.49,14.93,79.0,42.51,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,51.16,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.63,2025.0,11011.0,,18.84,-31.49,12,2,11,11,,125.64,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-01,4.77,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,118396,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,87200.0,87930.0,91618.33333333333,119053.33333333333,118447.5,-26.380886046560715,185000.0,-52.86486486486487,46.282973621087585,12.66,-26.41,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,3,2,2,2,,,,기타 금융업,기타 금융업,2026-09-01,4.77,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,113678,중견기업부,양극활물질,KOSDAQ,주권,KRX,116200.0,111835.0,126281.66666666667,164778.33333333334,168519.0,-31.04635085657997,246000.0,-52.76422764227642,55.442176870735096,20.04,-35.48,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,364.17,14.92,776.0,6.13,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,175143.0,,,50.73,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,2,1,1,1,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-01,4.77,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,87202,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,449500.0,470350.0,488325.0,579912.5,565222.5,-20.47379571761563,880000.0,-48.92045454545455,40.49844236759771,-1.96,-32.71,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,-33.64,3949.62,5.48,,65.63,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,44.61,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,,31.5,5.68,8.98,19,18,18,18,,1055.46,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,80412,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,173000.0,164965.0,176210.0,146350.83333333334,102395.5,68.95273718083314,250500.0,-30.938123752495013,57.06666666665601,35.37,-17.62,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,9.83,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,30.0,5.68,8.98,19,17,18,18,2858.33,145.77,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,6,0,4,0,3,5,18,D,5
240810.KQ,240810,원익IPS,53992,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,110000.0,107155.0,122946.66666666667,121549.16666666667,106087.5,3.6879934016731473,183300.0,-39.98908892525914,54.916512059354936,17.4,-17.11,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,40.65,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.08,2025.0,11011.0,33.0,6.2,8.16,19,17,18,18,-24.24,-18.55,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,4,0,6,20,0,10,5,5,50,C,6
058470.KQ,058470,리노공업,49918,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,65500.0,67725.0,75438.33333333333,92399.16666666667,85364.0,-23.269762429127034,127000.0,-48.4251968503937,31.012658227820623,6.68,-30.39,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,34.19,27.95,31.67,26.0,6.31,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.22,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,115750.0,,,76.72,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,OFS,11011.0,OpenDART,0.76,2025.0,11011.0,15.56,4.97,12.5,8,6,7,7,67.1,26.96,17.07,전자부품 제조업,전자부품 제조업,2026-09-01,4.77,0,0,20,16,12,10,3,3,64,B,7
039030.KQ,039030,이오테크닉스,48539,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,394000.0,381600.0,393858.3333333333,424983.3333333333,380747.5,3.480653188793098,612000.0,-35.62091503267974,59.69581749048795,34.93,-17.57,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,35.15,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,1.37,,,30.0,5.68,8.24,19,17,18,18,52.9,17.08,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,6,10,12,10,3,5,46,C,8
222800.KQ,222800,심텍,47695,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,125600.0,112030.0,112515.0,97175.41666666667,79242.5,58.50080449253873,157300.0,-20.152574698029245,56.87426556990839,43.54,21.94,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,,10.84,24.0,7.24,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,176250.0,,,40.33,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,2025.0,11011,15.56,4.97,15.99,8,6,7,7,54.24,45.67,,전자부품 제조업,전자부품 제조업,2026-09-01,4.77,4,0,0,0,0,0,3,5,12,D,9
028300.KQ,028300,HLB,45353,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,34050.0,38472.5,40705.0,47648.75,48985.25,-30.489279936307355,92500.0,-63.189189189189186,19.61538461536348,10.19,-32.71,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,,20.09,,12.26,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,,,,,3,2,2,2,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-01,4.77,0,0,0,0,0,0,1,1,2,D,10
214450.KQ,214450,파마리서치,43013,우량기업부,재생의약품,KOSDAQ,주권,KRX,414000.0,409925.0,353591.6666666667,331845.8333333333,362875.0,14.088873579056148,711000.0,-41.77215189873418,49.33920704845511,11.29,44.5,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,65.07,24.5,9.04,22.0,6.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.89,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,512667.0,,,23.83,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.34,2025.0,11011.0,,,,3,1,2,2,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-01,4.77,4,0,20,20,15,10,5,5,79,A,11
403870.KQ,403870,HPSP,41973,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,51000.0,43140.0,46054.166666666664,47247.083333333336,42596.0,19.72955207061696,83500.0,-38.92215568862276,76.14107883813004,50.22,1.39,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,-16.35,35.96,32.58,33.0,13.46,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,0.98,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68250.0,,,33.82,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,30.0,5.68,8.16,19,17,18,18,10.0,136.97,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,20,0,0,0,1,5,26,D,12
298380.KQ,298380,에이비엘바이오,39751,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,71000.0,80485.0,83943.33333333333,116437.5,144979.0,-51.027390173749296,245500.0,-71.07942973523421,19.322033898295913,0.0,-28.86,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,,12.99,-68.0,23.18,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,240000.0,,,238.03,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,,70.39,9.91,-6.93,7,3,6,6,,133.91,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-01,4.77,0,0,0,0,0,0,1,1,2,D,13
000250.KQ,000250,삼천당제약,38775,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,165300.0,175640.0,196743.33333333334,377738.3333333333,368350.5,-55.124263439305764,1184000.0,-86.03885135135135,23.17073170731048,4.42,-43.39,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,1036.5,4.69,423.62,14.5,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,25.21,3.85,9.66,7,5,6,6,1580.36,276.62,,의약품 제조업,의약품 제조업,2026-09-01,4.77,0,0,0,0,0,0,1,1,2,D,14
087010.KQ,087010,펩트론,38590,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,165500.0,183025.0,174685.0,227180.0,245833.0,-32.67787481745738,386000.0,-57.12435233160622,38.60072376356405,-0.36,-34.71,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,,3.84,,29.71,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-02,2025.0,OFS,11011,OpenDART,,,,70.39,9.91,-13.96,7,3,6,6,,199.8,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-01,4.77,0,0,0,0,0,0,5,3,8,D,15
108490.KQ,108490,로보티즈,37254,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,254000.0,252025.0,242635.0,264834.1666666667,263449.5,-3.586835427662607,405000.0,-37.28395061728395,54.46808510637649,17.87,-20.75,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,691.83,4.83,972.0,10.16,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,397167.0,,,56.36,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,,,30.0,5.68,8.98,19,17,18,18,3140.0,78.87,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,0,0,0,0,0,0,5,5,10,D,16
319660.KQ,319660,피에스케이,36411,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,125700.0,128505.0,151436.66666666666,120978.33333333333,89908.0,39.80958312942119,211500.0,-40.56737588652482,45.70707070705455,0.16,-0.63,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,-0.73,10.42,20.6,25.0,6.74,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.54,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,45.47,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,33.0,5.68,8.16,19,17,18,18,-24.24,18.66,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-01,4.77,4,0,16,0,12,0,5,5,42,C,17
141080.KQ,141080,리가켐바이오,35131,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,94900.0,106720.0,116560.0,150125.0,161297.0,-41.1644357923582,213500.0,-55.55035128805621,23.17073170730916,-0.52,-30.27,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,,483.55,11.95,-39.0,8.74,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,227500.0,,,139.73,,,Naver/FnGuide,,KRW,2026-09-02,2025.0,CFS,11011,OpenDART,,,,41.6,31.43,-31.49,12,3,11,11,,-72.19,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-01,4.77,0,0,0,0,0,0,1,3,4,D,18
257720.KQ,257720,실리콘투,34034,우량기업부,화장품 유통,KOSDAQ,주권,KRX,51900.0,45277.5,38419.166666666664,39578.333333333336,41096.0,26.289663227564724,61800.0,-16.019417475728158,69.20583468392321,50.43,52.2,daily_close,NXT 미확인,2026-09-02 00:45 KST,,,31.11,14.49,11.88,15.0,5.15,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.59,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,59000.0,,,13.68,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.48,2025.0,11011.0,,,,1,0,0,0,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-09-01,4.77,8,0,20,20,15,10,1,5,79,A,19
