yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
204270.KQ,204270,제이앤티씨,13218,22850.0,20616.05,10.835974883646484,31250.0,-26.88,62.80193236708908,daily_close,,39.18,2.65,,4.98,-31.32,121.3,-32.03,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,72
475830.KQ,475830,오름테라퓨틱,13096,60300.0,78252.5,-22.941759049231656,143700.0,-58.037578288100214,46.61354581672007,daily_close,,,7.87,,11.52,-33.22,29.37,,,,-,,-518.0,-420.0,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,3,8,D,73
101490.KQ,101490,에스앤에스텍,12971,60800.0,68630.75,-11.409972934872489,105100.0,-42.150333016175075,41.880341880325176,daily_close,91.27,24.46,14.21,21.5,3.92,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,,,,,,,,,,,0.24,50.19,2026-06-22,4.45,4,0,20,20,15,10,5,5,79,A,74
476830.KQ,476830,알지노믹스,12484,89600.0,131386.0,-31.803997381760613,236000.0,-62.03389830508475,32.151898734171525,regularMarketPrice,,,10.51,,24.12,604.61,6.72,7800.0,,,-,79.0,-146.0,-1038.0,-184.81,-1313.92,,,,,,,,2026-06-22,4.45,0,0,20,0,0,0,3,1,24,D,75
127120.KQ,127120,제이에스링크,12246,35250.0,28101.8,25.43680475983745,48900.0,-27.914110429447852,36.61971830984111,regularMarketPrice,,,2.15,,13.6,-35.13,79.37,21.38,,,-,193.0,-125.0,-164.0,-64.77,-84.97,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,5,10,D,76
232140.KQ,232140,와이씨,12101,14750.0,16354.7,-9.81185836487371,23700.0,-37.76371308016878,44.625719769613745,daily_close,75.37,55.92,8.28,32.0,3.11,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,,,,,,,,,,,0.42,19.34,2026-06-22,4.45,0,0,6,20,12,10,5,5,58,B,77
100790.KQ,100790,미래에셋벤처투자,11899,22400.0,22012.65,1.7596700079272534,67400.0,-66.76557863501483,24.97082847140375,daily_close,263.75,20.88,4.04,28.87,3.23,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,,,,,,,,,,,0.11,12.85,2026-06-22,4.45,0,0,6,20,8,10,1,1,46,C,78
458870.KQ,458870,씨어스,11665,30650.0,38192.89,-19.749461221709065,63034.0,-51.37544817082844,47.33893557419256,regularMarketPrice,,102.08,5.71,21.0,22.78,52.78,36.81,495.06,,,-,,,,,,,,,,,,,2026-06-22,4.45,4,0,20,0,0,0,5,3,32,D,79
036540.KQ,036540,SFA반도체,11594,7050.0,5836.6,20.789500736730282,11010.0,-35.967302452316076,40.75630252088854,daily_close,,23.78,8.62,,2.31,-3.93,16.21,-8.26,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,3,0,0,0,0,5,5,13,D,80
099320.KQ,099320,쎄트렉아이,11498,105000.0,115803.75,-9.329361095819436,214000.0,-50.93457943925234,28.087986463614328,regularMarketPrice,93.35,37.02,10.67,73.0,4.76,6.31,73.42,20.78,,-45.98,4784 -> 722 -> 1396,,,,,,,,,,,0.78,-45.98,2026-06-22,4.45,0,0,6,16,0,10,3,3,38,D,81
