yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,168261,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,314500.0,262000.8,263101.81666666665,272504.7083333333,307276.735,2.350736055562428,430123.0,-26.88138044233859,69.2581806436101,47.82,11.52,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,124.86,217.49,14.57,95.0,48.42,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,447745.0,,,42.37,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,1,9,9,0.76,18.98,-31.49,155.11,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-14,4.25,0,0,20,16,0,10,1,5,52,C,1
086520.KQ,086520,에코프로,127086,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,93200.0,81535.0,100118.33333333333,126415.0,118666.0,-21.460232922656868,185000.0,-49.62162162162162,63.211382113803154,16.5,-23.36,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,336.78,19.06,203.76,5.67,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.16,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-14,4.25,0,0,0,0,0,0,3,3,6,D,2
247540.KQ,247540,에코프로비엠,114168,중견기업부,양극활물질,KOSDAQ,주권,KRX,116800.0,106480.0,142721.66666666666,173167.5,171334.5,-31.82925797197879,246000.0,-52.52032520325203,54.62686567163037,3.91,-35.96,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,364.17,14.8,649.0,6.29,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.81,,,185125.0,,,58.5,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-14,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,97193,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,503000.0,453775.0,537166.6666666666,609675.0,561732.5,-10.455599417872385,880000.0,-42.84090909090909,59.54861111110822,26.7,-24.47,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,-33.64,3949.62,5.2,,71.52,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,81.91,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,21,17,20,20,,6.65,8.16,975.49,26.0,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,0,0,0,0,3,5,8,D,4
036930.KQ,036930,주성엔지니어링,82643,우량기업부,LP CVD,KOSDAQ,주권,KRX,177800.0,146390.0,182563.33333333334,135618.33333333334,94495.25,88.15760580558282,250500.0,-29.021956087824353,58.490566037730865,-5.38,0.51,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,-66.22,32.8,7.87,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,6.86,,,Naver/FnGuide,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.65,8.16,109.92,26.0,3313.46,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,6,0,4,0,3,5,18,D,5
028300.KQ,028300,HLB,57475,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,43050.0,34350.0,43090.833333333336,48877.083333333336,49572.75,-13.157934550736039,92500.0,-53.45945945945946,84.21052631572053,21.95,-13.03,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,,19.5,,13.03,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-14,4.25,0,0,0,0,0,0,1,3,4,D,6
240810.KQ,240810,원익IPS,57231,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,116600.0,101465.0,123800.0,122596.66666666667,103560.5,12.59119065666929,183300.0,-36.38843426077469,55.125725338483825,-17.13,3.19,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,304.73,46.26,15.29,24.0,5.19,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.17,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,32.69,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,0.08,7.03,6.8,-26.17,27.0,-11.11,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,4,0,6,20,0,10,3,5,48,C,7
058470.KQ,058470,리노공업,53957,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,70900.0,67165.0,81536.66666666667,96100.0,84861.0,-16.451609101943177,127000.0,-44.173228346456696,51.269035532976716,-1.94,-26.22,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,34.19,27.95,32.11,29.0,7.56,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.13,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,135000.0,,,90.41,,,Naver/FnGuide,,KRW,2026-08-14,2025.0,OFS,11011,OpenDART,2025.0,11011,7,5,6,6,0.85,4.68,9.15,61.54,22.0,31.82,17.07,전자부품 제조업,전자부품 제조업,2026-08-14,4.25,0,0,20,16,12,10,5,5,68,B,8
039030.KQ,039030,이오테크닉스,49770,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,405000.0,320825.0,410575.0,424933.3333333333,372150.0,8.827085852478838,612000.0,-33.82352941176471,67.02508960573141,17.73,-12.81,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,33.53,50.01,29.21,61.33,6.42,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,31.48,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,,,21,16,20,20,1.83,7.03,6.8,-8.68,26.0,135.88,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,6,5,12,10,1,5,39,D,9
298380.KQ,298380,에이비엘바이오,47085,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,84300.0,76490.0,90356.66666666667,126402.5,146125.5,-42.309863781475514,245500.0,-65.66191446028513,60.55045871558078,11.51,-24.73,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,,13.03,-68.0,26.91,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,149.11,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,14.39,-9.41,87.0,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-14,4.25,0,0,0,0,0,0,3,1,4,D,10
