yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
080220.KQ,080220,제주반도체,28208,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,81900.0,46936.6,74.49069596008233,134000.0,-38.88059701492537,40.70891514499925,-30.42,89.15,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,102.29,22.3,2.82,22.41,8.14,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,2,4,4,0.22,,3.82,2.73,,113.09,53.63,반도체 제조업,반도체 제조업,2026-07-16,4.25,4,0,16,20,15,10,5,5,75,A,31
087010.KQ,087010,펩트론,27794,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,117400.0,263466.0,-55.440170648205076,386000.0,-69.58549222797927,36.43586833143864,-45.77,-55.53,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,,5.24,,18.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,,14.06,-23.48,,31.58,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,32
310210.KQ,310210,보로노이,26820,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,144000.0,232867.5,-38.16225965409514,363500.0,-60.38514442916093,40.2021772939303,-28.89,-53.09,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,,6.46,,28.92,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,212.5,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,19.05,-18.83,,51.81,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,33
237690.KQ,237690,에스티팜,25948,우량기업부,원료의약품,KOSDAQ,주권,KRX,122800.0,127693.5,-3.832223253337092,168700.0,-27.208061647895672,55.87734241906674,-3.31,-12.91,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,52.02,53.05,12.08,38.0,4.36,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.41,18.3,500.0,100.76,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,204071.0,,,66.18,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,0.73,19.28,5.02,7.59,97.1,-13.15,61.23,의약품 제조업,의약품 제조업,2026-07-16,4.25,0,0,12,16,15,10,3,5,61,B,34
178320.KQ,178320,서진시스템,25014,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,39300.0,40910.0,-3.935468100708873,80800.0,-51.36138613861386,39.40066592673581,-43.13,-21.71,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,15.93,18.87,,3.01,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,4.0,,,72250.0,,,83.84,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,,1,0,0,0,,,,,,,,기타 전기장비 제조업,기타 전기장비 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,3,8,D,35
064760.KQ,064760,티씨케이,24035,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,211500.0,213710.0,-1.0341116466239297,348500.0,-39.31133428981349,38.33865814696143,-23.09,-30.77,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-2.77,18.81,67.84,23.0,4.86,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.68,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,6.91,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-07-16,4.25,4,0,12,0,4,0,5,5,30,D,36
067310.KQ,067310,하나마이크론,23766,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,35750.0,33199.15,7.683479848128637,56800.0,-37.059859154929576,29.570747217792885,-30.72,-0.83,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,44.79,21.46,16.0,5.53,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.2,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,,4.0,,,58750.0,,,64.34,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,5,2,4,4,,,5.12,2.73,,8.01,,반도체 제조업,반도체 제조업,2026-07-16,4.25,8,0,6,0,0,0,3,5,22,D,37
257720.KQ,257720,실리콘투,23640,우량기업부,화장품 유통,KOSDAQ,주권,KRX,35800.0,41559.0,-13.857407541086166,61800.0,-42.07119741100323,64.59948320408763,5.92,-23.99,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,31.11,14.49,7.77,11.0,4.73,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.85,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,1,0,0,0,0.35,,,,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-07-16,4.25,12,0,20,20,15,10,3,5,85,S,38
357780.KQ,357780,솔브레인,22674,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,287000.0,349907.5,-17.97832284246551,501000.0,-42.71457085828344,39.16449086161594,-28.78,-32.94,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-33.25,18.26,29.89,15.0,2.05,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.82,22.77,2350.0,179.98,OpenDART,6.42,2.0,False,4.0,OpenDART,,4.0,,,549250.0,,,91.38,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,,,,,,,-22.12,기타 화학제품 제조업,기타 화학제품 제조업,2026-07-16,4.25,8,3,6,0,0,0,5,5,27,D,39
005290.KQ,005290,동진쎄미켐,22222,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,43200.0,47332.25,-8.730305447131713,66000.0,-34.54545454545455,32.40740740739341,-30.99,-21.88,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-35.98,13.86,15.39,22.38,2.56,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.5,33.71,650.0,334.0,OpenDART,55.91,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,2,1,1,1,,,,,,,-11.78,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-16,4.25,4,3,6,0,0,0,3,5,21,D,40
263750.KQ,263750,펄어비스,21461,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,33950.0,44552.0,-23.796911474232356,72000.0,-52.84722222222222,49.999999999945736,-12.95,-37.25,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,296.2,96.6,7.88,7.0,2.41,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,3,1,2,2,0.02,,,,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-07-16,4.25,15,3,0,20,0,10,5,3,56,B,41
319400.KQ,319400,현대무벡스,21406,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,19220.0,23938.05,-19.709416598260926,46350.0,-58.53290183387271,38.26530612241481,-42.97,-40.68,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,-56.77,99.75,1.78,237.22,15.14,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.26,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,65.83,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-16,4.25,0,0,6,0,15,0,5,3,29,D,42
420770.KQ,420770,기가비스,20636,우량기업부,반도체 기판용 광학검사 및 수리장비,KOSDAQ,주권,KRX,160300.0,75057.25,113.57030799822803,192200.0,-16.59729448491155,48.44124700239266,14.26,84.25,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,353.16,47.97,2.47,105.0,10.51,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,0.5,65.63,800.0,101.41,OpenDART,0.0,3.0,False,3.0,OpenDART,,4.0,,,185000.0,,,15.41,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,0.3,38.92,8.7,8.98,169.78,20.8,-33.36,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,6,20,0,10,5,5,46,C,43
290650.KQ,290650,엘앤씨바이오,19148,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,69900.0,69065.0,1.2090060088322596,118300.0,-40.91293322062553,30.734966592418033,-12.84,-2.24,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,192.78,8.73,21.74,,8.62,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.07,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,7,6,6,6,,28.64,4.2,9.66,,105.24,,의약품 제조업,의약품 제조업,2026-07-16,4.25,0,0,0,0,0,10,3,5,18,D,44
089030.KQ,089030,테크윙,18230,중견기업부,"반도체테스트핸들러,C.O.K(Change Over Kit)",KOSDAQ,주권,KRX,49200.0,52881.5,-6.961791931015572,71100.0,-30.801687763713083,47.05882352939687,-18.68,-12.61,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,181.67,15.0,421.95,9.08,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.26,49.4,130.0,46.46,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,,38.92,8.74,8.98,984.15,3.89,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,45
140860.KQ,140860,파크시스템스,18066,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,254500.0,254875.0,-0.14713094654242276,339500.0,-25.03681885125184,56.27376425854914,2.21,-3.05,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-19.61,42.01,37.41,36.0,8.08,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.2,10.1,500.0,34.76,OpenDART,7.72,5.0,False,5.0,OpenDART,,4.0,,,364143.0,,,43.08,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,18.19,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-16,4.25,0,0,16,0,12,0,3,5,36,D,46
098460.KQ,098460,고영,18005,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,26400.0,27670.75,-4.592394495993061,43500.0,-39.310344827586206,43.977055449307244,-23.81,-20.0,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,-29.74,61.63,24.69,37.0,4.86,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.53,62.8,140.0,92.63,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,48417.0,,,83.4,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,,40.5,9.11,8.98,-8.64,-46.65,-17.9,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,47
068760.KQ,068760,셀트리온제약,17672,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,39850.0,57122.105,-30.237164754345102,95047.0,-58.07337422538323,51.821862348119396,-7.97,-31.88,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,76.47,119.93,5.08,44.08,4.04,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.5,,200.0,86.85,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,OFS,11011,OpenDART,2025.0,11011,7,5,6,6,0.58,19.28,5.18,7.95,128.63,-22.01,34.91,의약품 제조업,의약품 제조업,2026-07-16,4.25,0,0,6,20,15,10,5,3,59,B,48
032820.KQ,032820,우리기술,16903,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,9850.0,11640.45,-15.381278215189282,29300.0,-66.38225255972696,42.7631578946712,-33.36,-56.32,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,-84.85,398.75,6.51,48.76,10.21,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,,2,1,1,1,,,,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,49
131970.KQ,131970,두산테스나,16795,우량기업부,반도체 테스트,KOSDAQ,주권,KRX,85600.0,82044.75,4.333305909275121,190100.0,-54.971067859021574,32.08955223880038,-40.06,-23.43,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-95.9,238.23,11.47,44.0,4.2,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,0.19,194.3,160.0,30.78,OpenDART,0.0,5.0,False,5.0,OpenDART,,3.86,,,190857.0,,,122.96,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,,,,,,,-83.42,"그외 기타 전문, 과학 및 기술 서비스업","그외 기타 전문, 과학 및 기술 서비스업",2026-07-16,4.25,0,0,0,0,0,0,3,3,6,D,50
035900.KQ,035900,JYP Ent.,16575,우량기업부,오디오물 출판 및 원판 녹음 관련 제품,KOSDAQ,주권,KRX,46600.0,65634.0,-29.0002133040802,85100.0,-45.24089306698003,47.484909456713694,-16.64,-26.27,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,64.27,25.19,18.99,12.0,2.47,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,1.88,18.1,877.0,290.58,OpenDART,64.23,2.0,False,2.0,OpenDART,,4.0,,,87000.0,,,86.7,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,3,2,2,2,0.19,,,,,,23.33,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-16,4.25,12,3,20,20,12,10,5,3,85,S,51
140410.KQ,140410,메지온,16169,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,52900.0,85944.5,-38.44865000087266,172700.0,-69.36884771279675,44.70588235291663,-16.56,-42.31,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,,25.57,,120.78,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,19.05,-18.83,,534.02,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,52
007390.KQ,007390,네이처셀,16108,중견기업부,닥터쥬크르,KOSDAQ,주권,KRX,24400.0,22597.75,7.9753515283601235,37800.0,-35.44973544973545,52.469135802438906,-20.39,18.45,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,1126.55,7.85,,25.54,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,14.06,-23.48,,81.65,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,53
010170.KQ,010170,대한광통신,16015,중견기업부,"광섬유, 광케이블",KOSDAQ,주권,KRX,10300.0,8274.46,24.47942222211481,29100.0,-64.60481099656357,38.03786574866329,-41.64,-33.89,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,,3.83,,18.57,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,1,0,0,0,,,,,,,,절연선 및 케이블 제조업,절연선 및 케이블 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,54
041510.KQ,041510,에스엠,15820,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,69100.0,101839.5,-32.148135055651295,153000.0,-54.83660130718955,52.754237288119946,-12.86,-27.03,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,1844.22,43.74,31.94,12.0,1.62,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.34,10.7,1620.0,370.89,OpenDART,10.52,5.0,True,5.0,OpenDART,,4.0,,,126529.0,,,83.11,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,0.01,,,,,,103.18,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-16,4.25,12,6,20,20,15,10,5,3,91,S,55
096530.KQ,096530,씨젠,14910,우량기업부,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",KOSDAQ,주권,KRX,28500.0,25877.0,10.136414576651081,35150.0,-18.91891891891892,52.14007782095486,-1.04,4.2,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,7007.69,906.71,18.31,23.27,1.3,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,1493.34,1088.69,2255.72,2199.82,55.9,3.51,95.5,1000.0,461.18,OpenDART,7.72,5.0,True,5.0,OpenDART,,4.0,,,44500.0,,,56.14,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,4,1,3,3,0.0,,11.3,8.69,,-88.5,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-16,4.25,4,6,0,0,0,10,5,5,30,D,56
183300.KQ,183300,코미코,14772,우량기업부,반도체 부품 세정 및 코팅,KOSDAQ,주권,KRX,71700.0,63697.26,12.563711531704813,139200.0,-48.491379310344826,38.68312757200904,-33.05,-9.12,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-10.74,15.48,23.34,38.84,6.6,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,1.95,28.3,1400.0,141.14,OpenDART,26.31,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,,40.5,9.11,8.16,-4.1,-27.55,24.61,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,16,0,12,0,5,3,36,D,57
058610.KQ,058610,에스피지,14637,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,65300.0,89468.25,-27.013214184920347,158100.0,-58.697027197975956,44.095940959398206,-29.18,-43.02,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-30.29,103.2,8.34,154.57,5.48,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,0.0,True,4.0,OpenDART,,4.0,,,160000.0,,,145.02,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,2,1,1,1,,,,,,,-8.86,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-16,4.25,0,0,0,0,0,0,5,3,8,D,58
060370.KQ,060370,LS마린솔루션,14000,우량기업부,해저케이블등의 건설 및 유지보수 업무,KOSDAQ,주권,KRX,26650.0,29771.25,-10.484107990091111,50100.0,-46.8063872255489,58.31485587579528,-10.27,-17.62,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-51.36,69.69,2.21,101.94,2.14,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,199.34,-565.57,735.64,1109.64,-374.0,,97.5,,81.43,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,51000.0,,,91.37,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,,,,,,,-28.93,전기 및 통신 공사업,전기 및 통신 공사업,2026-07-16,4.25,0,3,0,0,0,0,3,3,9,D,59
0009K0.KQ,0009K0,에임드바이오,13677,기술성장기업부,ADC 기반 항암제,KOSDAQ,주권,KRX,21000.0,,,72500.0,-71.03448275862068,46.19883040931891,-20.15,-58.5,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,626.65,1.96,306.52,7.13,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,,8,1,7,7,,,28.92,-31.49,,-75.35,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,6,0,0,0,5,1,12,D,60
083650.KQ,083650,비에이치아이,13197,우량기업부,"보일러,열교환기등",KOSDAQ,주권,KRX,42750.0,67950.0,-37.086092715231786,109500.0,-60.95890410958904,41.931385006338324,-34.23,-56.69,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,232.86,26.53,14.65,17.0,7.22,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,,,,,,,,,,,,4.0,,,110000.0,,,157.31,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,,,2,1,1,1,0.07,,,,,,180.92,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-16,4.25,8,0,20,20,15,10,5,1,79,A,61
082920.KQ,082920,비츠로셀,13103,우량기업부,리튬1차전지,KOSDAQ,주권,KRX,28550.0,29190.285,-2.193486634337417,64100.0,-55.46021840873635,30.41362530411554,-34.44,-49.29,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,10.56,11.12,33.02,24.0,5.52,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,635.86,521.59,243.75,403.47,-159.72,0.91,20.5,260.0,116.83,OpenDART,14.74,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,2,1,1,1,2.27,,,,,,23.31,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-16,4.25,4,0,16,0,12,5,3,3,43,C,62
030530.KQ,030530,원익홀딩스,12968,중견기업부,가스캐비닛,KOSDAQ,주권,KRX,16790.0,29479.6,-43.0453601812779,48700.0,-65.52361396303901,38.914936369688895,-36.52,-47.03,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,137.36,6.3,70.4,1.34,2.78,51.37,-3.49,-101.31,,-,6230.0,-4.0,504.0,-0.06,8.09,1180.86,-266.1,1009.31,6684.79,-5675.48,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,2,1,1,1,,,,,,,,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-16,4.25,0,6,0,0,0,0,5,1,12,D,63
