yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_pbr_gap,peer_per_gap,sector,industry,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
006400.KS,006400,삼성SDI,354576,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,450000.0,400140.0,12.46063877642825,712000.0,-36.79775280898877,44.58955223880365,-18.63,-4.36,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-70.17,22.94,26.63,102.0,1.53,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,,,,4.0,OpenDART,,,,3,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,1,2,2,2026-07-13,4.59,0,6,0,0,0,0,5,5,16,D,21
066570.KS,066570,LG전자,302313,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,186200.0,129411.0,43.88266839758598,392500.0,-52.560509554140125,38.45070422534453,-23.53,55.17,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,161.86,28.06,28.64,15.0,1.3,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.73,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,0.09,16.18,2025.0,11011,5.0,OpenDART,,,,2,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,1,1,1,2026-07-13,4.59,8,6,0,20,12,10,5,3,64,B,22
035420.KS,035420,NAVER,295055,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,188900.0,235496.0,-19.78632333457893,290500.0,-34.97418244406197,36.03082851636793,-23.83,-6.25,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,3.89,24.18,34.66,16.0,1.0,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.39,20.2,2630.0,3935.96,OpenDART,50.62,5.0,True,,,,,,,,,,,,,,,,4.11,41.51,2025.0,11011.0,5.0,OpenDART,,,,2,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1,1,1,2026-07-13,4.59,8,8,6,0,15,2,5,5,49,C,23
000810.KS,000810,삼성화재,285297,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,665000.0,513342.5,29.543141275074635,730000.0,-8.904109589041095,48.51063829786945,-1.63,35.85,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-0.74,9.42,58.32,14.0,1.12,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,2.93,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,6.39,2025.0,11011,5.0,OpenDART,,,,3,,,보험업,보험업,2,2,2,2026-07-13,4.59,8,8,12,0,4,0,5,0,37,D,24
267260.KS,267260,HD현대일렉트릭,284051,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,795000.0,913890.0,-13.009224304894463,1420000.0,-44.014084507042256,34.489402697494256,-33.42,-25.07,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,46.07,25.65,34.67,37.0,17.52,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,3.0,False,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.8,68.14,2025.0,11011.0,3.0,OpenDART,38.0,13.43,24.41,4,30.45,-2.63,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3,3,3,2026-07-13,4.59,0,0,20,16,15,10,3,5,69,B,25
010120.KS,010120,LS ELECTRIC,276750,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,188600.0,147856.0,27.556541499837678,318500.0,-40.78492935635793,38.40579710144668,-26.76,1.62,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,3.88,17.98,2025.0,11011.0,0.0,OpenDART,37.0,13.43,29.21,4,41.1,110.81,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3,3,3,2026-07-13,4.59,0,0,12,0,12,8,5,5,42,C,26
298040.KS,298040,효성중공업,248592,,-,KOSPI,주권,KRX,2671000.0,2571150.0,3.8834762654843162,4601000.0,-41.947402738535104,32.075471698113034,-28.81,-12.2,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,133.52,20.47,26.44,32.0,10.36,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.28,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,0.24,111.72,2025.0,11011,3.0,OpenDART,38.0,17.52,29.21,4,-40.87,-15.79,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3,3,3,2026-07-13,4.59,0,0,20,20,15,10,3,5,73,A,27
005490.KS,005490,POSCO홀딩스,244063,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,311000.0,347675.0,-10.548644567484002,535000.0,-41.86915887850468,44.81481481481016,-21.27,-13.97,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-38.15,27.33,31.91,14.0,0.42,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.22,115.0,10000.0,7562.08,OpenDART,-12.42,5.0,True,,,,,,,,,,,,,,,,,-36.54,2025.0,11011.0,5.0,OpenDART,,,,1,,,1차 철강 제조업,1차 철강 제조업,0,0,0,2026-07-13,4.59,8,10,0,0,0,0,5,5,28,D,28
009540.KS,009540,HD한국조선해양,241690,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,349000.0,415375.0,-15.979536563346375,479500.0,-27.21584984358707,41.15384615384171,-17.3,-11.98,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,84.96,21.88,33.42,7.0,1.87,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.52,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,,,,,,,,,,,,,,,,0.08,212.72,2025.0,11011.0,2.0,OpenDART,7.0,0.95,8.82,18,96.84,0.0,기타 금융업,기타 금융업,17,17,16,2026-07-13,4.59,15,3,16,20,15,10,5,5,89,S,29
042660.KS,042660,한화오션,241453,,선박 제조,KOSPI,주권,KRX,79600.0,122430.0,-34.98325573797272,149900.0,-46.89793195463643,34.07682775711925,-35.49,-35.86,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,135.85,27.59,9.53,15.0,3.54,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,0.11,131.76,,,,,,,,3,,,선박 및 보트 건조업,선박 및 보트 건조업,2,2,2,2026-07-13,4.59,8,0,20,20,15,10,3,3,79,A,30
