yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
064760.KQ,064760,티씨케이,26439,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,236000.0,212974.0,10.811648370223596,348500.0,-32.281205164992826,42.40282685511948,-14.03,-13.08,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-2.77,18.81,67.84,23.0,4.86,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.61,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,6.91,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-07-14,4.57,4,0,12,0,4,0,5,5,30,D,32
087010.KQ,087010,펩트론,25649,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,112000.0,265165.0,-57.76214809646824,386000.0,-70.98445595854922,22.736625514401652,-51.83,-57.41,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,5.24,,18.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,,17.37,-23.48,8,2,7,7,6.51,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,0,0,0,0,0,0,1,1,2,D,33
067310.KQ,067310,하나마이크론,25428,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,38250.0,33011.9,15.867308455435762,56800.0,-32.65845070422535,31.751824817502026,-23.65,14.69,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,44.79,20.98,21.0,7.24,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.18,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,5.12,2.73,5,2,4,4,41.41,,,,반도체 제조업,반도체 제조업,2026-07-14,4.57,4,0,6,0,0,0,3,5,18,D,34
080220.KQ,080220,제주반도체,25384,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,73700.0,46271.0,59.279030062025896,134000.0,-45.0,26.722090261278225,-27.17,74.03,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,102.29,22.3,2.82,22.41,8.14,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.22,,,4.67,2.73,5,2,4,4,74.3,,,53.63,반도체 제조업,반도체 제조업,2026-07-14,4.57,4,0,16,20,15,10,3,3,71,A,35
226950.KQ,226950,올릭스,25138,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,125200.0,141991.0,-11.825397384341262,207000.0,-39.51690821256039,43.849372384932096,-3.17,-24.26,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,7.02,,19.05,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,,,28.92,-31.49,8,2,7,7,-34.13,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,36
178320.KQ,178320,서진시스템,23996,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,37700.0,40727.25,-7.432984058584855,80800.0,-53.34158415841584,30.133928571419162,-49.26,-26.51,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,15.93,17.17,,4.05,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,1,0,0,0,,,,,기타 전기장비 제조업,기타 전기장비 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,37
257720.KQ,257720,실리콘투,23935,우량기업부,화장품 유통,KOSDAQ,주권,KRX,36300.0,41632.25,-12.807979390976948,61800.0,-41.262135922330096,56.56108597281485,3.57,-22.44,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,31.11,14.49,7.77,11.0,4.73,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.84,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,,,,,,,0.35,2025.0,11011.0,,,1,0,0,0,,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-07-14,4.57,12,0,20,20,15,10,3,5,85,S,38
357780.KQ,357780,솔브레인,23685,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,308000.0,349620.0,-11.904353297866255,501000.0,-38.522954091816366,41.66666666666372,-18.63,-27.61,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-33.25,18.26,27.69,18.0,2.38,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.76,22.77,2350.0,179.98,OpenDART,6.42,4.0,False,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,,,3,2,2,2,,,,-22.12,기타 화학제품 제조업,기타 화학제품 제조업,2026-07-14,4.57,8,3,6,0,0,0,5,5,27,D,39
319400.KQ,319400,현대무벡스,22943,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,20600.0,23825.75,-13.538923223822966,46350.0,-55.55555555555556,30.116959064302833,-42.86,-32.79,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,-56.77,99.75,1.78,237.22,15.14,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.24,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,65.83,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-14,4.57,0,0,6,0,15,0,3,3,27,D,40
005290.KQ,005290,동진쎄미켐,22299,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,44550.0,47256.75,-5.727753178117412,66000.0,-32.5,26.666666666653896,-26.12,-21.15,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-35.98,13.86,15.39,22.38,2.56,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.46,33.71,650.0,334.0,OpenDART,55.91,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,,,2,1,1,1,,,,-11.78,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-14,4.57,4,3,6,0,0,0,3,5,21,D,41
263750.KQ,263750,펄어비스,21461,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,34150.0,44549.25,-23.343266160485303,72000.0,-52.56944444444444,42.40282685508172,-14.94,-39.02,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,296.2,96.6,7.88,7.0,2.41,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.02,,,,,3,1,2,2,,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-07-14,4.57,15,3,0,20,0,10,5,3,56,B,42
420770.KQ,420770,기가비스,19837,우량기업부,반도체 기판용 광학검사 및 수리장비,KOSDAQ,주권,KRX,158600.0,73775.75,114.97578811465827,192200.0,-17.48178980228928,50.28901734103464,11.77,82.72,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,353.16,47.97,1.54,146.44,11.9,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,0.5,65.63,800.0,101.41,OpenDART,0.0,3.0,False,3.0,OpenDART,,,,,,,,,,,,,,,,,,,0.41,2025.0,11011.0,8.33,8.9,20,15,19,19,42.86,38.84,277.03,-33.36,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,6,20,0,10,5,5,46,C,43
290650.KQ,290650,엘앤씨바이오,18582,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,69500.0,68971.0,0.7669890243725623,118300.0,-41.251056635672015,26.08695652173222,-11.13,-5.83,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,192.78,8.73,21.98,,11.01,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.07,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.28,9.66,7,6,6,6,157.24,28.64,,,의약품 제조업,의약품 제조업,2026-07-14,4.57,0,0,0,0,0,10,3,5,18,D,44
089030.KQ,089030,테크윙,17952,중견기업부,"반도체테스트핸들러,C.O.K(Change Over Kit)",KOSDAQ,주권,KRX,48450.0,52868.25,-8.357095232015435,71100.0,-31.856540084388186,48.229548229531744,-19.12,-15.89,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,181.67,12.73,474.8,10.22,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.27,49.4,130.0,46.46,OpenDART,-13.29,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,8.33,8.9,20,15,19,19,22.69,38.84,1122.45,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,45
032820.KQ,032820,우리기술,17743,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,10340.0,11577.2,-10.68652178419653,29300.0,-64.7098976109215,37.42004264386739,-33.55,-52.46,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,-84.85,398.75,6.61,62.13,13.01,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,2,1,1,1,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-14,4.57,0,0,0,0,0,0,5,1,6,D,46
068760.KQ,068760,셀트리온제약,17627,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,39800.0,57250.66,-30.48115078498659,95047.0,-58.12597977842541,43.795620437911445,-9.75,-31.14,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,76.47,119.93,5.2,45.74,4.19,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.5,,200.0,86.85,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,OFS,11011.0,OpenDART,0.6,2025.0,11011.0,5.18,7.95,7,5,6,6,-19.11,19.28,137.24,34.91,의약품 제조업,의약품 제조업,2026-07-14,4.57,0,0,6,20,15,10,5,3,59,B,47
140860.KQ,140860,파크시스템스,17401,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,249500.0,254827.5,-2.0906299359370553,339500.0,-26.50957290132548,52.4663677129979,0.0,-6.9,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-19.61,42.01,36.14,36.0,8.11,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.2,10.1,500.0,34.76,OpenDART,18.92,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,,,2,1,1,1,,,,18.19,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-14,4.57,0,0,16,0,12,0,5,5,38,D,48
098460.KQ,098460,고영,17221,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,25250.0,27551.7,-8.35411245041141,43500.0,-41.95402298850575,37.11111111108802,-29.37,-13.08,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,-29.74,61.63,24.69,37.0,4.86,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.55,62.8,140.0,92.63,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,48417.0,,,91.75,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,9.21,8.9,20,15,19,19,-47.23,39.0,-5.13,-17.9,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,49
010170.KQ,010170,대한광통신,17181,중견기업부,"광섬유, 광케이블",KOSDAQ,주권,KRX,11050.0,8180.13,35.083427769485326,29100.0,-62.02749140893471,34.77064220179021,-43.04,-44.19,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,3.83,,18.57,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,1,0,0,0,,,,,절연선 및 케이블 제조업,절연선 및 케이블 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,1,4,D,50
131970.KQ,131970,두산테스나,16988,우량기업부,반도체 테스트,KOSDAQ,주권,KRX,89900.0,81520.75,10.278671381212758,190100.0,-52.709100473435036,25.875190258746386,-40.19,-7.32,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-95.9,238.23,8.73,51.0,4.89,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,0.18,194.3,160.0,30.78,OpenDART,0.0,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,,,1,0,0,0,,,,-83.42,"그외 기타 전문, 과학 및 기술 서비스업","그외 기타 전문, 과학 및 기술 서비스업",2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,51
035900.KQ,035900,JYP Ent.,16966,우량기업부,오디오물 출판 및 원판 녹음 관련 제품,KOSDAQ,주권,KRX,47900.0,65924.75,-27.341400612061477,85100.0,-43.713278495887195,43.87947269300888,-14.0,-21.35,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,64.27,25.19,18.95,14.0,2.82,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,1.83,18.1,877.0,290.58,OpenDART,64.23,2.0,False,2.0,OpenDART,,,,,,,,,,,,,,,,,,,0.22,2025.0,11011.0,,,3,2,2,2,,,,23.33,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-14,4.57,8,3,20,20,12,10,5,5,83,A,52
041510.KQ,041510,에스엠,16552,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,72600.0,102569.0,-29.21837982236348,153000.0,-52.54901960784314,51.767151767136696,-12.32,-20.13,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,1844.22,43.74,32.81,12.0,1.68,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.23,10.7,1620.0,370.89,OpenDART,68.7,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.01,2025.0,11011.0,,,3,2,2,2,,,,103.18,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2026-07-14,4.57,12,6,20,20,15,10,5,3,91,S,53
007390.KQ,007390,네이처셀,16108,중견기업부,닥터쥬크르,KOSDAQ,주권,KRX,25200.0,22557.0,11.716983641441681,37800.0,-33.33333333333333,48.140495867740746,-17.51,17.21,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,1126.55,7.85,,25.54,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,,,17.37,-23.48,8,2,7,7,47.04,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,54
140410.KQ,140410,메지온,15651,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,51500.0,85985.5,-40.10618069325642,172700.0,-70.17950202663579,33.19327731090485,-19.66,-44.38,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,25.57,,120.78,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,19.05,-18.83,8,2,7,7,534.02,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,3,1,4,D,55
183300.KQ,183300,코미코,15059,우량기업부,반도체 부품 세정 및 코팅,KOSDAQ,주권,KRX,75300.0,63431.19,18.711315363940038,139200.0,-45.9051724137931,34.19452887537267,-30.47,12.09,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-10.74,15.48,23.34,38.84,6.6,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,1.86,28.3,1400.0,141.14,OpenDART,26.31,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,9.21,7.42,20,15,19,19,-28.34,39.0,-0.41,24.61,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,16,0,12,0,3,3,34,D,56
058610.KQ,058610,에스피지,14681,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,66900.0,89058.0,-24.880415010442633,158100.0,-57.685009487666036,36.79245283017896,-31.6,-41.06,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-30.29,103.2,8.5,190.63,6.76,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,-8.86,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-14,4.57,0,0,0,0,0,0,5,3,8,D,57
096530.KQ,096530,씨젠,14440,우량기업부,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",KOSDAQ,주권,KRX,27850.0,25847.5,7.7473643485830355,35150.0,-20.76813655761024,52.517985611457895,-2.28,14.37,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,7007.69,906.71,18.2,22.83,1.28,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,1493.34,1088.69,2255.72,2199.82,55.9,3.59,95.5,1000.0,461.18,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.0,2025.0,11011.0,,,3,1,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-14,4.57,4,6,0,0,0,10,5,5,30,D,58
0009K0.KQ,0009K0,에임드바이오,13936,기술성장기업부,ADC 기반 항암제,KOSDAQ,주권,KRX,22050.0,,,72500.0,-69.58620689655173,40.112994350250766,-22.9,-56.16,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,626.65,1.88,389.86,9.07,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,28.92,-31.49,8,1,7,7,-68.64,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,6,0,0,0,5,1,12,D,59
083650.KQ,083650,비에이치아이,13754,우량기업부,"보일러,열교환기등",KOSDAQ,주권,KRX,44850.0,67992.25,-34.03659975953141,109500.0,-59.04109589041096,35.981838819511836,-34.04,-52.13,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,232.86,26.53,14.47,22.0,10.22,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.09,,,,,2,1,1,1,,,,180.92,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-14,4.57,4,0,20,20,15,10,5,3,77,A,60
060370.KQ,060370,LS마린솔루션,13738,우량기업부,해저케이블등의 건설 및 유지보수 업무,KOSDAQ,주권,KRX,26600.0,29742.75,-10.566440561145154,50100.0,-46.9061876247505,51.973684210494405,-15.82,-15.96,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-51.36,69.69,2.21,101.94,2.14,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,199.34,-565.57,735.64,1109.64,-374.0,,97.5,,81.43,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,51000.0,,,91.73,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,,,1,0,0,0,,,,-28.93,전기 및 통신 공사업,전기 및 통신 공사업,2026-07-14,4.57,0,3,0,0,0,0,5,3,11,D,61
043260.KQ,043260,성호전자,13180,우량기업부,"전원공급장치,필름콘덴서",KOSDAQ,주권,KRX,18420.0,22849.765,-19.38647946707548,53200.0,-65.37593984962406,25.30785562631192,-54.63,-63.95,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,871.74,6.42,5.07,3.15,2.25,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,2316.0,76.0,910.0,3.28,39.29,200.87,152.61,295.71,3270.79,-2975.08,,,,,,,,,,,,4.5,,,85000.0,,,361.45,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.0,,,4.29,4.42,9,6,8,8,-47.55,30.5,-89.67,101.28,전자부품 제조업,전자부품 제조업,2026-07-14,4.57,15,3,20,0,15,10,3,1,67,B,62
030530.KQ,030530,원익홀딩스,13045,중견기업부,가스캐비닛,KOSDAQ,주권,KRX,16890.0,29411.05,-42.572604514289694,48700.0,-65.3182751540041,31.57088122601978,-37.79,-45.16,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,137.36,6.3,70.4,1.34,2.78,51.37,-3.49,-101.31,,-,6230.0,-4.0,504.0,-0.06,8.09,1180.86,-266.1,1009.31,6684.79,-5675.48,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,,,2,1,1,1,,,,,기초 화학물질 제조업,기초 화학물질 제조업,2026-07-14,4.57,0,6,0,0,0,0,3,1,10,D,63
127120.KQ,127120,제이에스링크,12836,벤처기업부,"유전체분석(EGIS), 개인유전체분석(DNAGPS)",KOSDAQ,주권,KRX,36950.0,29577.95,24.924141125399153,48900.0,-24.437627811860942,57.82608695645134,2.35,-24.44,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,2.19,,14.03,-35.13,79.37,21.38,,,-,193.0,-125.0,-164.0,-64.77,-84.97,-93.87,-534.7,404.31,544.44,-140.13,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,28.92,-18.83,8,2,7,7,-51.49,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,3,5,8,D,64
082920.KQ,082920,비츠로셀,12581,우량기업부,리튬1차전지,KOSDAQ,주권,KRX,28050.0,29048.275,-3.4366068208869596,64100.0,-56.240249609984396,21.77777777776423,-42.11,-44.35,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,10.56,11.12,33.02,24.0,5.52,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,635.86,521.59,243.75,403.47,-159.72,0.93,20.5,260.0,116.83,OpenDART,14.74,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2.27,2025.0,11011.0,,,2,1,1,1,,,,23.31,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-14,4.57,4,0,16,0,12,5,1,3,41,C,65
