yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,195.74000549316406,190.531350479126,2.733752215023908,235.74000549316406,-16.96784553657776,32.67311884668614,daily_close,일봉 종가,2026-06-26 18:51 KST,193.88,-0.9502428941277541,214.5,60.85,70.87,29.929665,24.255268,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.14,102.92,2026-06-25,4.25,0,0,20,20,15,10,3,5,73,A,1
GOOGL,GOOGL,알파벳A,4490.91,343.7099914550781,313.36374977111814,9.684030685146249,402.6199951171875,-14.631663696921681,30.38566900791419,daily_close,일봉 종가,2026-06-26 18:51 KST,341.4304,-0.6632310703065613,82.0,23.78,80.76,26.237404,8.698436,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.32,36.52,2026-06-25,4.25,0,0,20,20,15,10,3,5,73,A,2
GOOG,GOOG,알파벳C,4483.96,342.19000244140625,312.8672994232178,9.372249216279851,399.0400085449219,-14.246693285421715,32.08994295117252,daily_close,일봉 종가,2026-06-26 18:51 KST,340.18,-0.5873936780927488,82.0,23.92,61.1,26.10145,8.659968,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.32,36.52,2026-06-25,4.25,0,0,20,20,15,10,3,5,73,A,3
AAPL,AAPL,애플,4376.98,275.1499938964844,269.2116993713379,2.2058084916122036,315.20001220703125,-12.706223591210087,22.904770325028352,daily_close,일봉 종가,2026-06-26 18:51 KST,,,21.8,30.46,65.82,33.351513,37.89945,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,1.53,10.32,2026-06-25,4.25,0,0,20,5,8,8,1,5,47,C,4
MSFT,MSFT,마이크로소프트,2818.35,352.8299865722656,448.6146992492676,-21.351220287095472,542.0700073242188,-34.91062375616114,15.25314726363969,daily_close,일봉 종가,2026-06-26 18:51 KST,356.65,1.0826782226889744,23.4,33.6,75.78,21.014292,6.3257256,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.9,18.71,2026-06-25,4.25,4,0,20,16,12,8,1,5,66,B,5
AMZN,AMZN,아마존,2628.93,227.00999450683594,232.79535011291503,-2.485168025595428,274.989990234375,-17.44790626256815,29.551012298117456,daily_close,일봉 종가,2026-06-26 18:51 KST,,,74.8,41.19,68.02,31.661087,5.5242987,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,0.42,57.24,2026-06-25,4.25,0,0,20,20,15,10,3,5,73,A,6
AVGO,AVGO,브로드컴,1957.03,378.9100036621094,361.17460052490236,4.910479062323817,481.57000732421875,-21.317773553325374,39.22065549487471,daily_close,일봉 종가,2026-06-26 18:51 KST,373.0,-1.5597380921564648,85.4,63.62,79.91,63.97545,20.8276,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.75,20.26,2026-06-25,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,375.1199951171875,417.80100021362307,-10.21563018628788,489.8800048828125,-23.426146938386985,36.08452167111545,daily_close,일봉 종가,2026-06-26 18:51 KST,,,8.3,176.51,44.93,344.14676,17.131115,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,41.46,-49.94,2026-06-25,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,542.8699951171875,651.0967492675782,-16.622223083149386,790.0,-31.28227909909019,25.152543123439557,daily_close,일봉 종가,2026-06-26 18:51 KST,,,62.4,22.36,79.33,19.996727,5.725371,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,25.69,2026-06-25,4.25,4,0,20,20,15,10,3,5,77,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,487.80999755859375,490.05944976806643,-0.45901618885979883,539.7999877929688,-9.631343351255296,59.708120581053514,daily_close,일봉 종가,2026-06-26 18:51 KST,,,119.6,11.79,67.32,14.513835,0.0009648915,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,0.12,-16.27,2026-06-25,4.25,8,10,12,20,0,10,3,0,63,B,10
