yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
028260.KS,028260,삼성물산,610560,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,376500.0,358650.0,393708.3333333333,363975.0,325885.0,15.531552541540727,535000.0,-29.626168224299064,61.807580174922066,7.11,-29.63,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,15.35,12.4,31.0,22.0,0.57,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.74,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,503333.0,,,33.69,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,1.43,2025.0,11011.0,1,0,0,0,9.45,,,,,,기타 전문 도매업,기타 전문 도매업,2026-08-31,4.25,4,10,6,10,8,8,3,5,54,C,11
012450.KS,012450,한화에어로스페이스,568228,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1102000.0,1105500.0,1046083.3333333334,1204416.6666666667,1152180.0,-4.355222274297419,1537000.0,-28.30188679245283,44.63519313304587,20.17,3.18,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-38.13,15.96,45.54,25.0,4.74,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.64,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1650000.0,,,49.73,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,34.11,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-31,4.25,4,0,16,0,15,0,5,5,45,C,12
034020.KS,034020,두산에너빌리티,528462,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,82500.0,78610.0,80831.66666666667,94922.5,91024.0,-9.364563192125154,136400.0,-39.516129032258064,53.49462365589385,22.95,-16.83,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-24.14,284.35,23.91,165.0,6.46,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,4.0,,,129000.0,,,56.36,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,,,,1,0,0,0,23.18,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-31,4.25,0,0,0,0,12,0,5,5,22,D,13
000270.KS,000270,기아,511441,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,131000.0,133015.0,142256.66666666666,151055.83333333334,146068.5,-10.31605034624166,206000.0,-36.407766990291265,43.93530997302924,-0.68,-20.27,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-21.72,5.03,39.34,6.0,0.85,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.19,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,216600.0,,,65.34,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-6.31,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-31,4.25,15,8,12,0,0,0,5,5,45,C,14
055550.KS,055550,신한지주,511231,,금융지주회사,KOSPI,주권,KRX,108900.0,105800.0,103361.66666666667,99345.0,93004.0,17.09173798976388,110000.0,-1.0,55.31914893613725,8.14,8.79,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,15.39,5.95,62.15,9.0,0.87,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.38,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,4.0,,,137000.0,,,25.8,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,0.58,2025.0,11011.0,17,16,16,15,9.58,8.0,1.01,9.17,12.5,-13.86,기타 금융업,기타 금융업,2026-08-31,4.25,12,8,6,20,8,8,3,0,65,B,15
329180.KS,329180,HD현대중공업,471800,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,449500.0,483275.0,535208.3333333334,563241.6666666666,563260.0,-20.196711998011576,745000.0,-39.664429530201346,22.03389830508266,-6.55,-30.95,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,124.28,179.12,14.05,15.0,4.47,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.26,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,4.0,,,871059.0,,,93.78,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,0.12,2025.0,11011,3,2,2,2,651.55,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-08-31,4.25,8,0,16,20,15,10,1,5,75,A,16
006400.KS,006400,삼성SDI,464978,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,577000.0,488650.0,474016.6666666667,505045.8333333333,435267.5,32.56216005100312,712000.0,-18.96067415730337,69.37119675455995,45.34,-4.94,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-70.17,22.94,26.18,67.0,1.84,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,3.95,,,697474.0,,,20.88,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,,,,4,1,3,3,,,4.25,-5.19,,-56.71,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-31,4.25,0,3,0,0,0,0,1,5,9,D,17
068270.KS,068270,셀트리온,439413,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,188900.0,194650.0,180861.66666666666,185100.46666666667,188351.41,0.29125876997681965,236861.0,-20.24858461291644,35.629453681698365,1.18,7.03,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,148.85,65.74,25.53,29.0,2.55,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,275338.0,,,45.76,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.19,2025.0,11011.0,2,1,1,1,15.32,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-31,4.25,0,3,6,20,12,10,5,5,61,B,18
012330.KS,012330,현대모비스,407336,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,453500.0,494275.0,514583.3333333333,498358.3333333333,453980.0,-0.10573153002334905,768000.0,-40.95052083333333,34.44108761329014,-4.73,-39.37,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,-8.74,7.12,37.61,11.0,0.85,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.43,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,737200.0,,,62.56,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,1,0,0,0,4.5,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-08-31,4.25,12,8,6,0,4,0,3,5,38,D,19
034730.KS,034730,SK,395139,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,545000.0,546900.0,612358.3333333334,523229.1666666667,431107.5,26.418584691753217,858000.0,-36.48018648018648,57.47663551401493,-2.15,-18.41,daily_close,NXT 미확인,2026-09-01 03:09 KST,,,,11.73,29.93,3.0,1.02,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.47,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,848167.0,,,55.63,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,17,16,16,15,,8.0,0.94,9.17,-62.5,8.51,기타 금융업,기타 금융업,2026-08-31,4.25,15,8,6,0,0,0,3,5,37,D,20
