yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
232140.KQ,232140,와이씨,8844,우량기업부,메모리 웨이퍼 테스터,KOSDAQ,주권,KRX,10780.0,16427.5,-34.37832902145792,23700.0,-54.51476793248945,26.170468187230924,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,75.37,55.92,8.18,32.0,2.9,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,2726.0,170.0,290.0,6.24,10.64,411.93,245.48,982.3,1309.93,-327.63,,,,,,,,,,,,,,,,,0.42,19.34,,,,,96.1,12.17,7.15,21,-66.7,-76.17,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-10,4.55,0,3,6,20,12,10,3,3,57,B,88
036540.KQ,036540,SFA반도체,8798,중견기업부,"반도체패키지(SOP,DIP,QFP)",KOSDAQ,주권,KRX,5350.0,5991.325,-10.704226527521039,11010.0,-51.40781108083561,26.71232876702082,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,,23.78,8.79,,2.0,-3.93,16.21,-8.26,,,-,3674.0,-196.0,-191.0,-5.33,-5.2,54.56,-166.04,226.3,766.27,-539.97,,,,,,,,,,,,,,,,,,,,,,,26.33,29.39,-19.3,5,,-93.19,OpenDART,2025.0,CFS,11011,반도체 제조업,반도체 제조업,2026-07-10,4.55,0,3,0,0,0,0,3,3,9,D,89
090710.KQ,090710,휴림로봇,8751,중견기업부,제조업용로봇및서비스로봇,KOSDAQ,주권,KRX,7320.0,9468.2,-22.688578610506756,21500.0,-65.95348837209303,31.040268456302925,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,,,6.85,,7.77,-13.42,36.13,26.45,,,-,1683.0,-173.0,-301.0,-10.28,-17.88,-230.17,-245.91,160.03,734.47,-574.44,,,,,,,,,,,,,,,,,,,,,,,96.1,12.17,7.15,21,,-36.15,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-10,4.55,0,0,0,0,0,0,3,1,4,D,90
086450.KQ,086450,동국제약,8675,우량기업부,"인사돌, 복합마데카솔, 파미레이",KOSDAQ,주권,KRX,19200.0,19700.55,-2.540792008344941,29900.0,-35.785953177257525,53.449951409062365,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,7.91,13.15,16.15,12.23,1.34,10.42,39.17,14.12,20.15,18.31,1043 -> 1353 -> 1460,9269.0,966.0,739.0,10.42,7.97,687.6,227.63,561.79,2991.58,-2429.79,1.04,13.67,200.0,90.22,OpenDART,2.67,5.0,False,,,,,,,,,1.55,18.31,2025.0,11011.0,5.0,OpenDART,108.15,6.76,1.96,7,-88.69,-80.18,,,,,의약품 제조업,의약품 제조업,2026-07-10,4.55,8,6,12,5,12,5,5,5,58,B,91
417200.KQ,417200,LS머트리얼즈,8571,중견기업부,울트라커패시터(셀 및 모듈),KOSDAQ,주권,KRX,12670.0,16086.85,-21.240019021747578,31250.0,-59.455999999999996,32.037914691900625,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,-92.86,746.84,8.17,,5.81,0.24,33.22,8.09,-101.61,-83.26,214 -> 84 -> 6,1536.0,-1.0,-10.0,-0.07,-0.65,56.41,-180.83,574.27,684.56,-110.29,0.17,,22.0,14.88,OpenDART,0.0,2.0,False,,,,,,,,,,-83.26,2025.0,11011.0,2.0,OpenDART,43.43,5.73,-0.06,8,,1.4,OpenDART,2025.0,CFS,11011,전자부품 제조업,전자부품 제조업,2026-07-10,4.55,0,0,0,0,0,0,3,3,6,D,92
281740.KQ,281740,레이크머티리얼즈,8426,우량기업부,"LED, 반도체 소재 및 석유화학촉매",KOSDAQ,주권,KRX,12820.0,17529.6,-26.86655713764147,27550.0,-53.46642468239564,33.73493975897925,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,-63.09,69.3,10.14,76.47,6.76,5.8,161.94,1.8,-40.09,-43.54,367 -> 317 -> 117,1412.0,133.0,78.0,9.42,5.52,154.78,18.13,206.47,2199.93,-1993.46,0.23,25.6,30.0,19.72,OpenDART,-40.0,2.0,True,,,,,,,,,,-43.54,2025.0,11011.0,2.0,OpenDART,35.49,4.18,10.92,3,115.47,61.72,,,,,기타 화학제품 제조업,기타 화학제품 제조업,2026-07-10,4.55,0,0,6,0,0,0,3,3,12,D,93
019210.KQ,019210,와이지-원,8368,우량기업부,"엔드밀, 탭, 드릴",KOSDAQ,주권,KRX,22500.0,10386.2,116.63360998247674,26700.0,-15.730337078651685,54.174852652222086,daily_close,NXT 미확인,2026-07-10 22:42 KST,,,50.78,9.18,27.17,17.94,1.82,6.14,170.78,11.2,19.18,-0.37,685 -> 451 -> 680,6394.0,665.0,253.0,10.4,3.96,383.09,-187.32,563.85,7419.77,-6855.92,0.84,27.9,190.0,70.67,OpenDART,1.36,5.0,True,,,,,,,,,0.35,-0.37,2025.0,11011.0,5.0,OpenDART,17.94,1.82,6.14,1,,,,,,,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,2026-07-10,4.55,8,3,6,20,0,10,5,5,57,B,94
388210.KQ,388210,씨엠티엑스,8206,벤처기업부,반도체 장비용 소모성 부품,KOSDAQ,주권,KRX,86600.0,120569.5,-28.17420657794882,164400.0,-47.323600973236005,36.47711511788473,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,247.81,,7.99,13.0,4.23,-35.89,51.01,47.75,119.49,,891 -> 3099,1606.0,518.0,-215.0,32.25,-13.39,361.94,350.56,929.82,930.4,-0.58,,,,,,,,,,,,,,,,,0.05,,,,,,43.43,5.73,-0.06,8,-70.07,-26.18,OpenDART,2025.0,CFS,11011,전자부품 제조업,전자부품 제조업,2026-07-10,4.55,8,0,0,20,0,10,5,3,46,C,95
074600.KQ,074600,원익QnC,8188,우량기업부,반도체용 석영유리,KOSDAQ,주권,KRX,31600.0,28648.55,10.302266606861432,42150.0,-25.029655990510086,32.82608695650177,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,-55.74,18.02,11.57,41.45,1.9,4.73,170.93,5.84,-34.22,-23.19,1451 -> 1934 -> 856,9436.0,596.0,10.0,6.32,0.11,848.49,-44.64,605.54,9752.88,-9147.34,0.41,15.2,130.0,34.17,OpenDART,-4.66,4.0,True,,,,,,,,,,-23.19,2025.0,11011.0,4.0,OpenDART,41.45,1.9,4.73,1,,,,,,,유리 및 유리제품 제조업,유리 및 유리제품 제조업,2026-07-10,4.55,0,3,0,0,0,0,3,5,11,D,96
056190.KQ,056190,SFA,8169,우량기업부,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기",KOSDAQ,주권,KRX,22800.0,26650.75,-14.448936709098243,35650.0,-36.044880785413746,37.7510040160218,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,37.83,21.28,12.93,15.32,0.66,6.11,49.77,-20.26,,,1113 -> 1534,16310.0,859.0,521.0,5.27,3.19,1516.38,568.22,2959.24,7516.75,-4557.51,4.17,48.5,950.0,267.07,OpenDART,-5.07,5.0,True,,,,,,,,,0.4,,2025.0,11011.0,5.0,OpenDART,96.1,12.17,7.15,21,-84.06,-94.58,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-10,4.55,8,10,6,20,0,10,5,5,64,B,97
388720.KQ,388720,유일로보틱스,8129,벤처기업부,"취출로봇, 사출장비 및 자동화시스템",KOSDAQ,주권,KRX,69900.0,91153.5,-23.316164491763892,150700.0,-53.61645653616457,42.88425047437191,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,,,15.03,,9.14,-26.71,20.64,4.83,-3250.0,,-,369.0,-126.0,-247.0,-34.15,-66.94,-112.68,-195.79,28.12,185.17,-157.05,,,,,,,,,,,,,,,,,,,,,,,96.1,12.17,7.15,21,,-24.9,OpenDART,2025.0,OFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-10,4.55,0,0,0,0,0,0,5,3,8,D,98
065350.KQ,065350,신성델타테크,8107,우량기업부,"세탁기, 자동차, 에어컨 및 LCD 부품",KOSDAQ,주권,KRX,30000.0,55920.5,-46.352411012061765,121700.0,-75.34921939194741,30.174081237894683,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,73.25,81.02,4.45,36.96,3.32,9.51,161.32,7.19,4.53,,456 -> 790,9454.0,277.0,242.0,2.93,2.56,143.76,-801.57,706.02,5756.98,-5050.96,0.4,13.6,120.0,32.98,OpenDART,0.0,5.0,False,,,,,,,,,0.5,,2025.0,11011.0,5.0,OpenDART,36.96,3.32,9.51,1,,,,,,,가정용 기기 제조업,가정용 기기 제조업,2026-07-10,4.55,0,0,6,20,0,10,3,1,40,C,99
328130.KQ,328130,루닛,8071,기술성장기업부,Lunit INSIGHT,KOSDAQ,주권,KRX,10850.0,17834.78,-39.16381362708146,39280.0,-72.37780040733197,38.56920684283982,nxt_web_latest,NXT 체결가,2026-07-10 22:32 KST,,,,,12.06,,5.58,-31.57,169.16,53.32,,,-,831.0,-831.0,-474.0,-100.0,-57.04,-551.75,-648.09,141.11,2324.79,-2183.68,,,,,,,,,,,,,,,,,,,,,,,19.45,5.4,-10.03,4,,3.33,OpenDART,2025.0,CFS,11011,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-07-10,4.55,0,0,0,0,0,0,5,1,6,D,100
