yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
039030.KQ,039030,이오테크닉스,36465,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,286000.0,330275.0,430866.6666666667,428179.1666666667,367080.0,-22.08782826631797,612000.0,-53.26797385620915,36.79999999999835,-25.62,-39.79,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,33.53,50.01,30.19,51.43,5.39,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,580000.0,,,102.8,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,,,21,16,20,20,1.53,24.98,26.98,5.46,6.8,90.62,-1.28,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,0,0,6,5,12,10,5,3,41,C,11
214450.KQ,214450,파마리서치,35168,우량기업부,재생의약품,KOSDAQ,주권,KRX,339500.0,339750.0,319491.6666666667,321416.6666666667,377222.5,-10.000066273883451,711000.0,-52.25035161744023,54.50236966824283,-5.83,0.15,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,65.07,24.5,4.46,18.0,5.62,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1216.35,936.4,1673.93,2995.27,-1321.34,1.09,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,494000.0,,,45.51,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,CFS,11014,OpenDART,2025.0,11011,3,1,2,2,0.28,37.82,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-31,4.7,8,0,20,20,15,10,5,3,81,A,12
000250.KQ,000250,삼천당제약,35092,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,148600.0,175550.0,263225.0,456191.6666666667,372502.0,-60.10759673773563,1184000.0,-87.44932432432432,40.27237354085384,-27.16,-63.71,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,1036.5,5.03,290.14,9.93,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,,20.08,3.58,9.66,1344.92,177.37,의약품 제조업,의약품 제조업,2026-07-31,4.7,0,0,0,0,0,0,5,1,6,D,13
141080.KQ,141080,리가켐바이오,32391,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,87100.0,105390.0,137195.0,163497.5,165215.5,-47.28097545327164,213500.0,-59.20374707259953,30.614657210396828,-39.05,-52.01,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,483.55,11.47,-57.0,7.13,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,157.18,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,,21.34,-31.49,,-66.59,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-31,4.7,0,0,0,0,0,0,3,3,6,D,14
440110.KQ,440110,파두,31770,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,63400.0,68460.0,90125.0,73984.58333333333,53630.5,18.216313478337888,128300.0,-50.58456742010912,41.92771084336643,-16.58,-21.92,daily_close,NXT 미확인,2026-07-31 22:23 KST,,,,,28.05,,75.3,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,105.05,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,,16.76,2.65,9.64,,2741.51,반도체 제조업,반도체 제조업,2026-07-31,4.7,0,0,0,0,0,0,5,3,8,D,15
222800.KQ,222800,심텍,31057,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,82900.0,100710.0,112648.33333333333,87067.5,73519.25,12.759583374422345,157300.0,-47.29815638906548,32.99145299144904,-33.52,-6.01,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,,10.83,19.0,4.73,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1678.98,-1945.96,250.74,10130.78,-9880.04,0.12,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171250.0,,,106.57,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11014.0,OpenDART,2025.0,11011.0,9,6,8,8,,,12.79,3.28,10.55,48.55,44.21,전자부품 제조업,전자부품 제조업,2026-07-31,4.7,4,0,0,0,0,0,3,3,10,D,16
214370.KQ,214370,케어젠,29865,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,56000.0,59445.0,74961.66666666667,93149.16666666667,84620.0,-33.821791538643346,150100.0,-62.69153897401733,42.506811989084596,-23.29,-46.87,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,-37.87,92.25,4.37,127.82,12.67,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.78,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-31,2025.0,CFS,11011,OpenDART,2025.0,11011,8,1,7,7,,-29.05,,9.81,-23.48,,29.15,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-31,4.7,0,0,6,0,0,0,5,1,12,D,17
087010.KQ,087010,펩트론,29799,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,126700.0,132230.0,204266.66666666666,241979.16666666666,254807.5,-50.27618888768972,386000.0,-67.17616580310882,56.73876871879539,-28.86,-52.64,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,,,5.17,,24.44,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-28,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,,,9.81,-23.48,,149.13,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-31,4.7,0,0,0,0,0,0,3,1,4,D,18
145020.KQ,145020,휴젤,29097,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,233500.0,236625.0,250941.66666666666,253745.83333333334,249092.5,-6.259722793741281,388000.0,-39.819587628865975,46.52173913042912,-13.52,-10.71,nxt_web_latest,NXT 체결가,2026-07-31 22:16 KST,,,3.3,21.91,56.35,16.0,2.42,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378571.0,,,62.13,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011.0,OpenDART,,,8,1,7,7,4.85,22.87,,12.67,-23.48,,-80.9,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-31,4.7,8,3,16,0,12,2,5,5,51,C,19
403870.KQ,403870,HPSP,28475,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,34600.0,39262.5,49316.666666666664,47502.083333333336,41827.5,-17.279301894686512,83500.0,-58.56287425149701,36.72086720865816,-20.82,-36.4,daily_close,NXT 미확인,2026-07-31 22:23 KST,,,-16.35,35.96,32.3,24.0,9.6,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.45,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,96.53,,,Naver/FnGuide,,KRW,2026-07-31,2025.0,OFS,11011,OpenDART,2025.0,11011,21,16,20,20,,-6.21,27.5,5.36,6.8,-12.73,79.1,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-31,4.7,4,0,20,0,0,0,5,3,32,D,20
