yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,196.50999450683594,203.5294982910156,208.72466659545898,197.45183308919272,192.96415031433105,1.8375662975370533,235.74000549316406,-16.641219170356603,49.689350554634196,2.07,-6.09,daily_close,일봉 종가,2026-07-28 13:45 KST,,,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.51,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,2026-07-28,0.14,102.92,37.04,9.44,34.01,20,18,19,19,-18.19,159.36,,,,,,,2026-07-27,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,326.55999755859375,351.65049896240237,367.94566650390624,340.7123326619466,324.3059497833252,0.6950374412725091,402.6199951171875,-18.891261855103732,30.814449245788396,-3.21,-6.68,daily_close,일봉 종가,2026-07-28 13:45 KST,326.99,0.13167639778938475,294.0,23.78,81.11,16.393574,6.416221,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.27,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,86.96,4.59,54.0,-0.18,428.12,515.0,340.0,31.1,6.53,Finnhub,yfinance,2026-07-28,0.06,36.52,22.0,6.38,32.93,6,5,5,5,-25.48,0.57,,,,,,,2026-07-27,4.25,8,0,20,20,15,10,3,5,81,A,2
GOOG,GOOG,알파벳C,4483.96,326.57000732421875,349.93949737548826,365.51966552734376,339.0468320210775,323.5645491790772,0.9288589101515569,399.0400085449219,-18.161086524872815,32.030264775470016,-2.43,-5.97,daily_close,일봉 종가,2026-07-28 13:45 KST,,,82.0,23.92,61.11,26.951181,8.941894,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.27,6.41,0.88,,yfinance,,,,,,Communication Services,Internet Content & Information,87.14,,,-1.43,,,,,8.28,Finnhub,,2026-07-22,0.33,36.52,20.29,6.38,32.93,6,5,5,5,32.83,40.16,,,,,,,2026-07-27,4.25,0,0,20,20,15,10,3,5,73,A,3
AAPL,AAPL,애플,4376.98,336.9100036621094,317.04199981689453,303.6121668497721,282.96908315022785,276.38259941101074,21.89986069314293,336.9100036621094,0.0,72.09225033308276,18.72,24.7,daily_close,일봉 종가,2026-07-28 13:45 KST,,,21.8,30.46,65.83,35.073936,39.856747,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.59,1.08,,yfinance,,,,,,Technology,Consumer Electronics,69.09,,,-3.13,,,,,3.74,Finnhub,,2026-07-28,1.61,10.32,34.65,9.44,34.01,20,18,19,19,1.22,322.21,,,,,,,2026-07-27,4.25,0,0,20,5,8,8,1,0,42,C,4
MSFT,MSFT,마이크로소프트,2818.35,389.1000061035156,387.69849853515626,401.09266459147136,399.15324885050455,435.4458493041992,-10.643308065684817,542.0700073242188,-28.219602478247772,50.16381653200662,4.32,-8.33,daily_close,일봉 종가,2026-07-28 13:45 KST,389.5,0.10279976618092398,23.4,33.6,76.44,23.700062,6.9982247,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.94,20.73,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.65,4.67,55.0,0.23,556.75,870.0,400.0,43.09,5.58,Finnhub,yfinance,2026-07-28,1.01,18.71,37.04,9.57,35.77,20,18,19,19,-36.01,-26.87,,,,,,,2026-07-27,4.25,4,0,20,10,12,8,5,5,64,B,5
AMZN,AMZN,아마존,2628.93,231.38999938964844,243.77099990844727,252.08533350626627,236.3784169514974,234.63625015258788,-1.383524822284855,274.989990234375,-15.855119238182496,34.20655343499752,-0.56,-12.03,daily_close,일봉 종가,2026-07-28 13:45 KST,,,74.8,41.19,68.71,27.931406,5.6484075,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.67,62.0,-0.09,313.13,370.0,207.0,35.33,9.72,Finnhub,yfinance,2026-07-25,0.37,57.24,24.27,16.73,38.64,7,6,4,4,15.09,-66.24,,,,,,,2026-07-27,4.25,0,0,20,20,15,10,3,5,73,A,6
AVGO,AVGO,브로드컴,1957.03,383.2200012207031,382.31199951171874,402.48116709391275,372.82725092569984,365.162850189209,4.94495839928345,481.57000732421875,-20.422784768093152,55.04706402618783,4.99,-5.48,daily_close,일봉 종가,2026-07-28 13:45 KST,,,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.68,41.26,2.6,,yfinance,,,,,,Technology,Semiconductors,92.86,,,-0.12,,,,,0.51,Finnhub,,2026-07-24,0.72,20.26,32.69,9.44,34.01,20,18,19,19,87.68,112.29,,,,,,,2026-07-27,4.25,0,0,20,16,12,10,3,5,66,B,7
TSLA,TSLA,테슬라,1504.13,309.2200012207031,385.1989990234375,401.8128326416016,395.8109161376953,414.0887001037598,-25.32517763869898,489.8800048828125,-36.87841958467487,17.162078258042825,-18.56,-17.05,daily_close,일봉 종가,2026-07-28 13:45 KST,,,8.3,176.51,45.6,349.39447,17.392338,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,48.33,3.62,40.0,0.0,425.61,600.0,125.0,37.64,-0.06,Finnhub,yfinance,2026-07-28,42.1,-49.94,24.27,10.86,42.77,7,6,4,4,1339.61,60.15,,,,,,,2026-07-27,4.25,0,0,0,0,0,5,1,5,11,D,8
META,META,메타 플랫폼스,1465.23,593.8699951171875,623.1499908447265,606.2461619059245,621.6308303833008,637.4751483154297,-6.840290686385453,790.0,-24.826582896558545,44.65402358073648,7.93,-11.25,daily_close,일봉 종가,2026-07-28 13:45 KST,,,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.35,7.64,2.1,,yfinance,,,,,,Communication Services,Internet Content & Information,87.5,,,-0.17,,,,,8.96,Finnhub,,2026-07-22,0.36,25.69,20.29,6.42,38.88,6,5,5,5,9.77,-0.57,,,,,,,2026-07-27,4.25,4,0,20,20,15,10,5,5,79,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,497.17999267578125,495.6005004882812,486.8875,486.6290835062663,490.0691500854492,1.4509875981975542,539.7999877929688,-7.895516132085147,41.521615733903424,-0.3,4.59,daily_close,일봉 종가,2026-07-28 13:45 KST,496.6197,-0.11269413170988207,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,4.66,-3.3,Finnhub,yfinance,2026-07-25,0.12,-16.27,20.06,3.27,16.16,17,16,16,16,-26.5,-99.97,,,,,,,2026-07-27,4.25,8,10,12,20,0,10,5,0,65,B,10
