yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,164242,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,303000.0,319375.0,343808.3333333333,359662.5,406970.0,-25.547337641595202,559000.0,-45.796064400715565,39.18269230768967,-18.44,-15.24,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,124.85,217.44,14.1,54.0,29.59,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,566667.0,,,87.02,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,1,8,8,0.43,,16.52,-25.16,,79.12,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-23,4.25,0,0,20,20,0,10,5,3,58,B,1
247540.KQ,247540,에코프로비엠,115635,중견기업부,양극활물질,KOSDAQ,주권,KRX,117200.0,122315.0,170513.33333333334,187558.33333333334,173246.5,-32.350725700086294,246000.0,-52.357723577235774,44.95159059473542,-23.15,-42.97,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,,364.17,14.78,290.0,6.16,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.84,,,248722.0,,,112.22,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-23,4.25,0,0,0,0,0,0,5,3,8,D,2
086520.KQ,086520,에코프로,114459,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,83700.0,87075.0,117468.33333333333,136652.5,116589.5,-28.209658674237385,185000.0,-54.75675675675675,47.644927536219804,-22.28,-46.76,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,,336.78,19.1,175.0,4.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.18,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-07-23,4.25,0,0,0,0,0,0,5,3,8,D,3
277810.KQ,277810,레인보우로보틱스,98551,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,504000.0,459775.0,612225.0,642112.5,551370.0,-8.59132705805539,880000.0,-42.72727272727273,53.13351498637399,-2.14,-16.0,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,-33.64,3949.62,6.29,,74.15,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,81.55,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011,OpenDART,,,20,15,19,19,,30.0,6.77,8.9,,995.27,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-23,4.25,0,0,0,0,0,0,5,5,10,D,4
036930.KQ,036930,주성엔지니어링,76182,우량기업부,LP CVD,KOSDAQ,주권,KRX,163900.0,184765.0,183410.0,122736.25,85686.0,91.2797889970357,250500.0,-34.57085828343313,33.06709265175472,-10.14,41.05,daily_close,NXT 미확인,2026-07-23 22:14 KST,,,-66.22,32.8,7.0,,15.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,15.62,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,15,19,19,,30.0,6.77,8.9,,121.57,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-23,4.25,0,0,6,0,4,0,3,5,18,D,5
058470.KQ,058470,리노공업,56320,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,74500.0,75895.0,93718.33333333333,99865.83333333333,83956.0,-11.263042546095575,127000.0,-41.338582677165356,48.42931937171,-12.56,-39.58,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,34.19,27.95,32.49,28.0,7.38,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.07,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,82.55,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,10,7,9,9,0.82,14.08,4.35,8.6,98.86,69.66,17.07,전자부품 제조업,전자부품 제조업,2026-07-23,4.25,0,0,20,16,12,10,5,5,68,B,6
240810.KQ,240810,원익IPS,55612,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,113300.0,131860.0,130630.0,123883.33333333333,99865.5,13.45259373857839,183300.0,-38.18876159301691,41.440598690359394,-24.77,0.09,daily_close,NXT 미확인,2026-07-23 22:14 KST,,,304.73,46.26,14.53,32.0,5.53,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.83,,,176833.0,,,56.08,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,14,19,19,0.11,30.0,7.56,7.42,6.67,-26.85,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-23,4.25,0,0,6,20,0,10,5,5,46,C,7
319660.KQ,319660,피에스케이,45477,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,160000.0,178880.0,140643.33333333334,105312.91666666667,77416.25,106.67495519351557,211500.0,-24.349881796690305,40.870786516849904,-5.72,83.7,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,-0.73,10.42,21.95,39.0,10.4,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.43,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,11.96,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,20,14,19,19,,30.0,6.77,7.42,30.0,53.62,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-23,4.25,0,0,16,0,12,0,5,5,38,D,8
298380.KQ,298380,에이비엘바이오,41598,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,74400.0,85195.0,104803.33333333333,143143.33333333334,147189.0,-49.452744430630005,245500.0,-69.69450101832993,28.38095238094482,-24.7,-51.53,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,,,13.88,-73.0,23.03,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,220000.0,,,195.7,,,Naver/FnGuide,,KRW,2026-07-23,2025.0,CFS,11011,OpenDART,,,8,2,7,7,,,14.06,-9.41,,63.8,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-23,4.25,0,0,0,0,0,0,3,1,4,D,9
039030.KQ,039030,이오테크닉스,40469,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,327500.0,382850.0,452875.0,431812.5,365807.5,-10.472037888780301,612000.0,-46.48692810457516,38.84462151394206,-32.68,-32.4,nxt_web_latest,NXT 체결가,2026-07-23 22:05 KST,,,33.53,50.01,29.93,51.35,5.38,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,575000.0,,,75.57,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011.0,OpenDART,,,20,14,19,19,1.53,30.0,7.56,7.42,71.17,-28.84,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-23,4.25,0,0,6,5,12,10,5,3,41,C,10
