yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,peg,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,160759,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,296500.0,415745.0,-28.682245126219197,559000.0,-46.95885509838998,37.23150357994977,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,124.85,217.44,14.37,70.0,38.31,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,,,,,,,,,2025.0,11011.0,1.0,OpenDART,229.93,38.95,-26.84,8,-69.56,-1.64,0.56,,,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-09,4.56,0,0,20,20,0,10,5,3,58,B,1
247540.KQ,247540,에코프로비엠,109080,중견기업부,양극활물질,KOSDAQ,주권,KRX,111300.0,173528.5,-35.86067994594548,246000.0,-54.75609756097561,21.811100292109984,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,364.17,14.54,343.0,7.27,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,,,,,,,,,2025.0,11011.0,3.0,OpenDART,183.5,6.4,10.42,2,,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-09,4.56,0,0,0,0,0,0,1,3,4,D,2
086520.KQ,086520,에코프로,107806,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,79300.0,115193.0,-31.15901139826205,185000.0,-57.13513513513514,30.696202531641035,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,336.78,19.42,205.75,5.73,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.19,-13.56,150.0,203.1,OpenDART,-29.61,4.0,True,,,,,,,,,2025.0,11011.0,4.0,OpenDART,78.03,2.9,2.46,3,163.68,97.59,,,,,,,기타 금융업,기타 금융업,2026-07-09,4.56,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,83613,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,439000.0,545450.0,-19.515995966633053,880000.0,-50.11363636363636,21.90812720847947,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-33.64,3949.62,6.78,,75.76,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,96.1,12.17,7.15,21,,522.51,,,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-09,4.56,0,0,0,0,0,0,1,3,4,D,4
036930.KQ,036930,주성엔지니어링,82922,우량기업부,LP CVD,KOSDAQ,주권,KRX,178400.0,78924.0,126.04024124474178,250500.0,-28.78243512974052,46.56381486675712,daily_close,NXT 미확인,2026-07-09 23:14 KST,,,-66.22,32.8,7.84,,18.84,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,3.0,True,,,,,,,,,2025.0,11011.0,3.0,OpenDART,96.1,12.17,7.15,21,,54.81,,3.49,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-09,4.56,0,0,6,0,4,0,5,5,20,D,5
950160.KQ,950160,코오롱티슈진,74178,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,87300.0,83865.25,4.095558052948032,138800.0,-37.10374639769453,35.19999999999014,daily_close,NXT 미확인,2026-07-09 23:14 KST,,,,,4.92,,62.67,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,97.08,22.77,-33.24,8,,175.23,,,OpenDART,2025.0,OFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-09,4.56,0,0,0,0,0,0,5,5,10,D,6
028300.KQ,028300,HLB,69529,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,52900.0,50271.25,5.229131959121765,95100.0,-44.37434279705573,57.21830985912673,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,,19.71,,16.07,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,21.42,7.81,-4.21,3,,105.76,,,OpenDART,2025.0,CFS,11011,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-09,4.56,0,0,0,0,0,0,3,5,8,D,7
058470.KQ,058470,리노공업,53348,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,71000.0,82953.0,-14.409364338842476,127000.0,-44.09448818897638,22.3039215686198,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,34.19,27.95,28.16,33.0,8.72,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.13,39.96,800.0,607.16,OpenDART,-24.79,5.0,True,,,,,,,,,2025.0,11011.0,5.0,OpenDART,49.52,5.95,5.05,7,-33.36,46.55,0.97,17.07,,,,,전자부품 제조업,전자부품 제조업,2026-07-09,4.56,0,0,20,16,12,10,1,5,64,B,8
240810.KQ,240810,원익IPS,51489,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,104900.0,96307.5,8.921942735508658,183300.0,-42.771412984178944,31.363967906634286,daily_close,NXT 미확인,2026-07-09 23:14 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.19,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,,,,,,,,,2025.0,11011.0,4.0,OpenDART,96.1,12.17,7.15,21,-51.09,-32.62,0.15,,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-09,4.56,0,0,6,20,0,10,3,5,44,C,9
000250.KQ,000250,삼천당제약,45249,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,191300.0,376714.0,-49.21877073854436,1184000.0,-83.8429054054054,32.62614678898821,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,1036.5,7.44,512.61,17.54,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,,,,,,,,,2025.0,11011.0,2.0,OpenDART,108.15,6.76,1.96,7,373.98,159.47,,,,,,,의약품 제조업,의약품 제조업,2026-07-09,4.56,0,0,0,0,0,0,3,1,4,D,10
298380.KQ,298380,에이비엘바이오,45069,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,78800.0,148526.5,-46.94549457504216,245500.0,-67.90224032586558,38.257575757569,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,,12.9,-100.0,31.46,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,97.08,22.77,-33.24,8,,38.16,,,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-09,4.56,0,0,0,0,0,0,5,1,6,D,11
222800.KQ,222800,심텍,44169,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,119000.0,69102.25,72.2085749740421,157300.0,-24.348378893833438,47.78085991677761,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,,13.49,43.0,9.85,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-33.13,5.0,True,,,,,,,,,2025.0,11011.0,5.0,OpenDART,49.52,5.95,5.05,7,-13.17,65.55,,,OpenDART,2025.0,CFS,11011,전자부품 제조업,전자부품 제조업,2026-07-09,4.56,0,0,0,0,0,0,5,5,10,D,12
319660.KQ,319660,피에스케이,44087,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,154300.0,70567.0,118.6574461150396,211500.0,-27.044917257683217,46.21749408983069,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.44,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,2025.0,11011.0,5.0,OpenDART,96.1,12.17,7.15,21,-58.38,-11.18,,22.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-09,4.56,0,0,16,0,12,0,5,5,38,D,13
141080.KQ,141080,리가켐바이오,43756,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,116800.0,169128.5,-30.940084018956,213500.0,-45.29274004683841,43.00341296927814,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,483.55,9.44,-129.0,11.81,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-69.68,,,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-09,4.56,0,0,0,0,0,0,5,3,8,D,14
039030.KQ,039030,이오테크닉스,42194,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,347500.0,360697.5,-3.6588831361459393,612000.0,-43.21895424836602,26.291793313068794,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,,,,,,,,,,,3.0,OpenDART,96.1,12.17,7.15,21,-54.21,-37.72,1.31,24.98,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-09,4.56,0,0,6,10,12,10,3,5,46,C,15
347850.KQ,347850,디앤디파마텍,39695,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,86600.0,78648.56,10.110089746080542,111200.0,-22.12230215827338,36.57205240174113,daily_close,NXT 미확인,2026-07-09 23:14 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,39.38,,,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-09,4.56,0,0,0,0,0,0,5,5,10,D,16
087010.KQ,087010,펩트론,37144,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,112300.0,268128.5,-58.11709683976153,386000.0,-70.90673575129533,37.84946236558855,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,,5.34,,31.06,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,97.08,22.77,-33.24,8,,36.41,,,OpenDART,2025.0,OFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-09,4.56,0,0,0,0,0,0,5,1,6,D,17
