yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
JNJ,JNJ,존슨앤드존슨,650.648522204,2026-09-18,Naver exchange listing (USD),269.989990234375,269.76399993896484,262.3739995320638,247.2250830332438,238.65884994506837,13.128002710361697,278.42999267578125,-3.031283505162549,53.000893242728466,0.98,12.03,daily_close,일봉 종가,2026-09-19 15:15 KST,,,-0.9,19.17,76.88,30.97093,7.5487475,25.74,57.709,6.6,20.46,-10.34,13.72 -> 5.79 -> 11.03,94193000000.0,25596000000.0,26804000000.0,27.17,28.46,24530000000.0,19313000000.0,19709000000.0,47933000000.0,-28224000000.0,1.99,60.79,5.36,,yfinance,4.92,10.0,False,10.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,70.97,4.09,22.0,0.0,275.64,320.0,190.0,2.09,0.4,Finnhub,yfinance,,,2026-09-16,,,,,,-10.34,28.99,6.34,14.15,11,10,9,9,6.83,19.07,2026-09-18,5.0,0,0,20,0,0,0,5,0,25,D,20
ASML,ASML,ASML 홀딩 ADR,645.257272,2026-09-18,Naver exchange listing (USD),1679.9200439453125,1689.396014404297,1739.557666015625,1651.0566660563152,1509.4695993041992,11.29207535677987,1989.43994140625,-15.558142320303025,48.43593638182465,-4.02,-4.7,daily_close,일봉 종가,2026-09-19 15:15 KST,1670.57,-0.5565767239346625,28.5,36.39,20.39,57.511005,1427.3237,53.94,9.092,21.3,25.26,9.55,20.59 -> 19.24 -> 24.71,32667300000.0,11301400000.0,9609400000.0,34.6,29.42,,11027300000.0,12916000000.0,4390900000.0,8525100000.0,0.54,29.72,9.08,,yfinance,3.58,9.0,False,9.0,yfinance dividend history,Technology,Semiconductor Equipment & Materials,85.71,4.6,16.0,0.0,2157.87,2861.32,897.6,28.45,2.58,Finnhub,yfinance,,,2026-09-17,,,,,2.02,9.55,37.91,13.18,34.82,32,30,30,30,51.7,10729.47,2026-09-18,5.0,0,0,20,0,8,8,5,5,46,C,21
INTC,INTC,인텔,573.958548895,2026-09-18,Naver exchange listing (USD),108.5999984741211,95.86800079345703,101.49933331807455,99.27058324813842,77.1558999633789,40.75397801809939,140.94000244140625,-22.945936857585934,71.71395300197192,17.88,-17.51,daily_close,일봉 종가,2026-09-19 15:15 KST,,,98.63,65.53,62.53,,6.2676425,-10.71,48.997,25.4,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,0.0,,9.0,yfinance dividend history,Technology,Semiconductors,34.55,3.53,43.0,0.0,116.37,200.0,75.0,7.15,1086.32,Finnhub,yfinance,,,2026-09-18,,,,,,,39.22,14.61,36.64,32,31,30,30,,-57.1,2026-09-18,5.0,0,0,0,0,0,10,1,5,16,D,22
MA,MA,마스터카드,495.155858486,2026-09-18,Naver exchange listing (USD),565.239990234375,580.4094970703125,558.2324940999349,528.257164255778,531.6973977661132,6.308586916014345,599.8599853515625,-5.771345974493967,25.851564263935913,-1.5,14.33,daily_close,일봉 종가,2026-09-19 15:15 KST,566.275,0.18310979115186343,22.1,35.06,91.18,31.2558,88.45059,241.2,439.583,14.1,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,0.62,17.93,3.48,,yfinance,15.75,10.0,False,10.0,yfinance dividend history,Financial Services,Credit Services,90.74,4.58,37.0,-1.85,666.71,740.0,550.0,17.95,2.85,Finnhub,yfinance,,,2026-09-18,,,,,1.41,18.17,15.53,2.63,13.1,18,17,17,17,101.26,3263.14,2026-09-18,5.0,0,0,20,10,12,8,3,0,53,C,23
ABBV,ABBV,애브비,466.448278549,2026-09-18,Naver exchange listing (USD),263.9599914550781,259.68549728393555,254.9028330485026,233.84491653442382,229.60364944458007,14.963325754450047,265.9700012207031,-0.7557279980448189,61.93021568958395,0.81,12.38,daily_close,일봉 종가,2026-09-19 15:15 KST,264.18,0.08334920141082208,290.4,59.9,77.45,70.833336,-75.91545,,,10.2,68.92,-6.85,2.72 -> 2.39 -> 2.36,61160000000.0,20091000000.0,4226000000.0,32.85,6.91,19030000000.0,17816000000.0,5229000000.0,67496000000.0,-62267000000.0,2.62,190.4,6.92,,yfinance,5.17,10.0,False,10.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,82.05,4.32,29.0,0.47,276.79,328.0,200.0,4.86,0.6,Finnhub,yfinance,,,2026-09-16,,,,,0.24,-6.85,27.8,6.95,18.06,11,10,10,10,154.8,,2026-09-18,5.0,0,0,0,20,0,10,3,0,33,D,24
ORCL,ORCL,오라클,446.33367096,2026-09-18,Naver exchange listing (USD),147.61000061035156,149.41100006103517,141.63766695658367,161.87700010935467,166.25119983673096,-11.212670491813723,328.3299865722656,-55.042181144833535,47.54990434554216,3.9,-6.3,daily_close,일봉 종가,2026-09-19 15:15 KST,,,21.9,36.02,45.82,26.06175,11.651841,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.35,34.31,2.0,,yfinance,14.07,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,81.63,4.41,42.0,0.0,244.12,400.0,110.0,65.38,9.27,Finnhub,yfinance,,,2026-09-17,,,,,1.19,25.36,39.6,14.61,34.82,32,30,30,30,-34.19,-20.25,2026-09-18,5.0,0,0,20,10,15,8,5,3,61,B,25
CSCO,CSCO,시스코 시스템즈,431.752688462,2026-09-18,Naver exchange listing (USD),109.51000213623047,110.00549964904785,113.64866638183594,108.2463331858317,96.23904998779297,13.789571021452101,130.0,-15.761536818284256,48.809527889888415,-0.07,-8.54,daily_close,일봉 종가,2026-09-19 15:15 KST,,,52.1,18.59,83.38,33.051052,8.636898,27.32,62.017,17.6,28.45,-8.86,3.07 -> 2.54 -> 2.55,63325000000.0,16061000000.0,13267000000.0,25.36,20.95,14177000000.0,12767000000.0,7218000000.0,29533000000.0,-22315000000.0,1.53,49.85,1.68,,yfinance,2.58,10.0,False,10.0,yfinance dividend history,Technology,Communication Equipment,68.57,4.18,24.0,-1.13,137.62,170.0,115.0,25.67,0.56,Finnhub,yfinance,,,2026-09-15,,,,,0.63,-8.86,39.6,14.61,36.64,32,30,30,30,-16.54,-40.88,2026-09-18,5.0,0,0,20,20,0,10,5,5,60,B,26
PLTR,PLTR,팔란티어 테크놀로지스,426.879308387,2026-09-18,Naver exchange listing (USD),177.63999938964844,175.895499420166,152.4788324991862,145.3138744990031,151.75267475128175,17.058891832249593,207.17999267578125,-14.258130287879844,42.795273959383906,2.12,56.51,daily_close,일봉 종가,2026-09-19 15:15 KST,177.37,-0.15199245134886358,215.4,287.86,64.75,153.13794,43.667652,38.1,2.139,92.8,355.54,164.38,0.09 -> 0.19 -> 0.63,4475446000.0,1414015000.0,1625033000.0,31.59,36.31,2134473000.0,2100591000.0,1423796000.0,229338000.0,1194458000.0,,0.0,0.0,,yfinance,,,,,,Technology,Software - Infrastructure,71.79,4.19,27.0,2.56,196.84,255.0,80.0,10.81,15.06,Finnhub,yfinance,,,2026-09-19,,,,,0.71,164.38,37.91,13.18,34.82,32,30,30,30,303.95,231.32,2026-09-18,5.0,0,0,20,16,15,10,5,5,71,A,27
CVX,CVX,셰브론,413.943839616,2026-09-18,Naver exchange listing (USD),209.50999450683594,208.5985008239746,194.04816691080728,191.02300046284992,183.89945014953614,13.926384410869542,217.77000427246094,-3.792997016839181,60.48805486988075,1.82,22.2,daily_close,일봉 종가,2026-09-19 15:15 KST,209.44,-0.03340867198278504,321.9,14.21,70.53,19.046242,2.0423553,12.23,18.959,53.5,-11.86,-23.6,11.36 -> 9.72 -> 6.63,184432000000.0,16674000000.0,12299000000.0,9.04,6.67,33939000000.0,16592000000.0,6293000000.0,40758000000.0,-34465000000.0,3.4,67.18,7.12,,yfinance,6.39,10.0,False,10.0,yfinance dividend history,Energy,Oil & Gas Integrated,83.87,4.28,24.0,7.2,216.96,236.0,175.0,3.56,16.82,Finnhub,yfinance,,,2026-09-18,,,,,0.06,-23.6,14.03,1.96,14.26,5,4,4,4,35.75,4.2,2026-09-18,5.0,4,3,12,20,0,10,3,0,52,C,28
BAC,BAC,뱅크오브아메리카,403.691363111,2026-09-18,Naver exchange listing (USD),57.72999954223633,61.37649993896484,61.37149982452392,57.03933315277099,55.23599996566772,4.515170501337471,64.80999755859375,-10.92423743722024,22.24906808218607,-6.68,0.0,daily_close,일봉 종가,2026-09-19 15:15 KST,57.75,0.03464482577908072,34.1,11.79,71.33,14.481482,1.5901582,11.2,,16.8,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,2.22,25.87,1.28,,yfinance,7.89,10.0,False,10.0,yfinance dividend history,Financial Services,Banks - Diversified,79.31,4.46,21.0,0.0,69.0,79.0,62.0,19.52,6.52,Finnhub,yfinance,,,2026-09-16,,,,,0.42,11.22,16.44,2.68,13.11,18,17,17,17,-11.91,-40.67,2026-09-18,5.0,8,6,12,20,8,10,1,5,70,A,29
COST,COST,코스트코 홀세일,397.051008009,2026-09-18,Naver exchange listing (USD),895.3099975585938,924.6024932861328,937.4014953613281,968.6248301188151,960.4170974731445,-6.779044238784109,1094.3199462890625,-18.185718848069012,20.9587673058726,-4.09,-6.84,daily_close,일봉 종가,2026-09-19 15:15 KST,896.6,0.1440844450440584,45.5,44.93,74.46,48.21748,25.752724,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,0.66,27.01,5.88,,yfinance,13.18,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Discount Stores,65.22,4.0,35.0,-1.45,1077.31,1315.0,740.0,20.33,-0.24,Finnhub,yfinance,,,2026-09-15,,,,,1.06,13.4,25.37,8.67,36.83,6,5,4,4,90.06,197.03,2026-09-18,5.0,0,0,20,10,8,10,1,5,54,C,30
KO,KO,코카콜라,379.699970695,2026-09-18,Naver exchange listing (USD),88.25,88.97949981689453,86.29966634114584,82.49916674296061,79.16925003051757,11.47004672392633,91.98999786376953,-4.065657082966992,41.1542901055879,-2.49,9.49,daily_close,일봉 종가,2026-09-19 15:15 KST,,,18.2,23.92,68.33,25.768024,10.516888,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,2.4,64.78,2.12,,yfinance,5.04,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Beverages - Non-Alcoholic,82.86,4.25,23.0,0.51,88.3,98.0,75.0,0.06,1.67,Finnhub,yfinance,,,2026-09-16,,,,,1.42,10.94,25.37,8.67,29.72,6,5,4,4,1.57,21.3,2026-09-18,5.0,0,0,20,10,8,8,5,0,51,C,31
