yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
012330.KS,012330,현대모비스,462736,510000.0,411335.0,23.98653165910997,768000.0,-33.59375,22.147651006710717,regularMarketPrice,-8.74,7.12,36.66,13.0,1.08,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,,,,,,,,,,,,4.5,2026-06-23,4.51,8,8,6,0,4,0,1,5,32,D,18
006400.KS,006400,삼성SDI,377946,469000.0,382329.0,22.669219441894285,712000.0,-34.12921348314607,30.890804597699898,daily_close,-70.17,22.94,26.54,127.0,1.93,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,,,,,,,,,,,,,2026-06-23,4.51,0,3,0,0,0,0,3,5,11,D,19
068270.KS,068270,셀트리온,355721,160500.0,183956.31,-12.751022240009052,236861.0,-32.23873917614128,33.85416666665844,daily_close,148.85,65.74,24.41,28.0,2.22,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,,,,,,,,,,,0.19,15.32,2026-06-23,4.51,0,3,6,20,12,10,3,5,59,B,20
010120.KS,010120,LS ELECTRIC,348750,232500.0,136830.0,69.91887743915808,318500.0,-27.001569858712713,47.33727810650496,regularMarketPrice,20.11,26.34,18.37,77.0,18.62,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,,,,,,,,,,,3.83,17.98,2026-06-23,4.51,0,0,12,0,12,8,5,5,42,C,21
267260.KS,267260,HD현대일렉트릭,342087,949000.0,886592.5,7.03902864055358,1420000.0,-33.16901408450704,46.597633136093705,daily_close,46.07,25.65,34.78,40.0,18.66,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,,,,,,,,,,,0.87,68.14,2026-06-23,4.51,0,0,20,16,15,10,5,5,71,A,22
298040.KS,298040,효성중공업,337175,3616000.0,2440095.0,48.19095158180316,4601000.0,-21.408389480547708,51.7257909875356,daily_close,133.52,20.47,26.62,46.0,14.98,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,,,,,,,,,,,0.34,111.72,2026-06-23,4.51,0,0,20,20,15,10,5,5,75,A,23
066570.KS,066570,LG전자,329026,202000.0,121174.5,66.70174005256881,392500.0,-48.53503184713376,13.851992409866426,regularMarketPrice,161.86,28.06,28.54,19.0,1.49,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,,,,,,,,,,,0.12,16.18,2026-06-23,4.51,4,6,0,20,12,10,1,3,56,B,24
042660.KS,042660,한화오션,320201,104500.0,123579.5,-15.439049356891719,149900.0,-30.286857905270182,43.702081051471936,daily_close,135.85,27.59,10.98,25.0,5.77,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,,,,,,,,,,,0.18,131.76,2026-06-23,4.51,4,0,20,20,15,10,5,5,79,A,25
035420.KS,035420,NAVER,317697,202500.0,237537.0,-14.750123138711022,290500.0,-30.292598967297764,27.840909090906877,daily_close,3.89,24.18,35.05,19.0,1.17,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,,,,,,,,,,,4.88,41.51,2026-06-23,4.51,4,8,6,0,15,2,3,5,43,C,26
086790.KS,086790,하나금융지주,316894,115500.0,103922.5,11.14051336332363,132000.0,-12.5,48.7961476725412,daily_close,9.62,4.94,68.44,8.0,0.73,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,,,,,,,,,,,0.83,10.23,2026-06-23,4.51,15,10,6,16,8,5,5,5,70,A,27
000810.KS,000810,삼성화재,288422,646000.0,500427.5,29.08962836774558,730000.0,-11.506849315068493,50.67750677506582,regularMarketPrice,-0.74,9.42,58.3,16.0,1.23,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,,,,,,,,,,,,6.39,2026-06-23,4.51,8,6,12,0,4,0,5,5,40,C,28
009540.KS,009540,HD한국조선해양,257968,364500.0,419207.5,-13.050219759904106,479500.0,-23.983315954118876,45.22613065326315,regularMarketPrice,84.96,21.88,33.54,9.0,2.19,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,,,,,,,,,,,0.11,212.72,2026-06-23,4.51,12,3,16,20,15,10,5,5,86,S,29
