yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
222800.KQ,222800,심텍,45556,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,116800.0,70789.5,64.99622119099584,157300.0,-25.74698029243484,48.38935574229217,-10.08,53.48,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,7,9,9,,22.0,4.23,9.7,27.27,60.05,,전자부품 제조업,전자부품 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,5,10,D,12
000250.KQ,000250,삼천당제약,44944,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,190200.0,376239.5,-49.447094204622324,1184000.0,-83.9358108108108,38.39285714285371,-31.21,-62.34,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,1036.5,7.41,412.84,14.13,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,19.28,4.28,9.66,2041.29,230.14,,의약품 제조업,의약품 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,1,6,D,13
298380.KQ,298380,에이비엘바이오,44398,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,78900.0,148018.5,-46.69585220766323,245500.0,-67.86150712830957,39.57503320052384,-27.15,-51.86,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,17.37,-9.41,,41.16,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,1,6,D,14
095610.KQ,095610,테스,41430,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,210500.0,78946.5,166.63626633226298,217500.0,-3.218390804597701,61.052145823715485,24.26,134.41,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.4,26.4,850.0,150.74,OpenDART,11.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,1.25,38.92,8.7,8.16,7.91,5.86,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,16,10,15,10,3,0,54,C,15
141080.KQ,141080,리가켐바이오,41091,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,110200.0,168310.5,-34.52577230772887,213500.0,-48.38407494145199,31.239530988271042,-24.57,-44.34,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,28.92,-31.49,,-69.16,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-15,4.25,0,0,0,0,0,0,3,3,6,D,16
440110.KQ,440110,파두,40031,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,79900.0,51292.15,55.77432414121849,128300.0,-37.72408417770849,44.29429429428499,-24.62,38.72,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,,,28.49,,106.74,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,62.7,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,20.98,3.82,9.64,,2694.24,,반도체 제조업,반도체 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,5,10,D,17
403870.KQ,403870,HPSP,38434,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,46700.0,41678.5,12.04817831735787,83500.0,-44.07185628742515,44.856459330128516,-25.64,5.78,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.07,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,,40.5,8.7,8.16,-13.58,60.11,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,20,0,0,0,5,5,30,D,18
084370.KQ,084370,유진테크,37307,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,157800.0,112506.5,40.25856283859155,206500.0,-23.583535108958838,50.05107252297906,-9.88,16.98,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.15,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,,38.92,8.7,8.16,31.04,12.07,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,6,0,15,0,5,5,31,D,19
347850.KQ,347850,디앤디파마텍,34836,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,76000.0,79384.255,-4.263131272063968,111200.0,-31.654676258992804,44.693396226407714,-29.69,-6.86,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,19.05,-18.83,,184.99,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-15,4.25,0,0,0,0,0,0,5,5,10,D,20
214370.KQ,214370,케어젠,34377,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,64000.0,85056.0,-24.755455229495862,150100.0,-57.36175882744837,45.26112185685429,-18.88,-35.42,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.68,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,8,1,7,7,,,18.5,-23.48,,-6.11,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-15,4.25,0,0,6,0,0,0,5,3,14,D,21
214450.KQ,214450,파마리서치,34026,우량기업부,재생의약품,KOSDAQ,주권,KRX,322500.0,390165.0,-17.342662719618623,711000.0,-54.641350210970465,51.26903553299128,6.79,4.03,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.15,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,4,1,3,3,0.31,,16.07,4.81,,-62.17,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-15,4.25,4,0,20,20,15,10,5,3,77,A,22
031980.KQ,031980,피에스케이홀딩스,33680,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,152500.0,84387.5,80.71396830099245,166500.0,-8.408408408408409,60.34236804564305,25.41,23.58,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-4.32,11.02,6.48,25.0,6.6,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.71,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,25.64,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011,OpenDART,2025.0,11011,19,14,18,18,,40.5,9.11,8.16,-38.27,-27.55,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,4,0,16,0,15,0,3,0,38,D,23
095340.KQ,095340,ISC,33597,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,157400.0,155780.5,1.0396038015027556,271000.0,-41.91881918819188,35.33632286995072,-19.16,-29.1,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,2.68,60.46,31.83,35.0,5.66,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.54,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,292500.0,,,85.83,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,13.06,,,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-15,4.25,0,0,12,0,15,2,5,5,39,D,24
108490.KQ,108490,로보티즈,32620,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,215500.0,255914.96,-15.792339767866636,405000.0,-46.79012345679012,41.262389149710074,-30.15,-20.63,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,691.83,7.75,545.0,9.14,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,84.69,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011,OpenDART,,,19,14,18,18,,38.92,8.7,8.98,1300.31,5.06,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,3,8,D,25
131290.KQ,131290,티에스이,31469,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,285000.0,116313.75,145.026920720895,284500.0,0.17574692442882248,65.21739130434364,12.87,90.64,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.16,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-15,4.25,4,0,12,0,15,0,1,0,32,D,26
080220.KQ,080220,제주반도체,30688,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,89100.0,46622.15,91.11087755498191,134000.0,-33.507462686567166,39.978902953580594,-20.09,105.06,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,102.29,22.3,2.82,22.41,8.14,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,2,4,4,0.22,,3.82,2.73,,113.09,53.63,반도체 제조업,반도체 제조업,2026-07-15,4.25,4,0,16,20,15,10,5,5,75,A,27
089970.KQ,089970,브이엠,30512,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,113800.0,43828.1,159.6507719933102,119700.0,-4.928989139515455,57.42296918766757,29.91,126.69,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,29.68,12.48,29.0,12.27,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,,40.5,8.7,8.16,-28.4,41.03,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,16,0,0,0,3,0,19,D,28
087010.KQ,087010,펩트론,30312,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,128600.0,264317.5,-51.34639212310952,386000.0,-66.6839378238342,35.986547085198964,-46.3,-52.01,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,,5.24,,18.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,,17.37,-23.48,,6.51,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,1,6,D,29
214150.KQ,214150,클래시스,29714,우량기업부,미용의료기기,KOSDAQ,주권,KRX,45600.0,53882.25,-15.371017357292985,75600.0,-39.682539682539684,47.70642201831799,-1.41,-20.83,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,32.76,30.47,70.66,17.0,5.69,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.19,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,77688.0,,,70.37,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.52,,,,,,32.57,의료용 기기 제조업,의료용 기기 제조업,2026-07-15,4.25,8,0,20,20,15,10,5,5,83,A,30
145020.KQ,145020,휴젤,28729,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,233000.0,252992.5,-7.902408174155361,388000.0,-39.948453608247426,41.56378600822567,-9.69,-11.07,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,3.3,21.91,57.55,16.0,2.51,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378462.0,,,62.43,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011,OpenDART,,,8,1,7,7,4.85,,18.5,-23.48,,-86.43,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-15,4.25,8,3,16,0,12,2,5,5,51,C,31
310210.KQ,310210,보로노이,27631,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,148900.0,232924.5,-36.07370628680109,363500.0,-59.037138927097665,37.90322580644772,-30.74,-50.53,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,,6.46,,28.92,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,202.22,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,19.05,-18.83,,51.81,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-15,4.25,0,0,0,0,0,0,5,3,8,D,32
