yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
031980.KQ,031980,피에스케이홀딩스,30208,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,140800.0,83302.5,69.0225383391855,166500.0,-15.435435435435435,58.445440956645605,3.83,30.37,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-4.32,11.02,6.77,27.0,7.04,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.77,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,42.0,9.18,6.8,21,-35.71,-23.31,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,16,0,15,0,3,5,39,D,25
108490.KQ,108490,로보티즈,30201,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,208500.0,254824.585,-18.179009297709637,405000.0,-48.51851851851852,34.42517662170532,-37.2,-15.76,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,691.83,7.25,440.0,10.33,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,40.0,8.74,8.16,21,1000.0,18.19,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,0,0,0,0,3,3,6,D,26
145020.KQ,145020,휴젤,30144,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,244500.0,253865.0,-3.688968546274595,388000.0,-36.98453608247423,51.249999999994024,-1.41,-3.36,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,3.3,21.91,57.97,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,5.76,,,,,,18.5,-23.48,8,,-84.05,22.87,기초 의약물질 제조업,기초 의약물질 제조업,1,7,7,2026-07-13,4.58,4,3,16,0,12,2,5,5,47,C,27
131290.KQ,131290,티에스이,27708,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,258500.0,113969.0,126.81606401740824,276000.0,-6.340579710144928,53.26086956521414,-0.19,92.62,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.17,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,2025.0,11011,4.0,OpenDART,,,,2,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1,1,1,2026-07-13,4.58,4,0,12,0,15,0,5,0,36,D,28
310210.KQ,310210,보로노이,27465,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,149100.0,233074.0,-36.02890069248394,363500.0,-58.98211829436038,38.08290155440069,-24.51,-46.65,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,6.53,,37.57,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,25.72,-18.83,8,,46.07,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,3,8,D,29
080220.KQ,080220,제주반도체,26624,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,77300.0,45995.8,68.05882276207826,134000.0,-42.3134328358209,29.746070133005844,-26.24,85.37,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,102.29,22.3,1.59,31.42,11.4,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.31,,,,,,4.95,2.73,5,,130.3,53.63,반도체 제조업,반도체 제조업,2,4,4,2026-07-13,4.58,0,0,16,20,15,10,3,5,69,B,30
237690.KQ,237690,에스티팜,26282,우량기업부,원료의약품,KOSDAQ,주권,KRX,126600.0,127219.5,-0.4869536509733177,168700.0,-24.955542382928275,58.09061488671823,2.26,-11.84,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,52.02,53.05,12.63,40.0,4.48,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.39,18.3,500.0,100.76,OpenDART,0.0,5.0,False,,,,,,,,,,,,,,,,0.77,2025.0,11011.0,5.0,OpenDART,25.31,6.02,7.59,7,58.04,-25.58,61.23,의약품 제조업,의약품 제조업,5,6,6,2026-07-13,4.58,0,0,12,16,15,10,3,5,61,B,31
226950.KQ,226950,올릭스,25911,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,130000.0,141826.0,-8.338386473566201,207000.0,-37.19806763285024,52.262443438908505,7.62,-17.09,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,8.46,,25.72,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,37.57,-31.49,8,,-31.54,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,32
064760.KQ,064760,티씨케이,25656,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,232000.0,212496.0,9.178525713425193,348500.0,-33.428981348637016,40.94202898550309,-20.14,-11.45,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-2.77,18.81,67.84,23.0,4.86,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.62,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011,OpenDART,,2025.0,11011,5.0,OpenDART,,,,2,,,6.91,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,1,1,1,2026-07-13,4.58,4,0,12,0,4,0,5,5,30,D,33
067310.KQ,067310,하나마이크론,25395,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,38200.0,32913.3,16.062503607963944,56800.0,-32.74647887323944,30.08695652172449,-24.95,15.76,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,44.79,20.98,21.0,7.24,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.18,12.19,70.0,46.46,OpenDART,11.87,4.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,7.03,2.73,5,,2.99,,반도체 제조업,반도체 제조업,2,4,4,2026-07-13,4.58,4,0,6,0,0,0,3,5,18,D,34
087010.KQ,087010,펩트론,25229,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,106400.0,266137.5,-60.020666009111835,386000.0,-72.43523316062176,31.758291685595438,-54.04,-59.08,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,5.24,,18.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011,OpenDART,,,,,,,17.37,-23.48,8,,6.51,,기초 의약물질 제조업,기초 의약물질 제조업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,3,1,4,D,35
257720.KQ,257720,실리콘투,25148,우량기업부,화장품 유통,KOSDAQ,주권,KRX,38750.0,41659.0,-6.98288485081255,61800.0,-37.297734627831716,60.532687651290686,8.24,-16.4,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,31.11,14.49,7.77,11.0,4.73,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.79,11.9,306.0,200.28,OpenDART,,1.0,False,,,,,,,,,,,,,,,,0.35,2025.0,11011.0,1.0,OpenDART,,,,1,,,103.34,상품 종합 도매업,상품 종합 도매업,0,0,0,2026-07-13,4.58,12,0,20,20,15,10,3,5,85,S,36
178320.KQ,178320,서진시스템,24982,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,39250.0,40650.5,-3.4452220759892254,80800.0,-51.42326732673267,30.371203599540493,-49.81,-21.42,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,15.93,17.17,,4.05,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,,,1,,,,기타 전기장비 제조업,기타 전기장비 제조업,0,0,0,2026-07-13,4.58,0,0,0,0,0,0,3,3,6,D,37
357780.KQ,357780,솔브레인,23996,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,311000.0,349400.0,-10.990269032627362,501000.0,-37.924151696606785,43.1122448979561,-27.17,-25.6,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-33.25,18.26,27.69,18.0,2.38,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.76,22.77,2350.0,179.98,OpenDART,6.42,4.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,,,3,,,-22.12,기타 화학제품 제조업,기타 화학제품 제조업,2,2,2,2026-07-13,4.58,8,3,6,0,0,0,5,5,27,D,38
089970.KQ,089970,브이엠,23880,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,98700.0,42823.25,130.48227306428166,119700.0,-17.543859649122805,53.56415478614307,5.11,111.58,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,29.68,12.48,29.0,12.27,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,,,1.0,OpenDART,42.0,8.74,6.8,21,-30.95,40.39,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,16,0,0,0,5,5,26,D,39
319400.KQ,319400,현대무벡스,23778,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,21350.0,23768.25,-10.174287126734194,46350.0,-53.937432578209275,33.72781065085964,-43.74,-29.89,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,-56.77,99.75,1.78,237.22,15.14,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.23,48.8,50.0,55.07,OpenDART,18.56,5.0,False,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011,OpenDART,,2025.0,11011,5.0,OpenDART,,,,2,,,65.83,일반 목적용 기계 제조업,일반 목적용 기계 제조업,1,1,1,2026-07-13,4.58,0,0,6,0,15,0,3,3,27,D,40
005290.KQ,005290,동진쎄미켐,22834,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,45000.0,47224.0,-4.709469761138404,66000.0,-31.818181818181817,28.67132867131464,-26.11,-13.96,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-35.98,13.86,15.39,22.38,2.56,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.44,33.71,650.0,334.0,OpenDART,55.91,5.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,,,2,,,-11.78,기초 화학물질 제조업,기초 화학물질 제조업,1,1,1,2026-07-13,4.58,4,3,6,0,0,0,3,5,21,D,41
263750.KQ,263750,펄어비스,22058,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,35050.0,44548.75,-21.32214708605741,72000.0,-51.31944444444444,45.28301886787668,-12.38,-39.46,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,296.2,96.6,7.88,7.0,2.41,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,0.02,,,,,,,,3,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,1,2,2,2026-07-13,4.58,15,3,0,20,0,10,5,3,56,B,42
420770.KQ,420770,기가비스,20534,우량기업부,반도체 기판용 광학검사 및 수리장비,KOSDAQ,주권,KRX,163100.0,73149.25,122.9687932548864,192200.0,-15.140478668054111,52.006831767713685,16.33,84.71,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,353.16,47.97,1.54,146.44,11.9,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,0.49,65.63,800.0,101.41,OpenDART,0.0,3.0,False,,,,,,,,,,,,,,,,0.41,2025.0,11011.0,3.0,OpenDART,40.0,8.74,7.54,21,266.1,36.16,-33.36,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,6,20,0,10,5,5,46,C,43
290650.KQ,290650,엘앤씨바이오,18743,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,69400.0,68950.0,0.6526468455402465,118300.0,-41.33558748943364,34.30034129692014,-8.92,-4.54,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,192.78,8.73,21.98,,11.01,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.07,,50.0,11.34,OpenDART,0.0,5.0,True,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.0,OpenDART,32.66,4.34,9.66,7,,153.69,,의약품 제조업,의약품 제조업,6,6,6,2026-07-13,4.58,0,0,0,0,0,10,3,5,18,D,44
032820.KQ,032820,우리기술,18344,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,10690.0,11544.6,-7.4025951527120935,29300.0,-63.515358361774744,38.613861386079144,-29.11,-49.1,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,-84.85,398.75,6.61,62.13,13.01,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,,,2,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1,1,1,2026-07-13,4.58,0,0,0,0,0,0,5,1,6,D,45
131970.KQ,131970,두산테스나,17877,우량기업부,반도체 테스트,KOSDAQ,주권,KRX,92700.0,81279.0,14.051600044291884,190100.0,-51.23619147816938,25.563909774430698,-43.3,-5.21,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-95.9,238.23,8.73,51.0,4.89,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,0.17,194.3,160.0,30.78,OpenDART,0.0,5.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,,,1,,,-83.42,"그외 기타 전문, 과학 및 기술 서비스업","그외 기타 전문, 과학 및 기술 서비스업",0,0,0,2026-07-13,4.58,0,0,0,0,0,0,3,3,6,D,46
068760.KQ,068760,셀트리온제약,17871,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,40250.0,57318.885,-29.778815481145525,95047.0,-57.652529801045794,50.85910652916068,-8.63,-28.63,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,76.47,119.93,5.2,45.74,4.19,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.5,,200.0,86.85,OpenDART,,1.0,False,,,,,,,,,,KRW,,2025.0,OFS,11011.0,OpenDART,0.6,2025.0,11011.0,1.0,OpenDART,25.31,6.17,7.95,7,80.72,-32.09,34.91,의약품 제조업,의약품 제조업,5,6,6,2026-07-13,4.58,0,0,6,20,15,10,5,3,59,B,47
140860.KQ,140860,파크시스템스,17786,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,252500.0,254885.0,-0.9357161072640603,339500.0,-25.625920471281294,53.669724770635305,-2.32,-1.56,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-19.61,42.01,36.14,36.0,8.11,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.2,10.1,500.0,34.76,OpenDART,18.92,5.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,,,2,,,18.19,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1,1,1,2026-07-13,4.58,0,0,16,0,12,0,5,5,38,D,48
035900.KQ,035900,JYP Ent.,17641,우량기업부,오디오물 출판 및 원판 녹음 관련 제품,KOSDAQ,주권,KRX,49650.0,66066.5,-24.848448154510987,85100.0,-41.65687426556992,47.895791583139456,-11.18,-16.83,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,64.27,25.19,18.95,14.0,2.82,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,1.77,18.1,877.0,290.58,OpenDART,64.23,2.0,False,,,,,,,,,,,,,,,,0.22,2025.0,11011.0,2.0,OpenDART,,,,3,,,23.33,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2,2,2,2026-07-13,4.58,8,3,20,20,12,10,5,5,83,A,49
098460.KQ,098460,고영,17630,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,25850.0,27503.6,-6.012303843860435,43500.0,-40.57471264367816,37.52808988761684,-30.88,-8.5,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,-29.74,61.63,23.74,49.0,6.47,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.54,62.8,140.0,92.63,OpenDART,3.93,5.0,False,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,40.0,9.18,8.16,21,22.5,-29.52,-17.9,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,50
041510.KQ,041510,에스엠,17148,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,75000.0,102915.5,-27.124679955886137,153000.0,-50.98039215686274,54.72527472525789,-7.64,-14.77,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,1844.22,43.74,32.81,12.0,1.68,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.16,10.7,1620.0,370.89,OpenDART,68.7,5.0,True,,,,,,,,,,,,,,,,0.01,2025.0,11011.0,5.0,OpenDART,,,,3,,,103.18,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,2,2,2,2026-07-13,4.58,12,6,20,20,15,10,5,3,91,S,51
010170.KQ,010170,대한광통신,16963,중견기업부,"광섬유, 광케이블",KOSDAQ,주권,KRX,10910.0,8132.68,34.150120255561504,29100.0,-62.508591065292094,34.530386740286986,-42.46,-45.86,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,,3.83,,18.57,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,,,1,,,,절연선 및 케이블 제조업,절연선 및 케이블 제조업,0,0,0,2026-07-13,4.58,0,0,0,0,0,0,3,1,4,D,52
140410.KQ,140410,메지온,16654,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,54800.0,86016.5,-36.291292949608504,172700.0,-68.26867400115808,43.999999999972616,-13.97,-39.85,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,,25.57,,120.78,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,25.72,-18.83,8,,369.6,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,1,6,D,53
183300.KQ,183300,코미코,16354,우량기업부,반도체 부품 세정 및 코팅,KOSDAQ,주권,KRX,80100.0,63309.925,26.520446833573086,139200.0,-42.456896551724135,37.06754530476904,-27.31,18.69,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-10.74,15.48,23.34,38.84,6.6,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,1.75,28.3,1400.0,141.14,OpenDART,26.31,5.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,42.0,9.18,6.8,21,-7.52,-28.1,24.61,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,16,0,12,0,5,5,38,D,54
089030.KQ,089030,테크윙,16248,중견기업부,"반도체테스트핸들러,C.O.K(Change Over Kit)",KOSDAQ,주권,KRX,43850.0,52882.0,-17.079535569759084,71100.0,-38.326300984528835,38.89602053913878,-35.42,-19.1,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,181.67,12.73,474.8,10.22,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.3,49.4,130.0,46.46,OpenDART,-13.29,5.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,40.0,8.74,8.16,21,1087.0,16.93,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,55
058610.KQ,058610,에스피지,15280,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,68800.0,88870.0,-22.583549004163384,158100.0,-56.48323845667299,42.429906542044975,-30.15,-37.57,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-30.29,103.2,8.5,190.63,6.76,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,4.0,True,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.0,OpenDART,,,,2,,,-8.86,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1,1,1,2026-07-13,4.58,0,0,0,0,0,0,5,3,8,D,56
007390.KQ,007390,네이처셀,15077,중견기업부,닥터쥬크르,KOSDAQ,주권,KRX,23000.0,22553.25,1.9808675024663853,37800.0,-39.15343915343915,46.36752136749362,-24.71,13.02,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,1126.55,8.75,,23.65,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,17.37,-23.48,8,,36.15,,기초 의약물질 제조업,기초 의약물질 제조업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,57
0009K0.KQ,0009K0,에임드바이오,14874,기술성장기업부,ADC 기반 항암제,KOSDAQ,주권,KRX,23200.0,,,72500.0,-68.0,47.41379310341013,-16.4,-50.16,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,626.65,1.88,389.86,9.07,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,37.57,-31.49,8,,-75.86,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,1,7,7,2026-07-13,4.58,0,0,6,0,0,0,5,1,12,D,58
